510050 50ETF 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/02/23	0.537	0.538	0.522	0.532	1269742542	1111793152.00
2005/02/24	0.532	0.532	0.524	0.532	451614223	394141216.00
2005/02/25	0.533	0.543	0.531	0.536	506460695	446597984.00
2005/02/28	0.534	0.535	0.526	0.528	187965193	164467456.00
2005/03/01	0.526	0.529	0.521	0.523	208094456	180573600.00
2005/03/02	0.523	0.530	0.513	0.515	249274643	215572192.00
2005/03/03	0.514	0.517	0.510	0.515	100153220	85830280.00
2005/03/04	0.515	0.521	0.513	0.516	129800189	111715104.00
2005/03/07	0.516	0.521	0.516	0.518	116789645	100713448.00
2005/03/08	0.520	0.531	0.519	0.530	298505387	259486064.00
2005/03/09	0.530	0.534	0.525	0.529	200006304	174863936.00
2005/03/10	0.528	0.528	0.508	0.509	333859748	287003264.00
2005/03/11	0.509	0.512	0.506	0.511	132344547	112888760.00
2005/03/14	0.511	0.520	0.501	0.513	233509499	199760624.00
2005/03/15	0.512	0.512	0.498	0.499	282961631	239546928.00
2005/03/16	0.497	0.499	0.488	0.490	219444991	183701632.00
2005/03/17	0.490	0.493	0.483	0.484	130062534	108082312.00
2005/03/18	0.484	0.488	0.477	0.480	227792257	188092688.00
2005/03/21	0.480	0.482	0.477	0.480	103273002	85036480.00
2005/03/22	0.480	0.481	0.463	0.464	162294082	131858192.00
2005/03/23	0.463	0.467	0.456	0.460	145295510	117013256.00
2005/03/24	0.458	0.463	0.453	0.462	118388057	94998080.00
2005/03/25	0.462	0.465	0.458	0.461	108223365	87190624.00
2005/03/28	0.459	0.461	0.453	0.458	71266320	57019416.00
2005/03/29	0.458	0.467	0.458	0.461	144018030	116246832.00
2005/03/30	0.460	0.460	0.447	0.449	192659445	153413200.00
2005/03/31	0.448	0.451	0.442	0.450	128738277	101747480.00
2005/04/01	0.449	0.490	0.446	0.485	502390601	409666112.00
2005/04/04	0.470	0.474	0.460	0.466	232991558	188905456.00
2005/04/05	0.464	0.469	0.458	0.461	129587051	104559656.00
2005/04/06	0.458	0.481	0.455	0.474	261361039	212119440.00
2005/04/07	0.474	0.495	0.471	0.480	363451793	301938688.00
2005/04/08	0.480	0.492	0.475	0.492	243258274	201477216.00
2005/04/11	0.489	0.497	0.483	0.486	163205841	135974256.00
2005/04/12	0.486	0.488	0.476	0.477	211489793	174409120.00
2005/04/13	0.487	0.498	0.486	0.496	403705535	337790240.00
2005/04/14	0.496	0.497	0.484	0.484	207716078	173240368.00
2005/04/15	0.483	0.483	0.473	0.474	280301112	230119728.00
2005/04/18	0.471	0.475	0.461	0.464	165191131	133944472.00
2005/04/19	0.464	0.468	0.460	0.467	81425678	65792240.00
2005/04/20	0.466	0.466	0.452	0.453	218490295	174772096.00
2005/04/21	0.454	0.460	0.449	0.453	238539371	190472800.00
2005/04/22	0.455	0.458	0.451	0.454	246711082	196930000.00
2005/04/25	0.453	0.453	0.442	0.446	316891803	250442304.00
2005/04/26	0.446	0.452	0.444	0.449	227232716	179953920.00
2005/04/27	0.452	0.452	0.443	0.444	223597026	176930960.00
2005/04/28	0.443	0.454	0.439	0.453	310325839	245322576.00
2005/04/29	0.451	0.454	0.441	0.444	225864067	179141488.00
2005/05/09	0.456	0.457	0.435	0.436	334730997	263073120.00
2005/05/10	0.436	0.441	0.426	0.439	316123781	245236864.00
2005/05/11	0.438	0.440	0.432	0.433	212492775	165612896.00
2005/05/12	0.431	0.433	0.415	0.416	269280431	206669536.00
2005/05/13	0.414	0.425	0.411	0.418	196727142	149807952.00
2005/05/16	0.418	0.418	0.403	0.406	148144825	111490040.00
2005/05/17	0.406	0.416	0.402	0.410	118426170	89362440.00
2005/05/18	0.408	0.417	0.403	0.411	144455314	108860184.00
2005/05/19	0.410	0.415	0.402	0.411	149821563	112607240.00
2005/05/20	0.410	0.416	0.408	0.413	147698507	111791408.00
2005/05/23	0.409	0.409	0.398	0.399	247299969	184723312.00
2005/05/24	0.397	0.400	0.389	0.397	245240160	181493664.00
2005/05/25	0.396	0.405	0.393	0.399	155531216	115554584.00
2005/05/26	0.399	0.402	0.390	0.392	124411589	92004064.00
2005/05/27	0.391	0.395	0.384	0.386	195085585	143076640.00
2005/05/30	0.383	0.395	0.378	0.392	220635664	161242192.00
2005/05/31	0.392	0.398	0.389	0.394	171055059	126332696.00
2005/06/01	0.392	0.395	0.380	0.382	155460871	113509624.00
2005/06/02	0.380	0.381	0.360	0.363	360756880	257614192.00
2005/06/03	0.364	0.366	0.356	0.361	279963936	197185632.00
2005/06/06	0.360	0.377	0.356	0.376	426957759	303683840.00
2005/06/07	0.374	0.391	0.372	0.376	354368128	257538832.00
2005/06/08	0.378	0.440	0.378	0.437	968417419	737774272.00
2005/06/09	0.436	0.456	0.426	0.445	738007107	578588864.00
2005/06/10	0.443	0.443	0.426	0.431	458071741	355293344.00
2005/06/13	0.432	0.435	0.417	0.430	400231398	308249600.00
2005/06/14	0.430	0.437	0.423	0.424	246761320	190898640.00
2005/06/15	0.421	0.422	0.409	0.411	220336445	167235408.00
2005/06/16	0.409	0.423	0.409	0.422	159723234	121380528.00
2005/06/17	0.426	0.438	0.425	0.428	289736570	223969024.00
2005/06/20	0.441	0.461	0.433	0.460	572495008	452933568.00
2005/06/21	0.460	0.460	0.448	0.450	279939976	222879936.00
2005/06/22	0.448	0.455	0.445	0.454	228293483	181189664.00
2005/06/23	0.452	0.454	0.447	0.450	271548858	215962880.00
2005/06/24	0.447	0.451	0.442	0.450	158139430	124985928.00
2005/06/27	0.453	0.466	0.453	0.464	375357534	302382496.00
2005/06/28	0.460	0.460	0.451	0.458	253261254	202451744.00
