600008 首创股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/04/27	2.30	2.40	1.91	2.19	68952700	1180499328.00
2000/04/28	2.11	2.52	2.07	2.52	30937700	568577024.00
2000/05/08	2.89	2.89	2.81	2.89	16384200	345124352.00
2000/05/09	2.99	3.28	2.82	2.96	42558600	925299968.00
2000/05/10	2.94	3.16	2.78	3.01	19024000	412297824.00
2000/05/11	2.98	3.00	2.59	2.64	21116200	428458688.00
2000/05/12	2.62	2.86	2.62	2.72	9175300	186144720.00
2000/05/15	2.72	2.72	2.52	2.59	5125100	100497656.00
2000/05/16	2.59	2.72	2.53	2.64	3812400	75003440.00
2000/05/17	2.64	2.72	2.60	2.61	3730900	74310504.00
2000/05/18	2.60	2.76	2.54	2.70	5475600	109020184.00
2000/05/19	2.70	2.86	2.66	2.76	6659800	136445760.00
2000/05/22	2.78	2.92	2.74	2.92	6258000	129747808.00
2000/05/23	2.97	2.99	2.80	2.87	5574200	117065304.00
2000/05/24	2.85	2.93	2.82	2.86	5230600	109747224.00
2000/05/25	2.86	2.93	2.79	2.84	5116200	106195368.00
2000/05/26	2.84	2.84	2.75	2.76	4333700	88879016.00
2000/05/29	2.76	2.84	2.68	2.78	3693500	75033296.00
2000/05/30	2.79	2.82	2.68	2.70	3852300	77730112.00
2000/05/31	2.68	2.77	2.64	2.69	2386100	47942352.00
2000/06/01	2.69	2.76	2.68	2.70	2053500	41350620.00
2000/06/02	2.71	2.74	2.64	2.68	3140800	62712320.00
2000/06/05	2.68	2.70	2.60	2.62	3303100	65165372.00
2000/06/06	2.64	3.00	2.62	3.00	8587700	183073376.00
2000/06/07	3.25	3.32	3.03	3.06	15088200	339519680.00
2000/06/08	3.05	3.06	2.87	2.93	5338600	114164768.00
2000/06/09	2.91	3.01	2.82	2.84	3370300	71278200.00
2000/06/12	2.81	3.19	2.78	3.11	6772600	148436448.00
2000/06/13	3.11	3.15	3.04	3.08	4627100	102532016.00
2000/06/14	3.09	3.18	3.00	3.02	3528300	77894560.00
2000/06/15	3.00	3.16	3.00	3.08	2863700	63211760.00
2000/06/16	3.10	3.24	3.01	3.03	3604500	80346160.00
2000/06/19	3.01	3.06	2.97	2.98	2051100	44597900.00
2000/06/20	2.97	3.01	2.91	2.92	1810000	38839616.00
2000/06/21	2.95	3.14	2.93	3.05	2967700	64943812.00
2000/06/22	3.06	3.14	3.03	3.03	2742600	60512288.00
2000/06/23	3.14	3.26	3.07	3.15	4989600	112947776.00
2000/06/26	3.18	3.28	3.10	3.22	5300900	120545224.00
2000/06/27	3.23	3.24	3.09	3.11	2933800	65753304.00
2000/06/28	3.16	3.19	3.10	3.12	1639800	36691928.00
2000/06/29	3.12	3.13	3.04	3.10	2266300	49921788.00
2000/06/30	3.08	3.10	3.03	3.04	1664600	36512620.00
2000/07/03	2.99	3.03	2.93	2.94	2059800	44276664.00
2000/07/04	2.93	3.01	2.91	3.00	1401500	29939948.00
2000/07/05	3.00	3.00	2.91	2.93	1474700	31423504.00
2000/07/06	2.86	2.95	2.86	2.93	1272800	26958008.00
2000/07/07	2.93	3.01	2.91	3.00	751700	16169216.00
2000/07/10	3.00	3.00	2.90	2.92	1726200	36692752.00
2000/07/11	2.91	3.03	2.87	3.00	1563900	33294008.00
2000/07/12	2.99	3.06	2.92	3.02	1442500	31238000.00
2000/07/13	3.02	3.43	3.00	3.21	8863500	201449824.00
2000/07/14	3.20	3.22	3.05	3.09	3126300	69610952.00
2000/07/17	3.14	3.16	3.02	3.02	1654200	36445228.00
2000/07/18	3.02	3.16	3.02	3.06	845000	18609858.00
2000/07/19	3.07	3.10	3.00	3.00	1159700	25293132.00
2000/07/20	2.99	3.03	2.98	3.01	994000	21530120.00
2000/07/21	3.01	3.07	2.99	3.02	720800	15695035.00
2000/07/24	3.03	3.03	2.95	2.95	1007400	21652754.00
2000/07/25	2.95	3.01	2.95	2.96	770100	16539312.00
2000/07/26	2.97	3.11	2.97	3.03	1222400	26778972.00
2000/07/27	3.07	3.10	3.00	3.01	818200	17867658.00
2000/07/28	3.02	3.06	2.95	2.96	1357500	29284112.00
2000/07/31	2.95	3.01	2.93	2.98	1302300	27878068.00
2000/08/01	2.98	3.05	2.91	2.94	701200	15015377.00
2000/08/02	2.96	2.99	2.92	2.95	812700	17344692.00
2000/08/03	2.99	3.10	2.93	3.07	1795900	39003012.00
2000/08/04	3.07	3.17	3.05	3.07	3617900	80495496.00
2000/08/07	3.11	3.15	3.06	3.13	1449800	32189168.00
2000/08/08	3.11	3.14	3.04	3.06	1287000	28378896.00
2000/08/09	3.06	3.14	3.02	3.12	1772300	39190304.00
2000/08/10	3.13	3.30	3.10	3.19	5408900	123233128.00
2000/08/11	3.20	3.22	3.07	3.09	1715100	38294852.00
2000/08/14	3.08	3.14	3.07	3.10	1040500	23033676.00
2000/08/15	3.10	3.20	3.07	3.20	1326700	29597842.00
