600022 山东钢铁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/06/29	0.83	0.85	0.73	0.84	61968585	389750016.00
2004/06/30	0.82	0.83	0.77	0.78	23504612	145877088.00
2004/07/01	0.78	0.92	0.78	0.88	60029150	392309600.00
2004/07/02	0.86	0.89	0.85	0.88	27818599	181070416.00
2004/07/05	0.88	0.88	0.84	0.87	13345492	86105200.00
2004/07/06	0.87	0.88	0.86	0.87	16289464	106174696.00
2004/07/07	0.87	0.87	0.84	0.85	11361683	72891864.00
2004/07/08	0.85	0.85	0.81	0.84	9396364	59652568.00
2004/07/09	0.84	0.86	0.83	0.85	6280988	40152796.00
2004/07/12	0.84	0.84	0.80	0.81	7718140	48590064.00
2004/07/13	0.81	0.85	0.80	0.82	8780646	55550568.00
2004/07/14	0.84	0.86	0.82	0.86	9231396	58970320.00
2004/07/15	0.86	0.88	0.84	0.86	10702256	69145552.00
2004/07/16	0.88	0.90	0.86	0.88	25858017	170102880.00
2004/07/19	0.88	0.89	0.86	0.87	11428914	74662024.00
2004/07/20	0.87	0.88	0.85	0.85	7156562	46248440.00
2004/07/21	0.84	0.86	0.83	0.85	4652148	29781248.00
2004/07/22	0.85	0.85	0.81	0.82	7756803	49121460.00
2004/07/23	0.81	0.83	0.80	0.82	4674994	29244860.00
2004/07/26	0.81	0.82	0.78	0.79	5027055	31081808.00
2004/07/27	0.78	0.80	0.77	0.79	4042963	24824442.00
2004/07/28	0.79	0.80	0.78	0.80	2406931	14850536.00
2004/07/29	0.80	0.81	0.78	0.81	3433317	21257816.00
2004/07/30	0.81	0.81	0.78	0.78	3477711	21372536.00
2004/08/02	0.78	0.78	0.77	0.78	2042481	12468395.00
2004/08/03	0.78	0.79	0.76	0.77	2993179	18189446.00
2004/08/04	0.75	0.88	0.75	0.82	11628063	73199032.00
2004/08/05	0.81	0.83	0.78	0.79	5795930	36125352.00
2004/08/06	0.79	0.81	0.78	0.79	2934739	18168568.00
2004/08/09	0.79	0.79	0.77	0.78	2015155	12314196.00
2004/08/10	0.78	0.80	0.78	0.79	1786484	11015582.00
2004/08/11	0.79	0.79	0.77	0.78	1902423	11643185.00
2004/08/12	0.77	0.77	0.75	0.75	4592333	27605324.00
2004/08/13	0.75	0.77	0.75	0.75	2031706	12216786.00
2004/08/16	0.75	0.76	0.73	0.74	2259607	13461169.00
2004/08/17	0.74	0.75	0.72	0.74	2062281	12212171.00
2004/08/18	0.73	0.75	0.73	0.74	1780506	10604477.00
2004/08/19	0.73	0.74	0.72	0.74	1973729	11640755.00
2004/08/23	0.74	0.76	0.73	0.75	2226590	13317183.00
2004/08/24	0.74	0.80	0.74	0.77	4088153	24934460.00
2004/08/25	0.78	0.78	0.76	0.76	1768971	10718253.00
2004/08/26	0.77	0.79	0.75	0.78	3686904	22561200.00
2004/08/27	0.79	0.80	0.76	0.78	3518478	21622952.00
2004/08/30	0.77	0.79	0.77	0.78	1591970	9735789.00
2004/08/31	0.80	0.83	0.79	0.79	4797756	29842024.00
2004/09/01	0.79	0.79	0.77	0.77	2003275	12228066.00
2004/09/02	0.77	0.78	0.75	0.78	2391466	14445492.00
2004/09/03	0.78	0.78	0.76	0.77	1092076	6650822.00
2004/09/06	0.77	0.77	0.76	0.77	866228	5250507.00
2004/09/07	0.76	0.78	0.76	0.77	952078	5775114.00
2004/09/08	0.78	0.78	0.75	0.75	1335187	8058856.00
2004/09/09	0.75	0.75	0.72	0.73	2690100	15927905.00
2004/09/10	0.72	0.75	0.71	0.74	2172365	12813556.00
2004/09/13	0.74	0.74	0.72	0.73	2571458	15173913.00
2004/09/14	0.74	0.77	0.74	0.76	5394539	32396914.00
2004/09/15	0.76	0.83	0.75	0.81	13280987	82793712.00
2004/09/16	0.83	0.89	0.81	0.87	25939107	167797568.00
2004/09/17	0.86	0.88	0.83	0.88	21664990	140404000.00
2004/09/20	0.88	0.95	0.86	0.93	26992816	178350624.00
2004/09/21	0.94	0.96	0.90	0.94	22188721	150156352.00
2004/09/22	0.94	0.96	0.88	0.89	12172379	81832432.00
2004/09/23	0.88	0.93	0.84	0.93	8324914	54769076.00
2004/09/24	0.94	0.95	0.87	0.88	17967045	121733320.00
2004/09/27	0.90	0.91	0.86	0.87	6658546	43861180.00
2004/09/28	0.89	0.89	0.86	0.88	4141470	27092880.00
2004/09/29	0.89	0.90	0.87	0.88	3290558	21628242.00
2004/09/30	0.87	0.88	0.84	0.85	4029210	25970478.00
2004/10/08	0.84	0.89	0.84	0.89	3589866	23341874.00
2004/10/11	0.89	0.91	0.87	0.88	5973332	39507760.00
2004/10/12	0.87	0.88	0.84	0.86	4053679	26110452.00
2004/10/13	0.86	0.86	0.83	0.85	2809349	17942008.00
2004/10/14	0.85	0.85	0.77	0.80	4838303	30163528.00
2004/10/15	0.79	0.80	0.77	0.78	3242601	19819552.00
2004/10/18	0.78	0.82	0.77	0.80	3181239	19694216.00
2004/10/19	0.81	0.82	0.77	0.78	2708178	16792922.00
2004/10/20	0.78	0.78	0.76	0.76	3571000	21694910.00
2004/10/21	0.76	0.79	0.72	0.75	4682361	28021394.00
2004/10/22	0.74	0.75	0.72	0.75	4545734	27019216.00
2004/10/25	0.75	0.79	0.72	0.73	5153050	30930618.00
2004/10/26	0.73	0.77	0.71	0.77	3672482	21707454.00
2004/10/27	0.76	0.78	0.74	0.77	3081371	18568508.00
2004/10/28	0.77	0.78	0.75	0.76	3540766	21434404.00
2004/10/29	0.73	0.76	0.72	0.75	3870814	23064564.00
2004/11/01	0.74	0.74	0.72	0.72	2980155	17504972.00
2004/11/02	0.72	0.73	0.71	0.72	1514321	8872643.00
2004/11/03	0.72	0.74	0.72	0.74	1540797	9115259.00
2004/11/04	0.75	0.76	0.72	0.72	3170400	18802400.00
2004/11/05	0.75	0.75	0.72	0.73	1705041	10033484.00
2004/11/08	0.73	0.73	0.70	0.72	1867945	10877161.00
2004/11/09	0.72	0.73	0.71	0.72	1362751	7976838.00
2004/11/10	0.72	0.76	0.71	0.75	5789994	34503756.00
2004/11/11	0.76	0.78	0.74	0.75	8005143	48416188.00
2004/11/12	0.75	0.78	0.75	0.77	3887150	23511664.00
2004/11/15	0.77	0.78	0.76	0.77	2170530	13163649.00
2004/11/16	0.77	0.79	0.76	0.78	3473541	21199396.00
2004/11/17	0.78	0.78	0.74	0.75	2891821	17371540.00
2004/11/18	0.75	0.75	0.74	0.75	1842169	10972952.00
2004/11/19	0.75	0.75	0.74	0.75	2205113	13143206.00
2004/11/22	0.75	0.76	0.74	0.75	2557563	15322525.00
2004/11/23	0.75	0.76	0.73	0.74	1945244	11579852.00
2004/11/24	0.74	0.75	0.73	0.74	1824115	10858193.00
2004/11/25	0.74	0.76	0.74	0.75	3481011	20868488.00
2004/11/26	0.76	0.76	0.75	0.75	1187394	7122985.00
2004/11/29	0.75	0.76	0.73	0.74	1807841	10798431.00
2004/11/30	0.74	0.75	0.73	0.74	1421519	8407917.00
2004/12/01	0.73	0.74	0.73	0.73	783806	4637930.00
2004/12/02	0.74	0.74	0.72	0.72	2122444	12459232.00
2004/12/03	0.72	0.74	0.71	0.73	1566700	9213555.00
2004/12/06	0.73	0.74	0.72	0.74	1036759	6124176.00
