600038 中直股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/18	5.97	6.28	5.36	5.96	38355600	692765184.00
2000/12/19	5.85	6.03	5.71	5.81	10639600	196803856.00
2000/12/20	5.79	6.47	5.77	6.47	9869900	192185968.00
2000/12/21	6.55	6.74	6.33	6.58	13469900	274477088.00
2000/12/22	6.54	6.60	6.28	6.32	5779500	116114176.00
2000/12/25	6.32	6.50	6.29	6.29	3247000	64728648.00
2000/12/26	6.29	6.46	6.22	6.45	3133700	61884668.00
2000/12/27	6.45	6.50	6.22	6.24	2318800	46034232.00
2000/12/28	6.22	6.28	6.08	6.11	2482300	47903456.00
2000/12/29	6.13	6.25	6.09	6.17	1460500	28286028.00
2001/01/02	6.22	6.38	6.14	6.31	1488600	29189180.00
2001/01/03	6.29	6.50	6.18	6.40	2924400	57750272.00
2001/01/04	6.43	6.51	6.34	6.36	2012700	40397224.00
2001/01/05	6.36	6.64	6.36	6.57	3639500	74294880.00
2001/01/08	6.61	6.65	6.29	6.42	1825300	36848840.00
2001/01/09	6.40	6.49	6.31	6.38	1165200	23242980.00
2001/01/10	6.38	6.49	6.31	6.42	985900	19749780.00
2001/01/11	6.43	6.54	6.40	6.40	1562500	31572928.00
2001/01/12	6.40	6.40	6.22	6.24	1455300	28722020.00
2001/01/15	6.17	6.23	5.93	5.94	1945700	37129532.00
2001/01/16	5.86	6.01	5.83	6.00	1110500	20751252.00
2001/01/17	6.00	6.03	5.85	5.89	660500	12317851.00
2001/01/18	5.86	5.98	5.85	5.89	728400	13585204.00
2001/01/19	5.98	6.07	5.92	6.04	705500	13401813.00
2001/02/05	6.06	6.06	5.68	5.71	1108900	20395290.00
2001/02/06	5.64	5.68	5.38	5.54	1247500	21907952.00
2001/02/07	5.54	5.67	5.50	5.58	547800	9684775.00
2001/02/08	5.59	5.65	5.46	5.47	561100	9876855.00
2001/02/09	5.50	5.66	5.50	5.61	510000	9046360.00
2001/02/12	5.64	5.64	5.50	5.62	263400	4673228.00
2001/02/13	5.64	5.70	5.57	5.61	297500	5326326.00
2001/02/14	5.54	5.63	5.53	5.58	410400	7263429.00
2001/02/15	5.55	5.60	5.54	5.56	163900	2898172.00
2001/02/16	5.50	5.63	5.43	5.61	356500	6207251.00
2001/02/19	5.60	5.71	5.55	5.68	334900	6012577.00
2001/02/20	5.68	5.71	5.50	5.54	431800	7717377.00
2001/02/21	5.43	5.54	5.43	5.48	374800	6530929.00
2001/02/22	5.46	5.59	5.45	5.50	226600	3976412.00
2001/02/23	5.54	5.64	5.50	5.64	266400	4697960.00
2001/02/26	5.63	5.75	5.56	5.73	640800	11507599.00
2001/02/27	5.73	5.75	5.63	5.73	619300	11190697.00
2001/02/28	5.73	5.73	5.61	5.64	358300	6430794.00
2001/03/01	5.63	5.71	5.62	5.68	274200	4933507.00
2001/03/02	5.68	5.77	5.67	5.71	533800	9685077.00
2001/03/05	5.76	5.85	5.74	5.81	692200	12709537.00
2001/03/06	5.81	5.82	5.73	5.81	372300	6801704.00
2001/03/07	5.81	5.86	5.76	5.81	566500	10408483.00
2001/03/08	5.82	5.99	5.82	5.88	812000	15181274.00
2001/03/09	5.89	5.96	5.88	5.93	686600	12825203.00
2001/03/12	5.94	6.06	5.94	6.05	1038400	19671504.00
2001/03/13	6.06	6.07	5.92	5.96	763900	14389425.00
2001/03/14	5.93	5.99	5.90	5.99	506100	9516372.00
2001/03/15	5.99	6.03	5.93	5.95	477500	8980778.00
2001/03/16	5.97	5.98	5.82	5.84	661600	12254792.00
2001/03/19	5.82	5.89	5.80	5.86	410200	7583841.00
2001/03/20	5.86	6.02	5.84	6.02	466600	8731805.00
2001/03/21	6.02	6.07	5.95	6.06	516100	9780612.00
2001/03/22	6.06	6.16	6.03	6.11	850400	16261538.00
2001/03/23	6.10	6.11	5.90	5.91	746300	14093442.00
2001/03/27	6.06	6.14	6.02	6.07	581400	11096427.00
2001/03/28	6.09	6.11	5.98	6.03	537400	10231186.00
2001/03/29	6.00	6.18	5.99	6.11	994400	19140168.00
2001/03/30	6.14	6.23	6.13	6.18	866800	16827008.00
2001/04/02	6.19	6.27	6.17	6.22	889900	17413112.00
2001/04/03	6.23	6.25	6.12	6.17	528800	10243548.00
2001/04/04	6.16	6.16	5.95	5.98	747300	14260110.00
2001/04/05	5.94	6.41	5.93	6.33	1768700	34509720.00
2001/04/06	6.34	6.41	6.30	6.31	1601100	31833990.00
2001/04/09	6.31	6.36	6.25	6.32	597300	11802138.00
2001/04/10	6.33	6.43	6.32	6.38	802400	16019998.00
2001/04/11	6.39	6.46	6.34	6.43	1100100	22050892.00
2001/04/12	6.43	6.45	6.31	6.33	732200	14632254.00
2001/04/13	6.33	6.41	6.27	6.35	728200	14434460.00
2001/04/16	6.38	6.53	6.31	6.46	1231500	24792456.00
2001/04/17	6.51	6.82	6.44	6.72	3241500	67045716.00
2001/04/18	6.72	6.82	6.63	6.71	1468300	30631544.00
2001/04/19	6.70	6.75	6.56	6.72	1487900	30864012.00
2001/04/20	6.72	7.10	6.69	6.69	5285400	113294472.00
2001/04/23	6.64	6.95	6.59	6.86	4901300	103904888.00
2001/04/24	6.88	7.00	6.81	6.93	2299200	49218112.00
2001/04/25	6.96	7.04	6.58	6.65	2788800	58490100.00
2001/04/26	6.57	6.82	6.54	6.73	3017100	62824400.00
2001/04/27	6.68	7.09	6.68	7.04	5112600	110307664.00
2001/04/30	7.09	7.46	7.04	7.36	5588000	124947136.00
2001/05/08	7.40	7.43	7.23	7.34	2443300	55435068.00
2001/05/09	7.38	7.40	7.17	7.26	1566200	35169676.00
2001/05/10	7.28	7.75	7.26	7.71	3136200	73067496.00
2001/05/11	7.72	7.80	7.58	7.72	1356100	32120068.00
2001/05/14	7.72	7.82	7.58	7.76	1655000	39146940.00
2001/05/15	7.79	8.08	7.72	7.80	2207200	53249348.00
2001/05/16	7.82	7.86	7.61	7.65	1816900	42759064.00
2001/05/17	7.65	7.97	7.57	7.93	1611500	38271476.00
2001/05/18	7.94	8.49	7.83	8.35	3543400	88550496.00
2001/05/21	8.32	8.50	8.25	8.33	1615300	41168564.00
2001/05/22	8.33	8.50	8.17	8.38	1136000	28881784.00
2001/05/23	8.38	8.42	8.01	8.36	2047700	51497924.00
2001/05/24	8.37	8.49	8.20	8.24	1315600	33485420.00
2001/05/25	8.23	8.29	7.87	8.02	3420900	84022256.00
2001/05/28	7.90	8.03	7.72	7.75	1669800	40183884.00
2001/05/29	7.74	8.12	7.70	8.06	1540700	37509360.00
2001/05/30	8.04	8.17	8.04	8.14	806100	19957636.00
2001/05/31	8.17	8.29	8.05	8.28	965800	24108132.00
2001/06/01	8.28	8.31	8.16	8.25	595000	14950715.00
2001/06/04	8.19	8.22	7.94	8.04	1170100	28847052.00
2001/06/05	7.94	8.65	7.94	8.57	2768600	69897040.00
2001/06/06	8.69	8.90	8.47	8.69	1767400	46639832.00
2001/06/07	8.72	8.75	8.48	8.51	760000	19892556.00
2001/06/08	8.48	8.90	8.44	8.81	1951100	51115724.00
2001/06/11	8.80	8.81	8.48	8.72	696000	18375172.00
2001/06/12	8.73	8.83	8.58	8.72	322700	8511166.00
2001/06/13	8.73	8.76	8.47	8.52	887600	23142508.00
2001/06/14	8.53	8.72	8.32	8.36	903400	23295632.00
2001/06/15	8.32	8.51	8.13	8.37	1140400	28908796.00
2001/06/18	8.30	8.40	7.97	7.97	717600	17943716.00
2001/06/19	7.95	8.32	7.85	8.22	877000	21710052.00
2001/06/20	8.22	8.26	8.05	8.14	385000	9599673.00
2001/06/21	8.14	8.37	8.13	8.33	659800	16655414.00
2001/06/22	8.32	8.38	8.23	8.33	431600	10938413.00
2001/06/25	8.24	8.57	8.24	8.52	769300	19899900.00
2001/06/26	8.47	8.87	8.47	8.56	784400	20560524.00
2001/06/27	8.57	8.61	8.24	8.51	1190400	30799656.00
2001/06/28	8.53	8.81	8.29	8.45	1234300	32399812.00
2001/06/29	8.33	8.51	8.09	8.35	2731900	68554192.00
2001/07/02	8.42	8.46	8.12	8.36	713000	17979594.00
2001/07/03	8.38	8.46	8.20	8.39	559500	14304101.00
2001/07/04	8.37	8.47	8.21	8.42	247200	6312071.00
2001/07/05	8.29	8.37	8.21	8.36	195700	4930170.00
2001/07/06	8.33	8.33	8.08	8.19	280200	7020882.00
2001/07/09	8.06	8.19	8.03	8.17	254900	6311157.00
2001/07/10	8.19	8.26	8.14	8.19	883500	22040028.00
2001/07/11	8.19	8.19	8.06	8.11	153400	3813019.00
2001/07/12	8.08	8.11	7.86	7.93	347300	8460613.00
2001/07/13	7.94	8.01	7.76	7.77	487500	11738657.00
2001/07/16	7.80	7.82	7.43	7.58	1047700	24334840.00
2001/07/17	7.47	7.77	7.43	7.65	562300	13175140.00
2001/07/18	7.72	7.92	7.65	7.79	336500	8031513.00
2001/07/19	7.67	7.97	7.67	7.96	241100	5816709.00
2001/07/20	7.92	8.11	7.85	8.04	356200	8742307.00
2001/07/23	8.04	8.11	7.81	8.03	359400	8744682.00
2001/07/24	7.51	7.65	7.22	7.56	1238000	28769892.00
2001/07/25	7.47	7.56	7.11	7.29	1834200	41429244.00
2001/07/26	7.18	7.36	7.09	7.26	764500	17043478.00
2001/07/27	7.25	7.33	7.15	7.24	630100	14073530.00
2001/07/30	7.23	7.26	6.72	6.89	499300	10774785.00
2001/07/31	6.75	7.08	6.75	6.93	551700	11759498.00
2001/08/01	6.93	7.47	6.93	7.43	842100	18833480.00
2001/08/02	7.29	7.65	7.14	7.52	846200	19275030.00
2001/08/03	7.40	7.53	7.22	7.47	446700	10214610.00
2001/08/06	7.43	7.43	7.04	7.21	269800	5994514.00
2001/08/07	7.11	7.51	7.06	7.42	1190300	26959852.00
2001/08/08	7.42	7.43	7.26	7.40	112600	2558607.00
2001/08/09	7.41	7.47	7.33	7.40	372500	8531151.00
2001/08/10	7.42	7.50	7.40	7.49	541100	12411234.00
2001/08/13	7.68	7.73	7.44	7.48	487700	11286058.00
2001/08/14	7.39	7.60	7.38	7.45	486500	11249928.00
2001/08/15	7.45	7.47	7.34	7.42	178100	4070469.00
2001/08/16	7.42	7.47	7.18	7.34	212800	4788000.00
2001/08/17	7.29	7.43	7.18	7.27	243700	5457153.00
2001/08/20	7.27	7.49	7.20	7.40	168600	3839666.00
2001/08/21	7.47	7.54	7.38	7.53	205300	4723230.00
2001/08/22	7.42	7.47	7.33	7.47	251900	5751545.00
2001/08/23	7.37	7.47	7.29	7.37	153500	3488021.00
2001/08/24	7.46	7.53	7.40	7.44	329300	7589763.00
2001/08/27	7.40	7.44	7.22	7.31	156000	3511594.00
2001/08/28	7.28	7.47	7.11	7.47	181400	4098417.00
2001/08/29	7.47	7.50	7.36	7.47	163700	3761089.00
2001/08/30	7.40	7.47	7.37	7.46	95300	2184266.00
2001/08/31	7.47	7.49	7.29	7.29	173900	3953000.00
2001/09/03	7.28	7.28	7.11	7.12	101400	2241480.00
2001/09/04	7.00	7.22	6.76	7.05	248900	5346859.00
2001/09/05	7.10	7.10	6.90	6.91	149000	3227587.00
2001/09/06	6.90	6.96	6.78	6.79	125800	2674079.00
2001/09/07	6.79	6.79	6.45	6.46	441700	8981455.00
2001/09/10	6.38	7.07	6.26	6.95	1826600	38363800.00
2001/09/11	7.09	7.47	7.07	7.33	2154000	48284920.00
2001/09/12	7.36	7.64	6.79	7.04	2361500	52692488.00
2001/09/13	7.04	7.38	6.96	7.25	866600	19235876.00
2001/09/14	7.26	7.32	6.98	7.00	288300	6313583.00
2001/09/17	6.77	7.00	6.72	6.75	182200	3850946.00
2001/09/18	6.56	6.93	6.56	6.68	98300	2053356.00
2001/09/19	6.82	6.93	6.70	6.88	663700	14014456.00
2001/09/20	6.90	6.97	6.78	6.83	77100	1642714.00
2001/09/21	6.69	6.87	6.63	6.65	114300	2377167.00
2001/09/24	6.46	6.70	6.46	6.65	21400	442504.00
2001/09/25	6.63	6.83	6.63	6.70	25200	525448.00
2001/09/26	6.72	6.72	6.57	6.70	14200	293535.00
2001/09/27	6.70	6.79	6.61	6.67	588900	12282875.00
2001/09/28	6.69	6.79	6.57	6.66	46900	971300.00
2001/10/08	6.57	6.60	6.48	6.48	77400	1580038.00
2001/10/09	6.43	6.64	6.43	6.52	40800	830979.00
2001/10/10	6.45	6.45	6.11	6.11	138400	2710844.00
2001/10/11	6.14	6.18	5.75	5.84	214800	3973446.00
2001/10/12	5.82	6.32	5.55	6.18	327000	6171551.00
2001/10/15	6.22	6.25	6.04	6.12	191300	3670450.00
2001/10/16	6.12	6.12	5.82	5.85	54600	1019991.00
2001/10/17	5.82	5.86	5.68	5.68	67500	1229133.00
2001/10/18	5.68	5.75	5.68	5.71	108400	1958652.00
2001/10/19	5.68	5.70	5.39	5.51	231400	4058548.00
2001/10/22	5.32	5.46	5.12	5.36	212200	3570458.00
2001/10/23	5.92	5.97	5.68	5.97	347200	6481299.00
2001/10/24	6.60	6.60	6.06	6.40	1103000	22152908.00
2001/10/25	6.32	6.32	6.07	6.14	179900	3516070.00
2001/10/26	6.14	6.47	6.14	6.22	891000	17436716.00
2001/10/29	6.47	6.47	6.00	6.18	229300	4446896.00
2001/10/30	6.17	6.22	6.03	6.10	155400	2961140.00
2001/10/31	6.11	6.31	5.98	6.29	234700	4506867.00
2001/11/01	6.32	6.37	6.13	6.25	74600	1467389.00
2001/11/02	6.25	6.61	6.20	6.50	2017300	40827448.00
2001/11/05	6.48	6.48	6.25	6.28	888600	17557556.00
2001/11/06	6.29	6.36	6.25	6.31	57200	1130246.00
2001/11/07	6.26	6.26	5.95	5.95	307100	5835081.00
2001/11/08	5.86	6.13	5.70	6.06	148100	2774304.00
2001/11/09	6.06	6.14	5.89	6.09	96800	1834304.00
2001/11/12	6.04	6.11	5.95	6.03	125000	2363230.00
2001/11/13	6.00	6.07	5.92	6.01	39100	738057.00
2001/11/14	6.00	6.00	5.86	5.97	35100	655199.00
2001/11/15	5.93	6.11	5.89	6.10	82600	1554204.00
2001/11/16	6.40	6.59	6.22	6.35	986700	19747196.00
2001/11/19	6.32	6.43	6.27	6.41	100300	1994010.00
2001/11/20	6.41	6.57	6.40	6.52	503500	10222146.00
2001/11/21	6.49	6.66	6.40	6.66	2010300	40914008.00
2001/11/22	6.82	7.03	6.53	6.99	2254200	48167584.00
2001/11/23	7.00	7.02	6.71	6.89	1173400	24956824.00
2001/11/26	6.89	6.93	6.70	6.80	1797300	37679584.00
