600048 保利地产 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/07/31	-0.25	-0.18	-0.33	-0.23	93617254	1846673408.00
2006/08/01	-0.25	-0.15	-0.29	-0.21	25865877	528773504.00
2006/08/02	-0.22	-0.12	-0.23	-0.15	21449920	456345120.00
2006/08/03	-0.15	-0.14	-0.20	-0.16	11632691	245761792.00
2006/08/04	-0.17	-0.11	-0.19	-0.14	14576344	314332896.00
2006/08/07	-0.13	-0.04	-0.15	-0.07	14323413	321071296.00
2006/08/08	-0.06	-0.02	-0.09	-0.05	9679870	220951072.00
2006/08/09	-0.06	-0.06	-0.13	-0.11	9328782	207184816.00
2006/08/10	-0.12	-0.09	-0.14	-0.10	8555872	187582272.00
2006/08/11	-0.10	0.00	-0.11	0.00	12181275	282284384.00
2006/08/14	0.01	0.03	-0.03	0.00	11282717	269495616.00
2006/08/15	-0.03	0.04	-0.05	0.03	11575453	273770336.00
2006/08/16	0.03	0.05	0.00	0.01	7642225	185399648.00
2006/08/17	0.00	0.04	-0.01	0.00	6462346	155574384.00
2006/08/18	0.00	0.01	-0.02	-0.01	4765777	113198272.00
2006/08/21	-0.07	0.00	-0.07	-0.02	5687730	132309560.00
2006/08/22	-0.02	0.01	-0.03	-0.02	3776118	89607216.00
2006/08/23	-0.02	0.00	-0.05	-0.03	4716143	110003224.00
2006/08/24	-0.03	0.02	-0.04	0.02	6377857	153027200.00
2006/08/25	0.02	0.03	0.00	0.00	3786390	91328544.00
2006/08/28	0.01	0.15	0.00	0.15	9611396	245851920.00
2006/08/29	0.20	0.24	0.15	0.18	10993224	296459744.00
2006/08/30	0.16	0.34	0.15	0.31	10122071	284170112.00
2006/08/31	0.30	0.34	0.29	0.32	6868496	197908864.00
2006/09/01	0.32	0.45	0.31	0.32	8725988	260194240.00
2006/09/04	0.32	0.37	0.29	0.35	6911356	200658944.00
2006/09/05	0.34	0.41	0.29	0.30	6801913	198559696.00
2006/09/06	0.31	0.31	0.22	0.28	6910210	193934512.00
2006/09/07	0.27	0.31	0.26	0.29	3986985	113504040.00
2006/09/08	0.30	0.37	0.29	0.30	5120598	149630112.00
2006/09/11	0.31	0.33	0.24	0.30	4630661	131300048.00
2006/09/12	0.30	0.33	0.28	0.31	3626083	104334952.00
2006/09/13	0.32	0.33	0.25	0.26	3325057	94641760.00
2006/09/14	0.24	0.28	0.22	0.28	4887994	135815712.00
2006/09/15	0.27	0.30	0.25	0.28	3365652	95266408.00
2006/09/18	0.28	0.33	0.28	0.30	3189348	91568048.00
2006/09/19	0.30	0.30	0.26	0.26	3813322	107725480.00
2006/09/20	0.26	0.40	0.26	0.35	8643435	253955776.00
2006/09/22	0.37	0.39	0.32	0.35	4030055	118963688.00
2006/09/25	0.34	0.38	0.28	0.30	4053557	118034792.00
2006/09/26	0.29	0.30	0.19	0.22	6257932	172464208.00
2006/09/27	0.22	0.24	0.19	0.22	2123147	57882880.00
2006/09/28	0.22	0.28	0.20	0.24	4136554	115213416.00
2006/09/29	0.24	0.29	0.23	0.24	3136216	87822952.00
2006/10/09	0.25	0.27	0.21	0.25	5969175	164735904.00
2006/10/10	0.24	0.25	0.12	0.15	11108025	295139104.00
2006/10/11	0.13	0.15	0.11	0.14	5406733	140700976.00
2006/10/12	0.14	0.14	0.08	0.09	5404765	137874864.00
2006/10/13	0.08	0.12	0.07	0.11	2605932	66650288.00
2006/10/16	0.09	0.11	0.06	0.10	2825476	71311376.00
2006/10/17	0.09	0.16	0.08	0.12	3671618	95723136.00
2006/10/18	0.13	0.19	0.10	0.19	4796635	127023360.00
2006/10/19	0.19	0.19	0.15	0.16	3411349	90670824.00
2006/10/20	0.15	0.20	0.15	0.19	2962724	79394904.00
2006/10/23	0.19	0.19	0.15	0.15	2535240	67270576.00
2006/10/24	0.15	0.25	0.15	0.24	4734908	129492256.00
2006/10/25	0.23	0.26	0.21	0.22	2770996	76838088.00
2006/10/26	0.22	0.30	0.19	0.27	5889991	165433376.00
2006/10/27	0.27	0.32	0.25	0.27	3669167	104911648.00
2006/10/30	0.26	0.28	0.19	0.23	3252113	89935696.00
2006/10/31	0.19	0.26	0.19	0.20	6248897	171219072.00
2006/11/01	0.21	0.24	0.17	0.20	4555103	123238064.00
2006/11/02	0.19	0.20	0.16	0.19	3367056	89990584.00
2006/11/03	0.19	0.27	0.18	0.23	3646580	101442200.00
2006/11/06	0.21	0.25	0.21	0.24	2418366	66613456.00
2006/11/07	0.23	0.41	0.22	0.41	9339077	274434752.00
2006/11/08	0.41	0.44	0.35	0.42	5894600	177661664.00
2006/11/09	0.41	0.53	0.38	0.50	6219607	196788944.00
2006/11/10	0.48	0.51	0.42	0.44	4569295	143331904.00
2006/11/13	0.40	0.52	0.38	0.40	4694494	144962592.00
2006/11/14	0.40	0.47	0.37	0.45	3129544	96038616.00
2006/11/15	0.45	0.65	0.43	0.62	5374315	176971040.00
2006/11/16	0.62	0.70	0.58	0.59	5803524	198433472.00
2006/11/17	0.58	0.70	0.56	0.69	3426093	117206088.00
2006/11/20	0.68	0.78	0.65	0.70	4388144	154003904.00
2006/11/21	0.69	0.69	0.62	0.64	3989681	136555600.00
2006/11/22	0.64	0.70	0.60	0.67	3465019	118939072.00
2006/11/23	0.70	0.76	0.62	0.64	3566133	123669640.00
2006/11/24	0.64	0.67	0.59	0.61	3063819	103353224.00
2006/11/27	0.59	0.64	0.55	0.63	2643286	88086224.00
2006/11/28	0.61	0.69	0.61	0.66	2895851	99214872.00
2006/11/29	0.64	0.71	0.61	0.66	2941293	101520776.00
2006/11/30	0.65	0.85	0.65	0.79	5635157	202521472.00
2006/12/01	0.79	0.87	0.77	0.82	6065547	223748208.00
2006/12/04	0.79	0.84	0.77	0.80	5513909	202351904.00
2006/12/05	0.80	0.94	0.78	0.85	4884409	182976576.00
2006/12/06	0.84	0.85	0.73	0.78	4577499	165861040.00
2006/12/07	0.76	0.79	0.73	0.73	4599677	165113792.00
2006/12/08	0.70	0.80	0.65	0.75	4929620	174670272.00
2006/12/11	0.75	0.89	0.74	0.86	3404032	124453384.00
2006/12/12	0.86	0.95	0.84	0.91	2980141	113152504.00
2006/12/13	0.92	0.98	0.87	0.96	2783811	108336168.00
2006/12/14	0.96	1.01	0.92	0.92	1801976	70369296.00
2006/12/15	0.92	1.15	0.92	1.11	3261674	134506176.00
2006/12/18	1.13	1.25	1.08	1.18	2830277	119727200.00
2006/12/19	1.18	1.24	1.12	1.17	2959162	124710448.00
2006/12/20	1.14	1.34	1.09	1.32	2264468	98582248.00
2006/12/21	1.31	1.38	1.22	1.23	2366488	105671144.00
2006/12/22	1.20	1.26	1.13	1.15	2026632	86320432.00
2006/12/25	1.14	1.35	1.14	1.29	2762474	121872528.00
2006/12/26	1.29	1.32	1.16	1.22	1752868	76325272.00
2006/12/27	1.20	1.29	1.17	1.26	1345198	58416564.00
2006/12/28	1.26	1.36	1.13	1.15	4206136	180842768.00
2006/12/29	1.15	1.27	1.15	1.22	4278346	183810736.00
