600098 广州发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/18	2.41	2.65	2.41	2.53	59467900	961043200.00
1997/07/21	2.52	2.63	2.33	2.34	16142800	259761168.00
1997/07/22	2.34	2.42	2.20	2.35	9635100	147578432.00
1997/07/23	2.36	2.40	2.20	2.23	6122200	92998224.00
1997/07/24	2.23	2.35	2.21	2.24	3537100	53731832.00
1997/07/25	2.23	2.36	2.22	2.29	3459500	52708620.00
1997/07/28	2.30	2.31	2.03	2.05	4090900	60084964.00
1997/07/29	2.03	2.09	1.94	2.01	4367600	61098204.00
1997/07/30	2.05	2.13	2.01	2.08	2325400	33282048.00
1997/07/31	2.11	2.12	2.05	2.06	1829800	26094556.00
1997/08/01	2.07	2.07	2.01	2.05	1574800	22301806.00
1997/08/04	2.10	2.14	2.04	2.07	1784300	25581132.00
1997/08/05	2.08	2.10	2.04	2.05	1479300	21051556.00
1997/08/06	2.07	2.20	2.06	2.07	2891400	42244576.00
1997/08/07	2.07	2.12	2.03	2.11	1626200	23190524.00
1997/08/08	2.13	2.14	2.03	2.05	1698900	24189538.00
1997/08/11	2.04	2.04	1.91	1.91	2395100	32749812.00
1997/08/12	1.90	1.90	1.77	1.78	1917500	25274256.00
1997/08/13	1.76	1.79	1.60	1.60	1900700	23855328.00
1997/08/14	1.62	1.78	1.62	1.77	1455200	18268746.00
1997/08/15	1.67	1.83	1.62	1.69	924900	11806261.00
1997/08/18	1.67	1.73	1.62	1.72	928700	11563791.00
1997/08/19	1.74	1.76	1.69	1.70	540400	6857098.00
1997/08/20	1.70	1.74	1.70	1.74	561300	7141006.00
1997/08/21	1.75	1.83	1.73	1.82	1043400	13522528.00
1997/08/22	1.79	1.83	1.76	1.79	834800	10913498.00
1997/08/25	1.80	1.80	1.76	1.78	950400	12337796.00
1997/08/26	1.79	1.80	1.75	1.76	1379300	17816204.00
1997/08/27	1.76	1.86	1.76	1.80	1000800	13108324.00
1997/08/28	1.81	1.82	1.75	1.77	921600	11914204.00
1997/08/29	1.78	1.84	1.74	1.82	1121900	14501473.00
1997/09/01	1.83	1.90	1.82	1.85	1262400	16863148.00
1997/09/02	1.87	1.88	1.78	1.81	805500	10609096.00
1997/09/03	1.82	1.88	1.81	1.85	963100	12749022.00
1997/09/04	1.85	1.92	1.83	1.92	1725300	23137964.00
1997/09/05	1.92	1.92	1.88	1.89	839700	11346900.00
1997/09/08	1.88	1.92	1.83	1.86	702700	9405430.00
1997/09/09	1.86	1.87	1.78	1.79	802700	10562277.00
1997/09/10	1.80	1.81	1.76	1.78	722300	9385930.00
1997/09/11	1.78	1.83	1.76	1.78	855400	11130519.00
1997/09/12	1.74	1.78	1.71	1.71	660400	8461357.00
1997/09/15	1.71	1.72	1.64	1.64	803700	10026901.00
1997/09/16	1.65	1.68	1.62	1.66	574700	7122688.00
1997/09/17	1.66	1.67	1.62	1.63	489800	6032130.00
1997/09/18	1.65	1.66	1.62	1.64	418300	5160860.00
1997/09/19	1.64	1.71	1.64	1.68	412300	5160225.00
1997/09/22	1.68	1.71	1.44	1.45	668300	7992293.00
1997/09/23	1.45	1.47	1.23	1.25	1120100	12348622.00
1997/09/24	1.32	1.46	1.32	1.45	1673200	18767650.00
1997/09/25	1.47	1.50	1.41	1.43	997900	11493424.00
1997/09/26	1.43	1.43	1.34	1.39	490700	5484928.00
1997/09/29	1.39	1.39	1.34	1.34	467400	5169676.00
1997/09/30	1.34	1.50	1.32	1.50	477100	5335647.00
1997/10/06	1.41	1.49	1.41	1.48	576500	6627242.00
1997/10/07	1.45	1.47	1.42	1.47	200700	2301702.00
1997/10/08	1.50	1.57	1.49	1.54	1000200	11904289.00
