600266 北京城建 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/02/03	0.81	0.88	0.61	0.65	29765600	282425920.00
1999/02/04	0.62	0.73	0.62	0.63	6471200	60606320.00
1999/02/05	0.61	0.62	0.53	0.55	3978900	36025840.00
1999/02/08	0.54	0.60	0.51	0.55	2166500	19531952.00
1999/02/09	0.56	0.60	0.55	0.57	2185000	19830460.00
1999/03/01	0.57	0.57	0.46	0.48	2143900	18909220.00
1999/03/02	0.48	0.52	0.43	0.50	1443200	12682631.00
1999/03/03	0.49	0.56	0.45	0.55	1743200	15545752.00
1999/03/04	0.55	0.56	0.47	0.50	1542300	13669516.00
1999/03/05	0.50	0.60	0.48	0.55	1640800	14799112.00
1999/03/08	0.55	0.58	0.53	0.58	1156000	10421634.00
1999/03/09	0.57	0.59	0.51	0.51	1294100	11619522.00
1999/03/10	0.53	0.53	0.47	0.48	1008600	8912883.00
1999/03/11	0.48	0.57	0.48	0.57	1988200	17855096.00
1999/03/12	0.56	0.57	0.50	0.51	1307700	11653769.00
1999/03/15	0.52	0.57	0.48	0.52	1464100	13072852.00
1999/03/16	0.53	0.67	0.53	0.62	4444900	40882400.00
1999/03/17	0.62	0.65	0.57	0.57	2266100	20788260.00
1999/03/18	0.57	0.60	0.53	0.54	1114500	10082336.00
1999/03/19	0.54	0.61	0.52	0.59	1581300	14335142.00
1999/03/22	0.60	0.67	0.58	0.59	2205800	20394536.00
1999/03/23	0.60	0.61	0.55	0.58	1298500	11791199.00
1999/03/24	0.59	0.60	0.55	0.56	1033500	9369877.00
1999/03/25	0.55	0.56	0.49	0.51	1570300	13973800.00
1999/03/26	0.52	0.52	0.49	0.51	766600	6805586.00
1999/03/29	0.51	0.56	0.50	0.55	859400	7676077.00
1999/03/30	0.56	0.59	0.51	0.51	579000	5168697.00
1999/03/31	0.51	0.52	0.48	0.50	867400	7686176.00
1999/04/01	0.50	0.53	0.48	0.50	1089600	9658941.00
1999/04/02	0.51	0.61	0.49	0.58	2163000	19573548.00
1999/04/05	0.59	0.64	0.56	0.61	1947700	17873396.00
1999/04/06	0.61	0.63	0.57	0.59	1251500	11457510.00
1999/04/07	0.59	0.66	0.59	0.61	1428800	13180610.00
1999/04/08	0.62	0.65	0.57	0.57	1083700	9905169.00
1999/04/09	0.58	0.71	0.57	0.63	3573600	33397042.00
1999/04/12	0.64	0.69	0.61	0.65	2304700	21489410.00
1999/04/13	0.64	0.72	0.62	0.67	2169400	20371264.00
1999/04/14	0.67	0.69	0.61	0.63	1128000	10495463.00
1999/04/15	0.63	0.63	0.56	0.58	1291500	11770946.00
1999/04/16	0.58	0.60	0.55	0.56	1019200	9260508.00
1999/04/19	0.56	0.58	0.53	0.57	613200	5527173.00
1999/04/20	0.57	0.58	0.51	0.51	1690400	15170591.00
1999/04/21	0.52	0.55	0.45	0.46	1991400	17590928.00
1999/04/22	0.46	0.51	0.42	0.46	1695000	14775740.00
1999/04/23	0.47	0.50	0.46	0.47	703000	6184425.00
1999/04/26	0.48	0.51	0.45	0.45	739900	6502871.00
1999/04/27	0.44	0.47	0.39	0.41	924900	7983486.00
1999/04/28	0.42	0.46	0.37	0.38	1345200	11514684.00
1999/04/29	0.38	0.44	0.38	0.44	560900	4831536.00
1999/04/30	0.45	0.46	0.41	0.45	501200	4346970.00
1999/05/04	0.45	0.47	0.41	0.41	436600	3768300.00
1999/05/05	0.42	0.45	0.41	0.44	347100	2996292.00
1999/05/06	0.44	0.46	0.42	0.44	425000	3695005.00
1999/05/07	0.44	0.46	0.39	0.40	512500	4417326.00
1999/05/10	0.31	0.36	0.24	0.26	1324700	10983815.00
1999/05/11	0.31	0.35	0.27	0.31	796800	6578085.00
1999/05/12	0.34	0.34	0.29	0.30	478600	3957819.00
1999/05/13	0.32	0.35	0.30	0.31	477700	3973171.00
1999/05/14	0.28	0.30	0.24	0.24	715500	5824243.00
1999/05/17	0.25	0.29	0.21	0.25	535400	4340386.00
1999/05/18	0.26	0.29	0.25	0.26	413200	3379607.00
1999/05/19	0.26	0.39	0.25	0.38	901900	7564702.00
1999/05/20	0.40	0.54	0.35	0.50	2991400	25752548.00
1999/05/21	0.49	0.51	0.41	0.45	2362900	20649840.00
1999/05/24	0.45	0.53	0.39	0.52	2788900	24379872.00
1999/05/25	0.55	0.73	0.41	0.48	9299800	86090504.00
1999/05/26	0.48	0.60	0.48	0.53	4130800	36927796.00
1999/05/27	0.61	0.83	0.61	0.83	15011000	146815824.00
1999/05/28	0.90	1.11	0.82	0.88	15724700	160358464.00
1999/05/31	0.95	1.04	0.78	0.83	9040800	91295240.00
1999/06/01	0.82	0.98	0.82	0.98	7050300	71286680.00
1999/06/02	1.00	1.26	0.95	0.97	11458700	121001048.00
1999/06/03	0.93	0.94	0.77	0.81	4070500	40409336.00
1999/06/04	0.81	0.91	0.81	0.86	2686400	26727516.00
1999/06/07	0.87	1.07	0.87	1.01	5650100	58366272.00
1999/06/08	1.02	1.12	0.98	1.03	6198300	65104912.00
1999/06/09	1.02	1.08	0.95	1.04	3964800	41198972.00
1999/06/10	1.08	1.25	1.08	1.15	9420000	102397360.00
1999/06/14	1.18	1.27	1.11	1.27	6827500	74481488.00
1999/06/15	1.31	1.40	0.91	1.03	7404000	81876432.00
1999/06/16	1.08	1.21	1.08	1.21	4603200	49755048.00
1999/06/17	1.27	1.35	1.15	1.35	8325600	92519520.00
1999/06/18	1.38	1.43	1.23	1.35	8014500	91491984.00
1999/06/21	1.35	1.73	1.34	1.73	7861000	95964152.00
1999/06/22	1.74	2.07	1.61	1.98	7463600	95819848.00
1999/06/23	2.00	2.15	1.89	2.05	7009200	94056576.00
1999/06/24	2.06	2.11	1.93	2.03	5900200	79273792.00
1999/06/25	2.05	2.37	1.88	1.88	8201800	114192456.00
1999/06/28	1.91	2.30	1.91	2.28	6571400	91182360.00
1999/06/29	2.38	2.41	2.13	2.21	6115700	85895384.00
1999/06/30	2.21	2.25	1.88	1.96	4710200	63360292.00
1999/07/01	1.91	1.91	1.52	1.54	5805000	71338832.00
1999/07/02	1.62	1.91	1.55	1.87	4654700	58427624.00
1999/07/05	1.93	1.94	1.71	1.84	2237200	28453948.00
1999/07/06	1.77	1.77	1.55	1.58	1909400	23598154.00
1999/07/07	1.61	1.85	1.60	1.83	1702200	21132430.00
1999/07/08	1.85	2.21	1.81	2.08	6265700	85693032.00
1999/07/09	2.08	2.23	2.01	2.15	3258600	44720692.00
1999/07/12	2.20	2.41	2.08	2.16	4056800	57086244.00
1999/07/13	2.11	2.11	1.88	1.92	2342400	31043636.00
1999/07/14	1.93	2.16	1.93	2.13	2266000	30598338.00
1999/07/15	2.11	2.21	2.01	2.05	1481600	20200930.00
1999/07/16	2.08	2.09	1.93	1.93	1998400	26845532.00
1999/07/19	1.87	1.95	1.72	1.77	2170600	27926576.00
1999/07/20	1.77	2.18	1.76	2.16	2764100	37036576.00
1999/07/21	2.20	2.28	2.08	2.18	4017800	56096668.00
1999/07/22	2.18	2.51	2.13	2.27	9658700	138988576.00
1999/07/23	2.28	2.64	2.28	2.57	8433000	125913768.00
1999/07/26	2.72	2.91	2.62	2.65	7093700	110979904.00
1999/07/27	2.71	2.81	2.50	2.53	3684900	56126060.00
1999/07/28	2.53	2.61	2.50	2.58	2733000	41091744.00
1999/07/29	2.65	2.68	2.38	2.50	2114000	31349592.00
1999/07/30	2.50	2.60	2.38	2.54	1585300	23541940.00
1999/08/02	2.55	2.60	2.48	2.54	1887500	28315594.00
1999/08/03	2.55	2.88	2.55	2.81	3269100	51174856.00
1999/08/04	2.84	2.91	2.75	2.88	2117600	33577288.00
1999/08/05	2.88	2.88	2.71	2.73	2185300	34323668.00
1999/08/06	2.75	2.81	2.45	2.67	3153400	48216376.00
1999/08/09	2.68	2.75	2.56	2.56	1327200	20227224.00
1999/08/10	2.55	2.55	2.48	2.52	1183800	17660838.00
1999/08/11	2.51	2.51	2.25	2.31	2308400	33478136.00
1999/08/12	2.38	2.44	2.18	2.21	2554100	36388152.00
1999/08/13	2.22	2.35	2.22	2.31	1117200	15852466.00
1999/08/16	2.31	2.31	2.15	2.21	896800	12502103.00
1999/08/17	2.21	2.43	2.21	2.38	1814300	26263400.00
1999/08/18	2.38	2.41	2.25	2.36	715800	10249335.00
1999/08/19	2.36	2.64	2.36	2.57	1623500	24249406.00
1999/08/20	2.61	2.64	2.47	2.50	1024900	15370996.00
1999/08/23	2.48	2.48	2.33	2.42	1318200	19138508.00
1999/08/24	2.46	2.49	2.33	2.37	1072400	15546685.00
1999/08/25	2.35	2.45	2.35	2.37	799200	11615288.00
1999/08/26	2.37	2.54	2.37	2.49	846200	12508984.00
1999/08/27	2.50	2.53	2.45	2.47	644700	9550040.00
1999/08/30	2.47	2.48	2.31	2.33	1167800	16911104.00
1999/08/31	2.35	2.40	2.27	2.34	1087300	15556889.00
1999/09/01	2.34	2.34	2.21	2.24	883500	12507788.00
1999/09/02	2.21	2.25	2.11	2.23	1353500	18753552.00
1999/09/03	2.26	2.26	2.05	2.12	931200	12876698.00
1999/09/06	2.05	2.08	1.88	2.00	562700	7538074.00
1999/09/07	1.98	2.10	1.96	2.00	500000	6700889.00
1999/09/08	2.00	2.08	2.00	2.02	322900	4354926.00
1999/09/09	2.08	2.47	2.08	2.47	2016300	29131000.00
1999/09/10	2.54	2.58	2.36	2.50	2420600	35796296.00
1999/09/13	2.48	2.64	2.45	2.52	1741500	26113102.00
1999/09/14	2.55	2.55	2.40	2.41	918800	13493388.00
1999/09/15	2.41	2.42	2.27	2.32	768900	11024809.00
1999/09/16	2.31	2.38	2.25	2.28	719400	10233150.00
1999/09/17	2.28	2.35	2.28	2.31	475200	6777935.00
1999/09/20	2.38	2.40	2.28	2.28	466300	6683936.00
1999/09/21	2.28	2.29	2.15	2.19	557100	7762617.00
1999/09/22	2.19	2.21	2.05	2.11	728400	9993942.00
1999/09/23	2.11	2.18	2.08	2.12	491100	6735647.00
1999/09/24	2.21	2.25	2.13	2.17	307000	4252118.00
1999/09/27	2.17	2.20	2.06	2.08	355600	4857776.00
1999/09/28	2.08	2.08	1.97	2.00	720600	9659326.00
1999/09/29	2.00	2.11	1.88	1.99	579600	7731295.00
1999/09/30	2.01	2.02	1.90	1.91	666400	8788633.00
1999/10/08	1.90	1.90	1.71	1.73	564600	7156501.00
1999/10/11	1.73	1.81	1.64	1.69	329800	4128773.00
1999/10/12	1.71	1.81	1.68	1.72	258400	3232526.00
1999/10/13	1.73	1.75	1.55	1.60	299600	3659306.00
1999/10/14	1.57	1.68	1.52	1.54	509500	6149388.00
1999/10/15	1.61	1.68	1.56	1.65	430400	5258841.00
1999/10/18	1.71	1.72	1.54	1.54	395700	4803985.00
1999/10/19	1.54	1.55	1.42	1.42	363700	4265770.00
1999/10/20	1.41	1.49	1.38	1.43	290600	3379581.00
1999/10/21	1.46	1.48	1.28	1.28	323600	3675778.00
1999/10/22	1.30	1.51	1.30	1.43	504000	5838249.00
1999/10/25	1.43	1.43	1.31	1.34	355100	4059587.00
1999/10/26	1.36	1.45	1.34	1.40	186400	2156173.00
1999/10/27	1.48	1.65	1.48	1.64	1170100	14230957.00
1999/10/28	1.65	1.68	1.51	1.53	556400	6725315.00
1999/10/29	1.54	1.61	1.53	1.55	438300	5280014.00
1999/11/01	1.58	1.73	1.58	1.68	587600	7253209.00
1999/11/02	1.67	1.67	1.61	1.61	249100	3053672.00
1999/11/03	1.61	1.63	1.51	1.53	279800	3360770.00
1999/11/04	1.53	1.58	1.42	1.54	308500	3694802.00
1999/11/05	1.55	1.73	1.55	1.61	816200	10076181.00
1999/11/08	1.72	1.88	1.67	1.76	967600	12252188.00
1999/11/09	1.76	1.76	1.64	1.64	376300	4693418.00
1999/11/10	1.61	1.67	1.55	1.66	388100	4722571.00
1999/11/11	1.66	1.67	1.56	1.60	239300	2928580.00
