600332 白云山 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/02/06	8.15	9.54	8.07	9.46	53616900	740736064.00
2001/02/07	8.98	9.27	8.81	8.97	14596900	206500128.00
2001/02/08	8.92	9.16	8.84	9.03	6790800	95937536.00
2001/02/09	9.17	9.38	9.05	9.16	7447700	106954504.00
2001/02/12	9.19	9.28	8.91	9.10	4260100	60340560.00
2001/02/13	9.14	9.21	8.93	9.04	3121800	44290516.00
2001/02/14	9.00	9.13	8.92	9.01	1982400	27967412.00
2001/02/15	9.01	9.14	8.69	8.77	3979600	55410092.00
2001/02/16	8.73	8.87	8.47	8.83	3840600	52349872.00
2001/02/19	8.82	8.94	8.69	8.84	1651200	22966956.00
2001/02/20	8.86	9.00	8.65	8.69	2281200	31592404.00
2001/02/21	8.67	8.67	8.44	8.45	2935300	39579332.00
2001/02/22	8.29	8.64	8.29	8.41	1743500	23369556.00
2001/02/23	8.46	8.77	8.46	8.69	1404300	19179336.00
2001/02/26	8.76	8.88	8.65	8.76	1400800	19328918.00
2001/02/27	8.79	8.87	8.74	8.84	1397800	19388494.00
2001/02/28	8.84	8.84	8.65	8.69	1042300	14327080.00
2001/03/01	8.69	8.87	8.65	8.84	953000	13138063.00
2001/03/02	8.88	8.94	8.83	8.87	1457000	20299736.00
2001/03/05	8.91	8.92	8.75	8.77	1189700	16473718.00
2001/03/06	8.75	8.81	8.62	8.77	1118300	15335917.00
2001/03/07	8.79	8.98	8.78	8.92	1873400	26210932.00
2001/03/08	8.92	9.04	8.87	8.91	1384600	19429932.00
2001/03/09	8.91	8.94	8.79	8.91	1406900	19540344.00
2001/03/12	8.92	9.04	8.84	9.04	1132200	15880410.00
2001/03/13	9.04	9.04	8.84	8.85	999600	13987461.00
2001/03/14	8.85	9.15	8.84	9.12	1794300	25288266.00
2001/03/15	9.11	9.17	9.01	9.05	1851400	26313036.00
2001/03/16	9.06	9.22	9.06	9.09	2017800	28784644.00
2001/03/19	9.10	9.23	9.10	9.14	1374100	19658908.00
2001/03/20	9.15	9.19	9.01	9.09	1429800	20305352.00
2001/03/21	9.07	9.07	9.01	9.06	1730300	24475720.00
2001/03/22	9.11	9.15	9.03	9.11	1499200	21310214.00
2001/03/23	9.14	9.15	8.91	8.92	2374600	33489072.00
2001/03/26	8.87	9.04	8.85	9.04	1856200	25980284.00
2001/03/27	9.04	9.08	8.93	8.97	1491300	20979088.00
2001/03/28	8.98	9.14	8.96	9.07	1278100	18130438.00
2001/03/29	9.08	9.23	9.04	9.16	2148100	30647746.00
2001/03/30	9.19	9.31	9.17	9.30	2481100	35839600.00
2001/04/02	9.32	9.49	9.31	9.40	3263100	47762056.00
2001/04/03	9.42	9.44	9.11	9.34	2092600	30389776.00
2001/04/04	9.31	9.38	9.09	9.11	2064700	29793604.00
2001/04/05	9.11	9.34	9.07	9.33	1415400	20348812.00
2001/04/06	9.37	9.44	9.27	9.34	1458100	21225038.00
2001/04/09	9.30	9.41	9.24	9.41	1392400	20202256.00
2001/04/10	9.41	9.77	9.38	9.65	4414200	65988248.00
2001/04/11	9.69	9.75	9.61	9.70	2165900	32454520.00
2001/04/12	9.71	9.73	9.52	9.61	2264900	33853556.00
2001/04/13	9.63	9.98	9.61	9.87	3542900	53934056.00
2001/04/16	9.94	10.16	9.94	10.07	4951000	76800520.00
2001/04/17	10.14	10.18	9.92	10.14	3555700	54961048.00
2001/04/18	10.14	10.27	10.00	10.15	2856100	44458744.00
2001/04/19	10.15	10.26	10.01	10.23	2993400	46666952.00
2001/04/20	10.23	10.64	10.07	10.12	5980700	95630584.00
2001/04/23	10.04	10.06	9.54	9.90	3090300	47140832.00
2001/04/24	9.90	10.46	9.86	10.31	3991600	62816036.00
2001/04/25	10.32	10.41	9.81	9.88	3291000	50912328.00
2001/04/26	9.87	10.02	9.70	9.74	2214100	33535010.00
2001/04/27	9.74	9.84	9.71	9.76	1570400	23712996.00
2001/04/30	9.81	9.82	9.56	9.62	1575800	23542026.00
2001/05/08	9.61	9.75	9.54	9.72	760500	11406999.00
2001/05/09	9.72	9.98	9.71	9.79	1009700	15342854.00
2001/05/10	9.79	9.91	9.75	9.83	582700	8836638.00
2001/05/11	9.84	10.04	9.84	10.04	946900	14568669.00
2001/05/14	10.10	10.27	10.01	10.19	1431500	22383656.00
2001/05/15	10.25	10.29	10.01	10.15	1255900	19553876.00
2001/05/16	10.15	10.21	10.00	10.03	1146400	17710244.00
2001/05/17	10.04	10.15	9.92	10.07	1239000	19110088.00
2001/05/18	10.08	10.16	9.94	10.02	1056200	16318810.00
