600340 华夏幸福 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/12/30	-1.25	-1.22	-1.26	-1.24	16666958	149550896.00
2003/12/31	-1.25	-1.22	-1.26	-1.24	7232059	64340016.00
2004/01/02	-1.24	-1.20	-1.24	-1.22	6532701	60108492.00
2004/01/05	-1.20	-1.17	-1.21	-1.19	7561144	72513616.00
2004/01/06	-1.19	-1.17	-1.21	-1.17	6917632	66536672.00
2004/01/07	-1.17	-1.16	-1.19	-1.18	4539922	44594348.00
2004/01/08	-1.18	-1.12	-1.19	-1.13	6679600	69340576.00
2004/01/09	-1.13	-1.12	-1.17	-1.16	4785300	49210868.00
2004/01/12	-1.17	-1.14	-1.18	-1.15	2885876	28819060.00
2004/01/13	-1.15	-1.14	-1.16	-1.16	2532381	25631064.00
2004/01/14	-1.16	-1.16	-1.18	-1.18	1969900	19438280.00
2004/01/15	-1.18	-1.17	-1.19	-1.19	2153619	20899972.00
2004/01/16	-1.19	-1.17	-1.19	-1.18	1476645	14399580.00
2004/01/29	-1.18	-1.16	-1.18	-1.17	1197276	11819687.00
2004/01/30	-1.17	-1.17	-1.20	-1.20	1877724	18057424.00
2004/02/02	-1.20	-1.18	-1.22	-1.19	2259088	21587158.00
2004/02/03	-1.18	-1.15	-1.18	-1.16	4449862	44646712.00
2004/02/04	-1.15	-1.14	-1.16	-1.15	3076160	31254716.00
2004/02/05	-1.15	-1.14	-1.17	-1.15	3003770	30382636.00
2004/02/06	-1.14	-1.12	-1.15	-1.15	5265853	54934936.00
2004/02/09	-1.15	-1.14	-1.16	-1.14	1955532	19988538.00
2004/02/10	-1.14	-1.14	-1.16	-1.16	1904124	19323344.00
2004/02/11	-1.15	-1.14	-1.16	-1.14	2177913	22313500.00
2004/02/12	-1.14	-1.13	-1.15	-1.15	1560192	16074809.00
2004/02/13	-1.15	-1.12	-1.15	-1.14	3342591	34744260.00
2004/02/16	-1.13	-1.11	-1.13	-1.11	3792809	40470872.00
2004/02/17	-1.11	-1.10	-1.12	-1.11	2886253	31129676.00
2004/02/18	-1.11	-1.11	-1.12	-1.11	2092096	22325772.00
2004/02/19	-1.11	-1.08	-1.11	-1.09	2904261	31904948.00
2004/02/20	-1.08	-1.08	-1.11	-1.10	1550625	16924388.00
2004/02/23	-1.09	-1.09	-1.13	-1.12	2127430	22938648.00
2004/02/24	-1.13	-1.12	-1.16	-1.14	2067362	21324856.00
2004/02/25	-1.14	-1.12	-1.16	-1.16	1477602	15237298.00
2004/02/26	-1.16	-1.15	-1.16	-1.15	1298524	13174940.00
2004/02/27	-1.15	-1.14	-1.16	-1.15	906112	9218603.00
2004/03/01	-1.15	-1.14	-1.16	-1.15	1022516	10308850.00
2004/03/02	-1.15	-1.13	-1.16	-1.14	1445304	14873413.00
2004/03/03	-1.14	-1.13	-1.16	-1.15	949342	9767722.00
2004/03/04	-1.15	-1.13	-1.15	-1.14	1087147	11203306.00
2004/03/05	-1.13	-1.13	-1.15	-1.15	744696	7689859.00
2004/03/08	-1.15	-1.14	-1.17	-1.17	1224935	12274849.00
2004/03/09	-1.17	-1.16	-1.19	-1.19	675689	6653839.00
2004/03/10	-1.19	-1.17	-1.19	-1.17	653139	6387739.00
2004/03/11	-1.17	-1.16	-1.18	-1.17	671356	6665535.00
2004/03/12	-1.17	-1.17	-1.18	-1.17	668014	6582125.00
2004/03/15	-1.18	-1.16	-1.18	-1.16	691228	6876480.00
2004/03/16	-1.16	-1.16	-1.17	-1.16	705943	7076138.00
2004/03/17	-1.16	-1.15	-1.17	-1.16	635968	6359819.00
2004/03/18	-1.16	-1.16	-1.17	-1.17	739324	7359537.00
2004/03/19	-1.16	-1.15	-1.17	-1.15	970422	9795956.00
2004/03/22	-1.15	-1.12	-1.15	-1.13	2243625	23372100.00
2004/03/23	-1.14	-1.14	-1.15	-1.15	1010830	10337985.00
2004/03/24	-1.15	-1.14	-1.16	-1.15	756440	7707157.00
2004/03/25	-1.15	-1.15	-1.17	-1.17	1021810	10184594.00
2004/03/26	-1.17	-1.16	-1.18	-1.16	868419	8602593.00
2004/03/29	-1.17	-1.15	-1.17	-1.17	491330	4903458.00
2004/03/30	-1.17	-1.16	-1.17	-1.16	449342	4488314.00
2004/03/31	-1.16	-1.15	-1.16	-1.15	740758	7517707.00
2004/04/01	-1.15	-1.15	-1.15	-1.15	617746	6301010.00
2004/04/02	-1.15	-1.14	-1.15	-1.15	941938	9647645.00
2004/04/05	-1.15	-1.12	-1.15	-1.13	2117149	22088710.00
2004/04/06	-1.12	-1.11	-1.13	-1.13	1470012	15508503.00
2004/04/07	-1.12	-1.11	-1.13	-1.12	2013582	21403370.00
2004/04/08	-1.12	-1.12	-1.14	-1.14	1044204	10862451.00
2004/04/09	-1.14	-1.14	-1.16	-1.15	1156489	11876217.00
2004/04/12	-1.15	-1.15	-1.16	-1.15	607489	6160158.00
2004/04/13	-1.15	-1.14	-1.16	-1.16	703569	7132170.00
2004/04/14	-1.16	-1.15	-1.18	-1.18	944253	9323972.00
2004/04/15	-1.18	-1.17	-1.20	-1.19	697250	6784281.00
