600373 中文传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/03/04	2.05	2.10	1.93	2.05	37259800	407611040.00
2002/03/05	2.05	2.17	2.03	2.13	14460800	162345216.00
2002/03/06	2.13	2.17	2.09	2.10	11533200	130290720.00
2002/03/07	2.10	2.24	2.09	2.22	10703000	123363344.00
2002/03/08	2.22	2.29	2.20	2.26	10272700	120182640.00
2002/03/11	2.27	2.34	2.24	2.34	6625900	78304784.00
2002/03/12	2.32	2.35	2.24	2.26	6099800	72461664.00
2002/03/13	2.24	2.29	2.22	2.23	3567500	41849924.00
2002/03/14	2.23	2.34	2.23	2.34	3606200	42903648.00
2002/03/15	2.35	2.43	2.25	2.26	5903200	71830848.00
2002/03/18	2.32	2.38	2.27	2.31	3536200	42254652.00
2002/03/19	2.33	2.55	2.32	2.52	8171100	101924256.00
2002/03/20	2.53	2.79	2.49	2.67	13575900	177948096.00
2002/03/21	2.67	2.68	2.59	2.63	4797000	62913816.00
2002/03/22	2.60	2.73	2.59	2.72	4415100	58259544.00
2002/03/25	2.71	2.90	2.68	2.82	7221500	99848136.00
2002/03/26	2.83	2.86	2.76	2.83	4630000	63629408.00
2002/03/27	2.80	2.87	2.73	2.82	3461200	47540840.00
2002/03/28	2.82	2.96	2.78	2.87	4846800	68317392.00
2002/03/29	2.85	2.85	2.57	2.65	6832400	91462152.00
2002/04/01	2.63	2.70	2.57	2.68	2964400	39073056.00
2002/04/02	2.68	2.68	2.46	2.49	3834100	49032568.00
2002/04/03	2.49	2.57	2.48	2.51	2563800	32681952.00
2002/04/04	2.50	2.67	2.39	2.65	3361600	43120000.00
2002/04/05	2.64	2.71	2.60	2.60	3315300	43704332.00
2002/04/08	2.60	2.71	2.59	2.64	1727800	22875512.00
2002/04/09	2.63	2.74	2.63	2.73	2246400	30142480.00
2002/04/10	2.74	2.76	2.69	2.73	1662400	22338728.00
2002/04/11	2.72	2.72	2.61	2.61	1738600	22949252.00
2002/04/12	2.60	2.65	2.59	2.63	1125800	14745685.00
2002/04/15	2.63	2.64	2.54	2.60	1276900	16477780.00
2002/04/16	2.60	2.61	2.55	2.57	590200	7620247.00
2002/04/17	2.60	2.68	2.58	2.62	879100	11533349.00
2002/04/18	2.65	2.65	2.53	2.54	1094000	14077631.00
2002/04/19	2.54	2.58	2.47	2.56	1295800	16438328.00
2002/04/22	2.54	2.54	2.48	2.51	578400	7332152.00
2002/04/23	2.47	2.53	2.41	2.45	584435	7323654.00
2002/04/24	2.43	2.47	2.41	2.45	755242	9380152.00
2002/04/25	2.45	2.53	2.43	2.50	450099	5656757.00
2002/04/26	2.53	2.58	2.50	2.56	735694	9437149.00
2002/04/29	2.56	2.62	2.54	2.61	976332	12642593.00
2002/05/08	2.66	2.68	2.54	2.56	955600	12469694.00
2002/05/09	2.53	2.58	2.53	2.54	536470	6887470.00
2002/05/10	2.54	2.56	2.49	2.50	478350	6059558.00
2002/05/13	2.50	2.50	2.45	2.46	578765	7243975.00
2002/05/14	2.46	2.51	2.46	2.48	409764	5161139.00
2002/05/15	2.46	2.50	2.43	2.44	594942	7418442.00
2002/05/16	2.41	2.44	2.31	2.31	1070533	13013777.00
2002/05/17	2.33	2.38	2.27	2.35	857359	10307876.00
2002/05/20	2.35	2.35	2.21	2.25	860995	10083535.00
2002/05/21	2.32	2.43	2.32	2.37	1388466	16922710.00
2002/05/22	2.36	2.37	2.27	2.29	676295	8091635.00
2002/05/23	2.32	2.39	2.31	2.32	536230	6479355.00
2002/05/24	2.30	2.33	2.25	2.28	353018	4177429.00
2002/05/27	2.31	2.36	2.29	2.36	361451	4326428.00
2002/05/28	2.35	2.39	2.33	2.34	333060	4048314.00
2002/05/29	2.33	2.35	2.24	2.26	510810	6030538.00
2002/05/30	2.26	2.28	2.15	2.20	622925	7212934.00
2002/05/31	2.20	2.23	2.17	2.17	518800	5992644.00
2002/06/03	2.11	2.13	2.05	2.11	716902	7987018.00
2002/06/04	2.10	2.13	2.01	2.07	785998	8705204.00
2002/06/05	2.06	2.10	2.01	2.07	750205	8264932.00
2002/06/06	2.05	2.29	2.04	2.21	1444239	16552801.00
2002/06/07	2.21	2.27	2.16	2.22	1516376	17665530.00
2002/06/10	2.21	2.21	2.14	2.17	536799	6151686.00
2002/06/11	2.18	2.26	2.16	2.23	550598	6393590.00
2002/06/12	2.23	2.23	2.16	2.20	322275	3708370.00
2002/06/13	2.21	2.22	2.13	2.13	370545	4225500.00
2002/06/14	2.11	2.14	2.05	2.05	562500	6270932.00
2002/06/17	2.02	2.08	2.02	2.06	257600	2843377.00
2002/06/18	2.09	2.18	2.09	2.16	599200	6823925.00
2002/06/19	2.16	2.16	2.10	2.10	285400	3224674.00
2002/06/20	2.10	2.18	2.10	2.15	593800	6783500.00
2002/06/21	2.15	2.28	2.15	2.27	1494100	17515336.00
2002/06/24	2.59	2.59	2.46	2.59	5899300	75823984.00
2002/06/25	2.59	2.73	2.53	2.54	4689800	61687468.00
2002/06/26	2.54	2.57	2.48	2.55	1520100	19322172.00
2002/06/27	2.54	2.61	2.52	2.60	1833400	23672698.00
2002/06/28	2.60	2.64	2.52	2.57	1853100	23928640.00
2002/07/01	2.56	2.57	2.49	2.50	845600	10749471.00
2002/07/02	2.47	2.55	2.45	2.55	720500	9091125.00
2002/07/03	2.56	2.59	2.51	2.56	872900	11220209.00
2002/07/04	2.56	2.58	2.51	2.51	637500	8121964.00
2002/07/05	2.51	2.55	2.50	2.53	485500	6159917.00
2002/07/08	2.53	2.60	2.51	2.57	849100	10919105.00
2002/07/09	2.59	2.59	2.55	2.55	672800	8659138.00
2002/07/10	2.57	2.57	2.48	2.48	629800	7958085.00
2002/07/11	2.47	2.50	2.44	2.45	690400	8626023.00
2002/07/12	2.45	2.48	2.43	2.44	403700	5015952.00
2002/07/15	2.45	2.45	2.37	2.38	497100	6096146.00
2002/07/16	2.38	2.43	2.37	2.38	331700	4067876.00
2002/07/17	2.40	2.42	2.36	2.41	752500	9165459.00
2002/07/18	2.41	2.44	2.39	2.41	254100	3134428.00
2002/07/19	2.42	2.43	2.40	2.41	250600	3085325.00
2002/07/22	2.41	2.42	2.33	2.35	472300	5734580.00
2002/07/23	2.33	2.35	2.33	2.34	261500	3150840.00
2002/07/24	2.34	2.39	2.34	2.37	203500	2467586.00
2002/07/25	2.37	2.39	2.33	2.35	208700	2524036.00
2002/07/26	2.35	2.36	2.34	2.34	167400	2021980.00
2002/07/29	2.33	2.41	2.33	2.40	259542	3149172.00
2002/07/30	2.40	2.41	2.37	2.37	182788	2234707.00
2002/07/31	2.35	2.38	2.31	2.33	256027	3088004.00
2002/08/01	2.32	2.32	2.27	2.30	459346	5447090.00
2002/08/02	2.29	2.32	2.29	2.32	131452	1567703.00
2002/08/05	2.30	2.32	2.28	2.30	123470	1465694.00
2002/08/06	2.29	2.35	2.27	2.34	197206	2359999.00
2002/08/07	2.34	2.34	2.30	2.31	115250	1375917.00
2002/08/08	2.31	2.33	2.29	2.29	128800	1536478.00
2002/08/09	2.29	2.30	2.27	2.29	192183	2272293.00
2002/08/12	2.27	2.27	2.23	2.24	182070	2134411.00
2002/08/13	2.24	2.25	2.22	2.23	206041	2400165.00
2002/08/14	2.22	2.26	2.22	2.25	216645	2527050.00
2002/08/15	2.27	2.27	2.22	2.22	129000	1504933.00
2002/08/16	2.22	2.27	2.20	2.26	146681	1712130.00
2002/08/19	2.24	2.26	2.21	2.23	93615	1094372.00
2002/08/20	2.24	2.29	2.23	2.26	254473	3004498.00
2002/08/21	2.28	2.31	2.27	2.29	201006	2384382.00
2002/08/22	2.27	2.35	2.27	2.33	404381	4851872.00
2002/08/23	2.34	2.34	2.29	2.31	158523	1893429.00
2002/08/26	2.29	2.30	2.25	2.25	207507	2447897.00
2002/08/27	2.24	2.35	2.24	2.34	467653	5608897.00
2002/08/28	2.35	2.38	2.33	2.33	392200	4747791.00
2002/08/29	2.34	2.34	2.29	2.30	185871	2216870.00
2002/08/30	2.32	2.32	2.28	2.28	203000	2411052.00
2002/09/02	2.28	2.32	2.28	2.30	215300	2562981.00
2002/09/03	2.30	2.34	2.30	2.31	97000	1160541.00
2002/09/04	2.33	2.33	2.28	2.29	145300	1727618.00
2002/09/05	2.29	2.31	2.24	2.25	262957	3088676.00
2002/09/06	2.27	2.27	2.23	2.24	190022	2222921.00
2002/09/09	2.22	2.23	2.19	2.20	250100	2891000.00
2002/09/10	2.19	2.23	2.19	2.21	107461	1240942.00
2002/09/11	2.21	2.23	2.13	2.18	232359	2653077.00
2002/09/12	2.17	2.22	2.16	2.20	164140	1891041.00
2002/09/13	2.20	2.20	2.16	2.19	76300	875632.00
2002/09/16	2.24	2.24	2.18	2.20	166028	1912402.00
2002/09/17	2.20	2.21	2.16	2.20	112730	1293264.00
2002/09/18	2.20	2.22	2.18	2.20	125533	1448545.00
2002/09/19	2.27	2.27	2.21	2.26	303220	3547837.00
2002/09/20	2.26	2.26	2.22	2.22	139300	1624998.00
2002/09/23	2.03	2.31	2.03	2.27	207799	2429295.00
2002/09/24	2.22	2.27	2.22	2.22	95846	1119862.00
2002/09/25	2.20	2.24	2.20	2.23	124459	1446928.00
2002/09/26	2.22	2.24	2.18	2.18	131020	1515075.00
2002/09/27	2.17	2.19	2.17	2.18	179620	2059881.00
2002/10/08	2.16	2.20	2.15	2.16	147660	1685190.00
2002/10/09	2.14	2.16	2.08	2.10	197939	2221326.00
2002/10/10	2.08	2.11	2.08	2.08	143868	1603568.00
2002/10/11	2.11	2.11	2.02	2.03	253346	2789614.00
