600376 首开股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/03/12	2.85	3.06	2.77	3.01	27361600	779298368.00
2001/03/13	3.01	3.49	3.00	3.30	11038200	334792224.00
2001/03/14	3.30	3.42	3.27	3.34	5121300	158774848.00
2001/03/15	3.36	3.48	3.29	3.33	3791800	118266632.00
2001/03/16	3.31	3.38	3.28	3.31	2517100	77834744.00
2001/03/19	3.34	3.44	3.17	3.19	5044500	153720432.00
2001/03/20	3.19	3.30	3.18	3.28	1726100	52368728.00
2001/03/21	3.27	3.32	3.18	3.21	1979500	59759624.00
2001/03/22	3.23	3.36	3.18	3.34	1908000	58425752.00
2001/03/23	3.36	3.42	3.26	3.27	1682700	52118632.00
2001/03/26	3.27	3.40	3.27	3.39	1412100	43588824.00
2001/03/27	3.41	3.42	3.33	3.37	1148400	35750484.00
2001/03/28	3.37	3.39	3.30	3.32	1164500	35994016.00
2001/03/29	3.31	3.44	3.31	3.36	1480700	46331308.00
2001/03/30	3.37	3.72	3.36	3.67	4459900	144934368.00
2001/04/02	3.72	3.80	3.68	3.72	3359000	112301048.00
2001/04/03	3.67	3.78	3.55	3.73	1420200	47207128.00
2001/04/04	3.72	3.77	3.56	3.60	2195600	72477712.00
2001/04/05	3.57	3.75	3.57	3.74	1707300	56234484.00
2001/04/06	3.75	3.89	3.73	3.85	1840100	62534068.00
2001/04/09	3.88	3.98	3.80	3.96	1422800	48925088.00
2001/04/10	3.97	4.00	3.92	3.95	993700	34497472.00
2001/04/11	3.96	3.96	3.85	3.94	976000	33567244.00
2001/04/12	3.95	3.99	3.85	3.88	1186500	41101584.00
2001/04/13	3.91	4.04	3.87	4.00	980500	34039440.00
2001/04/16	4.05	4.18	4.04	4.08	1506100	53855296.00
2001/04/17	4.08	4.38	4.08	4.34	1881200	68725264.00
2001/04/18	4.36	4.59	4.27	4.52	2104500	79635824.00
2001/04/19	4.53	4.59	4.33	4.39	2228500	83948136.00
2001/04/20	4.38	4.49	4.09	4.18	1970000	72849400.00
2001/04/23	4.15	4.24	4.03	4.19	2434900	87158272.00
2001/04/24	4.20	4.23	4.10	4.14	855200	30794274.00
2001/04/25	4.15	4.20	3.83	3.87	2376600	82597016.00
2001/04/26	3.83	3.95	3.80	3.84	1351400	46170616.00
2001/04/27	3.83	3.96	3.82	3.93	806000	27669890.00
2001/04/30	3.92	3.96	3.83	3.88	687600	23619736.00
2001/05/08	3.88	4.05	3.88	4.01	605900	21230024.00
2001/05/09	4.01	4.04	3.90	3.93	478200	16616374.00
2001/05/10	3.93	4.00	3.90	3.97	373800	12977591.00
2001/05/11	3.98	4.15	3.96	4.13	560100	19843784.00
2001/05/14	4.13	4.24	4.13	4.24	868900	31424650.00
2001/05/15	4.25	4.27	4.13	4.16	699600	25206000.00
2001/05/17	4.19	4.21	4.08	4.08	571300	20507874.00
2001/05/18	4.08	4.24	4.03	4.19	810400	29151364.00
2001/05/21	4.24	4.32	4.18	4.23	657300	23972782.00
2001/05/22	4.20	4.30	4.20	4.20	764700	27887720.00
2001/05/23	4.20	4.24	4.00	4.03	1084600	38385348.00
2001/05/24	4.00	4.06	3.93	3.96	1000600	34826320.00
2001/05/25	3.94	3.98	3.84	3.94	780100	26756146.00
2001/05/28	3.96	4.04	3.87	3.95	422400	14712826.00
2001/05/29	3.93	3.99	3.93	3.95	230200	8002130.00
2001/05/30	3.95	4.18	3.95	4.16	651500	23140124.00
2001/05/31	4.18	4.27	4.05	4.15	1023300	37093952.00
2001/06/01	4.16	4.23	4.10	4.10	591600	21305582.00
2001/06/04	4.16	4.25	4.11	4.20	636500	23073372.00
2001/06/05	4.20	4.21	4.08	4.10	395900	14193209.00
2001/06/06	4.12	4.16	4.01	4.10	442900	15743016.00
2001/06/07	4.10	4.10	4.02	4.06	317400	11198392.00
2001/06/08	4.00	4.06	3.98	4.02	480300	16847304.00
2001/06/11	4.02	4.09	3.98	4.08	399700	14123066.00
2001/06/12	4.08	4.10	4.01	4.10	303200	10744451.00
2001/06/13	4.11	4.24	4.11	4.23	709100	25731364.00
