600482 中国动力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/07/14	1.70	1.81	1.67	1.79	38319198	241423440.00
2004/07/15	1.76	1.80	1.72	1.76	14845172	93737424.00
2004/07/16	1.76	1.94	1.73	1.86	20734948	135107872.00
2004/07/19	1.86	1.89	1.83	1.86	10676605	70419376.00
2004/07/20	1.85	1.85	1.79	1.80	7590340	48948152.00
2004/07/21	1.81	1.86	1.80	1.81	6654477	43216888.00
2004/07/22	1.81	1.83	1.73	1.74	6445188	40969284.00
2004/07/23	1.73	1.75	1.68	1.75	3949049	24515144.00
2004/07/26	1.71	1.73	1.67	1.69	2322371	14272516.00
2004/07/27	1.68	1.71	1.60	1.62	3533837	21307176.00
2004/07/28	1.62	1.70	1.60	1.69	3475025	21005666.00
2004/07/29	1.69	1.71	1.66	1.71	2448880	15037470.00
2004/07/30	1.71	1.72	1.63	1.64	2351562	14292310.00
2004/08/02	1.64	1.67	1.63	1.65	1366934	8237470.00
2004/08/03	1.64	1.67	1.64	1.65	975581	5886720.00
2004/08/04	1.64	1.77	1.64	1.73	5393375	33666812.00
2004/08/05	1.71	1.74	1.66	1.68	2388695	14741256.00
2004/08/06	1.67	1.71	1.65	1.67	1745173	10609235.00
2004/08/09	1.67	1.71	1.65	1.68	1060425	6453491.00
2004/08/10	1.68	1.70	1.66	1.67	667241	4066727.00
2004/08/11	1.67	1.69	1.63	1.64	1341923	8112587.00
2004/08/12	1.63	1.63	1.54	1.57	2566935	14961667.00
2004/08/13	1.56	1.61	1.56	1.57	1045797	6111985.00
2004/08/16	1.56	1.57	1.47	1.50	1969907	11111064.00
2004/08/17	1.49	1.54	1.47	1.51	1020957	5765028.00
2004/08/18	1.51	1.53	1.47	1.48	1155986	6485043.00
2004/08/19	1.48	1.48	1.36	1.39	1881783	10164949.00
2004/08/20	1.38	1.45	1.36	1.42	1424060	7637899.00
2004/08/23	1.41	1.43	1.38	1.41	945469	5082474.00
2004/08/24	1.39	1.51	1.39	1.47	2316901	12823592.00
2004/08/25	1.45	1.46	1.41	1.42	839735	4581620.00
2004/08/26	1.44	1.44	1.40	1.42	594612	3217998.00
2004/08/27	1.42	1.43	1.36	1.38	796233	4251134.00
2004/08/30	1.37	1.37	1.27	1.32	2166229	11068194.00
2004/08/31	1.41	1.48	1.38	1.39	5052343	27513822.00
2004/09/01	1.39	1.39	1.33	1.34	1483499	7779350.00
2004/09/02	1.32	1.39	1.31	1.38	1044140	5480397.00
2004/09/03	1.38	1.41	1.36	1.37	876693	4658966.00
2004/09/06	1.37	1.39	1.36	1.38	389602	2061370.00
2004/09/07	1.39	1.42	1.37	1.39	580969	3105307.00
2004/09/08	1.41	1.42	1.38	1.38	879837	4712323.00
2004/09/09	1.38	1.38	1.32	1.32	1043033	5426110.00
2004/09/10	1.31	1.34	1.30	1.34	719007	3716955.00
2004/09/13	1.33	1.33	1.29	1.30	660436	3372224.00
2004/09/14	1.31	1.38	1.31	1.37	1708166	8987325.00
2004/09/15	1.37	1.52	1.34	1.47	6116497	33946468.00
2004/09/16	1.48	1.51	1.44	1.50	4223600	23631856.00
2004/09/17	1.50	1.55	1.47	1.55	4230652	23962744.00
2004/09/20	1.56	1.60	1.53	1.60	5491773	31833072.00
2004/09/21	1.60	1.60	1.54	1.56	4043291	23461492.00
2004/09/22	1.53	1.56	1.48	1.50	3267341	18575666.00
2004/09/23	1.49	1.57	1.48	1.56	1731033	9851683.00
2004/09/24	1.58	1.59	1.47	1.48	4008665	23037528.00
2004/09/27	1.48	1.52	1.41	1.44	1934783	10696504.00
2004/09/28	1.44	1.47	1.42	1.46	1154843	6340112.00
2004/09/29	1.47	1.47	1.42	1.42	954908	5218387.00
2004/09/30	1.44	1.47	1.42	1.43	1404717	7700156.00
2004/10/08	1.42	1.48	1.37	1.47	1115200	6043016.00
2004/10/11	1.47	1.53	1.45	1.47	2040733	11401409.00
2004/10/12	1.48	1.49	1.41	1.42	1150768	6303914.00
2004/10/13	1.41	1.44	1.38	1.43	1365547	7335846.00
2004/10/14	1.45	1.47	1.32	1.33	1822900	9705507.00
2004/10/15	1.32	1.36	1.30	1.32	1116007	5742356.00
2004/10/18	1.32	1.35	1.29	1.35	756870	3900568.00
2004/10/19	1.36	1.38	1.32	1.32	805750	4214501.00
2004/10/20	1.32	1.32	1.24	1.27	1384026	6958704.00
2004/10/21	1.27	1.28	1.15	1.18	1865753	9024782.00
2004/10/22	1.15	1.27	1.14	1.24	1504147	7388879.00
2004/10/25	1.27	1.29	1.23	1.23	992796	4947861.00
2004/10/26	1.23	1.26	1.19	1.25	1044264	5126995.00
2004/10/27	1.26	1.31	1.23	1.30	1144555	5743122.00
2004/10/28	1.30	1.31	1.27	1.27	1157037	5861329.00
2004/10/29	1.23	1.24	1.19	1.23	1187233	5814599.00
2004/11/01	1.22	1.23	1.19	1.19	657220	3169352.00
2004/11/02	1.19	1.23	1.17	1.21	531233	2569792.00
