600487 亨通光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/08/22	1.49	1.54	1.45	1.45	14084995	187227392.00
2003/08/25	1.42	1.42	1.32	1.34	5195769	64723456.00
2003/08/26	1.33	1.38	1.32	1.35	2200776	27155466.00
2003/08/27	1.35	1.35	1.30	1.30	2199882	26688368.00
2003/08/28	1.30	1.31	1.27	1.28	1638855	19620044.00
2003/08/29	1.27	1.36	1.27	1.32	1560702	19017482.00
2003/09/01	1.32	1.43	1.30	1.40	3260563	40849972.00
2003/09/02	1.39	1.47	1.38	1.41	5041171	65038448.00
2003/09/03	1.40	1.41	1.36	1.38	1682783	21161920.00
2003/09/04	1.38	1.41	1.36	1.37	1086304	13646029.00
2003/09/05	1.37	1.37	1.31	1.32	1318696	16173927.00
2003/09/08	1.32	1.34	1.30	1.32	556736	6755621.00
2003/09/09	1.32	1.34	1.30	1.30	482169	5835641.00
2003/09/10	1.30	1.32	1.29	1.31	437121	5273503.00
2003/09/11	1.32	1.32	1.29	1.29	441749	5324241.00
2003/09/12	1.30	1.30	1.25	1.26	1199642	14171864.00
2003/09/15	1.25	1.27	1.23	1.25	591711	6923568.00
2003/09/16	1.25	1.29	1.25	1.28	528337	6250809.00
2003/09/17	1.27	1.28	1.23	1.24	368285	4339201.00
2003/09/18	1.24	1.27	1.23	1.25	418692	4905217.00
2003/09/19	1.24	1.26	1.24	1.26	390140	4575950.00
2003/09/22	1.26	1.28	1.26	1.27	281656	3332059.00
2003/09/23	1.27	1.28	1.24	1.27	227428	2682244.00
2003/09/24	1.28	1.28	1.26	1.27	223454	2643204.00
2003/09/25	1.26	1.26	1.23	1.23	332200	3873327.00
2003/09/26	1.21	1.25	1.21	1.23	396584	4579572.00
2003/09/29	1.23	1.23	1.20	1.20	321280	3679097.00
2003/09/30	1.20	1.22	1.17	1.19	428232	4864292.00
2003/10/08	1.20	1.20	1.17	1.19	245439	2766808.00
2003/10/09	1.18	1.21	1.18	1.19	198642	2256701.00
2003/10/10	1.19	1.24	1.18	1.23	572309	6579076.00
2003/10/13	1.24	1.31	1.21	1.24	906384	10715752.00
2003/10/14	1.23	1.24	1.21	1.21	335000	3864742.00
2003/10/15	1.22	1.24	1.20	1.21	278033	3210661.00
2003/10/16	1.20	1.21	1.18	1.18	228220	2591571.00
2003/10/17	1.18	1.20	1.18	1.19	178656	2023588.00
2003/10/20	1.19	1.19	1.17	1.18	222532	2506988.00
2003/10/21	1.19	1.20	1.17	1.20	342470	3866555.00
2003/10/22	1.19	1.26	1.19	1.23	720663	8372151.00
2003/10/23	1.23	1.26	1.21	1.22	513501	5960403.00
2003/10/24	1.28	1.28	1.22	1.22	478039	5563954.00
2003/10/27	1.23	1.24	1.17	1.18	818601	9228277.00
2003/10/28	1.17	1.20	1.11	1.13	729227	8080208.00
2003/10/29	1.13	1.14	1.02	1.05	1308048	13713807.00
2003/10/30	1.03	1.06	1.02	1.04	376909	3888945.00
2003/10/31	1.04	1.09	1.03	1.05	381614	3997196.00
2003/11/03	1.05	1.06	1.02	1.05	653317	6732170.00
2003/11/04	1.05	1.12	1.04	1.07	805478	8501349.00
2003/11/05	1.22	1.22	1.06	1.09	1303936	14189464.00
2003/11/06	1.10	1.10	1.03	1.03	692011	7238390.00
