600497 驰宏锌锗 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/04/20	1.31	1.36	1.30	1.36	46995117	677228544.00
2004/04/21	1.36	1.37	1.34	1.36	10758871	158831520.00
2004/04/22	1.35	1.36	1.31	1.32	8790643	125456056.00
2004/04/23	1.32	1.33	1.30	1.33	4445186	62311596.00
2004/04/26	1.33	1.35	1.31	1.33	3375120	48020636.00
2004/04/27	1.33	1.33	1.29	1.30	4689575	64032112.00
2004/04/28	1.33	1.35	1.31	1.32	7181292	102383776.00
2004/04/29	1.32	1.32	1.28	1.29	4602580	62953460.00
2004/04/30	1.29	1.33	1.29	1.32	5015913	69790336.00
2004/05/10	1.32	1.33	1.30	1.31	3130741	43637248.00
2004/05/11	1.30	1.34	1.30	1.33	4685056	66079032.00
2004/05/12	1.33	1.35	1.32	1.35	5731533	82490808.00
2004/05/13	1.34	1.36	1.33	1.35	6543804	95851680.00
2004/05/14	1.35	1.35	1.33	1.33	3993301	57359568.00
2004/05/17	1.33	1.35	1.33	1.34	3374400	48731256.00
2004/05/18	1.34	1.36	1.33	1.34	4169296	60602616.00
2004/05/19	1.34	1.34	1.31	1.31	4744539	67374768.00
2004/05/20	1.31	1.32	1.30	1.31	2763328	37949300.00
2004/05/21	1.31	1.31	1.30	1.31	1234272	16974142.00
2004/05/24	1.31	1.31	1.30	1.30	1652574	22582892.00
2004/05/25	1.30	1.31	1.29	1.30	1211298	16385389.00
2004/05/26	1.30	1.31	1.29	1.30	702482	9565469.00
2004/05/27	1.31	1.34	1.30	1.33	2939905	41307812.00
2004/05/28	1.33	1.33	1.31	1.32	1598139	22575916.00
2004/05/31	1.32	1.33	1.32	1.33	2099145	29711200.00
2004/06/01	1.33	1.39	1.33	1.38	9855228	147131360.00
2004/06/02	1.37	1.39	1.36	1.38	9242281	140636816.00
2004/06/03	1.37	1.38	1.35	1.36	4585787	68897384.00
2004/06/04	1.36	1.36	1.34	1.35	2658719	39121920.00
