600516 方大炭素 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/08/30	1.84	1.89	1.75	1.75	36111514	431437664.00
2002/09/02	1.72	1.74	1.70	1.72	7353295	84347224.00
2002/09/03	1.73	1.75	1.72	1.73	3216698	37205144.00
2002/09/04	1.73	1.73	1.69	1.70	3382860	38567540.00
2002/09/05	1.69	1.70	1.68	1.69	3062039	34607616.00
2002/09/06	1.69	1.69	1.66	1.66	2876258	32283558.00
2002/09/09	1.65	1.67	1.64	1.67	1763681	19608868.00
2002/09/10	1.67	1.67	1.66	1.66	993085	11108354.00
2002/09/11	1.66	1.68	1.63	1.68	2033107	22591124.00
2002/09/12	1.67	1.70	1.66	1.68	1348190	15211055.00
2002/09/13	1.68	1.72	1.67	1.70	1860575	21156580.00
2002/09/16	1.70	1.70	1.66	1.68	1253199	14080485.00
2002/09/17	1.69	1.71	1.66	1.70	1532917	17310368.00
2002/09/18	1.71	1.72	1.68	1.69	1760756	20071432.00
2002/09/19	1.69	1.73	1.68	1.72	1558476	17759000.00
2002/09/20	1.72	1.73	1.70	1.70	1325195	15143970.00
2002/09/23	1.70	1.72	1.69	1.71	887499	10113143.00
2002/09/24	1.70	1.70	1.68	1.68	1392833	15732663.00
2002/09/25	1.67	1.73	1.66	1.71	2334479	26457796.00
2002/09/26	1.71	1.72	1.70	1.71	1242047	14150928.00
2002/09/27	1.70	1.71	1.67	1.68	848335	9571435.00
2002/10/08	1.66	1.68	1.66	1.67	709249	7939970.00
2002/10/09	1.67	1.67	1.58	1.59	1634703	17877452.00
2002/10/10	1.58	1.61	1.57	1.58	599669	6463694.00
2002/10/11	1.58	1.60	1.44	1.47	2265819	23447964.00
2002/10/14	1.47	1.51	1.45	1.50	991335	10110996.00
2002/10/15	1.50	1.51	1.48	1.48	697324	7147559.00
2002/10/16	1.48	1.53	1.48	1.51	841989	8735978.00
2002/10/17	1.51	1.51	1.47	1.48	751019	7673168.00
2002/10/18	1.45	1.50	1.45	1.49	636830	6485104.00
2002/10/21	1.50	1.50	1.47	1.50	387193	3960529.00
2002/10/22	1.50	1.54	1.50	1.53	1287191	13434712.00
2002/10/23	1.54	1.55	1.52	1.54	725097	7608812.00
2002/10/24	1.54	1.54	1.51	1.51	583370	6060215.00
2002/10/25	1.51	1.52	1.47	1.48	603256	6183686.00
2002/10/28	1.50	1.50	1.45	1.48	831564	8384409.00
2002/10/29	1.45	1.49	1.45	1.48	623781	6304328.00
2002/10/30	1.48	1.49	1.45	1.48	349777	3545045.00
2002/10/31	1.47	1.49	1.46	1.48	354222	3601448.00
2002/11/01	1.47	1.48	1.45	1.47	530630	5355542.00
2002/11/04	1.50	1.53	1.47	1.53	792283	8159735.00
2002/11/05	1.53	1.63	1.51	1.58	5532709	59570624.00
2002/11/06	1.57	1.60	1.56	1.57	1868217	20103184.00
2002/11/07	1.57	1.58	1.55	1.56	1358601	14430732.00
2002/11/08	1.59	1.59	1.46	1.48	2330972	24310084.00
2002/11/11	1.48	1.51	1.47	1.48	741640	7584439.00
2002/11/12	1.48	1.49	1.42	1.43	1596156	15986056.00
2002/11/13	1.43	1.46	1.41	1.45	1273886	12699439.00
2002/11/14	1.45	1.47	1.42	1.42	1047171	10460497.00
2002/11/15	1.42	1.47	1.40	1.44	1091762	10936838.00
2002/11/18	1.44	1.45	1.40	1.41	673353	6645835.00
2002/11/19	1.41	1.44	1.39	1.43	686360	6775944.00
2002/11/20	1.42	1.42	1.37	1.37	717773	6956538.00
2002/11/21	1.37	1.37	1.30	1.30	1102956	10405699.00
2002/11/22	1.31	1.35	1.26	1.30	976548	9090369.00
2002/11/25	1.29	1.31	1.27	1.30	428745	3950069.00
2002/11/26	1.30	1.32	1.22	1.22	803323	7292276.00
2002/11/27	1.21	1.23	1.17	1.21	1001490	8717599.00
2002/11/28	1.20	1.30	1.19	1.29	1487684	13392939.00
2002/11/29	1.29	1.35	1.27	1.32	2704861	25251620.00
2002/12/02	1.31	1.31	1.24	1.24	932738	8489892.00
2002/12/03	1.23	1.28	1.23	1.28	859275	7780785.00
2002/12/04	1.29	1.34	1.27	1.29	1641850	15274964.00
2002/12/05	1.29	1.30	1.26	1.28	928506	8472110.00
2002/12/06	1.30	1.30	1.27	1.28	538843	4945059.00
2002/12/09	1.27	1.29	1.25	1.26	581653	5282832.00
2002/12/10	1.26	1.28	1.23	1.23	562561	5043925.00
2002/12/11	1.23	1.24	1.21	1.23	557455	4922580.00
2002/12/12	1.23	1.27	1.23	1.23	447350	4009045.00
2002/12/13	1.22	1.28	1.20	1.27	851707	7597640.00
2002/12/16	1.27	1.28	1.25	1.28	616043	5604558.00
2002/12/17	1.27	1.30	1.27	1.30	1287779	11809796.00
2002/12/18	1.30	1.31	1.27	1.28	742300	6835972.00
2002/12/19	1.27	1.28	1.24	1.28	1370371	12379757.00
