600522 中天科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/10/24	1.21	1.26	1.19	1.21	36289882	440587744.00
2002/10/25	1.20	1.25	1.20	1.23	13304901	162274944.00
2002/10/28	1.23	1.25	1.16	1.18	10414715	125183000.00
2002/10/29	1.16	1.20	1.14	1.19	7018512	82336584.00
2002/10/30	1.19	1.23	1.17	1.21	6947096	83770312.00
2002/10/31	1.20	1.22	1.17	1.18	3458843	41250644.00
2002/11/01	1.17	1.19	1.15	1.17	3067366	36023520.00
2002/11/04	1.19	1.31	1.17	1.29	10827357	133634080.00
2002/11/05	1.29	1.40	1.28	1.32	26819694	350451328.00
2002/11/06	1.31	1.36	1.31	1.32	12583295	163841056.00
2002/11/07	1.31	1.35	1.30	1.33	5681439	73604600.00
2002/11/08	1.36	1.37	1.24	1.26	9131646	116496648.00
2002/11/11	1.27	1.30	1.25	1.27	4780685	60077024.00
2002/11/12	1.29	1.30	1.22	1.24	5540377	68655048.00
2002/11/13	1.24	1.29	1.22	1.29	6133978	76320096.00
2002/11/14	1.29	1.32	1.24	1.25	6918816	87221264.00
2002/11/15	1.24	1.31	1.23	1.28	6338079	80187952.00
2002/11/18	1.28	1.30	1.25	1.28	2967843	37332612.00
2002/11/19	1.28	1.35	1.26	1.33	6711649	86032088.00
2002/11/20	1.32	1.32	1.27	1.28	5458016	69265952.00
2002/11/21	1.28	1.34	1.26	1.32	10016531	128583728.00
2002/11/22	1.33	1.39	1.29	1.31	12155178	158912736.00
2002/11/25	1.30	1.30	1.24	1.25	7000773	87547368.00
2002/11/27	1.15	1.18	1.09	1.13	8402759	96241808.00
2002/11/28	1.12	1.23	1.10	1.22	6540515	76522168.00
2002/11/29	1.21	1.26	1.19	1.22	9343373	113802400.00
2002/12/02	1.20	1.21	1.14	1.14	3229537	38111456.00
2002/12/03	1.14	1.17	1.13	1.16	1901743	22131880.00
2002/12/04	1.17	1.22	1.15	1.17	3125678	37193868.00
2002/12/05	1.16	1.18	1.14	1.17	1743649	20316504.00
2002/12/06	1.17	1.19	1.15	1.16	1180527	13867028.00
2002/12/09	1.15	1.17	1.12	1.14	1737552	20038794.00
2002/12/10	1.12	1.15	1.10	1.10	1692577	19262036.00
2002/12/11	1.10	1.13	1.09	1.13	1702558	19254388.00
2002/12/12	1.12	1.16	1.12	1.13	1585025	18296108.00
2002/12/13	1.11	1.15	1.10	1.14	1524977	17410832.00
2002/12/16	1.16	1.16	1.14	1.15	1327704	15385553.00
2002/12/17	1.14	1.16	1.14	1.15	1200771	13924475.00
2002/12/18	1.15	1.18	1.14	1.15	1580588	18466156.00
2002/12/19	1.14	1.15	1.13	1.14	1000842	11492440.00
2002/12/20	1.14	1.17	1.13	1.16	1386691	16115646.00
2002/12/23	1.16	1.17	1.15	1.15	1132759	13226251.00
2002/12/24	1.15	1.18	1.15	1.18	1512450	17720740.00
2002/12/25	1.18	1.18	1.16	1.16	1049665	12305562.00
2002/12/26	1.15	1.15	1.10	1.10	1964770	22345858.00
2002/12/27	1.10	1.12	1.09	1.10	1748672	19663328.00
2002/12/30	1.10	1.11	1.01	1.02	3214951	34638632.00
2002/12/31	1.01	1.03	0.96	0.97	1649178	17198664.00
2003/01/02	0.97	0.98	0.93	0.93	2459740	24671440.00
2003/01/03	0.93	0.96	0.93	0.95	1321359	13230074.00
2003/01/06	0.95	0.97	0.93	0.96	1401114	14136748.00
2003/01/07	0.97	1.02	0.95	0.97	2274277	23595720.00
2003/01/08	0.97	1.03	0.97	1.02	2505711	26180328.00
2003/01/09	1.03	1.07	1.01	1.05	4382854	47224000.00
2003/01/10	1.05	1.07	1.02	1.02	2784984	30034400.00
2003/01/13	1.01	1.03	1.00	1.02	1132107	11984181.00
2003/01/14	1.02	1.15	1.01	1.12	5555684	62091264.00
2003/01/15	1.11	1.18	1.10	1.11	5005226	57510928.00
2003/01/16	1.11	1.24	1.11	1.19	6037026	71738736.00
2003/01/17	1.19	1.20	1.16	1.18	3616926	42727016.00
2003/01/20	1.18	1.18	1.15	1.17	1804407	21155412.00
2003/01/21	1.18	1.20	1.12	1.12	2558468	29726632.00
2003/01/22	1.11	1.14	1.10	1.13	1585660	18028458.00
2003/01/23	1.11	1.16	1.10	1.10	1455202	16531538.00
2003/01/24	1.10	1.15	1.10	1.14	1556919	17784430.00
2003/01/27	1.15	1.18	1.14	1.17	2486390	29188442.00
2003/01/28	1.17	1.18	1.16	1.18	1777692	20923294.00
2003/01/29	1.18	1.19	1.17	1.17	2013519	23848080.00
2003/02/10	1.17	1.17	1.12	1.13	1140044	13109607.00
2003/02/11	1.12	1.14	1.12	1.14	479408	5491076.00
2003/02/12	1.14	1.17	1.12	1.17	957271	11084940.00
2003/02/13	1.17	1.21	1.16	1.17	2889615	34344796.00
2003/02/14	1.16	1.19	1.16	1.17	1070300	12623366.00
2003/02/17	1.17	1.19	1.14	1.16	1149274	13405627.00
2003/02/18	1.16	1.17	1.14	1.16	790769	9165406.00
2003/02/19	1.15	1.18	1.14	1.18	923576	10777823.00
2003/02/20	1.18	1.20	1.17	1.18	1651469	19573168.00
2003/02/21	1.17	1.18	1.13	1.14	1467545	16982860.00
2003/02/24	1.14	1.16	1.13	1.15	960398	11134156.00
2003/02/25	1.15	1.20	1.15	1.20	3206600	38049456.00
2003/02/27	1.21	1.22	1.15	1.16	3283269	38586644.00
2003/02/28	1.16	1.20	1.16	1.19	2390814	28309728.00
2003/03/03	1.19	1.23	1.19	1.23	4977871	60385588.00
2003/03/04	1.23	1.23	1.20	1.22	1879352	22727242.00
2003/03/05	1.22	1.22	1.18	1.20	1303618	15575777.00
2003/03/06	1.20	1.20	1.16	1.17	1522444	17953240.00
2003/03/07	1.16	1.18	1.16	1.16	819182	9602526.00
2003/03/10	1.16	1.17	1.13	1.13	1185970	13670949.00
2003/03/11	1.13	1.14	1.12	1.13	611342	7005268.00
2003/03/12	1.12	1.15	1.12	1.14	629040	7207354.00
2003/03/13	1.15	1.15	1.11	1.11	906100	10336787.00
2003/03/14	1.12	1.12	1.10	1.10	787099	8889697.00
2003/03/17	1.10	1.10	1.07	1.09	1035616	11496806.00
2003/03/18	1.10	1.12	1.08	1.08	663480	7445329.00
2003/03/19	1.07	1.10	1.07	1.08	580935	6431544.00
2003/03/20	1.09	1.09	1.07	1.07	609684	6738679.00
2003/03/21	1.06	1.09	1.06	1.09	560315	6214064.00
2003/03/24	1.10	1.10	1.08	1.09	283454	3157413.00
2003/03/25	1.09	1.09	1.06	1.06	744863	8177767.00
2003/03/26	1.05	1.06	1.02	1.03	718507	7698543.00
2003/03/27	1.02	1.10	0.99	1.09	1893438	20420096.00
2003/03/28	1.09	1.10	1.05	1.06	1201836	13264579.00
2003/03/31	1.06	1.07	1.03	1.06	909815	9859390.00
2003/04/01	1.06	1.10	1.06	1.09	1284420	14234792.00
2003/04/02	1.09	1.09	1.08	1.08	631231	6998687.00
2003/04/03	1.09	1.09	1.07	1.07	551338	6076504.00
2003/04/04	1.07	1.08	1.06	1.06	681442	7468611.00
2003/04/07	1.11	1.11	1.04	1.05	729461	7994434.00
2003/04/08	1.04	1.08	1.04	1.05	750104	8126526.00
2003/04/09	1.05	1.05	1.01	1.05	1479900	15747329.00
2003/04/10	1.05	1.08	1.02	1.06	2095735	22511432.00
2003/04/11	1.06	1.07	1.03	1.06	1838057	19943578.00
2003/04/14	1.07	1.13	1.07	1.12	2846558	32133288.00
2003/04/15	1.12	1.14	1.10	1.14	2180949	24789088.00
2003/04/16	1.14	1.17	1.09	1.09	2639562	30123252.00
2003/04/17	1.09	1.16	1.09	1.13	2934498	33615484.00
2003/04/18	1.14	1.16	1.10	1.11	1319415	15019455.00
2003/04/21	1.10	1.10	1.05	1.06	1363024	14986900.00
2003/04/22	1.08	1.08	1.05	1.05	690723	7519418.00
2003/04/23	1.05	1.06	1.02	1.02	1009180	10827969.00
2003/04/24	1.02	1.04	0.98	0.99	1315120	13801873.00
2003/04/25	0.99	1.01	0.94	0.95	1085650	11114305.00
2003/04/28	0.94	0.95	0.82	0.89	2896771	27219416.00
2003/04/29	0.89	0.89	0.83	0.84	2121103	19631220.00
2003/05/12	0.83	0.85	0.75	0.77	2034100	17946288.00
2003/05/13	0.75	0.83	0.75	0.83	2716366	24030812.00
2003/05/14	0.82	0.86	0.80	0.85	2509840	22999800.00
2003/05/15	0.84	0.94	0.81	0.91	4149794	39847840.00
2003/05/16	0.91	0.91	0.87	0.88	1656664	15843511.00
2003/05/19	0.89	0.93	0.89	0.90	1342542	13092550.00
2003/05/20	0.91	0.91	0.86	0.87	1030884	9785133.00
2003/05/21	0.87	0.89	0.86	0.87	742288	7051519.00
2003/05/22	0.87	0.88	0.85	0.88	670660	6321671.00
2003/05/23	0.88	0.91	0.86	0.89	1299749	12479420.00
2003/05/26	0.90	0.92	0.89	0.90	1208961	11764493.00
2003/05/27	0.90	0.94	0.89	0.92	2303425	22745132.00
2003/05/28	0.92	0.94	0.90	0.91	1200647	11765413.00
2003/05/29	0.91	0.96	0.91	0.96	2938215	29379332.00
2003/05/30	0.99	1.03	0.98	0.98	7932832	82990016.00
2003/06/02	0.98	0.98	0.95	0.97	1860841	18878108.00
2003/06/03	0.97	0.98	0.94	0.95	1223694	12336177.00
2003/06/04	0.94	0.95	0.90	0.93	1478499	14579298.00
