600566 济川药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/08/22	8.86	10.06	8.85	9.97	35132100	707318592.00
2001/08/23	9.73	9.96	9.69	9.90	9945600	206381184.00
2001/08/24	9.93	10.02	8.84	8.94	14130700	281704896.00
2001/08/27	8.87	9.16	8.74	8.81	5271000	101331728.00
2001/08/28	8.75	9.11	8.61	9.07	3445400	65891388.00
2001/08/29	9.07	9.09	8.84	9.00	1880600	36319688.00
2001/08/30	8.98	9.20	8.89	9.02	1573000	30599912.00
2001/08/31	9.04	9.20	8.84	8.87	1046400	20181000.00
2001/09/03	8.84	8.92	8.16	8.17	4029100	73637592.00
2001/09/04	8.15	8.55	8.12	8.52	2689700	49029968.00
2001/09/05	8.55	8.66	8.38	8.41	1886500	34746304.00
2001/09/06	8.41	8.47	8.16	8.27	1707100	30785250.00
2001/09/07	8.23	8.31	7.74	7.75	2833200	49387964.00
2001/09/10	7.64	8.15	7.58	8.06	1748300	30441208.00
2001/09/11	8.09	8.23	7.98	8.10	1071100	19026198.00
2001/09/12	7.86	8.06	7.69	7.97	1662000	28837154.00
2001/09/13	8.04	8.14	7.94	8.02	638100	11258362.00
2001/09/14	8.04	8.13	7.81	7.84	661100	11471272.00
2001/09/17	7.72	7.86	7.67	7.68	799700	13656914.00
2001/09/18	7.69	7.98	7.67	7.92	771100	13259286.00
2001/09/19	7.96	8.09	7.75	8.08	600400	10513905.00
2001/09/20	8.13	8.14	8.01	8.04	804500	14237254.00
2001/09/21	7.98	8.05	7.84	7.84	432200	7503027.00
2001/09/24	7.92	8.01	7.81	7.87	250500	4343472.00
2001/09/25	7.98	8.07	7.87	7.89	243500	4245767.00
2001/09/26	7.91	7.92	7.71	7.75	514600	8823572.00
2001/09/27	7.71	8.01	7.64	7.90	621700	10699331.00
2001/09/28	7.90	8.13	7.88	7.94	892800	15659399.00
2001/10/08	7.92	8.04	7.69	7.74	440200	7567806.00
2001/10/09	7.73	8.09	7.73	8.00	536700	9383349.00
2001/10/10	8.01	8.04	7.64	7.69	1046900	17869960.00
2001/10/11	7.65	7.80	6.78	6.87	2076500	33145882.00
2001/10/12	6.84	7.23	6.49	7.11	1530600	23915528.00
2001/10/15	7.01	7.12	6.77	6.95	698700	10968226.00
2001/10/16	7.01	7.11	6.67	6.72	404500	6277494.00
2001/10/17	6.61	6.74	6.40	6.43	721200	10796950.00
2001/10/18	6.44	6.52	6.11	6.16	699500	10159721.00
2001/10/19	6.13	6.50	6.07	6.35	1935200	28196050.00
2001/10/22	6.30	6.52	6.16	6.28	793300	11605333.00
2001/10/23	7.09	7.11	6.88	7.11	2528800	40301412.00
2001/10/24	7.35	8.02	7.23	7.69	8769700	148069856.00
2001/10/25	7.65	7.68	7.34	7.41	2365900	39416608.00
2001/10/26	7.36	7.51	7.19	7.45	1439700	23605516.00
2001/10/29	7.52	7.65	7.44	7.60	767500	12873366.00
2001/10/30	7.65	7.78	7.53	7.56	1220000	20718648.00
2001/10/31	7.51	7.51	7.31	7.47	635800	10485806.00
2001/11/01	7.49	7.68	7.47	7.57	481000	8088895.00
2001/11/02	7.51	7.60	7.36	7.38	395100	6558147.00
2001/11/05	7.35	7.40	7.07	7.15	702000	11292953.00
2001/11/06	7.14	7.30	7.07	7.21	456400	7363936.00
2001/11/07	7.22	7.35	6.71	6.75	1419700	22609970.00
2001/11/08	6.62	6.94	6.56	6.80	1085200	16665546.00
2001/11/09	6.81	7.04	6.69	6.96	610600	9519874.00
2001/11/12	6.90	7.04	6.88	6.88	273800	4294966.00
2001/11/13	6.67	6.78	6.56	6.67	336200	5115398.00
2001/11/14	6.71	6.95	6.70	6.74	189400	2927553.00
2001/11/15	6.81	7.04	6.77	7.02	566400	8917798.00
2001/11/16	7.89	7.92	7.27	7.28	2667600	44848812.00
2001/11/19	7.32	7.61	7.29	7.59	689100	11468902.00
2001/11/20	7.65	7.80	7.56	7.65	1757200	29832844.00
2001/11/21	7.68	7.80	7.61	7.72	1025900	17465528.00
2001/11/22	7.75	7.76	7.58	7.64	537000	9095766.00
2001/11/23	7.63	7.64	7.47	7.52	455700	7618806.00
2001/11/26	7.47	7.60	7.45	7.58	346400	5782888.00
2001/11/28	7.74	7.81	7.67	7.68	925100	15790385.00
2001/11/29	7.68	7.72	7.57	7.61	386700	6535518.00
2001/11/30	7.59	7.80	7.59	7.77	511500	8728339.00
2001/12/03	7.78	7.96	7.74	7.90	1105900	19130558.00
2001/12/04	7.86	7.92	7.78	7.91	572600	9894452.00
2001/12/05	7.81	7.89	7.59	7.60	893600	15224564.00
2001/12/06	7.58	7.72	7.55	7.69	400400	6767702.00
2001/12/07	7.69	7.69	7.57	7.59	276900	4667757.00
2001/12/10	7.57	7.68	7.51	7.65	275800	4639504.00
2001/12/11	7.67	7.71	7.58	7.59	235700	3984352.00
2001/12/12	7.59	7.67	7.52	7.57	197500	3323792.00
2001/12/13	7.55	7.59	7.36	7.37	394500	6560050.00
2001/12/14	7.34	7.41	7.18	7.19	381600	6219105.00
2001/12/17	7.21	7.35	7.10	7.12	236800	3818157.00
2001/12/18	7.20	7.34	7.13	7.33	219100	3543477.00
2001/12/19	7.38	7.43	7.23	7.32	370700	6062828.00
2001/12/20	7.18	7.21	6.96	7.00	417000	6621021.00
2001/12/21	6.93	7.15	6.91	7.05	186900	2959929.00
2001/12/24	7.04	7.17	6.88	6.89	506100	8004058.00
2001/12/25	6.90	6.91	6.79	6.85	448000	6954982.00
