600660 福耀玻璃 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1993/06/10	-3.99	-3.99	-4.14	-4.07	2094400	85801000.00
1993/06/11	-4.06	-4.04	-4.11	-4.05	1796600	72599000.00
1993/06/14	-4.04	-4.04	-4.09	-4.09	295900	11762000.00
1993/06/15	-4.10	-4.10	-4.12	-4.12	236600	8914000.00
1993/06/16	-4.12	-4.10	-4.13	-4.11	277300	10418000.00
1993/06/17	-4.11	-4.11	-4.11	-4.11	140100	5305000.00
1993/06/18	-4.11	-4.06	-4.11	-4.07	584200	23179000.00
1993/06/21	-4.12	-4.10	-4.12	-4.12	327900	12279000.00
1993/06/22	-4.04	-4.04	-4.11	-4.10	362600	14124000.00
1993/06/23	-4.10	-4.10	-4.11	-4.11	113200	4304000.00
1993/06/24	-4.11	-4.11	-4.13	-4.12	130800	4868000.00
1993/06/25	-4.13	-4.09	-4.13	-4.11	320000	12041000.00
1993/06/28	-4.14	-4.10	-4.14	-4.12	210100	5202000.00
1993/06/29	-4.12	-4.10	-4.13	-4.10	688700	17453000.00
1993/06/30	-4.09	-4.09	-4.13	-4.12	527600	13240000.00
1993/07/01	-4.12	-4.12	-4.14	-4.12	305900	7452000.00
1993/07/02	-4.12	-4.12	-4.13	-4.13	287000	7067000.00
1993/07/05	-4.12	-4.12	-4.16	-4.16	388800	9302000.00
1993/07/06	-4.16	-4.16	-4.22	-4.22	690800	15012000.00
1993/07/07	-4.23	-4.19	-4.24	-4.19	938800	20229000.00
1993/07/09	-4.19	-4.18	-4.24	-4.23	685900	14498000.00
1993/07/12	-4.24	-4.22	-4.25	-4.23	1739300	35650000.00
1993/07/13	-4.22	-4.20	-4.24	-4.22	1140400	24291000.00
1993/07/14	-4.21	-4.21	-4.25	-4.24	447300	9285000.00
1993/07/15	-4.24	-4.23	-4.25	-4.24	360200	7355000.00
1993/07/16	-4.23	-4.23	-4.24	-4.24	264200	5401000.00
1993/07/19	-4.24	-4.23	-4.25	-4.25	211600	4335000.00
1993/07/20	-4.25	-4.24	-4.26	-4.26	394300	7914000.00
1993/07/21	-4.25	-4.25	-4.25	-4.25	166400	3329000.00
1993/07/22	-4.25	-4.25	-4.26	-4.25	149100	2986000.00
1993/07/23	-4.25	-4.25	-4.25	-4.25	164000	3301000.00
1993/07/26	-4.25	-4.25	-4.27	-4.27	266400	5211000.00
1993/07/27	-4.27	-4.26	-4.28	-4.26	350600	6824000.00
