600758 红阳能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1996/10/29	6.48	6.61	5.85	5.91	8624200	140382592.00
1996/10/30	5.84	5.89	5.50	5.55	2140100	32462964.00
1996/10/31	5.61	5.75	5.46	5.61	1128400	16757460.00
1996/11/01	5.50	5.55	5.35	5.38	845600	12260790.00
1996/11/04	5.34	5.50	5.34	5.46	648000	9351915.00
1996/11/05	5.48	5.71	5.33	5.71	1035700	14969121.00
1996/11/06	5.69	5.70	5.38	5.52	801000	11716036.00
1996/11/07	5.53	5.60	5.39	5.51	588700	8645463.00
1996/11/08	5.42	5.46	5.40	5.41	484400	6987995.00
1996/11/11	5.46	5.50	5.39	5.46	514900	7432795.00
1996/11/12	5.46	5.51	5.40	5.51	399700	5787180.00
1996/11/13	5.51	5.56	5.40	5.45	414100	6020016.00
1996/11/14	5.46	5.53	5.42	5.46	589400	8543452.00
1996/11/15	5.46	5.57	5.44	5.50	795500	11639848.00
1996/11/18	5.56	5.81	5.54	5.80	1410900	21404090.00
1996/11/19	5.84	5.87	5.59	5.64	1051000	15943948.00
1996/11/20	5.63	5.64	5.50	5.63	569100	8457541.00
1996/11/21	5.69	5.73	5.38	5.38	634900	9366783.00
1996/11/22	5.38	5.42	5.23	5.33	594900	8365847.00
1996/11/25	5.30	5.34	5.19	5.28	552400	7704969.00
1996/11/26	5.36	5.41	5.27	5.32	320900	4554017.00
1996/11/27	5.30	5.47	5.30	5.47	703500	10070143.00
1996/11/28	5.47	5.59	5.42	5.53	706500	10360245.00
1996/11/29	5.57	5.73	5.51	5.66	819600	12202115.00
1996/12/02	5.71	5.96	5.69	5.92	1833300	28412126.00
1996/12/03	6.03	6.11	5.67	5.83	1565000	24753406.00
1996/12/04	5.83	6.13	5.73	6.11	1423300	22315844.00
1996/12/05	6.23	6.60	6.20	6.60	2684400	45236304.00
1996/12/06	6.53	6.60	6.27	6.34	1440900	24496270.00
1996/12/10	6.03	6.71	5.88	6.55	1797900	29990374.00
1996/12/11	6.59	6.92	6.50	6.76	2776400	49236588.00
1996/12/12	6.80	6.87	6.23	6.34	1810500	31043948.00
1996/12/13	6.25	6.38	5.79	5.84	1107200	17775342.00
1996/12/16	5.25	5.25	5.25	5.25	132100	1842795.00
1996/12/17	4.71	5.14	4.71	4.71	1647800	20886538.00
1996/12/18	4.83	5.20	4.57	5.19	1269200	16869298.00
1996/12/19	5.19	5.22	4.73	4.99	2062700	27086180.00
1996/12/20	4.88	5.03	4.81	5.03	954100	12465250.00
1996/12/23	5.19	5.26	5.03	5.14	461500	6254818.00
1996/12/24	5.19	5.19	4.88	5.03	707100	9391746.00
1996/12/25	4.92	5.18	4.91	5.18	330700	4408374.00
1996/12/26	5.21	5.30	5.07	5.26	558300	7720246.00
1996/12/27	5.26	5.40	5.19	5.40	779400	10980044.00
1996/12/30	5.46	5.60	5.46	5.60	704500	10394239.00
1996/12/31	5.65	5.65	5.35	5.57	664400	9712892.00
1997/01/02	5.41	5.53	5.40	5.51	232300	3381115.00
1997/01/03	5.53	5.53	5.22	5.23	376700	5380503.00
1997/01/06	5.11	5.21	5.01	5.01	238300	3245260.00
1997/01/07	5.03	5.18	5.03	5.17	166100	2259957.00
1997/01/08	5.16	5.26	5.08	5.26	101800	1401787.00
1997/01/09	5.26	5.42	5.22	5.37	143800	2040569.00
1997/01/10	5.38	5.48	5.36	5.47	292800	4221415.00
1997/01/13	5.60	5.60	5.51	5.56	367400	5425334.00
1997/01/14	5.65	5.65	5.38	5.42	306600	4466335.00
1997/01/15	5.42	5.58	5.38	5.53	426900	6233935.00
1997/01/16	5.53	5.78	5.48	5.73	918400	13840716.00
1997/01/17	5.65	5.80	5.65	5.78	810600	12332869.00
1997/01/20	5.72	5.80	5.68	5.78	842000	12860604.00
1997/01/21	5.80	5.80	5.65	5.77	485600	7417397.00
1997/01/22	5.76	5.85	5.75	5.84	676300	10417890.00
1997/01/23	5.84	5.86	5.80	5.84	463900	7184126.00
1997/01/24	5.84	5.86	5.65	5.78	300800	4588957.00
1997/01/27	5.77	5.78	5.72	5.78	261500	3986756.00
1997/01/28	5.76	5.76	5.69	5.76	170100	2585271.00
1997/01/29	5.76	5.76	5.46	5.73	385200	5828535.00
1997/01/30	5.69	5.72	5.59	5.68	339000	5078452.00
1997/01/31	5.64	5.73	5.61	5.65	506100	7613335.00
1997/02/17	6.03	6.23	5.84	6.23	1250100	20321538.00
1997/02/18	6.18	6.48	5.60	5.65	1235700	19952818.00
1997/02/19	5.85	6.22	5.85	6.21	1019200	16448685.00
1997/02/20	5.58	6.20	5.58	6.05	1442200	22538718.00
1997/02/21	5.99	6.30	5.99	6.30	910000	14879084.00
1997/02/24	6.42	6.49	6.21	6.30	671700	11243148.00
1997/02/25	6.30	6.53	6.28	6.43	963200	16346383.00
1997/02/26	6.42	6.51	6.38	6.46	601400	10249457.00
1997/02/27	6.50	6.50	6.34	6.36	407700	6905626.00
1997/02/28	6.34	6.53	6.28	6.52	625700	10637649.00
