600804 鹏博士 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1994/01/03	0.32	0.33	0.22	0.22	1276600	9124000.00
1994/01/04	0.19	0.19	0.11	0.15	989900	6046000.00
1994/01/05	0.13	0.16	0.13	0.16	679200	4145000.00
1994/01/06	0.15	0.19	0.13	0.19	748100	4677000.00
1994/01/07	0.19	0.20	0.17	0.20	634200	4094000.00
1994/01/10	0.18	0.22	0.18	0.22	685400	4519000.00
1994/01/11	0.21	0.21	0.18	0.19	298300	1942000.00
1994/01/12	0.18	0.18	0.17	0.18	295700	1883000.00
1994/01/13	0.18	0.20	0.17	0.19	496800	3220000.00
1994/01/14	0.19	0.20	0.13	0.14	675200	4210000.00
1994/01/17	0.14	0.17	0.13	0.17	191700	1187000.00
1994/01/18	0.16	0.16	0.11	0.14	164500	1003000.00
1994/01/19	0.13	0.14	0.09	0.13	307600	1813000.00
1994/01/20	0.11	0.11	0.04	0.08	270000	1527000.00
1994/01/21	0.06	0.10	0.06	0.08	287700	1624000.00
1994/01/24	0.10	0.10	0.09	0.10	555500	3187000.00
1994/01/25	0.10	0.14	0.10	0.11	613400	3587000.00
1994/01/26	0.10	0.11	0.09	0.09	206700	1197000.00
1994/01/27	0.08	0.09	0.08	0.08	144500	818000.00
1994/01/28	0.09	0.09	0.04	0.06	229000	1264000.00
1994/01/31	0.05	0.05	0.01	0.02	306900	1616000.00
1994/02/01	0.01	0.01	0.00	0.00	188500	954000.00
1994/02/02	-0.01	0.05	-0.01	0.05	577800	2926000.00
1994/02/03	0.03	0.06	0.02	0.05	728300	3900000.00
1994/02/04	0.05	0.11	0.04	0.11	1146600	6410000.00
1994/02/14	0.13	0.13	0.07	0.08	706600	4086000.00
1994/02/15	0.06	0.09	0.04	0.09	418100	2287000.00
1994/02/16	0.09	0.09	0.06	0.09	549900	3111000.00
1994/02/17	0.09	0.09	0.07	0.07	195500	1242000.00
1994/02/18	0.07	0.08	0.06	0.06	251000	1384000.00
1994/02/21	0.05	0.05	0.04	0.04	392400	2092000.00
1994/02/22	0.04	0.07	0.03	0.05	336700	1833000.00
1994/02/23	0.06	0.06	0.04	0.04	191000	1021000.00
1994/02/24	0.05	0.05	0.04	0.04	219100	1168000.00
1994/02/25	0.05	0.06	0.04	0.05	508900	2750000.00
1994/02/28	0.06	0.07	0.06	0.07	1434300	7903000.00
1994/03/01	0.07	0.07	0.04	0.05	585600	3207000.00
1994/03/02	0.04	0.05	0.02	0.02	455400	2396000.00
1994/03/03	0.02	0.04	0.01	0.03	258200	1341000.00
1994/03/04	0.01	0.02	0.01	0.01	168600	865000.00
1994/03/07	0.01	0.01	0.00	0.01	34900	177000.00
1994/03/08	0.00	0.02	-0.01	0.00	247700	1226000.00
1994/03/09	-0.01	0.00	-0.01	0.00	237900	1183000.00
1994/03/10	0.00	0.00	-0.16	-0.04	379700	1782000.00
1994/03/11	-0.04	0.02	-0.08	0.02	600600	2825000.00
1994/03/14	0.05	0.13	0.03	0.09	4537900	24991000.00
1994/03/15	0.11	0.11	0.04	0.04	2459400	13974000.00
1994/03/16	0.04	0.05	0.01	0.05	847900	4483000.00
1994/03/17	0.06	0.08	0.02	0.02	782000	4245000.00
1994/03/18	0.01	0.03	0.01	0.02	671200	3461000.00
1994/03/21	0.00	0.01	0.00	0.00	468700	2355000.00
1994/03/22	0.00	0.02	-0.01	0.02	269800	1335000.00
1994/03/23	0.03	0.03	0.00	0.01	434300	2211000.00
1994/03/24	0.00	0.05	0.00	0.02	1381100	7249000.00
1994/03/25	0.02	0.03	0.00	0.01	303600	1558000.00
1994/03/28	0.00	0.03	0.00	0.02	689400	3508000.00
1994/03/29	0.03	0.04	0.01	0.02	791500	4114000.00
1994/03/30	0.02	0.03	0.00	0.02	821200	4224000.00
1994/03/31	0.03	0.09	0.02	0.05	5204900	28321000.00
1994/04/01	0.05	0.05	0.01	0.04	915600	4749000.00
1994/04/04	0.04	0.04	0.01	0.02	412200	2141000.00
1994/04/05	0.02	0.02	0.00	0.01	987300	5016000.00
1994/04/06	0.00	0.01	0.00	0.01	376500	1904000.00
1994/04/07	0.01	0.03	0.00	0.01	402200	2045000.00
1994/04/08	0.01	0.02	0.01	0.02	258800	1332000.00
1994/04/11	0.02	0.02	0.00	0.01	315500	1609000.00
