600867 通化东宝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1994/08/24	0.09	0.11	0.02	0.04	27629600	499632992.00
1994/08/25	0.04	0.04	0.02	0.04	4775900	78610000.00
1994/08/26	0.05	0.05	0.02	0.02	3263800	53958000.00
1994/08/29	0.02	0.03	-0.01	0.00	4422200	55672000.00
1994/08/30	0.00	0.04	0.00	0.01	6568500	86977000.00
1994/08/31	0.02	0.02	0.00	0.00	3643200	46656000.00
1994/09/01	0.01	0.04	0.01	0.01	3388800	44759000.00
1994/09/02	0.01	0.02	0.01	0.02	2438400	32257000.00
1994/09/05	0.05	0.08	0.04	0.07	7220800	104033000.00
1994/09/06	0.08	0.13	0.07	0.13	9576700	151287008.00
1994/09/07	0.13	0.16	0.08	0.14	10580200	177903008.00
1994/09/08	0.15	0.18	0.12	0.18	7378600	127139000.00
1994/09/09	0.18	0.22	0.17	0.20	6908700	129154000.00
1994/09/12	0.23	0.27	0.22	0.26	4880400	98182000.00
1994/09/13	0.26	0.27	0.22	0.24	1701900	33867000.00
1994/09/14	0.24	0.24	0.18	0.18	1165000	21747000.00
1994/09/15	0.19	0.19	0.15	0.18	1072400	19030000.00
1994/09/16	0.18	0.18	0.14	0.18	959100	16643000.00
1994/09/19	0.15	0.16	0.14	0.14	957800	16415000.00
1994/09/20	0.14	0.15	0.13	0.14	340400	5777000.00
1994/09/21	0.16	0.17	0.15	0.16	545000	9494000.00
1994/09/22	0.17	0.17	0.13	0.16	1287600	22671000.00
1994/09/23	0.14	0.15	0.09	0.11	597300	9702000.00
1994/09/26	0.11	0.11	0.10	0.11	340200	5361000.00
1994/09/27	0.11	0.11	0.09	0.10	263200	4149000.00
1994/09/28	0.10	0.12	0.09	0.12	472800	7584000.00
1994/09/29	0.11	0.12	0.05	0.07	409500	6246000.00
1994/09/30	0.04	0.06	0.01	0.03	274200	3817000.00
1994/10/05	0.00	0.02	-0.01	0.00	206200	2632000.00
1994/10/06	0.02	0.03	0.00	0.00	227800	2952000.00
1994/10/07	0.00	0.07	-0.08	0.04	707400	8394000.00
1994/10/10	0.01	0.04	-0.01	0.03	770100	10341000.00
1994/10/11	0.03	0.04	0.02	0.04	165900	2254000.00
1994/10/12	0.04	0.06	0.03	0.05	325800	4578000.00
1994/10/13	0.05	0.05	0.01	0.02	471500	6337000.00
1994/10/14	0.00	0.04	-0.01	0.03	191000	2527000.00
1994/10/17	0.01	0.02	0.00	0.01	43600	566000.00
1994/10/18	0.01	0.04	0.01	0.04	307300	4188000.00
1994/10/19	0.04	0.06	0.04	0.06	452600	6416000.00
1994/10/20	0.07	0.09	0.06	0.09	882000	13163000.00
1994/10/21	0.07	0.11	0.07	0.09	696900	10694000.00
1994/10/24	0.10	0.14	0.09	0.14	665400	10702000.00
1994/10/25	0.14	0.14	0.11	0.11	672900	11083000.00
1994/10/26	0.09	0.10	0.07	0.08	125200	1903000.00
1994/10/27	0.08	0.12	0.07	0.10	164300	2521000.00
1994/10/28	0.09	0.10	0.08	0.09	110500	1675000.00
1994/10/31	0.06	0.08	0.06	0.08	122900	1818000.00
1994/11/01	0.09	0.09	0.07	0.08	113300	1708000.00
1994/11/02	0.07	0.08	0.07	0.08	19900	297000.00
1994/11/03	0.08	0.11	0.08	0.10	874100	13563000.00
1994/11/04	0.10	0.10	0.06	0.08	2873400	42561000.00
1994/11/07	0.06	0.08	0.06	0.07	111400	1638000.00
1994/11/08	0.07	0.10	0.06	0.08	379700	5800000.00
1994/11/09	0.07	0.08	0.07	0.08	116800	1742000.00
1994/11/10	0.08	0.09	0.06	0.07	136400	2025000.00
1994/11/11	0.08	0.08	0.07	0.08	119000	1783000.00
1994/11/14	0.09	0.09	0.07	0.09	303600	4636000.00
1994/11/15	0.08	0.09	0.07	0.08	69800	1045000.00
1994/11/16	0.08	0.08	0.06	0.07	135200	1990000.00
1994/11/17	0.07	0.08	0.06	0.07	63800	933000.00
1994/11/18	0.06	0.07	0.05	0.06	32800	476000.00
1994/11/21	0.06	0.07	0.06	0.07	29900	435000.00
1994/11/22	0.07	0.07	0.05	0.05	70900	1015000.00
1994/11/23	0.05	0.06	0.04	0.05	103300	1478000.00
1994/11/24	0.05	0.07	0.04	0.04	172500	2426000.00
