600886 国投电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1996/01/18	-0.10	-0.07	-0.11	-0.09	2840500	37137356.00
1996/01/19	-0.12	-0.11	-0.14	-0.13	2623300	31425830.00
1996/01/22	-0.15	-0.14	-0.17	-0.15	4780200	51025564.00
1996/01/23	-0.16	-0.15	-0.16	-0.16	1633200	17446210.00
1996/01/24	-0.15	-0.15	-0.16	-0.16	885900	9531506.00
1996/01/25	-0.16	-0.15	-0.16	-0.16	1779600	19207742.00
1996/01/26	-0.16	-0.15	-0.17	-0.16	762700	8033223.00
1996/01/29	-0.16	-0.15	-0.16	-0.15	595600	6348903.00
1996/01/30	-0.15	-0.15	-0.16	-0.16	566600	6006207.00
1996/01/31	-0.16	-0.15	-0.16	-0.16	638800	6788446.00
1996/02/01	-0.16	-0.15	-0.16	-0.16	297300	3173372.00
1996/02/02	-0.16	-0.15	-0.16	-0.15	582300	6205310.00
1996/02/05	-0.15	-0.15	-0.17	-0.17	1245000	13405569.00
1996/02/06	-0.17	-0.16	-0.17	-0.17	690800	6997320.00
1996/02/07	-0.17	-0.17	-0.17	-0.17	234800	2367064.00
1996/02/08	-0.17	-0.17	-0.18	-0.18	246600	2472473.00
1996/02/09	-0.18	-0.17	-0.18	-0.18	247100	2442000.00
1996/02/12	-0.18	-0.18	-0.18	-0.18	189200	1857933.00
1996/02/13	-0.18	-0.17	-0.18	-0.17	342000	3464448.00
1996/02/14	-0.17	-0.16	-0.17	-0.17	261000	2672654.00
1996/02/15	-0.17	-0.16	-0.17	-0.17	271800	2787059.00
1996/02/16	-0.17	-0.15	-0.17	-0.16	997700	10610087.00
1996/03/04	-0.14	-0.11	-0.14	-0.12	5472100	64691928.00
1996/03/05	-0.12	-0.09	-0.12	-0.09	8569800	107418752.00
1996/03/06	-0.10	-0.09	-0.13	-0.13	6177000	76831536.00
1996/03/07	-0.13	-0.12	-0.13	-0.12	2813600	33629036.00
1996/03/08	-0.12	-0.12	-0.13	-0.12	1457200	17395078.00
1996/03/11	-0.12	-0.11	-0.12	-0.11	2878300	35476504.00
1996/03/12	-0.12	-0.12	-0.13	-0.12	1295500	15576547.00
1996/03/13	-0.12	-0.11	-0.12	-0.12	697100	8479637.00
1996/03/14	-0.12	-0.11	-0.12	-0.12	626800	7630246.00
1996/03/15	-0.12	-0.12	-0.12	-0.12	625100	7514835.00
1996/03/18	-0.12	-0.11	-0.12	-0.12	717900	8774108.00
1996/03/19	-0.11	-0.11	-0.12	-0.12	783200	9593929.00
1996/03/20	-0.12	-0.11	-0.12	-0.11	482100	5930885.00
1996/03/21	-0.11	-0.11	-0.11	-0.11	1064000	13288477.00
1996/03/22	-0.11	-0.11	-0.11	-0.11	700800	8704374.00
1996/03/25	-0.11	-0.10	-0.11	-0.11	552500	6920204.00
1996/03/26	-0.11	-0.11	-0.12	-0.12	747200	9213042.00
1996/03/27	-0.12	-0.11	-0.12	-0.11	712400	8791966.00
1996/03/28	-0.11	-0.10	-0.11	-0.11	1092600	13632812.00
1996/03/29	-0.11	-0.11	-0.11	-0.11	586800	7270759.00
1996/04/01	-0.10	-0.10	-0.11	-0.11	1954200	24756886.00
1996/04/02	-0.11	-0.11	-0.11	-0.11	574100	7114507.00
1996/04/03	-0.11	-0.11	-0.11	-0.11	266500	3296086.00
1996/04/04	-0.11	-0.11	-0.11	-0.11	432500	5331849.00
1996/04/05	-0.11	-0.10	-0.11	-0.11	407500	5106876.00
1996/04/08	-0.11	-0.10	-0.11	-0.11	552200	6904802.00
1996/04/09	-0.11	-0.11	-0.11	-0.11	197000	2453180.00
1996/04/10	-0.11	-0.11	-0.11	-0.11	342600	4286424.00
1996/04/11	-0.11	-0.10	-0.11	-0.10	633200	8046125.00
1996/04/12	-0.10	-0.08	-0.10	-0.09	2748300	36441760.00
1996/04/15	-0.09	-0.09	-0.09	-0.09	799100	10563286.00
1996/04/16	-0.09	-0.08	-0.10	-0.10	1480000	19321260.00
1996/04/17	-0.09	-0.09	-0.10	-0.10	917000	11837680.00
1996/04/18	-0.10	-0.09	-0.10	-0.09	524300	6812002.00
1996/04/19	-0.09	-0.08	-0.09	-0.08	1563500	20811992.00
1996/04/22	-0.08	-0.07	-0.08	-0.08	2311600	31781682.00
1996/04/23	-0.08	-0.06	-0.08	-0.06	1903300	26389052.00
1996/04/24	-0.06	-0.04	-0.06	-0.04	2290000	34176084.00
1996/04/25	-0.04	-0.04	-0.06	-0.05	2408000	35639040.00
1996/04/26	-0.05	-0.02	-0.05	-0.03	2590500	39949680.00
1996/04/29	-0.02	0.00	-0.03	-0.02	2157000	34183060.00
1996/04/30	-0.02	-0.01	-0.05	-0.04	1942700	30134298.00
1996/05/02	-0.02	-0.02	-0.05	-0.04	1722500	26206858.00
1996/05/03	-0.04	-0.03	-0.05	-0.04	787200	11898083.00
1996/05/06	-0.03	-0.01	-0.03	-0.02	724400	11444523.00
1996/05/07	-0.02	-0.01	-0.04	-0.03	753300	11736259.00
1996/05/08	-0.03	-0.02	-0.03	-0.02	904500	14202101.00
1996/05/09	-0.02	-0.01	-0.02	-0.02	891200	14186872.00
1996/05/10	-0.02	0.00	-0.02	-0.01	1237000	19856534.00
1996/05/13	0.00	0.00	-0.01	0.00	881100	14488716.00
1996/05/14	0.00	0.00	-0.01	0.00	1569300	25782034.00
1996/05/15	0.00	0.02	0.00	0.02	1194100	20486680.00
1996/05/16	0.02	0.03	0.01	0.01	1274200	22455104.00
1996/05/20	0.03	0.03	0.01	0.02	1403700	25156066.00
1996/05/21	0.02	0.02	0.00	0.00	927400	15645824.00
1996/05/22	0.00	0.01	0.00	0.01	1199200	20343354.00
