601333 广深铁路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/12/22	5.84	5.92	5.27	5.29	697621207	4487096320.00
2006/12/25	5.02	5.48	4.97	5.31	186941249	1153613824.00
2006/12/26	5.32	5.42	5.18	5.36	156993330	969466240.00
2006/12/27	5.42	5.98	5.34	5.98	238346157	1583093376.00
2006/12/28	6.22	6.44	6.00	6.15	268177506	1910044160.00
2006/12/29	6.21	6.40	6.12	6.32	164149785	1176899200.00
2007/01/04	6.38	6.89	6.24	6.46	223659712	1646196608.00
2007/01/05	6.33	6.47	6.26	6.34	114730969	827160640.00
2007/01/08	6.29	6.52	6.25	6.48	105856204	767666816.00
2007/01/09	6.49	6.61	6.42	6.54	108670434	802589056.00
2007/01/10	6.57	6.91	6.57	6.80	123080232	938445696.00
2007/01/11	6.77	6.82	6.50	6.51	124140589	933152384.00
2007/01/12	6.51	6.65	6.13	6.22	106643165	776655936.00
2007/01/15	6.22	6.47	6.13	6.45	70183202	505783840.00
2007/01/16	6.47	6.51	6.25	6.38	82206025	594290880.00
2007/01/17	6.38	6.48	6.20	6.32	102892628	745557120.00
2007/01/18	6.39	6.82	6.31	6.71	156828445	1159075712.00
2007/01/19	6.71	6.79	6.58	6.73	117914839	893485184.00
2007/01/22	6.82	7.17	6.72	7.04	159565374	1249933696.00
2007/01/23	7.05	7.20	6.78	6.91	122419521	958500928.00
2007/01/24	6.92	7.55	6.77	7.36	207446190	1674738048.00
2007/01/25	7.41	7.50	7.01	7.02	178082356	1454175744.00
2007/01/26	6.87	7.05	6.32	6.90	99916645	764586624.00
2007/01/29	6.92	7.07	6.84	7.01	72351281	567788480.00
2007/01/30	7.01	7.08	6.77	6.83	71409138	557301120.00
2007/01/31	6.82	6.92	6.42	6.49	77046208	584774464.00
2007/02/01	6.48	6.69	6.42	6.61	73103119	544836352.00
2007/02/02	6.63	6.67	6.32	6.34	47926753	352002240.00
2007/02/05	6.34	6.49	6.34	6.40	34511849	251820976.00
2007/02/06	6.48	6.55	6.32	6.54	45861003	335460864.00
2007/02/07	6.62	6.71	6.53	6.64	49063303	367925440.00
2007/02/08	6.67	7.07	6.59	6.90	79087903	614540032.00
2007/02/09	6.90	6.94	6.72	6.78	47057806	361859456.00
2007/02/12	6.89	7.00	6.84	6.97	53670484	418894144.00
2007/02/13	7.02	7.19	6.97	7.05	60258164	479299840.00
2007/02/14	7.06	7.11	6.97	7.06	57078437	452321312.00
