601336 新华保险 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/12/16	23.47	25.27	23.37	24.91	117177275	3013978368.00
2011/12/19	24.68	25.96	24.47	25.43	52416127	1393215744.00
2011/12/20	25.57	26.06	25.12	25.35	27480230	744248000.00
2011/12/21	25.61	26.12	24.76	24.86	22180360	599846784.00
2011/12/22	24.43	25.67	24.03	25.27	14722866	386845504.00
2011/12/23	24.99	25.64	24.29	25.56	12658980	337348512.00
2011/12/26	25.18	25.79	24.96	25.18	7469975	200983856.00
2011/12/27	24.92	27.85	24.49	25.54	13944132	385938080.00
2011/12/28	24.94	25.89	23.60	25.59	10747748	284469280.00
2011/12/29	25.08	26.77	25.08	26.59	9982846	277077408.00
2011/12/30	26.44	27.16	26.27	26.34	11365897	320882272.00
2012/01/04	26.39	27.02	26.17	26.44	7659030	215469104.00
2012/01/05	26.41	26.89	25.35	25.57	8982348	248863760.00
2012/01/06	25.07	26.68	25.07	26.61	6134233	168226624.00
2012/01/09	26.56	28.02	26.08	27.85	6715869	192597712.00
2012/01/10	27.85	28.77	27.47	28.59	8405120	250574176.00
2012/01/11	28.42	28.67	27.57	28.34	4795160	142677152.00
2012/01/12	28.09	29.42	28.09	28.85	5555409	168174288.00
2012/01/13	28.95	29.05	27.42	28.34	4972570	147160096.00
2012/01/16	27.97	28.24	26.60	26.75	3600578	105667096.00
2012/01/17	27.05	29.39	26.97	29.34	9177673	271016896.00
2012/01/18	29.01	29.37	27.65	28.20	6458792	195056032.00
2012/01/19	28.20	29.07	27.84	28.68	3814065	115275976.00
2012/01/20	28.57	30.69	28.57	30.36	6631448	207219248.00
2012/01/30	30.26	30.26	28.67	28.72	5263418	162543296.00
2012/01/31	28.60	29.04	28.27	29.00	2167097	65397656.00
2012/02/01	28.72	29.22	28.24	28.44	4416194	133139480.00
2012/02/02	28.13	29.77	27.40	29.56	5974537	179946080.00
2012/02/03	29.17	29.82	29.17	29.53	5294399	164317440.00
2012/02/06	29.47	29.57	28.45	28.94	5162336	157284176.00
2012/02/07	28.48	28.74	27.38	27.61	7208458	211658384.00
2012/02/08	27.63	29.43	27.55	29.15	4550580	136481968.00
2012/02/09	29.02	29.13	28.37	28.67	4249277	128594912.00
2012/02/10	28.36	29.70	28.36	28.87	3018026	92335496.00
2012/02/13	28.47	29.22	28.00	28.44	3820403	114491592.00
2012/02/14	28.42	28.46	27.95	28.19	2226764	66015324.00
