601628 中国人寿 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/01/09	33.38	36.58	33.38	35.31	319018973	12379545600.00
2007/01/10	36.18	36.68	35.10	35.84	68610210	2708589312.00
2007/01/11	35.18	35.98	33.39	34.67	43902506	1685626624.00
2007/01/12	34.17	36.12	33.88	35.88	42177470	1648086528.00
2007/01/15	36.20	39.83	35.33	39.83	56131919	2287356416.00
2007/01/16	41.66	43.26	40.44	41.43	44567735	2027865728.00
2007/01/17	41.66	45.88	40.54	41.38	50948864	2371918848.00
2007/01/18	41.46	42.48	38.28	39.88	52023113	2275374848.00
2007/01/19	40.40	41.08	38.91	40.95	25919541	1136576512.00
2007/01/22	41.06	43.38	39.88	43.24	33922355	1531775104.00
2007/01/23	43.58	43.85	40.26	40.41	38089971	1716027648.00
2007/01/24	40.08	41.24	38.86	40.28	21581200	940452992.00
2007/01/25	39.38	39.53	36.18	37.22	37313678	1553414528.00
2007/01/26	36.38	37.27	34.88	36.64	27503851	1087187072.00
2007/01/29	38.20	38.38	36.69	37.13	22475076	922676928.00
2007/01/30	37.88	37.88	35.98	36.35	16031494	644202496.00
2007/01/31	36.38	36.77	34.08	34.59	25909516	1005279680.00
2007/02/01	34.21	35.38	34.16	35.18	17665205	677999296.00
2007/02/02	35.16	35.22	32.18	32.37	34689123	1284396416.00
2007/02/05	32.08	32.08	29.88	30.15	23935842	823378432.00
2007/02/06	29.87	30.93	29.38	30.92	20159321	678492224.00
2007/02/07	31.03	32.22	30.66	31.23	29468077	1032332672.00
2007/02/08	31.58	31.65	30.53	31.08	12040447	418027072.00
2007/02/09	31.37	32.96	31.13	32.48	20162935	723256896.00
2007/02/12	32.05	33.13	31.98	32.58	13816314	499986880.00
2007/02/13	32.68	32.78	31.77	32.10	11271000	402852128.00
2007/02/14	32.50	32.88	32.17	32.79	14579488	526818400.00
2007/02/15	33.08	34.56	32.86	34.37	20065706	745762880.00
2007/02/16	34.82	34.86	33.96	34.20	14943530	567387584.00
2007/02/26	34.25	34.25	33.01	33.63	21348862	787045376.00
2007/02/27	33.61	33.61	30.18	30.27	24353909	865403072.00
2007/02/28	30.13	32.27	29.96	32.25	26980758	940169472.00
2007/03/01	32.38	32.48	29.98	30.38	26005391	886908800.00
2007/03/02	30.38	30.68	29.87	30.18	15334008	517311808.00
2007/03/05	30.13	30.14	27.88	28.66	19729239	645395008.00
2007/03/06	28.45	30.06	28.03	29.32	15361190	502011040.00
2007/03/07	29.53	30.23	29.33	29.54	12962706	432894048.00
2007/03/08	29.77	29.88	29.34	29.58	10533320	348838176.00
2007/03/09	29.63	29.91	28.88	29.45	15850451	522307520.00
2007/03/12	29.47	29.71	28.88	29.18	15535657	510721312.00
2007/03/13	29.20	29.68	29.05	29.38	12547373	413441824.00
2007/03/14	29.18	29.18	28.38	28.42	16274116	524501504.00
2007/03/15	28.64	29.54	28.64	28.86	13141221	429685312.00
2007/03/16	29.03	30.38	28.78	30.19	34631759	1156363776.00
2007/03/19	29.73	32.18	29.63	31.67	39511281	1380678400.00
2007/03/20	31.73	31.88	30.89	31.24	16869244	587636160.00
2007/03/21	31.43	31.53	30.58	30.99	13798976	477165024.00
2007/03/22	31.18	31.73	30.64	30.73	16867843	587140096.00
2007/03/23	30.73	31.18	30.09	30.38	15897976	542856512.00
2007/03/26	30.48	31.18	30.39	30.84	14241016	491147712.00
2007/03/27	30.93	31.00	30.38	30.61	14479478	495633184.00
2007/03/28	30.68	31.68	30.24	31.52	30599142	1063778752.00
2007/03/29	31.63	33.88	31.63	32.17	45301693	1641206400.00
2007/03/30	31.92	32.35	31.52	31.61	15986940	566770240.00
2007/04/02	31.70	32.27	31.52	31.93	16630644	591345856.00
2007/04/03	31.96	32.75	31.93	32.23	15296523	548848960.00
2007/04/04	32.26	32.28	31.53	31.64	16879687	597419648.00
2007/04/05	31.63	31.68	31.03	31.46	16418377	572793088.00
2007/04/06	31.27	32.04	31.13	31.59	13959466	492521120.00
2007/04/09	31.43	33.44	31.39	33.38	38200307	1377245184.00
2007/04/10	32.90	33.56	32.06	32.82	44552700	1624586624.00
2007/04/11	33.03	34.26	32.88	33.86	50506708	1886759168.00
2007/04/12	34.29	34.61	33.69	33.88	29856508	1127803648.00
2007/04/13	33.88	34.73	33.43	34.07	30177564	1135782144.00
2007/04/16	34.09	34.86	34.08	34.69	34212396	1303799040.00
2007/04/17	34.70	35.73	33.48	34.28	39132654	1503962752.00
2007/04/18	33.48	34.15	32.53	32.96	38568629	1419729536.00
2007/04/19	33.04	33.48	31.27	31.84	37582382	1350694272.00
2007/04/20	31.93	33.58	31.93	33.27	28268880	1032634176.00
2007/04/24	34.89	36.37	33.68	34.00	35668500	1368864768.00
2007/04/25	34.09	35.18	34.08	34.54	26623926	1017498944.00
2007/04/26	34.88	35.94	34.57	35.58	31580064	1229585664.00
2007/04/27	35.38	38.70	35.09	37.16	47804310	1933588736.00
2007/04/30	36.75	39.24	36.28	38.03	40786783	1685080192.00
2007/05/08	38.88	39.26	37.26	37.57	30133609	1251292032.00
2007/05/09	37.28	38.07	36.18	37.27	30373565	1234145280.00
2007/05/10	37.58	38.04	36.38	36.67	22886633	935165568.00
2007/05/11	36.68	36.68	34.88	35.60	43977986	1720099200.00
