601766 中国中车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/08/18	2.91	3.05	2.39	2.50	1792594164	6670840320.00
2008/08/19	2.63	2.85	2.47	2.75	688749395	2500497152.00
2008/08/20	2.61	3.08	2.51	2.93	773059666	2938261760.00
2008/08/21	2.82	2.85	2.54	2.54	480229503	1732016640.00
2008/08/22	2.34	2.38	2.19	2.24	446439588	1436116864.00
2008/08/25	2.25	2.41	2.17	2.32	239680751	779910272.00
2008/08/26	2.25	2.33	2.21	2.29	111003526	356507488.00
2008/08/27	2.25	2.34	2.10	2.24	183802268	580214208.00
2008/08/28	2.16	2.39	2.14	2.34	215461306	695996544.00
2008/08/29	2.36	2.56	2.33	2.47	196162498	668881344.00
2008/09/01	2.42	2.53	2.39	2.49	99631875	340116640.00
2008/09/02	2.46	2.55	2.42	2.52	79156098	272407680.00
2008/09/03	2.50	2.56	2.32	2.39	151344471	509472992.00
2008/09/04	2.39	2.49	2.24	2.34	128856728	426912288.00
2008/09/05	2.23	2.36	2.19	2.33	104068519	337765568.00
2008/09/08	2.36	2.37	2.13	2.15	98189650	311156032.00
2008/09/09	2.17	2.26	2.15	2.24	55069660	174643568.00
2008/09/10	2.21	2.56	2.20	2.39	174396365	588983296.00
2008/09/11	2.36	2.60	2.30	2.54	178060095	608085632.00
2008/09/12	2.53	2.59	2.46	2.52	130110656	452099808.00
2008/09/16	2.52	2.57	2.43	2.52	115279436	400759552.00
2008/09/17	2.53	2.54	2.39	2.43	133707030	456871584.00
2008/09/18	2.34	2.54	2.18	2.49	127035916	417778944.00
2008/09/19	2.75	2.83	2.65	2.83	390994922	1465719552.00
2008/09/22	2.88	3.19	2.63	2.79	593424958	2280334848.00
2008/09/23	2.57	2.67	2.42	2.48	260083463	902099264.00
2008/09/24	2.40	2.57	2.36	2.56	101879709	351350848.00
2008/09/25	2.54	2.77	2.49	2.62	199066762	720333824.00
2008/09/26	2.65	2.67	2.44	2.55	179395132	623349696.00
2008/10/06	2.50	2.70	2.46	2.59	142255988	507372352.00
2008/10/07	2.45	2.68	2.45	2.66	110632060	393600832.00
