601991 大唐发电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/12/20	4.14	4.87	3.88	4.59	139800673	1527692160.00
2006/12/21	4.47	4.47	4.18	4.21	56050879	606627712.00
2006/12/22	4.13	4.13	3.83	3.92	38512917	391183296.00
2006/12/25	3.88	3.97	3.83	3.96	20183476	202711840.00
2006/12/26	3.95	4.09	3.90	3.93	16810154	171709120.00
2006/12/27	3.88	4.18	3.88	4.17	24243218	250584720.00
2006/12/28	4.15	4.32	3.99	4.03	20939183	220374000.00
2006/12/29	4.04	4.13	3.96	4.04	18094928	186456608.00
2007/01/04	4.00	4.28	3.94	4.09	32167176	334508672.00
2007/01/05	4.06	4.29	3.99	4.22	29766150	316475712.00
2007/01/08	4.26	4.34	4.16	4.24	22213120	237562960.00
2007/01/09	4.26	4.33	4.19	4.31	22160917	238210704.00
2007/01/10	4.32	4.34	4.22	4.31	18996161	205158976.00
2007/01/11	4.25	4.56	4.16	4.51	40538883	444837408.00
2007/01/12	4.48	4.48	4.21	4.22	25086327	274075872.00
2007/01/15	4.18	4.32	4.13	4.30	14407811	154313904.00
2007/01/16	4.33	4.35	4.16	4.28	17438187	186688448.00
2007/01/17	4.28	4.32	4.13	4.18	16730928	179179040.00
2007/01/18	4.21	4.27	4.09	4.20	10825873	114496696.00
2007/01/19	4.18	4.31	4.16	4.27	15878030	170696224.00
2007/01/22	4.31	4.51	4.31	4.46	26441714	292974080.00
2007/01/23	4.46	4.49	4.26	4.38	18113937	198526640.00
2007/01/24	4.38	4.79	4.38	4.65	33246994	378280928.00
2007/01/25	4.57	4.77	4.46	4.50	25314349	289177152.00
2007/01/26	4.41	4.56	4.23	4.49	16893110	187198128.00
2007/01/29	4.54	4.63	4.44	4.55	15146184	171332960.00
2007/01/30	4.61	4.62	4.38	4.43	13056332	146136928.00
2007/01/31	4.43	4.54	4.25	4.29	12972138	143512752.00
2007/02/01	4.24	4.33	4.10	4.25	8915246	95282672.00
2007/02/02	4.24	4.27	4.02	4.05	8439438	88537120.00
2007/02/05	4.03	4.07	3.95	4.00	6154300	62948176.00
2007/02/06	4.03	4.10	3.92	4.09	6103294	62814416.00
2007/02/07	4.13	4.16	4.06	4.10	6875772	71825984.00
2007/02/08	4.13	4.21	4.04	4.20	8312596	87458184.00
2007/02/09	4.19	4.42	4.13	4.39	14229890	152757792.00
2007/02/12	4.50	4.52	4.39	4.47	19080309	212013392.00
2007/02/13	4.48	4.48	4.40	4.43	8504623	94337160.00
2007/02/14	4.43	4.48	4.42	4.46	9689222	107930688.00
2007/02/15	4.47	4.56	4.45	4.51	12600946	141333616.00
2007/02/16	4.53	4.55	4.41	4.47	13732458	153674272.00
2007/02/26	4.47	4.93	4.40	4.88	33763284	388820128.00
2007/02/27	4.96	4.98	4.28	4.29	36773213	431332576.00
2007/02/28	4.39	4.73	4.38	4.66	19670217	223451472.00
2007/03/01	4.82	4.84	4.54	4.63	20377393	236398976.00
2007/03/02	4.66	4.82	4.62	4.77	15818648	185161952.00
2007/03/05	4.83	4.84	4.40	4.62	22508236	259817312.00
2007/03/06	4.55	4.61	4.47	4.57	8341861	94505936.00
2007/03/07	4.58	4.66	4.56	4.61	8393877	96021872.00
2007/03/08	4.62	4.81	4.57	4.69	11873513	137839024.00
2007/03/09	4.68	4.83	4.58	4.62	9077016	104895328.00
2007/03/12	4.62	4.66	4.50	4.61	8374753	95254352.00
2007/03/13	4.60	4.72	4.53	4.66	10849742	124209608.00
2007/03/14	4.58	4.61	4.48	4.52	8423237	95144304.00
2007/03/15	4.53	4.67	4.53	4.58	11004359	125786640.00
2007/03/16	4.59	4.61	4.39	4.45	9915654	111393960.00
2007/03/19	4.28	4.49	4.21	4.44	8303397	91547312.00
2007/03/20	4.44	4.53	4.39	4.49	7926413	88249112.00
2007/03/21	4.40	4.51	4.31	4.48	36258114	397663584.00
2007/03/22	4.48	4.51	4.43	4.46	19854838	221929728.00
2007/03/23	4.47	4.48	4.35	4.48	15548560	172167328.00
2007/03/26	4.51	4.62	4.49	4.61	24204927	275935168.00
2007/03/27	4.65	4.95	4.61	4.82	32644233	382083264.00
2007/03/28	4.82	5.17	4.64	5.14	61437376	748145344.00
2007/03/29	5.14	5.32	4.99	5.04	49391145	622015424.00
2007/04/02	5.65	5.65	5.48	5.65	17093997	231452656.00
2007/04/03	6.23	6.33	5.97	6.33	82287285	1195157120.00
2007/04/04	6.37	7.03	6.19	6.75	51269794	804260480.00
2007/04/05	6.75	7.18	6.59	6.83	31892540	512172928.00
2007/04/06	6.77	6.91	6.73	6.84	25914309	409945152.00
2007/04/09	6.88	7.60	6.88	7.53	31781852	532664928.00
2007/04/10	7.61	7.93	7.39	7.77	26332142	465893600.00
2007/04/11	7.78	7.86	7.62	7.71	19702360	347107680.00
2007/04/12	7.69	7.89	7.53	7.84	22454421	399191776.00
2007/04/13	7.83	7.86	7.63	7.67	20573930	365104480.00
2007/04/16	7.67	7.77	7.61	7.73	18582749	327452192.00
2007/04/17	7.73	7.79	7.46	7.75	21787157	381652992.00
2007/04/18	7.76	8.54	7.63	8.39	27697344	518434048.00
2007/04/19	8.33	8.33	7.51	7.80	27188839	492915936.00
2007/04/20	7.91	8.38	7.91	8.33	21102249	392738688.00
2007/04/23	8.45	8.82	8.45	8.66	18121900	356136160.00
2007/04/24	8.74	8.81	8.53	8.63	18358800	358865760.00
2007/04/25	8.58	8.58	8.19	8.43	14847107	282046144.00
2007/04/26	8.46	8.58	8.39	8.48	8567810	164263456.00
2007/04/27	8.48	8.58	8.28	8.35	10543486	200706272.00
2007/04/30	8.28	8.28	7.96	8.19	18743541	346508448.00
2007/05/08	8.27	8.62	8.27	8.46	17087584	325980416.00
2007/05/09	8.46	8.46	8.03	8.23	16028627	299588288.00
2007/05/10	8.22	8.47	8.11	8.33	12763353	240440160.00
2007/05/11	8.27	8.33	8.13	8.28	10264184	191765552.00
2007/05/14	8.17	8.69	8.07	8.54	20343687	390153344.00
2007/05/15	8.52	8.53	8.13	8.16	16864220	317862496.00
2007/05/16	8.26	8.38	8.04	8.31	14361907	267903664.00
2007/05/17	8.33	8.82	8.27	8.67	28858445	561005248.00
2007/05/18	8.67	8.67	8.48	8.52	17287343	334239776.00
2007/05/21	8.28	8.71	8.17	8.59	18611353	358690304.00
2007/05/22	8.63	9.56	8.63	9.56	39490686	820183616.00
2007/05/23	9.85	9.86	9.48	9.66	27792889	598437184.00
2007/05/24	9.73	10.52	9.73	10.28	30790590	696184960.00
2007/05/25	10.29	11.38	10.18	11.16	24595480	586724096.00
2007/05/28	11.39	11.58	11.18	11.25	20670435	513445600.00
2007/05/29	11.28	11.53	11.06	11.47	20727877	511667424.00
2007/05/30	10.68	11.35	10.21	10.26	35247757	834615296.00
2007/05/31	10.23	10.88	9.17	10.67	35920170	810766080.00
2007/06/01	10.73	10.87	9.89	10.16	27324094	637414528.00
2007/06/04	10.15	10.16	9.03	9.03	23617941	493045600.00
2007/06/05	8.38	9.58	8.02	9.56	33119102	639290560.00
2007/06/06	9.66	9.98	9.28	9.73	23844553	514491232.00
2007/06/07	9.73	10.38	9.68	10.30	20798078	467888384.00
2007/06/08	10.38	10.98	10.31	10.78	22564584	536947840.00
2007/06/11	10.94	11.53	10.94	11.40	22967280	573599808.00
2007/06/12	11.56	12.65	11.56	12.65	36080087	981476224.00
2007/06/13	13.33	13.48	12.88	13.20	29650660	844635520.00
2007/06/14	12.93	14.63	12.54	14.33	35763434	1074951424.00
2007/06/15	14.38	15.88	14.21	15.88	27673699	924554048.00
