601998 中信银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/04/27	7.01	9.50	6.74	8.81	834062637	8437484544.00
2007/04/30	7.86	8.40	7.86	7.95	356261450	3712135424.00
2007/05/08	8.00	8.13	7.67	8.05	202265270	2077980672.00
2007/05/09	8.06	8.93	7.89	8.89	301318369	3273551872.00
2007/05/10	8.89	8.98	8.57	8.89	215001808	2439488512.00
2007/05/11	8.75	9.30	8.59	9.10	178956825	2077424896.00
2007/05/14	8.91	9.17	8.80	8.98	142516432	1654802816.00
2007/05/15	8.98	9.05	8.35	8.42	140699905	1572252416.00
2007/05/16	8.32	8.55	8.10	8.48	74153147	801701440.00
2007/05/17	8.48	8.63	8.34	8.51	75229054	825743744.00
2007/05/18	8.50	8.50	8.26	8.35	66367983	718260608.00
2007/05/21	8.03	8.34	7.94	8.20	78781832	833555456.00
2007/05/22	8.20	8.38	8.12	8.20	75636831	805809216.00
2007/05/23	8.22	8.33	8.15	8.28	76224231	814570816.00
2007/05/24	8.34	8.63	8.26	8.39	105478746	1150070528.00
2007/05/25	8.34	8.38	8.21	8.25	67141126	718713024.00
2007/05/28	8.25	8.39	8.18	8.35	96110934	1032906048.00
2007/05/29	8.49	8.55	8.33	8.44	111975529	1221297024.00
2007/05/30	8.00	8.30	7.64	7.76	105130805	1086653440.00
2007/05/31	7.75	8.40	7.57	8.22	116700036	1219553664.00
2007/06/01	8.17	8.48	8.05	8.08	101313935	1084801920.00
2007/06/04	8.00	8.00	7.20	7.20	79735837	777784576.00
2007/06/05	7.00	7.46	6.59	7.45	74331978	690090304.00
2007/06/06	7.50	7.57	7.29	7.38	51407322	498906560.00
2007/06/07	7.42	7.47	7.34	7.46	48076871	465595008.00
2007/06/08	7.46	7.98	7.32	7.86	94957689	949736768.00
2007/06/11	8.00	8.00	7.65	7.82	87329101	884344128.00
2007/06/12	7.83	7.83	7.41	7.69	54959719	546919488.00
2007/06/13	7.69	8.01	7.67	7.92	86598980	884347520.00
2007/06/14	7.92	7.93	7.60	7.67	50526729	509168800.00
2007/06/15	7.57	7.92	7.53	7.71	46993526	472674208.00
2007/06/18	7.88	8.06	7.75	7.87	75392754	776751744.00
