603658 安图生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/09/01	16.49	19.99	16.49	19.99	17389	364819.00
2016/09/02	22.09	22.09	22.09	22.09	8000	184800.00
2016/09/05	24.40	24.40	24.40	24.40	6600	167706.00
2016/09/06	26.94	26.94	26.94	26.94	7600	212420.00
2016/09/07	29.74	29.74	29.74	29.74	3800	116850.00
2016/09/08	32.82	32.82	32.82	32.82	13300	449939.00
2016/09/09	36.20	36.20	36.20	36.20	20904	777838.00
2016/09/12	39.92	39.92	39.92	39.92	49735	2035654.00
2016/09/13	44.01	44.01	44.01	44.01	59646	2685263.00
2016/09/14	48.51	48.51	48.51	48.51	94622	4685681.00
2016/09/19	53.46	53.46	53.46	53.46	112232	6113277.00
2016/09/20	58.91	58.91	58.91	58.91	230629	13819290.00
2016/09/21	64.90	64.90	56.49	56.57	22603945	1363370112.00
2016/09/22	56.11	56.59	53.80	54.64	15194516	850707264.00
2016/09/23	55.59	55.80	52.91	52.99	10980274	610564288.00
2016/09/26	51.76	52.46	48.99	49.12	8291594	429606528.00
2016/09/27	48.79	49.94	47.52	49.11	7208445	357355520.00
2016/09/28	49.14	49.14	48.01	48.59	4193882	208076736.00
2016/09/29	48.63	49.99	48.63	49.20	4912100	247873840.00
2016/09/30	48.59	51.61	48.59	50.96	5808704	296246816.00
2016/10/10	51.41	55.08	51.41	54.23	7786159	424965696.00
2016/10/11	54.59	55.64	53.49	54.97	7671831	427854784.00
2016/10/12	54.28	57.79	54.00	56.79	6999057	399748768.00
2016/10/13	56.22	56.77	55.11	56.05	3996930	227284416.00
2016/10/14	55.62	57.47	55.49	55.63	4570547	262359968.00
2016/10/17	55.63	55.65	53.30	53.52	3238809	179298480.00
2016/10/18	53.27	54.43	53.09	54.08	2858645	156409120.00
2016/10/19	54.48	55.99	53.72	54.84	3103862	174479456.00
2016/10/20	54.98	55.74	53.66	53.80	2876236	158768848.00
2016/10/21	54.12	54.38	52.79	54.20	2084909	113974336.00
2016/10/24	54.40	57.57	53.89	57.42	5271165	301593248.00
2016/10/25	57.48	58.56	56.49	56.63	4526540	264346352.00
2016/10/26	57.00	57.39	55.27	56.12	3213799	183578240.00
2016/10/27	56.13	58.51	55.59	58.28	5106989	297068512.00
2016/10/28	57.69	59.22	56.84	57.40	5657237	334391552.00
2016/10/31	56.84	56.84	54.79	55.98	2868047	163133888.00
2016/11/01	55.95	59.11	55.85	59.01	5149943	303296992.00
2016/11/02	58.67	60.33	57.99	58.94	4683315	280544832.00
2016/11/03	58.47	59.06	57.30	57.78	4880869	288619936.00
2016/11/04	57.49	60.67	57.41	60.08	6456987	390200736.00
2016/11/07	59.90	61.49	59.06	59.38	5858057	358836352.00
2016/11/08	59.79	60.49	58.49	60.08	4401667	265973600.00
2016/11/09	60.12	62.99	59.40	61.51	8038351	501450272.00
2016/11/10	61.54	67.76	61.50	67.76	10489505	687478720.00
2016/11/11	68.89	73.82	67.29	67.41	14297767	1013721280.00
2016/11/14	66.01	68.48	64.39	65.40	7106574	475303232.00
2016/11/15	65.94	66.04	62.65	63.70	6384662	414410528.00
2016/11/16	63.58	63.87	61.13	61.33	4453642	282311520.00
2016/11/17	61.30	62.59	61.01	61.73	3398652	214264384.00
2016/11/18	61.73	63.46	61.49	61.69	3443459	218883168.00
2016/11/21	61.99	63.46	60.04	63.37	4772637	298699040.00
2016/11/22	62.87	64.79	62.62	64.50	4544076	296164864.00
