000002 万 科Ａ 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1991/12/23	-2.93	-2.92	-2.93	-2.92	289000	3294600.00
1991/12/24	-2.92	-2.91	-2.92	-2.91	633500	7918750.00
1991/12/25	-2.91	-2.90	-2.92	-2.91	490500	5935050.00
1991/12/26	-2.91	-2.91	-2.92	-2.91	491500	5947150.00
1991/12/27	-2.91	-2.91	-2.92	-2.91	440500	5352075.00
1991/12/28	-2.91	-2.91	-2.92	-2.91	292500	3627000.00
1991/12/30	-2.91	-2.91	-2.91	-2.91	307500	3782250.00
1992/01/02	-2.91	-2.91	-2.91	-2.91	448000	5577600.00
1992/01/03	-2.91	-2.91	-2.91	-2.91	297000	3682800.00
1992/01/06	-2.91	-2.91	-2.91	-2.91	565500	7068750.00
1992/01/07	-2.91	-2.90	-2.91	-2.90	729500	9301125.00
1992/01/08	-2.90	-2.90	-2.91	-2.91	580000	7279000.00
1992/01/09	-2.91	-2.91	-2.91	-2.91	301000	3762500.00
1992/01/10	-2.91	-2.91	-2.91	-2.91	211500	2633175.00
1992/01/13	-2.91	-2.91	-2.91	-2.91	211500	2590875.00
1992/01/14	-2.91	-2.91	-2.92	-2.91	256500	3090825.00
1992/01/15	-2.92	-2.91	-2.92	-2.92	322500	3837750.00
1992/01/16	-2.92	-2.92	-2.92	-2.92	245000	2842000.00
1992/01/17	-2.92	-2.92	-2.93	-2.92	269000	3174200.00
1992/01/20	-2.92	-2.92	-2.92	-2.92	268000	3175800.00
1992/01/21	-2.92	-2.92	-2.92	-2.92	143500	1678950.00
1992/01/22	-2.92	-2.92	-2.92	-2.92	187500	2193750.00
1992/01/23	-2.92	-2.92	-2.92	-2.92	216000	2538000.00
1992/01/24	-2.92	-2.92	-2.92	-2.92	225000	2655000.00
1992/01/27	-2.92	-2.92	-2.92	-2.92	222500	2592125.00
1992/01/29	-2.92	-2.92	-2.92	-2.92	271500	3203700.00
1992/01/30	-2.92	-2.91	-2.92	-2.92	245000	2940000.00
1992/02/02	-2.91	-2.91	-2.92	-2.91	100500	1226100.00
1992/02/11	-2.92	-2.91	-2.92	-2.92	143500	1722000.00
1992/02/12	-2.92	-2.91	-2.92	-2.91	97300	1172465.00
1992/02/13	-2.91	-2.91	-2.92	-2.91	149500	1801475.00
1992/02/14	-2.92	-2.91	-2.92	-2.92	157500	1858500.00
1992/02/17	-2.92	-2.92	-2.92	-2.92	270000	3159000.00
1992/02/18	-2.92	-2.92	-2.92	-2.92	199500	2324175.00
1992/02/19	-2.92	-2.92	-2.92	-2.92	129000	1502850.00
1992/02/20	-2.92	-2.92	-2.92	-2.92	257000	3006900.00
1992/02/21	-2.92	-2.92	-2.92	-2.92	170000	1989000.00
1992/02/24	-2.92	-2.92	-2.92	-2.92	169000	1935050.00
1992/02/25	-2.92	-2.92	-2.93	-2.93	215500	2413600.00
1992/02/26	-2.93	-2.93	-2.93	-2.93	250500	2793075.00
1992/02/27	-2.93	-2.92	-2.93	-2.92	171000	1966500.00
1992/02/28	-2.92	-2.92	-2.92	-2.92	179500	2091174.88
1992/03/02	-2.92	-2.92	-2.92	-2.92	656000	7708000.00
1992/03/03	-2.92	-2.92	-2.92	-2.92	172500	1975125.00
1992/03/04	-2.92	-2.92	-2.93	-2.92	215500	2456700.00
1992/03/06	-2.92	-2.92	-2.92	-2.92	51500	594825.00
1992/03/09	-2.92	-2.92	-2.92	-2.92	117500	1351250.00
1992/03/10	-2.92	-2.92	-2.92	-2.92	96000	1094400.00
1992/03/11	-2.92	-2.92	-2.92	-2.92	67000	763800.00
1992/03/12	-2.92	-2.92	-2.92	-2.92	71500	818675.00
1992/03/13	-2.92	-2.92	-2.92	-2.92	101000	1146350.00
1992/03/16	-2.92	-2.92	-2.93	-2.92	282000	3200700.00
1992/03/19	-2.93	-2.92	-2.93	-2.93	187000	2094400.00
1992/03/20	-2.89	-2.89	-2.90	-2.90	157000	1742700.00
1992/03/23	-2.90	-2.89	-2.90	-2.90	195000	2154750.00
1992/03/24	-2.90	-2.90	-2.90	-2.90	284500	3129500.00
1992/03/25	-2.90	-2.89	-2.90	-2.89	400500	4585725.00
1992/03/27	-2.88	-2.88	-2.89	-2.88	630000	7497000.00
1992/03/30	-2.88	-2.88	-2.91	-2.90	553500	5894775.00
1992/04/01	-2.90	-2.90	-2.90	-2.90	1051000	11298250.00
1992/04/02	-2.90	-2.90	-2.90	-2.90	751500	8116200.00
1992/04/03	-2.91	-2.90	-2.91	-2.91	429000	4461600.00
1992/04/06	-2.91	-2.90	-2.91	-2.91	842500	8930500.00
1992/04/07	-2.90	-2.89	-2.91	-2.89	989500	11181350.00
1992/04/08	-2.89	-2.87	-2.89	-2.87	899000	11282450.00
1992/04/09	-2.87	-2.87	-2.88	-2.87	1183000	14728350.00
1992/04/10	-2.87	-2.86	-2.88	-2.86	1394500	18267950.00
1992/04/13	-2.86	-2.82	-2.86	-2.82	1052000	16463800.00
1992/04/14	-2.82	-2.80	-2.82	-2.81	1476500	24066948.00
1992/04/15	-2.81	-2.80	-2.84	-2.83	1389500	20842500.00
1992/04/16	-2.83	-2.81	-2.84	-2.82	1575000	24963750.00
1992/04/17	-2.82	-2.81	-2.83	-2.82	1061000	16498550.00
1992/04/20	-2.82	-2.82	-2.84	-2.83	760500	11407500.00
