000063 中兴通讯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/11/18	0.29	0.43	0.22	0.22	39718400	877249024.00
1997/11/19	0.19	0.26	0.18	0.20	9018400	185616992.00
1997/11/20	0.18	0.32	0.18	0.31	11910400	255535536.00
1997/11/21	0.33	0.34	0.26	0.26	8551400	186783440.00
1997/11/24	0.25	0.32	0.24	0.29	5451200	119508576.00
1997/11/25	0.30	0.35	0.25	0.29	5125100	112597832.00
1997/11/26	0.29	0.30	0.24	0.25	3224000	69201768.00
1997/11/27	0.24	0.28	0.21	0.21	3954200	82961104.00
1997/11/28	0.20	0.27	0.19	0.26	2389900	49710972.00
1997/12/01	0.25	0.26	0.21	0.22	1617200	33810756.00
1997/12/02	0.23	0.25	0.21	0.22	1243100	25891774.00
1997/12/03	0.21	0.24	0.20	0.22	1165500	24057568.00
1997/12/04	0.22	0.28	0.21	0.26	2717400	57857012.00
1997/12/05	0.27	0.33	0.24	0.25	4306000	94164384.00
1997/12/08	0.25	0.28	0.25	0.25	1645500	35105492.00
1997/12/09	0.27	0.27	0.25	0.26	988200	21156320.00
1997/12/10	0.27	0.32	0.27	0.30	2374800	52044064.00
1997/12/11	0.29	0.30	0.27	0.29	1163500	25276882.00
1997/12/12	0.30	0.32	0.28	0.29	2320600	51339832.00
1997/12/15	0.31	0.38	0.29	0.37	5904400	134948496.00
1997/12/16	0.38	0.45	0.37	0.41	6862500	164108080.00
1997/12/17	0.40	0.41	0.35	0.35	5251100	121925416.00
1997/12/18	0.34	0.39	0.33	0.36	3059400	70780016.00
1997/12/19	0.36	0.42	0.35	0.40	3310200	77831408.00
1997/12/22	0.43	0.49	0.41	0.49	4780900	118389328.00
1997/12/23	0.49	0.54	0.46	0.52	4560900	114949688.00
1997/12/24	0.52	0.54	0.50	0.50	3154100	80983112.00
1997/12/25	0.50	0.53	0.48	0.50	2426500	61602096.00
1997/12/26	0.52	0.55	0.49	0.52	2491800	63624372.00
1997/12/29	0.53	0.54	0.47	0.48	2448600	61540596.00
1997/12/30	0.46	0.49	0.45	0.46	1663200	41245020.00
1997/12/31	0.46	0.54	0.46	0.53	2453200	62261456.00
1998/01/05	0.55	0.68	0.53	0.66	4358000	118584712.00
1998/01/06	0.64	0.65	0.59	0.62	4227500	115102624.00
1998/01/07	0.62	0.76	0.58	0.70	3987500	111366104.00
1998/01/08	0.68	0.76	0.67	0.69	3633800	105017504.00
1998/01/09	0.67	0.73	0.62	0.67	2740300	76675864.00
1998/01/12	0.67	0.70	0.62	0.63	2129000	59141496.00
1998/01/13	0.60	0.60	0.46	0.52	5149800	131451400.00
1998/01/14	0.52	0.60	0.51	0.56	3008300	78576144.00
1998/01/15	0.57	0.59	0.51	0.54	1783000	46284084.00
1998/01/16	0.54	0.58	0.52	0.55	1430400	37468044.00
1998/01/19	0.54	0.60	0.53	0.56	1218200	32305060.00
1998/01/20	0.57	0.58	0.48	0.50	1275900	32712596.00
1998/01/21	0.51	0.53	0.43	0.44	1311100	32474486.00
1998/01/22	0.44	0.53	0.44	0.51	1291000	32499808.00
1998/01/23	0.51	0.53	0.49	0.51	893600	22726746.00
1998/02/09	0.57	0.57	0.49	0.50	1075500	27657854.00
1998/02/10	0.49	0.49	0.45	0.45	918600	22665160.00
1998/02/11	0.44	0.48	0.43	0.45	806600	19770546.00
1998/02/12	0.45	0.47	0.43	0.46	826400	20224040.00
1998/02/13	0.45	0.51	0.45	0.49	819400	20521940.00
1998/02/16	0.49	0.54	0.48	0.48	1321800	33581260.00
1998/02/17	0.49	0.49	0.45	0.46	735600	18142720.00
1998/02/18	0.45	0.46	0.43	0.43	918800	22287968.00
1998/02/19	0.43	0.47	0.43	0.46	498200	12142962.00
1998/02/20	0.46	0.49	0.45	0.45	573000	14238818.00
1998/02/23	0.45	0.45	0.40	0.42	987800	23619416.00
1998/02/24	0.42	0.42	0.37	0.38	799400	18821872.00
1998/02/25	0.38	0.39	0.34	0.34	957600	21960712.00
1998/02/26	0.42	0.45	0.34	0.44	1639200	39114540.00
1998/02/27	0.42	0.45	0.37	0.37	736200	17347480.00
1998/03/02	0.30	0.34	0.28	0.29	1579200	34869912.00
1998/03/03	0.27	0.34	0.26	0.34	859500	19149466.00
1998/03/04	0.37	0.41	0.32	0.33	685600	15664875.00
1998/03/05	0.32	0.35	0.30	0.30	550300	12366887.00
1998/03/06	0.30	0.32	0.28	0.30	410900	9049952.00
1998/03/09	0.30	0.31	0.27	0.29	406300	8866469.00
1998/03/10	0.29	0.30	0.24	0.28	832400	17828986.00
1998/03/11	0.28	0.33	0.27	0.29	965600	21449742.00
1998/03/12	0.28	0.32	0.27	0.31	765800	16869954.00
1998/03/13	0.30	0.36	0.30	0.35	1068200	24197002.00
1998/03/16	0.36	0.40	0.35	0.38	1461000	34022912.00
1998/03/17	0.38	0.41	0.36	0.37	1036300	24324726.00
1998/03/18	0.38	0.39	0.35	0.35	777500	17935962.00
1998/03/19	0.34	0.36	0.33	0.33	471800	10742973.00
1998/03/20	0.35	0.37	0.32	0.37	1057400	24059206.00
1998/03/23	0.39	0.50	0.38	0.45	5508900	135018720.00
1998/03/24	0.45	0.51	0.44	0.51	3954200	99244904.00
1998/03/25	0.54	0.59	0.48	0.51	7141800	186860720.00
1998/03/26	0.54	0.64	0.53	0.62	8230100	222089472.00
1998/03/27	0.64	0.74	0.61	0.72	7639600	214116144.00
1998/03/30	0.72	0.76	0.68	0.70	7096400	204318352.00
1998/03/31	0.70	0.70	0.64	0.66	4303600	120177448.00
1998/04/01	0.65	0.73	0.64	0.69	3359000	95956424.00
1998/04/02	0.70	0.72	0.66	0.66	2968900	83760832.00
1998/04/03	0.64	0.70	0.64	0.68	2291500	64558260.00
1998/04/06	0.67	0.86	0.65	0.86	5360300	157556400.00
1998/04/07	0.91	0.92	0.84	0.87	4479800	141402752.00
1998/04/08	0.86	0.89	0.84	0.86	2275400	70868824.00
1998/04/09	0.86	0.88	0.81	0.85	2485600	76481504.00
1998/04/10	0.85	0.95	0.84	0.90	2860500	91482296.00
1998/04/13	0.89	0.92	0.83	0.85	2416300	75880488.00
1998/04/14	0.84	0.89	0.83	0.85	1571800	48834592.00
1998/04/15	0.85	0.89	0.83	0.87	1326000	41221504.00
1998/04/16	0.85	0.96	0.84	0.88	2803900	89765192.00
1998/04/17	0.88	0.88	0.83	0.83	1695400	52466464.00
1998/04/20	0.82	0.86	0.77	0.77	1674500	50883380.00
1998/04/21	0.78	0.83	0.73	0.76	1275300	37851920.00
1998/04/22	0.75	0.92	0.74	0.86	1652100	50383920.00
1998/04/23	0.88	0.89	0.81	0.82	1307200	40578848.00
1998/04/24	0.81	0.86	0.80	0.82	1192400	36611348.00
1998/04/27	0.82	0.94	0.80	0.91	2624100	83212160.00
1998/04/28	0.94	1.05	0.94	1.01	3532000	117985056.00
1998/04/29	1.02	1.11	0.98	1.07	4155700	144398992.00
1998/04/30	1.10	1.10	1.07	1.09	1538700	53556696.00
1998/05/04	1.10	1.16	1.08	1.09	2136300	75565624.00
1998/05/05	1.08	1.11	1.07	1.09	1106900	38542948.00
1998/05/06	1.10	1.13	1.07	1.10	1405000	49223860.00
1998/05/07	1.11	1.13	1.03	1.03	1524500	53179360.00
1998/05/08	1.02	1.06	1.00	1.04	2424800	82143672.00
1998/05/11	1.05	1.06	0.97	0.99	1664100	55899376.00
1998/05/12	0.98	1.01	0.94	0.97	1236400	40796412.00
1998/05/13	0.96	1.07	0.96	1.03	924600	31327380.00
1998/05/14	1.02	1.11	1.01	1.05	1299000	44914488.00
1998/05/15	1.06	1.10	1.01	1.02	767100	26207678.00
1998/05/18	1.02	1.08	1.01	1.03	746600	25513654.00
1998/05/19	1.03	1.04	0.98	0.99	720100	24144126.00
1998/05/20	1.00	1.05	0.98	1.00	827700	27703960.00
1998/05/21	1.00	1.06	0.99	1.04	995900	33802844.00
1998/05/22	1.04	1.12	1.04	1.08	1648700	57595528.00
1998/05/25	1.10	1.13	1.03	1.04	1042100	36186200.00
1998/05/26	1.03	1.05	0.99	1.03	1098900	37098128.00
1998/05/27	1.03	1.06	1.00	1.01	583200	19730114.00
1998/05/28	1.01	1.02	0.97	0.98	886000	29388282.00
1998/05/29	0.97	1.01	0.97	1.01	605000	20072382.00
1998/06/01	1.00	1.02	0.91	0.93	1284600	41887740.00
1998/06/02	0.94	0.95	0.91	0.93	834300	26823992.00
1998/06/03	0.93	0.94	0.87	0.89	966700	30699396.00
1998/06/04	0.89	0.96	0.85	0.93	1075900	34404840.00
1998/06/05	0.93	1.01	0.91	0.98	868100	28726594.00
1998/06/08	0.99	1.08	0.96	1.06	1615600	55144672.00
1998/06/09	1.06	1.11	1.03	1.08	1790900	62078208.00
1998/06/10	1.10	1.13	1.07	1.08	1534600	54081828.00
1998/06/11	1.07	1.08	1.02	1.03	1099700	37601944.00
1998/06/12	1.10	1.11	1.04	1.07	1145800	39877868.00
1998/06/15	1.10	1.10	0.99	1.01	1105600	37426684.00
1998/06/16	1.01	1.04	0.96	1.02	1148300	38385608.00
1998/06/17	1.03	1.05	0.98	1.00	512800	17174866.00
1998/06/18	1.00	1.05	1.00	1.02	387600	13071136.00
1998/06/19	1.04	1.20	1.03	1.19	3638300	129452960.00
1998/06/22	1.21	1.22	1.15	1.16	1544000	55757688.00
1998/06/23	1.17	1.31	1.16	1.24	2178300	81352976.00
1998/06/24	1.25	1.28	1.23	1.26	830200	31144260.00
1998/06/25	1.27	1.31	1.25	1.26	1360800	51551692.00
1998/06/26	1.26	1.26	1.18	1.18	1782300	65304624.00
1998/06/29	1.17	1.18	1.09	1.11	966300	34236992.00
1998/06/30	1.11	1.20	1.10	1.17	1402800	50290856.00
1998/07/01	1.22	1.22	1.10	1.10	1533400	54412692.00
1998/07/02	1.07	1.13	1.05	1.12	1029900	35784700.00
1998/07/03	1.13	1.13	1.09	1.11	480000	16881910.00
1998/07/06	1.10	1.15	1.09	1.10	565300	19862738.00
1998/07/07	1.09	1.14	1.08	1.13	356300	12585711.00
1998/07/08	1.15	1.24	1.14	1.18	1112200	40642856.00
1998/07/09	1.21	1.21	1.17	1.19	254600	9276237.00
1998/07/10	1.20	1.23	1.18	1.23	1169600	42772576.00
1998/07/13	1.23	1.24	1.20	1.22	406600	14976568.00
1998/07/14	1.21	1.30	1.15	1.16	1977700	72693832.00
1998/07/15	1.13	1.18	1.12	1.16	734200	26385888.00
1998/07/16	1.17	1.17	0.98	1.01	3870700	131177976.00
1998/07/17	1.00	1.06	0.99	1.02	1517400	51451544.00
1998/07/20	0.98	1.02	0.93	0.94	2094400	68830632.00
1998/07/21	1.04	1.09	0.96	1.03	843000	28335158.00
1998/07/22	1.03	1.05	1.00	1.02	656800	22092106.00
1998/07/23	0.98	1.04	0.98	1.02	364800	12250510.00
1998/07/24	1.05	1.12	1.04	1.12	1076800	37485908.00
1998/07/27	1.14	1.14	1.09	1.12	747700	26286924.00
1998/07/28	1.10	1.12	1.09	1.11	393000	13769463.00
1998/07/29	1.11	1.12	1.08	1.09	343200	11995202.00
1998/07/30	1.10	1.13	1.08	1.12	553500	19359186.00
1998/07/31	1.16	1.18	1.13	1.15	2027800	72670392.00
1998/08/03	1.17	1.18	1.13	1.16	922100	33144760.00
1998/08/04	1.16	1.21	1.14	1.18	1168900	42367140.00
1998/08/05	1.20	1.21	1.15	1.18	734800	26537454.00
1998/08/06	1.18	1.20	1.14	1.14	750300	27161174.00
1998/08/07	1.14	1.14	1.05	1.07	951200	33036058.00
