000156 华数传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/09/06	15.31	15.97	13.64	13.68	18857000	423414496.00
2000/09/07	13.44	13.94	13.12	13.37	5037300	106392152.00
2000/09/08	13.38	13.53	12.83	12.98	2630600	54050912.00
2000/09/11	12.98	13.13	12.78	12.91	1441200	29253396.00
2000/09/12	13.04	13.42	12.96	13.10	1553800	32187294.00
2000/09/13	13.10	13.14	12.83	12.93	1379500	27978734.00
2000/09/14	12.88	13.03	12.70	12.72	1658900	33364054.00
2000/09/15	12.72	12.84	12.50	12.53	1218800	24088898.00
2000/09/18	12.50	12.54	12.07	12.38	1496700	28947820.00
2000/09/19	12.31	12.31	11.94	11.95	968500	18385456.00
2000/09/20	11.94	12.24	11.80	12.00	976800	18436104.00
2000/09/21	12.06	12.71	12.01	12.09	715000	13785348.00
2000/09/22	12.12	12.40	12.11	12.24	761300	14696136.00
2000/09/25	12.25	12.26	11.78	11.83	722000	13530350.00
2000/09/26	11.81	11.94	11.50	11.60	912300	16751274.00
2000/09/27	11.59	12.00	11.49	11.91	580000	10750891.00
2000/09/28	11.72	11.94	11.63	11.68	436000	8072407.00
2000/09/29	11.75	12.00	11.70	11.93	470100	8823889.00
2000/10/09	11.95	11.96	11.59	11.92	372600	6869124.00
2000/10/10	12.23	12.23	11.92	12.03	576100	10889649.00
2000/10/11	12.07	12.11	11.87	11.94	562000	10573028.00
2000/10/12	11.94	12.14	11.80	11.94	385500	7268562.50
2000/10/13	11.94	12.01	11.63	11.68	629300	11688001.00
2000/10/16	11.64	11.79	11.53	11.55	531400	9723429.00
2000/10/17	11.55	11.80	11.55	11.77	167700	3069366.00
2000/10/18	11.77	11.92	11.63	11.91	348600	6491064.00
2000/10/19	11.94	12.13	11.89	12.02	703900	13332590.00
2000/10/20	12.01	12.29	11.96	12.24	855900	16364584.00
2000/10/23	12.33	12.59	12.29	12.37	1236700	24174370.00
2000/10/24	12.38	12.70	12.27	12.62	1116000	21872774.00
2000/10/25	12.62	13.48	12.62	12.95	3328000	68335904.00
2000/10/26	12.92	13.03	12.79	12.87	946800	19193074.00
2000/10/27	13.11	13.11	12.79	12.88	478200	9692685.00
2000/10/30	12.88	12.92	12.55	12.79	706000	14176683.00
2000/10/31	12.79	12.79	12.34	12.43	699200	13797489.00
2000/11/01	12.40	12.72	12.37	12.63	457700	9048002.00
2000/11/02	12.73	12.73	12.58	12.58	389400	7735243.50
2000/11/03	12.58	12.58	12.43	12.44	382900	7515456.50
2000/11/06	12.44	12.91	12.43	12.84	609200	12237296.00
2000/11/07	12.87	13.28	12.85	13.23	1292000	26691080.00
2000/11/08	13.37	13.40	13.10	13.15	1505000	31386208.00
2000/11/09	13.16	13.35	12.95	13.25	850400	17534182.00
2000/11/10	13.25	13.34	12.98	13.09	632200	13048758.00
2000/11/13	13.10	13.24	13.01	13.15	669100	13764852.00
2000/11/14	13.18	13.37	13.03	13.33	954300	19896110.00
2000/11/15	13.34	13.56	13.12	13.17	782700	16425520.00
2000/11/16	13.05	13.05	12.72	12.74	2532400	51006060.00
2000/11/17	12.72	13.01	12.65	12.95	1662700	33660780.00
2000/11/20	12.92	12.92	12.72	12.77	674800	13589497.00
2000/11/21	12.77	12.95	12.72	12.74	591200	11917482.00
2000/11/22	12.83	13.29	12.83	13.19	997800	20577538.00
2000/11/23	13.31	13.42	13.19	13.24	1134000	23654864.00
2000/11/24	13.31	13.35	12.74	12.90	627300	12895037.00
2000/11/27	12.81	13.04	12.77	12.81	433500	8769079.00
2000/11/28	13.18	13.68	12.85	13.66	1379500	28943560.00
2000/11/29	13.70	13.88	13.40	13.83	2198700	47312432.00
2000/11/30	13.83	13.88	13.58	13.62	678300	14581940.00
2000/12/01	13.60	14.20	13.60	14.02	1957700	43127800.00
2000/12/04	14.22	14.64	14.05	14.47	1736200	39343328.00
2000/12/05	15.31	15.31	14.31	14.51	2244900	51421528.00
2000/12/06	14.54	14.66	14.03	14.09	1454700	32818790.00
2000/12/07	14.03	14.25	13.83	14.05	796000	17486088.00
2000/12/08	14.02	14.23	13.92	14.09	460100	10178850.00
2000/12/11	14.09	14.20	13.62	13.62	788600	17025244.00
2000/12/12	13.60	14.11	13.55	14.03	620000	13478419.00
2000/12/13	14.02	14.21	13.83	14.01	400000	8792966.00
2000/12/14	13.88	14.20	13.88	14.02	402000	8867682.00
2000/12/15	14.02	14.02	13.77	13.88	321800	6999093.50
2000/12/18	13.90	14.33	13.84	14.29	474800	10566907.00
2000/12/19	14.33	14.73	14.33	14.50	1085100	24769744.00
2000/12/20	14.54	14.72	14.35	14.70	637600	14586783.00
2000/12/21	14.79	14.79	14.48	14.49	472900	10812180.00
2000/12/22	14.41	14.53	14.35	14.47	310400	7026003.50
2000/12/25	14.46	14.66	14.25	14.38	437700	9869515.00
2000/12/26	14.35	14.47	14.20	14.37	603900	13536143.00
2000/12/27	14.37	14.66	14.29	14.40	308700	6998644.00
2000/12/28	14.41	14.80	14.33	14.73	678200	15575141.00
2000/12/29	14.73	14.92	14.67	14.69	545000	12594717.00
2001/01/02	14.70	14.99	14.58	14.87	519700	12101237.00
2001/01/03	14.86	15.07	14.83	14.87	522500	12236805.00
2001/01/04	14.86	15.19	14.86	15.07	858800	20312920.00
2001/01/05	15.16	15.22	14.93	15.16	469300	11106388.00
2001/01/08	15.19	15.24	14.60	14.73	914700	21187314.00
2001/01/09	14.67	14.87	14.47	14.72	444600	10219023.00
2001/01/10	14.73	15.06	14.72	14.88	470600	11001644.00
2001/01/11	14.88	14.88	14.57	14.63	545400	12581472.00
2001/01/12	14.64	14.64	14.19	14.22	945200	21291536.00
2001/01/15	14.21	14.21	13.55	13.60	792200	17126942.00
2001/01/16	13.49	13.99	13.37	13.97	415300	8855187.00
2001/01/17	13.90	13.95	13.70	13.70	227900	4945809.50
2001/01/18	13.37	13.76	13.37	13.59	182600	3916720.50
2001/01/19	13.87	13.89	13.58	13.62	392300	8408114.00
2001/02/05	13.62	13.66	12.72	13.24	388800	8048831.00
2001/02/06	12.87	13.24	12.85	13.16	276900	5652633.00
2001/02/07	13.11	13.18	12.70	12.75	323100	6526926.00
2001/02/08	12.71	12.99	12.33	12.53	323400	6426294.50
2001/02/09	12.55	12.90	12.55	12.75	392000	7842813.00
2001/02/12	12.75	13.03	12.67	12.98	614000	12390600.00
2001/02/13	13.02	13.12	12.80	12.85	142100	2895609.50
2001/02/14	12.85	12.97	12.77	12.82	174800	3524441.25
2001/02/15	12.85	12.95	12.59	12.66	158100	3163316.00
2001/02/16	12.64	12.64	12.34	12.56	207900	4066449.50
2001/02/19	12.53	12.85	12.53	12.85	133600	2674724.00
2001/02/20	12.71	12.97	12.66	12.70	174200	3499746.00
2001/02/21	12.63	12.67	12.07	12.13	280100	5412648.00
2001/02/22	12.07	12.20	12.01	12.03	234200	4463370.00
2001/02/23	12.07	12.27	11.94	12.27	77000	1472213.75
2001/02/26	12.40	12.64	12.27	12.55	116900	2280740.00
2001/02/27	12.59	12.59	12.40	12.50	110600	2169766.25
2001/02/28	12.48	12.57	12.37	12.53	150200	2945243.50
2001/03/01	12.53	12.90	12.50	12.79	236100	4706358.50
2001/03/02	12.83	12.93	12.72	12.88	255300	5153810.00
2001/03/05	12.85	12.85	12.59	12.64	204700	4075800.25
2001/03/06	12.64	12.64	12.43	12.51	186700	3666597.25
2001/03/07	12.44	12.82	12.44	12.62	203000	4057832.75
2001/03/08	12.71	12.84	12.63	12.72	184300	3692495.75
2001/03/09	12.72	12.72	12.53	12.63	265100	5270036.00
2001/03/12	12.59	12.84	12.59	12.82	205300	4116498.00
2001/03/13	12.85	12.90	12.73	12.80	186100	3747509.50
2001/03/14	12.80	13.23	12.80	13.22	527300	10777690.00
2001/03/15	13.18	13.30	13.05	13.16	302900	6275573.50
2001/03/16	13.16	13.31	13.03	13.27	270300	5591262.00
2001/03/19	13.14	13.20	13.03	13.11	294300	6070808.00
2001/03/20	13.03	13.05	12.74	12.84	393100	7951556.50
2001/03/21	12.85	13.11	12.84	12.93	278100	5654208.00
2001/03/22	12.95	13.05	12.92	13.05	403200	8213504.50
2001/03/23	13.07	13.23	13.00	13.07	410100	8447395.00
2001/03/26	12.98	13.36	12.98	13.32	322800	6691342.50
2001/03/27	13.29	13.43	13.27	13.31	301000	6307446.00
2001/03/28	13.34	13.42	13.21	13.27	236100	4922518.50
2001/03/29	13.31	13.34	13.11	13.14	288400	5974225.00
2001/03/30	13.18	13.37	13.01	13.31	439200	9036878.00
2001/04/02	13.44	13.68	13.29	13.59	740500	15705380.00
2001/04/03	13.63	13.68	13.38	13.51	241800	5127492.50
2001/04/04	13.51	13.53	12.79	13.11	356200	7440556.00
2001/04/05	13.09	13.29	12.98	13.24	244100	5021469.50
2001/04/06	13.37	13.37	13.12	13.20	177900	3684331.25
2001/04/09	13.16	13.33	13.05	13.18	141100	2914859.00
2001/04/10	13.18	13.44	13.18	13.32	130100	2720022.00
2001/04/11	13.32	13.37	13.05	13.27	161800	3375217.75
2001/04/12	13.24	13.40	13.10	13.39	353900	7407247.50
2001/04/13	13.34	13.63	13.28	13.61	484400	10248008.00
2001/04/16	13.64	13.76	13.49	13.75	728500	15596982.00
2001/04/17	13.76	13.86	13.64	13.76	815100	17568870.00
2001/04/18	13.70	14.09	13.70	13.96	913600	20022218.00
2001/04/19	13.96	14.01	13.70	13.83	610000	13245709.00
2001/04/20	13.83	14.14	13.63	13.96	821500	17934362.00
2001/04/23	13.92	14.10	13.77	14.07	922900	20270798.00
2001/04/24	14.14	14.36	13.98	14.27	1183800	26392044.00
2001/04/25	14.27	14.46	13.73	13.76	854100	18896918.00
2001/04/26	13.70	14.17	13.70	13.89	905300	19838198.00
2001/04/27	13.89	14.07	13.89	14.02	959700	21068826.00
2001/04/30	14.16	14.23	13.94	14.08	445300	9856637.00
2001/05/08	13.89	14.15	13.70	13.77	758300	16532855.00
2001/05/09	13.70	13.92	13.70	13.75	269900	5827309.00
2001/05/10	13.74	13.85	13.66	13.70	321100	6926241.50
2001/05/11	13.70	13.81	13.66	13.78	290000	6250055.00
2001/05/14	13.89	14.25	13.88	13.89	709300	15579712.00
2001/05/15	14.09	14.31	13.99	14.25	764900	16929248.00
2001/05/16	14.28	14.49	14.23	14.28	928500	20925682.00
2001/05/17	14.38	14.38	14.14	14.20	478800	10690346.00
2001/05/18	14.22	14.72	14.20	14.56	1074800	24499410.00
2001/05/21	14.73	14.96	14.59	14.70	1235900	28657746.00
2001/05/22	14.70	14.77	14.47	14.64	611800	13992609.00
2001/05/23	14.67	14.67	14.09	14.34	1023300	22959744.00
2001/05/24	14.38	14.47	14.15	14.17	685900	15377896.00
2001/05/25	14.23	14.29	14.09	14.22	434300	9670862.00
2001/05/28	14.28	14.83	14.28	14.64	1035200	23745406.00
2001/05/29	14.60	14.86	14.54	14.64	575000	13282172.00
2001/05/30	14.67	14.90	14.58	14.79	713600	16524533.00
2001/05/31	14.83	15.05	14.73	14.76	723700	16910552.00
2001/06/04	14.86	14.99	14.77	14.92	655600	15280851.00
2001/06/05	14.93	14.99	14.73	14.99	661100	15354883.00
2001/06/06	14.98	15.32	14.73	15.21	1541000	36584356.00
2001/06/07	15.21	15.31	15.11	15.16	658600	15672252.00
2001/06/08	15.09	15.19	14.86	15.18	468500	11007212.00
2001/06/11	15.33	15.33	15.07	15.24	505200	12054090.00
2001/06/12	15.19	15.51	15.12	15.43	923100	22277694.00
2001/06/13	15.51	15.84	15.27	15.30	1028500	24820060.00
2001/06/14	15.30	15.38	14.67	15.14	1138400	27040098.00
2001/06/15	15.09	15.45	14.82	15.38	979600	23251614.00
2001/06/18	15.45	15.64	15.20	15.40	1622500	39282188.00
2001/06/19	15.44	15.58	15.11	15.12	964700	23041796.00
2001/06/20	15.06	15.32	14.90	14.99	333000	7895202.00
2001/06/21	14.96	15.25	14.96	15.23	295100	6995015.00
2001/06/22	15.23	15.56	15.19	15.33	956700	23046678.00
2001/06/25	15.38	15.70	15.35	15.57	541400	13157540.00
2001/06/26	15.48	15.64	15.26	15.62	565700	13762594.00
2001/06/27	15.62	16.27	15.45	16.05	2087800	52252832.00
2001/06/28	16.13	16.55	16.03	16.38	1686900	43216780.00
2001/06/29	16.45	16.45	16.20	16.26	718900	18312596.00
2001/07/02	16.25	16.39	16.13	16.18	691700	17549882.00
2001/07/03	16.16	16.38	15.68	15.93	1037500	25803862.00
2001/07/04	16.00	16.00	15.75	15.94	333400	8270709.50
2001/07/05	15.97	15.97	15.53	15.55	505500	12395727.00
2001/07/06	15.48	15.53	14.83	14.94	1132600	26877352.00
2001/07/09	14.94	15.25	14.87	15.09	436500	10270249.00
2001/07/10	15.12	15.42	15.12	15.41	306300	7339227.50
2001/07/11	15.40	15.42	14.77	14.84	666200	15608356.00
2001/07/12	14.77	14.77	14.49	14.65	710700	16253747.00
2001/07/13	14.70	14.80	14.57	14.60	457800	10504123.00
2001/07/16	14.70	14.83	14.25	14.30	482900	10981877.00
2001/07/17	14.25	14.70	14.06	14.70	376100	8432792.00
2001/07/18	14.70	14.79	14.43	14.68	201000	4591066.00
2001/07/19	14.70	14.90	14.51	14.90	234400	5407494.00
2001/07/20	14.90	15.09	14.83	15.02	441100	10350402.00
2001/07/23	15.09	15.12	14.70	14.78	306800	7123003.50
2001/07/24	14.70	14.70	14.27	14.37	372700	8430322.00
2001/07/25	14.31	14.49	14.18	14.24	187800	4199172.50
2001/07/26	14.25	14.38	14.13	14.30	154700	3457636.25
2001/07/27	14.38	14.38	13.79	13.83	342600	7511037.00
2001/07/30	13.73	13.73	12.63	12.78	435300	9003783.00
2001/07/31	12.69	13.08	12.63	12.78	385800	7778899.00
2001/08/01	12.85	13.40	12.85	13.36	290800	6010150.00
2001/08/02	13.40	13.55	12.92	13.40	249600	5166982.00
2001/08/03	13.40	13.58	13.22	13.53	126600	2661926.00
2001/08/06	13.40	13.40	12.63	13.01	262900	5364471.50
2001/08/07	12.92	13.30	12.69	13.22	186000	3804821.50
2001/08/08	13.35	13.39	13.14	13.34	87700	1830303.00
2001/08/09	13.40	13.59	13.33	13.58	181600	3844124.75
2001/08/10	13.69	13.78	13.53	13.60	262100	5610157.50
2001/08/13	13.63	13.70	13.47	13.60	126800	2700559.50
2001/08/14	13.66	13.85	13.41	13.68	234100	5028037.00
2001/08/15	13.66	13.73	13.52	13.60	152400	3264402.25
2001/08/17	12.94	13.13	12.92	13.05	150900	3079077.25
2001/08/20	13.08	13.24	13.02	13.22	64200	1324551.00
2001/08/21	13.23	13.33	13.01	13.16	73900	1528226.50
2001/08/22	13.14	13.14	12.74	12.75	459900	9250167.00
2001/08/23	12.69	12.69	12.35	12.63	300500	5922013.00
2001/08/24	12.63	12.74	12.43	12.46	132800	2620890.00
2001/08/27	12.31	12.37	11.85	11.88	313200	5910724.00
2001/08/28	11.77	12.07	11.73	12.07	207000	3847009.00
2001/08/29	12.07	12.24	12.04	12.07	121200	2313873.00
2001/08/30	12.04	12.14	11.87	12.06	72900	1379623.88
2001/09/03	12.06	12.33	12.03	12.11	72700	1384185.25
2001/09/04	12.11	12.61	12.11	12.57	174700	3377909.25
2001/09/05	12.56	12.73	12.44	12.52	171600	3388987.25
2001/09/06	12.44	12.52	12.30	12.36	111100	2153079.50
2001/09/07	12.69	12.69	11.88	11.91	168500	3193199.75
2001/09/10	11.85	12.27	11.72	12.18	159500	3014315.50
2001/09/11	12.20	12.24	12.09	12.13	102600	1954721.00
2001/09/12	11.92	12.27	11.57	11.91	249100	4679973.50
2001/09/13	11.98	12.24	11.96	12.07	136000	2599689.25
2001/09/14	12.01	12.14	11.90	11.90	113100	2123906.75
2001/09/17	11.88	11.91	11.60	11.61	168200	3097639.00
2001/09/18	11.52	12.01	11.39	11.67	158300	2882385.00
2001/09/19	11.72	11.83	11.55	11.69	55600	1018061.25
2001/09/20	11.87	12.01	11.72	11.85	97500	1819885.38
2001/09/21	11.81	11.98	11.67	11.70	52600	971737.00
2001/09/24	11.68	11.91	11.59	11.62	70600	1295449.50
2001/09/25	11.70	11.71	11.46	11.55	69600	1265895.00
2001/09/26	11.55	11.72	11.50	11.55	71400	1296809.50
2001/09/27	11.59	11.62	11.40	11.52	94300	1707370.88
2001/09/28	11.52	11.52	11.03	11.05	209800	3701185.75
2001/10/08	11.13	11.33	10.61	10.68	153800	2633984.75
2001/10/09	10.86	10.97	10.74	10.90	100000	1715149.38
2001/10/10	11.01	11.01	10.29	10.35	196600	3250969.00
2001/10/11	10.29	10.48	9.72	9.82	204800	3244411.00
2001/10/12	9.82	10.48	9.39	10.31	385000	5988114.50
2001/10/15	10.31	10.44	10.06	10.32	155900	2526763.50
2001/10/16	10.35	10.35	10.03	10.04	138600	2212498.00
2001/10/17	9.96	10.19	9.84	9.90	75600	1186929.50
2001/10/18	10.09	10.09	9.70	9.75	115100	1788377.75
2001/10/19	9.76	9.76	9.15	9.42	279800	4141638.50
2001/10/22	9.31	9.50	9.04	9.16	232000	3391632.00
2001/10/23	10.08	10.10	9.89	10.10	517900	8221789.50
2001/10/24	10.48	11.13	10.48	10.87	1910900	32655254.00
2001/10/25	10.74	10.92	10.50	10.59	487100	8203365.00
2001/10/26	10.54	10.68	10.39	10.66	523500	8662847.00
2001/10/29	10.72	10.94	10.66	10.83	281300	4770834.50
2001/10/30	10.81	10.83	10.68	10.78	261600	4426917.50
2001/10/31	10.55	10.68	10.41	10.66	121500	2008177.00
2001/11/01	10.68	10.82	10.61	10.79	207400	3499511.00
2001/11/02	10.78	10.81	10.70	10.74	111900	1895639.00
2001/11/05	10.71	10.74	10.47	10.61	72900	1215869.00
2001/11/06	10.68	10.81	10.68	10.69	117100	1978443.00
2001/11/07	10.65	10.65	9.60	9.63	402700	6326145.00
2001/11/08	9.22	9.83	9.22	9.65	276100	4144808.50
2001/11/09	9.65	9.87	9.42	9.81	236500	3622167.25
2001/11/12	9.83	9.93	9.70	9.72	87100	1347135.00
2001/11/13	9.51	10.13	9.51	9.90	116900	1789752.88
2001/11/14	9.89	10.00	9.83	9.94	95900	1496708.63
2001/11/15	9.90	9.93	9.65	9.92	29600	458632.00
2001/11/16	10.70	10.81	10.08	10.15	509400	8334452.50
2001/11/19	10.09	10.41	10.08	10.40	117900	1906924.00
2001/11/20	10.40	10.68	10.40	10.55	332600	5526295.00
2001/11/21	10.61	10.61	10.47	10.57	131700	2186986.50
2001/11/22	10.52	10.78	10.52	10.76	241600	4067655.50
2001/11/23	10.73	10.74	10.55	10.65	90800	1518675.50
2001/11/26	10.34	10.55	10.34	10.50	71900	1186297.75
2001/11/27	10.50	10.59	10.45	10.57	81300	1345805.25
2001/11/28	10.59	10.81	10.59	10.71	159500	2687784.00
2001/11/29	10.73	10.87	10.69	10.79	204400	3468908.00
2001/11/30	10.81	10.87	10.76	10.86	147700	2512251.50
2001/12/03	10.93	11.04	10.81	10.88	192200	3299959.50
2001/12/04	10.89	10.93	10.81	10.90	131600	2250155.25
2001/12/05	10.87	10.97	10.61	10.61	358200	6073292.00
2001/12/06	10.55	10.77	10.55	10.65	185400	3104466.00
2001/12/07	10.62	11.12	10.08	10.96	371300	6316732.00
2001/12/10	10.94	10.98	10.81	10.98	185600	3177656.25
2001/12/11	10.95	11.16	10.92	11.00	337200	5848787.00
2001/12/12	11.00	11.30	10.85	11.19	672200	11781882.00
2001/12/13	11.18	11.33	11.12	11.19	842900	14858385.00
2001/12/14	11.20	11.26	10.94	10.98	506100	8819136.00
