000338 潍柴动力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/04/30	3.86	3.93	3.40	3.53	20737497	1365189248.00
2007/05/08	3.64	3.73	3.40	3.47	8629889	556319808.00
2007/05/09	3.43	3.47	3.19	3.34	9382251	578206528.00
2007/05/10	3.31	3.50	3.28	3.37	4772011	299922592.00
2007/05/11	3.34	3.34	3.19	3.26	3927313	237312640.00
2007/05/14	3.17	3.30	3.13	3.24	4225918	254487632.00
2007/05/15	3.24	3.25	3.08	3.10	3561509	210965200.00
2007/05/16	3.10	3.33	3.09	3.28	3789911	228617408.00
2007/05/17	3.32	3.42	3.28	3.42	3756792	233227664.00
2007/05/18	3.44	3.44	3.34	3.34	3374691	211636800.00
2007/05/21	3.20	3.38	3.20	3.33	3099305	190789904.00
2007/05/22	3.34	3.36	3.30	3.30	3938453	244051776.00
2007/05/23	3.30	3.58	3.25	3.46	4766617	299214656.00
2007/05/24	3.46	3.48	3.34	3.41	2273622	143333536.00
2007/05/25	3.39	3.53	3.35	3.49	3608156	230610496.00
2007/05/28	3.49	3.66	3.49	3.61	2962353	195512464.00
2007/05/29	3.60	4.04	3.60	4.04	4705210	334481952.00
2007/05/30	3.77	4.41	3.77	4.12	7362511	547867072.00
2007/05/31	4.12	4.38	3.79	4.18	4817148	359545568.00
2007/06/01	4.16	4.34	4.06	4.15	3496386	265019120.00
2007/06/04	4.15	4.19	3.79	3.88	3731951	267353728.00
2007/06/05	3.80	3.99	3.49	3.96	5017160	341039808.00
2007/06/06	3.93	4.20	3.80	4.11	4907529	357545856.00
2007/06/07	4.07	4.38	4.06	4.37	3822452	291408640.00
2007/06/08	4.37	4.38	4.22	4.35	2397745	184609184.00
2007/06/11	4.32	4.76	4.29	4.71	2702841	221016944.00
2007/06/12	4.71	4.85	4.54	4.81	3039112	253432128.00
2007/06/13	4.78	4.94	4.74	4.90	2527743	215341264.00
2007/06/15	4.74	5.26	4.74	4.97	3040831	266783696.00
2007/06/18	4.98	5.10	4.90	4.94	2082058	181648768.00
2007/06/19	4.94	4.97	4.77	4.80	2444348	207186512.00
2007/06/20	4.76	4.96	4.75	4.80	2075375	178049024.00
2007/06/21	4.78	4.97	4.78	4.90	1930034	165177040.00
2007/06/22	4.87	4.88	4.44	4.54	2108963	173036592.00
2007/06/25	4.54	4.64	4.29	4.39	1856448	147123312.00
2007/06/26	4.28	4.51	4.25	4.42	940402	73493920.00
2007/06/27	4.51	4.84	4.42	4.71	2586894	210650560.00
2007/06/28	4.72	4.78	4.42	4.42	1280876	104536432.00
2007/07/02	4.42	4.48	4.26	4.38	1231522	95427368.00
2007/07/03	4.38	4.53	4.36	4.48	1362821	108267056.00
2007/07/04	4.38	4.51	4.38	4.43	975169	77139920.00
2007/07/05	4.36	4.48	4.32	4.36	1680680	131891392.00
2007/07/06	4.38	4.41	4.12	4.37	1056818	80631520.00
2007/07/09	4.37	4.46	4.37	4.42	806667	63388972.00
2007/07/10	4.42	4.45	4.25	4.30	1150329	88289776.00
2007/07/11	4.30	4.30	4.20	4.25	1199689	91195616.00
2007/07/12	4.24	4.29	4.19	4.21	411223	31133900.00
2007/07/13	4.20	4.36	4.16	4.26	715165	54201948.00
2007/07/16	4.27	4.39	4.19	4.20	607171	46024524.00
2007/07/17	4.16	4.23	4.16	4.20	731686	54949276.00
2007/07/18	4.19	4.39	4.19	4.36	1389708	107531432.00
2007/07/19	4.31	4.38	4.27	4.35	348483	26871658.00
2007/07/20	4.35	4.51	4.35	4.48	1563601	123359672.00
2007/07/23	4.56	4.70	4.51	4.51	3557060	287789120.00
2007/07/24	4.58	4.58	4.48	4.53	3321394	266145280.00
2007/07/25	4.58	4.58	4.38	4.51	3654472	286960000.00
2007/07/26	4.51	4.54	4.40	4.43	2529579	200322192.00
2007/07/27	4.43	4.51	4.38	4.44	2790328	219508352.00
2007/07/30	4.42	4.58	4.42	4.53	2756149	220767168.00
2007/07/31	4.53	4.70	4.53	4.69	2503996	205289568.00
2007/08/01	4.71	4.74	4.45	4.45	2504607	201999104.00
2007/08/02	4.49	4.65	4.36	4.42	4189736	332697248.00
2007/08/03	4.51	4.66	4.42	4.63	4578398	372840544.00
2007/08/06	4.65	4.90	4.65	4.76	3042549	257814912.00
2007/08/07	4.77	5.03	4.68	4.92	3608368	308661792.00
2007/08/08	4.81	4.98	4.71	4.91	4009058	340213792.00
2007/08/09	4.91	5.44	4.84	5.28	3295461	298710624.00
2007/08/10	5.32	5.32	5.01	5.25	2492743	224909504.00
2007/08/13	5.17	5.23	4.96	4.97	2511923	222172720.00
2007/08/14	4.97	5.07	4.90	5.02	1193214	103685856.00
2007/08/15	5.02	5.19	4.91	4.98	1347547	118574112.00
2007/08/16	4.98	4.98	4.76	4.84	2220973	188180624.00
2007/08/17	4.78	4.91	4.74	4.74	1949342	164993376.00
2007/08/20	4.88	4.98	4.81	4.91	1765756	151432208.00
2007/08/21	4.91	5.09	4.82	4.94	3168657	274466944.00
2007/08/23	5.06	5.20	4.94	5.17	3697389	327886752.00
2007/08/24	5.25	5.73	5.25	5.73	3903283	375833792.00
2007/08/27	5.81	5.91	5.54	5.62	3034511	298717952.00
2007/08/28	5.64	5.82	5.43	5.62	3418973	331501696.00
2007/08/29	5.78	5.96	5.60	5.60	4833925	479838752.00
2007/08/30	5.63	5.92	5.50	5.83	3482172	346254144.00
2007/08/31	5.84	6.31	5.71	6.18	3660778	382259040.00
2007/09/03	6.17	6.43	6.02	6.05	3260883	342586368.00
2007/09/04	6.02	6.05	5.63	5.66	5255495	520740544.00
2007/09/05	5.63	5.81	5.60	5.71	1811580	178406912.00
2007/09/06	5.79	5.81	5.63	5.66	2157578	211232272.00
2007/09/07	5.60	5.66	5.44	5.48	3095094	293508352.00
2007/09/10	5.43	5.75	5.41	5.70	1825623	175745936.00
2007/09/11	5.71	5.80	5.31	5.31	2650669	257186048.00
2007/09/12	5.31	5.47	5.17	5.40	2035430	187961520.00
2007/09/13	5.38	5.60	5.31	5.59	2408643	229533840.00
2007/09/14	5.64	6.00	5.63	5.89	2851708	286101184.00
2007/09/17	5.89	5.96	5.67	5.74	2482088	245324448.00
2007/09/18	5.73	5.73	5.42	5.51	3012728	286640704.00
2007/09/19	5.51	5.56	5.29	5.37	2883145	267413568.00
2007/09/20	5.41	5.49	5.35	5.47	4610450	433167904.00
2007/09/21	5.47	5.47	5.30	5.40	3393112	314962496.00
2007/09/24	5.40	5.43	5.17	5.23	2319952	211412864.00
2007/09/25	5.27	5.27	5.07	5.09	4334149	387177440.00
2007/09/26	5.11	5.27	5.04	5.10	2579464	230264976.00
2007/09/27	5.12	5.24	5.08	5.20	2386703	214147920.00
2007/09/28	5.30	5.50	5.21	5.42	2726885	252564688.00
2007/10/08	5.57	5.64	5.34	5.34	3649671	343727904.00
2007/10/09	5.32	5.32	5.17	5.22	3314695	300095232.00
2007/10/10	5.24	5.45	5.16	5.30	5685447	523758656.00
2007/10/11	5.31	5.33	5.17	5.21	3371184	305403104.00
2007/10/12	5.27	5.73	5.17	5.64	6728923	631664832.00
2007/10/15	5.71	5.95	5.56	5.83	7811913	778275840.00
2007/10/16	5.89	5.96	5.70	5.71	3952240	393301792.00
2007/10/17	5.64	5.82	5.61	5.66	2924805	287252960.00
2007/10/18	5.70	5.83	5.38	5.42	2877513	275390144.00
2007/10/19	5.50	5.53	5.25	5.28	3240289	300676448.00
2007/10/22	5.20	5.37	5.11	5.17	2796389	253839744.00
2007/10/23	5.17	5.27	5.06	5.24	2144398	192612960.00
2007/10/24	5.26	5.41	5.17	5.30	3102786	284267296.00
2007/10/25	5.30	5.60	5.11	5.48	4534533	421307392.00
2007/10/26	5.43	5.65	5.30	5.44	4200026	398024352.00
2007/10/29	5.53	5.66	5.37	5.41	3289985	311178656.00
2007/10/30	5.50	5.69	5.42	5.68	4181957	403459360.00
2007/10/31	5.77	6.01	5.70	5.77	6672799	671842304.00
2007/11/01	5.76	6.14	5.71	6.00	5553418	562759488.00
2007/11/02	5.89	6.02	5.65	5.70	4392360	440620512.00
2007/11/05	5.63	6.33	5.59	6.14	6587236	680487680.00
2007/11/06	6.13	6.13	5.47	5.53	7202982	703442560.00
2007/11/07	5.49	5.60	5.24	5.30	4409908	408595520.00
2007/11/08	5.34	5.37	4.95	4.97	4999480	448805888.00
2007/11/09	5.04	5.21	4.96	5.07	3359660	297722560.00
2007/11/12	4.97	5.08	4.64	4.78	3275183	276042720.00
2007/11/13	4.85	4.93	4.64	4.71	2935416	245453504.00
2007/11/14	4.80	4.94	4.66	4.91	2351228	199136304.00
2007/11/15	4.91	4.95	4.78	4.80	2269755	193164688.00
2007/11/16	4.72	4.79	4.62	4.78	1913758	157386464.00
2007/11/19	4.72	4.86	4.68	4.83	1564034	132060904.00
2007/11/20	4.78	4.92	4.72	4.88	1913476	162543408.00
2007/11/21	4.91	5.00	4.82	4.82	1263834	108800712.00
2007/11/22	4.72	4.76	4.56	4.58	1708612	140272288.00
2007/11/23	4.57	4.62	4.46	4.54	1805986	144136960.00
2007/11/26	4.64	4.67	4.52	4.52	1487564	120877672.00
2007/11/27	4.50	4.50	4.34	4.39	1535579	120081216.00
2007/11/28	4.39	4.45	4.07	4.22	1378325	105807744.00
2007/11/29	4.26	4.41	4.22	4.39	1905217	147068976.00
2007/11/30	4.41	4.44	4.24	4.29	1622763	125297544.00
2007/12/03	4.29	4.43	4.24	4.36	1034125	79996616.00
2007/12/04	4.38	4.45	4.38	4.41	953516	74665600.00
2007/12/05	4.41	4.57	4.37	4.53	1388364	110420816.00
2007/12/06	4.54	4.61	4.46	4.48	956348	76587904.00
2007/12/07	4.52	4.63	4.45	4.56	1081613	86759512.00
2007/12/10	4.47	4.70	4.45	4.65	1829704	149647504.00
2007/12/11	4.66	4.79	4.66	4.70	2182776	181268128.00
2007/12/12	4.72	4.75	4.61	4.75	1390818	114453800.00
2007/12/13	4.73	4.73	4.45	4.46	2154236	173737904.00
2007/12/14	4.42	4.51	4.30	4.50	2099262	163493872.00
2007/12/17	4.48	4.49	4.38	4.39	1738726	136233776.00
2007/12/18	4.33	4.52	4.33	4.46	1511093	119432552.00
2007/12/19	4.47	4.60	4.46	4.60	1232722	99199160.00
2007/12/20	4.65	4.69	4.60	4.65	942947	77191864.00
2007/12/21	4.65	4.78	4.61	4.78	1743352	144556192.00
2007/12/25	4.96	4.99	4.81	4.85	2816241	241705936.00
2007/12/26	4.85	4.99	4.84	4.98	3042567	261501936.00
2007/12/27	5.01	5.06	4.98	4.99	2095855	183011920.00
2007/12/28	4.99	5.01	4.87	4.95	1593593	137066240.00
2008/01/02	4.96	4.96	4.82	4.84	2110668	179392800.00
2008/01/03	4.84	4.89	4.77	4.78	2690393	226283248.00
2008/01/04	4.80	4.97	4.80	4.94	2065786	177672384.00
2008/01/07	4.95	4.98	4.88	4.89	3098050	266216112.00
2008/01/08	4.91	5.44	4.91	5.33	7602405	694723968.00
2008/01/09	5.43	5.63	5.37	5.53	5847960	558206016.00
2008/01/10	5.53	5.62	5.44	5.55	3240773	309022304.00
2008/01/11	5.53	5.65	5.43	5.63	3151756	301829984.00
2008/01/14	5.67	5.70	5.51	5.64	3228826	311530848.00
2008/01/15	5.63	5.63	5.47	5.47	2461388	235588272.00
2008/01/16	5.38	5.46	5.12	5.15	3629605	332760896.00
2008/01/17	5.10	5.29	4.98	5.24	3946219	353885696.00
2008/01/18	5.18	5.25	5.08	5.21	1698994	152861008.00
2008/01/21	5.21	5.21	4.76	4.77	3264418	283179200.00
2008/01/22	4.52	4.68	4.24	4.26	3856268	301082560.00
2008/01/23	4.38	4.56	4.29	4.46	3230089	253507088.00
2008/01/24	4.55	4.81	4.45	4.76	3732486	306909664.00
2008/01/25	4.76	4.85	4.59	4.64	1655939	137829840.00
2008/01/28	4.59	4.84	4.44	4.69	4246285	345901248.00
2008/01/29	4.67	4.83	4.62	4.69	2295443	190069680.00
2008/01/30	4.73	4.78	4.58	4.59	1498944	123079488.00
2008/01/31	4.58	4.58	4.43	4.46	1314932	104844336.00
2008/02/01	4.40	4.52	4.10	4.31	1681656	128647472.00
2008/02/04	4.52	4.74	4.41	4.72	2054948	168437504.00
2008/02/05	4.69	4.82	4.60	4.68	1187030	98471496.00
2008/02/13	4.63	4.63	4.44	4.49	929614	74708896.00
2008/02/14	4.52	4.62	4.50	4.58	908488	73372336.00
2008/02/15	4.55	4.57	4.46	4.55	662029	52896268.00
2008/02/18	4.59	4.70	4.59	4.63	958930	78777224.00
2008/02/19	4.62	4.82	4.59	4.76	987904	81939856.00
2008/02/20	4.78	4.92	4.69	4.72	1651945	139376160.00
2008/02/21	4.71	4.76	4.65	4.72	1145396	94640064.00
2008/02/22	4.69	4.73	4.52	4.56	1185369	96206880.00
2008/02/25	4.62	4.62	4.27	4.27	990538	77334616.00
2008/02/26	4.37	4.50	4.11	4.25	1244237	94534248.00
2008/02/27	4.30	4.41	4.25	4.34	822080	63327288.00
2008/02/28	4.34	4.36	4.18	4.20	2247280	169469584.00
2008/02/29	4.20	4.27	4.14	4.23	1449303	109052248.00
2008/03/03	4.20	4.31	4.13	4.27	2664532	201831488.00
2008/03/04	4.33	4.33	4.10	4.12	3244471	242113376.00
2008/03/05	4.08	4.12	3.79	3.92	3600507	254392128.00
2008/03/06	3.93	3.99	3.76	3.87	4006819	280612640.00
2008/03/07	3.84	3.84	3.70	3.71	3567680	243028320.00
