000418 小天鹅Ａ 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/03/28	8.44	10.11	8.44	9.02	31351600	908548288.00
1997/03/31	8.82	9.26	8.63	8.88	4068900	115246080.00
1997/04/01	8.88	8.91	8.69	8.74	2123600	59330888.00
1997/04/02	8.78	9.18	8.69	8.82	1830600	51761488.00
1997/04/03	8.82	8.95	8.74	8.87	1358100	38130196.00
1997/04/04	8.87	9.31	8.87	9.04	2782700	80121800.00
1997/04/07	9.05	9.45	8.78	9.22	3495900	100491976.00
1997/04/08	9.26	9.26	8.87	8.91	1715300	48994836.00
1997/04/09	8.78	9.07	8.78	8.96	1807200	51265732.00
1997/04/10	8.96	8.96	8.78	8.78	1662200	46740952.00
1997/04/11	8.69	8.78	8.51	8.56	1908000	52683176.00
1997/04/14	8.60	9.18	8.59	8.72	1037300	29280236.00
1997/04/15	8.82	8.94	8.64	8.70	568000	15815045.00
1997/04/16	8.65	8.78	8.51	8.61	890300	24584912.00
1997/04/17	8.51	8.60	8.51	8.56	963300	26446106.00
1997/04/18	8.69	8.71	8.47	8.51	758900	20805026.00
1997/04/21	8.69	8.74	8.50	8.56	1095500	30180044.00
1997/04/22	8.58	8.60	8.47	8.56	1013300	27748266.00
1997/04/23	8.55	9.00	8.54	8.78	1518000	42579628.00
1997/04/24	8.74	8.78	8.34	8.60	1184300	32592866.00
1997/04/25	8.73	9.44	8.47	9.05	4480500	127974032.00
1997/04/28	8.56	9.45	8.47	8.51	1814100	50267240.00
1997/04/29	8.51	8.69	8.11	8.29	1649400	44354620.00
1997/04/30	8.25	8.64	8.16	8.44	1017100	27606342.00
1997/05/05	8.47	8.78	8.47	8.63	1446000	39911212.00
1997/05/06	8.65	9.22	8.54	8.96	3584800	101383208.00
1997/05/07	9.05	9.13	8.69	8.90	2276600	64130088.00
1997/05/08	8.90	9.22	8.34	8.34	2474400	69576480.00
1997/05/09	8.34	8.69	8.22	8.62	1542200	42203240.00
1997/05/12	8.69	8.78	8.56	8.59	2029700	56244808.00
1997/05/13	8.59	8.59	8.25	8.37	1275800	34559188.00
1997/05/14	8.38	8.38	7.89	7.91	1391100	36819112.00
1997/05/15	7.89	8.29	7.80	8.16	781800	20488734.00
1997/05/16	7.41	7.98	6.99	7.14	1460300	36393028.00
1997/05/19	7.18	7.67	7.18	7.54	680200	16989310.00
1997/05/20	7.80	8.11	7.60	7.94	1056200	27463402.00
1997/05/21	7.98	7.98	7.42	7.56	836700	21189988.00
1997/05/22	6.42	7.22	6.42	6.42	1622900	37559356.00
1997/05/23	6.56	7.00	6.34	6.82	1111100	25929974.00
1997/05/26	7.02	7.17	6.56	7.05	801400	19007426.00
1997/05/27	7.22	7.52	7.09	7.34	1094600	27094028.00
1997/05/29	7.45	7.53	6.92	6.96	528300	12856831.00
1997/05/30	6.98	7.31	6.96	7.11	554800	13366368.00
1997/06/02	7.45	7.58	7.25	7.50	1133700	28314246.00
1997/06/03	7.56	7.89	7.26	7.58	1136300	28895484.00
1997/06/04	7.59	7.74	7.34	7.46	693900	17364312.00
1997/06/05	7.49	7.62	7.31	7.38	576000	14387460.00
1997/06/06	6.56	6.94	6.37	6.75	1535200	35944784.00
1997/06/09	6.78	6.91	6.65	6.78	486300	11375226.00
1997/06/10	6.82	7.39	6.82	7.00	1382000	33610128.00
1997/06/11	7.22	7.22	6.11	6.69	860700	19904794.00
1997/06/12	6.66	7.08	6.66	6.89	480400	11352755.00
1997/06/13	6.56	7.05	6.42	7.00	699100	16492807.00
1997/06/16	7.00	7.36	7.00	7.14	584700	14277145.00
1997/06/17	7.22	7.22	6.78	6.89	319300	7650180.50
1997/06/18	6.78	6.99	6.64	6.78	377300	8874915.00
1997/06/19	6.78	6.82	6.60	6.62	379200	8831648.00
1997/06/20	6.78	7.13	6.78	7.03	683000	16375477.00
1997/06/23	7.30	7.40	6.78	6.91	766500	18639004.00
1997/06/24	6.96	7.97	6.91	7.97	2942500	75245712.00
1997/06/25	8.27	8.64	7.94	8.10	3477800	93780304.00
1997/06/26	8.00	8.18	7.77	7.89	1018300	26566706.00
1997/06/27	7.89	8.34	7.58	7.94	1758900	46159376.00
1997/07/02	8.34	8.34	7.04	7.94	967300	24995392.00
1997/07/03	7.89	7.94	7.31	7.36	666700	16762601.00
1997/07/04	7.20	7.50	7.09	7.28	537700	13246905.00
1997/07/07	7.18	7.31	6.37	6.54	638200	15093012.00
1997/07/08	6.54	6.99	6.36	6.90	529500	12383543.00
1997/07/09	7.02	7.09	6.69	6.93	276000	6554782.50
1997/07/10	7.00	7.38	6.94	6.97	548200	13396248.00
1997/07/11	7.01	7.29	6.82	7.21	395400	9580001.00
1997/07/14	7.45	7.89	7.45	7.59	824900	20960120.00
1997/07/15	7.59	7.80	7.45	7.52	642000	16249631.00
1997/07/16	7.56	7.67	7.37	7.40	635000	15941990.00
1997/07/17	7.49	7.82	7.26	7.54	616800	15652281.00
1997/07/18	7.61	8.05	7.45	7.86	1717400	44595172.00
1997/07/21	8.12	8.23	7.71	7.81	497700	12766353.00
1997/07/22	7.68	7.87	7.45	7.81	435100	10902641.00
1997/07/23	7.94	8.10	7.53	7.54	432800	10928372.00
1997/07/24	7.54	7.81	7.50	7.56	372600	9230262.00
1997/07/25	7.50	7.54	7.27	7.36	411400	10032321.00
1997/07/28	7.35	7.35	6.92	6.97	562800	13302878.00
1997/07/29	6.76	7.41	6.74	7.03	380900	8946902.00
1997/07/30	7.18	7.18	7.01	7.14	290200	6858955.00
1997/07/31	7.14	7.32	7.05	7.16	212500	5077553.00
1997/08/01	7.36	7.36	7.04	7.13	240000	5686864.00
1997/08/04	7.12	7.12	6.95	6.98	299700	7032357.50
1997/08/05	7.03	7.14	6.98	7.05	214400	5055030.50
1997/08/06	7.05	7.05	6.34	6.78	313500	7245663.00
1997/08/07	6.78	6.92	6.73	6.80	321600	7402364.00
1997/08/08	6.87	7.23	6.78	7.08	337300	7819265.00
1997/08/11	7.14	7.14	6.74	6.76	274500	6347352.00
1997/08/12	6.76	6.78	6.39	6.44	418900	9427979.00
1997/08/13	6.34	6.58	6.16	6.20	294900	6531105.50
1997/08/14	6.29	7.01	6.20	6.56	440600	9653741.00
1997/08/15	6.70	6.78	6.30	6.33	175000	3889783.00
1997/08/18	6.11	6.25	5.84	5.84	269600	5749990.50
1997/08/19	5.85	5.85	5.45	5.56	550100	11095849.00
1997/08/20	5.45	5.85	5.45	5.67	237800	4873182.00
1997/08/21	5.72	6.15	5.67	6.12	236200	4926322.00
1997/08/22	5.98	6.23	5.90	6.17	256600	5558309.00
1997/08/25	6.44	6.60	5.98	6.25	329700	7178233.00
1997/08/26	6.34	6.34	6.15	6.19	291800	6322812.00
1997/08/27	6.12	6.21	6.07	6.12	255800	5510193.00
1997/08/28	6.12	6.16	5.87	6.07	296300	6285253.50
1997/08/29	6.05	6.05	5.90	5.96	373500	7879874.00
1997/09/01	5.92	6.20	5.90	6.15	293500	6252555.00
1997/09/02	6.20	6.49	6.20	6.26	307900	6760245.50
1997/09/03	6.26	6.35	6.17	6.30	293700	6449140.50
1997/09/04	6.42	6.45	6.32	6.43	394600	8739610.00
1997/09/05	6.42	6.50	6.34	6.43	300400	6654247.50
1997/09/08	6.41	6.43	6.25	6.26	146600	3210530.25
1997/09/09	6.34	6.38	6.24	6.26	214600	4704864.00
1997/09/10	6.23	6.33	6.16	6.23	207300	4510396.50
1997/09/11	6.24	6.52	6.20	6.25	330800	7271445.50
1997/09/12	6.34	6.34	5.98	6.01	152500	3284934.00
1997/09/15	5.90	6.03	5.72	5.73	164800	3435567.00
1997/09/16	5.67	6.12	5.67	5.80	146800	3048401.50
1997/09/17	5.71	5.90	5.71	5.77	100600	2084015.00
1997/09/18	5.78	5.98	5.72	5.76	137600	2874708.50
1997/09/19	5.79	5.90	5.77	5.79	80200	1668652.38
1997/09/22	5.82	5.90	5.01	5.35	148400	3004918.25
1997/09/23	5.23	5.23	4.47	4.64	293100	5468223.00
1997/09/24	4.70	5.01	4.70	5.00	267600	5002065.50
