000423 东阿阿胶 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1996/07/29	-4.12	-3.95	-4.17	-3.99	4617900	48013008.00
1996/07/30	-4.01	-3.93	-4.05	-3.97	3080300	34561808.00
1996/07/31	-3.97	-3.96	-4.04	-4.03	1166400	12828040.00
1996/08/01	-4.03	-4.02	-4.10	-4.06	855400	8940202.00
1996/08/02	-4.06	-4.05	-4.12	-4.10	509700	5208540.00
1996/08/05	-4.08	-4.08	-4.18	-4.11	551600	5455586.50
1996/08/06	-4.12	-4.02	-4.14	-4.02	1127700	11809388.00
1996/08/07	-4.02	-4.00	-4.04	-4.01	1437000	15680316.00
1996/08/08	-4.01	-3.88	-4.03	-3.92	3808500	44287388.00
1996/08/09	-3.93	-3.87	-3.95	-3.91	1947400	23321122.00
1996/08/12	-3.91	-3.86	-3.92	-3.89	1496800	18058762.00
1996/08/13	-3.89	-3.89	-3.94	-3.92	627900	7395011.00
1996/08/14	-3.92	-3.88	-3.95	-3.91	1169300	13989206.00
1996/08/15	-3.92	-3.90	-3.95	-3.94	441000	5183734.00
1996/08/16	-3.89	-3.89	-3.98	-3.93	481400	5623265.50
1996/08/19	-3.95	-3.93	-3.97	-3.97	324500	3707060.25
1996/08/20	-3.99	-3.98	-4.06	-4.00	423700	4622929.50
1996/08/21	-4.02	-3.96	-4.05	-3.99	215200	2391022.25
1996/08/22	-3.99	-3.97	-4.01	-4.01	233700	2600165.50
1996/08/23	-4.01	-4.01	-4.08	-4.03	270700	2903666.50
1996/08/26	-4.03	-4.00	-4.03	-4.02	214900	2344874.75
1996/08/27	-4.03	-3.99	-4.03	-3.99	153200	1678873.88
1996/08/28	-3.99	-3.98	-4.02	-3.98	255700	2834879.25
1996/08/29	-4.00	-3.88	-4.01	-3.90	1353000	15948928.00
1996/08/30	-3.90	-3.84	-3.94	-3.86	2292100	28006352.00
1996/09/02	-3.86	-3.86	-3.90	-3.88	1414700	17269390.00
1996/09/03	-3.89	-3.73	-3.92	-3.77	2990700	38367376.00
1996/09/04	-3.77	-3.69	-3.81	-3.73	2982300	40200036.00
1996/09/05	-3.70	-3.66	-3.80	-3.79	2191700	29449856.00
1996/09/06	-3.81	-3.75	-3.90	-3.84	1205500	15073641.00
1996/09/09	-3.85	-3.85	-3.90	-3.88	493300	6064774.50
1996/09/10	-3.91	-3.89	-3.97	-3.96	714900	8390335.00
1996/09/11	-3.97	-3.92	-3.97	-3.94	425500	4950094.00
1996/09/12	-3.94	-3.91	-4.00	-3.99	486300	5604980.00
1996/09/13	-3.99	-3.96	-4.01	-3.96	440400	4898138.00
1996/09/16	-3.95	-3.95	-4.00	-3.95	307300	3476614.00
1996/09/17	-3.96	-3.93	-3.97	-3.94	421500	4883098.00
1996/09/18	-3.94	-3.94	-4.04	-4.03	552200	6120295.00
1996/09/19	-4.04	-4.01	-4.05	-4.02	337900	3646353.00
1996/09/20	-4.02	-3.99	-4.03	-3.99	254900	2775239.75
1996/09/23	-3.97	-3.90	-3.99	-3.93	580700	6742093.00
1996/09/24	-3.93	-3.90	-3.93	-3.90	484600	5738538.00
1996/09/25	-3.90	-3.87	-3.95	-3.93	468700	5591713.50
1996/09/26	-3.91	-3.90	-3.93	-3.93	298100	3517924.75
1996/09/27	-3.92	-3.87	-3.92	-3.87	891100	10803948.00
1996/10/03	-3.84	-3.82	-3.90	-3.87	646600	7936455.00
1996/10/04	-3.88	-3.87	-3.91	-3.90	389500	4657675.00
1996/10/07	-3.90	-3.84	-3.91	-3.84	666800	8127317.50
1996/10/08	-3.93	-3.81	-3.93	-3.83	762900	9518114.00
1996/10/09	-3.87	-3.84	-3.89	-3.87	674300	8340642.50
1996/10/10	-3.88	-3.84	-3.89	-3.86	666000	8147234.50
1996/10/11	-3.86	-3.85	-3.89	-3.88	769800	9396803.00
1996/10/14	-3.84	-3.81	-3.85	-3.83	1583900	20050030.00
1996/10/15	-3.81	-3.72	-3.83	-3.73	2310400	30807580.00
1996/10/16	-3.72	-3.69	-3.79	-3.69	2235600	30271720.00
1996/10/17	-3.67	-3.62	-3.73	-3.63	3313400	46593932.00
1996/10/18	-3.63	-3.63	-3.77	-3.75	1719000	23817934.00
1996/10/21	-3.74	-3.63	-3.74	-3.64	3111400	43666776.00
1996/10/22	-3.51	-3.51	-3.70	-3.65	2204800	24908070.00
1996/10/23	-3.65	-3.62	-3.68	-3.65	801000	8716765.00
1996/10/24	-3.65	-3.63	-3.67	-3.64	1683200	18465328.00
1996/10/25	-3.65	-3.64	-3.68	-3.64	2093500	22850796.00
1996/10/28	-3.65	-3.57	-3.66	-3.60	2130000	24055542.00
1996/10/29	-3.58	-3.48	-3.58	-3.50	3460400	41134024.00
1996/10/30	-3.50	-3.42	-3.53	-3.44	3570200	44009552.00
1996/10/31	-3.42	-3.42	-3.49	-3.46	1541000	19125772.00
1996/11/01	-3.51	-3.48	-3.62	-3.56	928700	10806821.00
1996/11/04	-3.58	-3.51	-3.60	-3.53	924900	10878295.00
1996/11/05	-3.56	-3.49	-3.57	-3.54	1162900	13834130.00
1996/11/06	-3.53	-3.52	-3.60	-3.55	474100	5496560.00
1996/11/07	-3.55	-3.54	-3.59	-3.55	616900	7188639.50
1996/11/08	-3.55	-3.54	-3.60	-3.58	283600	3256442.00
1996/11/11	-3.60	-3.53	-3.60	-3.53	687400	8067656.00
1996/11/12	-3.53	-3.49	-3.53	-3.49	1121700	13449595.00
1996/11/13	-3.50	-3.45	-3.53	-3.47	1441000	17565914.00
1996/11/14	-3.46	-3.37	-3.48	-3.41	2205100	27740644.00
1996/11/15	-3.39	-3.35	-3.41	-3.39	2449100	31538016.00
1996/11/18	-3.37	-3.36	-3.41	-3.38	2055700	26421848.00
1996/11/19	-3.37	-3.24	-3.37	-3.25	3971100	53138424.00
1996/11/20	-3.24	-3.17	-3.29	-3.18	4944900	69645088.00
1996/11/21	-3.17	-3.04	-3.26	-3.19	3338500	48639236.00
1996/11/22	-3.22	-3.21	-3.36	-3.24	2375800	32183622.00
1996/11/25	-3.22	-3.19	-3.24	-3.19	1949300	27499358.00
1996/11/26	-3.19	-3.19	-3.35	-3.26	1322500	18008826.00
1996/11/27	-3.27	-3.27	-3.36	-3.31	2098600	27801378.00
1996/11/28	-3.30	-3.25	-3.36	-3.27	1202100	16117193.00
1996/11/29	-3.26	-3.24	-3.35	-3.31	1049900	14144866.00
1996/12/02	-3.30	-3.27	-3.36	-3.34	746000	9794214.00
1996/12/03	-3.35	-3.29	-3.36	-3.29	485900	6455620.00
1996/12/04	-3.25	-3.15	-3.29	-3.19	2083200	29366018.00
1996/12/05	-3.19	-3.08	-3.19	-3.10	2597100	38357864.00
1996/12/06	-3.12	-3.08	-3.15	-3.10	2172000	32070760.00
1996/12/09	-3.08	-3.05	-3.10	-3.05	1894400	28676746.00
1996/12/10	-3.03	-2.88	-3.10	-2.93	2458000	38947180.00
1996/12/11	-2.92	-2.79	-2.92	-2.82	2617900	43651636.00
1996/12/12	-2.78	-2.71	-2.91	-2.71	2629400	45229400.00
1996/12/13	-2.73	-2.70	-2.94	-2.80	2181400	36973260.00
1996/12/16	-3.04	-3.04	-3.04	-3.04	17400	265524.00
1996/12/17	-3.26	-3.26	-3.26	-3.26	1135100	15584923.00
1996/12/18	-3.45	-3.08	-3.45	-3.17	782300	10383830.00
1996/12/19	-3.19	-3.19	-3.37	-3.37	419600	5543434.00
1996/12/20	-3.55	-3.49	-3.55	-3.55	100800	1184169.00
1996/12/23	-3.65	-3.49	-3.68	-3.58	333100	3813518.75
1996/12/24	-3.57	-3.51	-3.69	-3.69	336900	3849840.00
1996/12/25	-3.72	-3.55	-3.75	-3.59	275000	3029301.25
1996/12/26	-3.60	-3.51	-3.60	-3.53	275900	3211090.75
1996/12/27	-3.50	-3.43	-3.53	-3.45	731600	8877595.00
1996/12/30	-3.44	-3.31	-3.46	-3.31	856300	11056823.00
1996/12/31	-3.36	-3.34	-3.46	-3.43	448000	5710918.00
1997/01/02	-3.45	-3.38	-3.45	-3.41	265100	3350475.50
1997/01/03	-3.24	-3.24	-3.41	-3.37	608800	7948606.00
1997/01/06	-3.41	-3.41	-3.56	-3.53	266500	3211443.00
1997/01/07	-3.69	-3.46	-3.69	-3.48	232900	2768337.00
1997/01/08	-3.34	-3.34	-3.48	-3.42	392600	4949295.50
1997/01/09	-3.44	-3.42	-3.46	-3.44	253900	3159854.50
1997/01/10	-3.46	-3.42	-3.48	-3.44	132000	1635581.00
1997/01/13	-3.43	-3.42	-3.46	-3.43	351300	4384153.50
1997/01/14	-3.42	-3.40	-3.51	-3.48	265300	3310197.75
1997/01/15	-3.46	-3.44	-3.48	-3.47	155300	1903805.88
1997/01/16	-3.51	-3.44	-3.51	-3.48	148300	1804500.25
1997/01/17	-3.46	-3.44	-3.51	-3.45	143500	1754335.13
1997/01/20	-3.45	-3.45	-3.46	-3.45	223000	2759869.50
1997/01/21	-3.42	-3.37	-3.43	-3.38	827600	10631728.00
1997/01/22	-3.39	-3.38	-3.42	-3.39	271500	3462520.25
1997/01/23	-3.40	-3.37	-3.40	-3.37	407600	5252517.50
1997/01/24	-3.38	-3.36	-3.41	-3.37	304600	3926682.75
1997/01/27	-3.35	-3.31	-3.37	-3.32	465200	6083237.00
1997/01/28	-3.33	-3.26	-3.35	-3.26	1027800	13917704.00
1997/01/29	-3.26	-3.20	-3.29	-3.20	1014600	14074615.00
1997/01/30	-3.21	-3.15	-3.24	-3.18	606100	8610171.00
1997/01/31	-3.22	-3.16	-3.22	-3.22	388800	5490058.50
1997/02/17	-3.22	-3.17	-3.33	-3.24	361000	5042824.00
1997/02/18	-3.26	-3.24	-3.42	-3.42	423900	5574367.50
1997/02/19	-3.42	-3.29	-3.42	-3.35	299500	3877174.75
1997/02/20	-3.54	-3.39	-3.54	-3.42	322100	4006645.00
1997/02/21	-3.39	-3.37	-3.43	-3.39	311700	3973275.00
1997/02/24	-3.35	-3.31	-3.39	-3.36	482500	6296010.50
