000538 云南白药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1993/12/15	-2.71	-2.61	-2.71	-2.61	8800000	86589048.00
1993/12/16	-2.60	-2.57	-2.61	-2.60	5919000	62445288.00
1993/12/17	-2.60	-2.59	-2.61	-2.60	3026300	32029926.00
1993/12/20	-2.61	-2.61	-2.68	-2.64	2945100	28650542.00
1993/12/21	-2.64	-2.63	-2.66	-2.65	1027100	9870080.00
1993/12/22	-2.65	-2.65	-2.69	-2.69	1068200	9795870.00
1993/12/23	-2.69	-2.69	-2.72	-2.70	861700	7437965.00
1993/12/24	-2.71	-2.64	-2.72	-2.66	1285400	11526537.00
1993/12/27	-2.65	-2.65	-2.68	-2.67	1397500	13138679.00
1993/12/28	-2.67	-2.66	-2.68	-2.67	381900	3533739.00
1993/12/29	-2.67	-2.66	-2.68	-2.68	356000	3238666.50
1993/12/30	-2.68	-2.66	-2.68	-2.68	607900	5562998.00
1993/12/31	-2.67	-2.67	-2.69	-2.69	503100	4522599.00
1994/01/03	-2.70	-2.68	-2.71	-2.71	317300	2746000.00
1994/01/04	-2.71	-2.70	-2.71	-2.71	299000	2564464.75
1994/01/05	-2.71	-2.71	-2.72	-2.71	326200	2746656.00
1994/01/06	-2.70	-2.68	-2.71	-2.68	621700	5513300.00
1994/01/07	-2.68	-2.67	-2.69	-2.68	833000	7496495.50
1994/01/10	-2.68	-2.67	-2.69	-2.68	763000	6905457.00
1994/01/11	-2.69	-2.68	-2.70	-2.70	208800	1848024.63
1994/01/12	-2.70	-2.69	-2.71	-2.70	256700	2230895.25
1994/01/13	-2.70	-2.70	-2.71	-2.70	204500	1758874.88
1994/01/14	-2.70	-2.69	-2.72	-2.71	417000	3542034.00
1994/01/17	-2.71	-2.71	-2.72	-2.72	197600	1651339.88
1994/01/18	-2.72	-2.71	-2.73	-2.71	460800	3794066.00
1994/01/19	-2.71	-2.71	-2.73	-2.73	204800	1691245.13
1994/01/20	-2.73	-2.73	-2.74	-2.73	257200	2080204.75
1994/01/21	-2.73	-2.73	-2.73	-2.73	136400	1109400.13
1994/01/24	-2.73	-2.73	-2.74	-2.73	153500	1240044.63
1994/01/25	-2.73	-2.73	-2.74	-2.74	127200	1012625.13
1994/01/26	-2.75	-2.75	-2.76	-2.76	267900	2053729.63
1994/01/27	-2.76	-2.75	-2.76	-2.75	203500	1549759.88
1994/01/28	-2.75	-2.75	-2.79	-2.76	192000	1459654.75
1994/01/31	-2.76	-2.76	-2.80	-2.79	249800	1771054.88
1994/02/01	-2.80	-2.77	-2.80	-2.79	387600	2756310.75
1994/02/02	-2.80	-2.78	-2.80	-2.78	178800	1266560.13
1994/02/03	-2.78	-2.75	-2.79	-2.75	676400	5130094.00
1994/02/04	-2.75	-2.71	-2.75	-2.73	905700	7349000.00
1994/02/14	-2.71	-2.71	-2.78	-2.78	903400	7070474.50
1994/02/15	-2.78	-2.76	-2.79	-2.77	434200	3129260.50
1994/02/16	-2.77	-2.76	-2.78	-2.78	489700	3597706.00
1994/02/17	-2.79	-2.78	-2.79	-2.79	200100	1427055.00
1994/02/18	-2.79	-2.78	-2.79	-2.79	172000	1216989.75
1994/02/21	-2.79	-2.79	-2.80	-2.80	126300	884575.00
1994/02/22	-2.80	-2.76	-2.80	-2.78	485400	3577930.50
1994/02/23	-2.78	-2.77	-2.79	-2.79	209700	1494154.75
1994/02/24	-2.78	-2.78	-2.79	-2.78	266700	1923544.75
1994/02/25	-2.76	-2.76	-2.77	-2.77	751800	5588126.00
1994/02/28	-2.77	-2.77	-2.79	-2.79	187200	1353385.13
1994/03/01	-2.79	-2.78	-2.79	-2.79	165800	1176735.00
1994/03/02	-2.79	-2.78	-2.79	-2.79	152700	1074564.88
1994/03/03	-2.79	-2.79	-2.81	-2.80	169400	1150914.75
1994/03/04	-2.82	-2.81	-2.82	-2.81	198300	1316500.38
1994/03/07	-2.81	-2.81	-2.82	-2.81	200600	1323124.50
1994/03/08	-2.81	-2.81	-2.82	-2.82	131800	859390.13
1994/03/09	-2.82	-2.82	-2.82	-2.82	77800	503479.94
1994/03/10	-2.82	-2.82	-2.83	-2.83	203800	1286169.63
1994/03/11	-2.83	-2.82	-2.84	-2.83	352800	2190014.25
1994/03/14	-2.82	-2.81	-2.83	-2.81	505400	3306885.50
1994/03/15	-2.81	-2.80	-2.83	-2.83	390000	2577905.25
1994/03/16	-2.83	-2.83	-2.83	-2.83	106100	674899.81
1994/03/17	-2.83	-2.81	-2.83	-2.83	108900	700674.75
