000568 泸州老窖 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1994/05/09	-9.35	-9.31	-9.35	-9.31	12222200	115036336.00
1994/05/10	-9.30	-9.25	-9.31	-9.26	13656300	145005520.00
1994/05/11	-9.23	-9.21	-9.27	-9.27	9613000	112760752.00
1994/05/12	-9.27	-9.25	-9.27	-9.27	6502300	71640672.00
1994/05/13	-9.26	-9.25	-9.29	-9.25	5778000	63714120.00
1994/05/16	-9.25	-9.24	-9.27	-9.26	3371000	38178344.00
1994/05/17	-9.26	-9.25	-9.28	-9.27	1552800	17100252.00
1994/05/18	-9.28	-9.27	-9.29	-9.29	1433100	15196526.00
1994/05/19	-9.29	-9.26	-9.29	-9.27	1246500	13462585.00
1994/05/20	-9.27	-9.26	-9.28	-9.28	965500	10467773.00
1994/05/23	-9.28	-9.28	-9.29	-9.28	448700	4754671.00
1994/05/24	-9.28	-9.27	-9.28	-9.28	465600	4992601.00
1994/05/25	-9.28	-9.27	-9.29	-9.29	452300	4776108.00
1994/05/26	-9.29	-9.29	-9.30	-9.30	797000	8182654.50
1994/05/27	-9.30	-9.29	-9.31	-9.30	395400	4037666.75
1994/05/30	-9.31	-9.31	-9.33	-9.33	627100	6051492.50
1994/05/31	-9.33	-9.32	-9.34	-9.33	696600	6664531.00
1994/06/01	-9.33	-9.33	-9.34	-9.34	446700	4171838.00
1994/06/02	-9.35	-9.34	-9.35	-9.35	275600	2509961.00
1994/06/03	-9.34	-9.33	-9.35	-9.34	445000	4096180.75
1994/06/06	-9.33	-9.33	-9.35	-9.35	209400	1901171.00
1994/06/07	-9.35	-9.34	-9.35	-9.35	54400	495302.00
1994/06/08	-9.35	-9.34	-9.35	-9.34	289800	2627246.00
1994/06/09	-9.34	-9.34	-9.35	-9.35	355400	3224356.00
1994/06/10	-9.34	-9.34	-9.36	-9.36	599000	5297180.00
1994/06/13	-9.36	-9.36	-9.38	-9.38	337000	2811973.00
1994/06/14	-9.39	-9.38	-9.39	-9.39	793500	6400151.00
1994/06/15	-9.39	-9.38	-9.39	-9.39	216700	1742736.13
1994/06/16	-9.38	-9.37	-9.39	-9.38	565300	4649316.00
1994/06/17	-9.37	-9.36	-9.38	-9.36	1045100	8852102.00
1994/06/20	-9.36	-9.36	-9.38	-9.38	985300	8352410.00
1994/06/21	-9.39	-9.38	-9.39	-9.38	441500	3575325.75
1994/06/22	-9.39	-9.38	-9.39	-9.38	165000	1351138.13
1994/06/23	-9.38	-9.38	-9.39	-9.39	294300	2392504.50
1994/06/24	-9.38	-9.38	-9.39	-9.39	221000	1776005.75
1994/06/27	-9.39	-9.39	-9.41	-9.41	429200	3267474.50
1994/06/28	-9.42	-9.41	-9.42	-9.41	219000	1630733.00
1994/06/29	-9.41	-9.41	-9.42	-9.42	151800	1109488.13
1994/06/30	-9.42	-9.41	-9.42	-9.42	209100	1516982.88
1994/07/01	-9.42	-9.42	-9.43	-9.43	151700	1085298.75
1994/07/04	-9.43	-9.43	-9.44	-9.44	308300	2107014.50
1994/07/08	-9.44	-9.43	-9.45	-9.44	334500	2272036.00
1994/07/11	-9.44	-9.44	-9.45	-9.45	286400	1907000.00
1994/07/12	-9.45	-9.45	-9.45	-9.45	129100	844589.25
1994/07/13	-9.45	-9.44	-9.45	-9.44	263000	1757988.75
1994/07/14	-9.44	-9.43	-9.44	-9.44	546400	3718816.75
1994/07/15	-9.44	-9.44	-9.45	-9.45	147200	974256.06
1994/07/18	-9.45	-9.45	-9.46	-9.45	142500	919284.63
1994/07/19	-9.46	-9.45	-9.46	-9.46	173300	1091731.00
1994/07/20	-9.46	-9.46	-9.46	-9.46	92900	582055.94
1994/07/21	-9.46	-9.46	-9.47	-9.47	179200	1101119.00
1994/07/22	-9.47	-9.46	-9.47	-9.47	183200	1125701.13
1994/07/25	-9.47	-9.46	-9.47	-9.46	290400	1820985.00
1994/07/26	-9.46	-9.44	-9.46	-9.44	1039700	6745269.50
1994/07/27	-9.45	-9.44	-9.46	-9.46	949500	6223518.00
1994/07/28	-9.46	-9.46	-9.47	-9.47	536000	3284207.25
1994/07/29	-9.48	-9.47	-9.48	-9.47	758200	4484689.50
1994/08/01	-9.43	-9.40	-9.43	-9.41	2748700	19970584.00
1994/08/02	-9.39	-9.35	-9.39	-9.39	3302600	28035536.00
1994/08/03	-9.40	-9.31	-9.40	-9.31	3754900	31465164.00
1994/08/04	-9.30	-9.30	-9.35	-9.32	7889600	77329768.00
1994/08/05	-9.32	-9.30	-9.33	-9.30	4399200	43454488.00
1994/08/08	-9.30	-9.30	-9.32	-9.32	3616400	35863812.00
1994/08/09	-9.32	-9.32	-9.35	-9.35	2210400	20349274.00
1994/08/10	-9.35	-9.31	-9.36	-9.31	2558500	23882542.00
1994/08/11	-9.31	-9.29	-9.33	-9.32	7217000	73370776.00
1994/08/12	-9.33	-9.30	-9.33	-9.31	2589500	25524418.00
1994/08/15	-9.31	-9.31	-9.33	-9.33	1537000	14702105.00
1994/08/16	-9.33	-9.31	-9.33	-9.32	1017200	9918436.00
1994/08/17	-9.32	-9.30	-9.32	-9.30	1711900	17020950.00
1994/08/18	-9.29	-9.23	-9.30	-9.23	8679000	95260824.00
1994/08/19	-9.23	-9.23	-9.27	-9.25	4464600	51008120.00
1994/08/22	-9.25	-9.22	-9.26	-9.24	6988100	82863872.00
1994/08/23	-9.23	-9.21	-9.25	-9.23	2110800	24926440.00
1994/08/24	-9.22	-9.21	-9.23	-9.22	4913500	60171016.00
1994/08/25	-9.23	-9.22	-9.24	-9.23	1659700	19877516.00
1994/08/26	-9.23	-9.22	-9.24	-9.24	2201800	25911112.00
1994/08/29	-9.24	-9.22	-9.25	-9.24	1689500	19915844.00
1994/08/30	-9.24	-9.21	-9.24	-9.23	1970800	23531094.00
1994/08/31	-9.22	-9.17	-9.23	-9.17	5415700	67344200.00
1994/09/01	-9.17	-9.13	-9.18	-9.14	4114700	56866432.00
1994/09/02	-9.14	-9.08	-9.15	-9.08	4537800	65913400.00
1994/09/05	-9.06	-8.98	-9.07	-9.01	5280100	89526288.00
1994/09/06	-8.99	-8.88	-9.00	-8.88	4092300	75140040.00
1994/09/07	-8.85	-8.85	-8.98	-8.95	3272100	64608116.00
1994/09/08	-8.95	-8.92	-8.96	-8.93	2159600	40733968.00
1994/09/09	-8.93	-8.93	-8.99	-8.97	1581600	29318696.00
1994/09/12	-8.96	-8.94	-8.96	-8.94	1397700	26080252.00
1994/09/13	-8.93	-8.93	-8.98	-8.97	3456600	64900604.00
1994/09/14	-8.96	-8.96	-9.02	-9.00	5120200	88989072.00
1994/09/15	-9.01	-9.00	-9.02	-9.01	2498600	43027336.00
1994/09/16	-8.99	-8.98	-9.01	-9.00	1600400	27889308.00
1994/09/19	-9.00	-9.00	-9.02	-9.01	855700	14743520.00
1994/09/20	-9.03	-9.02	-9.04	-9.03	717200	12063751.00
1994/09/21	-9.03	-9.00	-9.03	-9.01	698900	12006173.00
1994/09/22	-9.00	-9.00	-9.03	-9.03	928200	15909455.00
1994/09/23	-9.04	-9.03	-9.05	-9.04	803200	13250985.00
1994/09/26	-9.04	-9.02	-9.04	-9.03	606100	10179991.00
1994/09/27	-9.02	-9.02	-9.04	-9.02	675900	11343989.00
1994/09/28	-9.02	-9.00	-9.04	-9.00	1187100	20441450.00
1994/09/29	-9.00	-9.00	-9.11	-9.07	1554400	24850188.00
1994/09/30	-9.07	-9.07	-9.12	-9.10	2301700	34406240.00
1994/10/05	-9.14	-9.11	-9.18	-9.17	1065000	14787959.00
1994/10/06	-9.18	-9.14	-9.21	-9.20	1732700	22884066.00
1994/10/07	-9.21	-9.15	-9.29	-9.17	2752200	32619968.00
1994/10/10	-9.17	-9.17	-9.26	-9.20	1694800	21299144.00
1994/10/11	-9.21	-9.19	-9.22	-9.20	456600	5762663.50
1994/10/12	-9.19	-9.19	-9.20	-9.20	378300	4821857.00
