000623 吉林敖东 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1996/10/28	0.13	0.29	0.13	0.23	10434000	227681568.00
1996/10/29	0.21	0.22	0.15	0.17	2127100	45122068.00
1996/10/30	0.13	0.15	0.11	0.14	942400	18835330.00
1996/10/31	0.13	0.14	0.12	0.13	365300	7327557.00
1996/11/01	0.12	0.12	0.08	0.12	285400	5628965.00
1996/11/04	0.07	0.14	0.07	0.12	566500	11320644.00
1996/11/05	0.13	0.13	0.11	0.12	239100	4750455.50
1996/11/06	0.11	0.12	0.09	0.09	149800	2919944.00
1996/11/07	0.08	0.10	0.08	0.08	105500	2015655.00
1996/11/08	0.10	0.10	0.08	0.08	150400	2881981.75
1996/11/11	0.08	0.13	0.08	0.11	488200	9592398.00
1996/11/12	0.10	0.10	0.08	0.09	220200	4227505.00
1996/11/13	0.09	0.13	0.09	0.12	608800	12027550.00
1996/11/14	0.13	0.19	0.12	0.16	1314500	27141206.00
1996/11/15	0.17	0.18	0.12	0.14	480100	9827878.00
1996/11/18	0.14	0.17	0.11	0.11	392200	7801457.50
1996/11/19	0.11	0.17	0.09	0.16	977300	19890068.00
1996/11/20	0.16	0.20	0.15	0.19	1684000	35995856.00
1996/11/21	0.21	0.27	0.15	0.17	1516600	33578584.00
1996/11/22	0.16	0.19	0.13	0.18	537900	11037856.00
1996/11/25	0.20	0.21	0.16	0.19	702400	14970815.00
1996/11/26	0.20	0.20	0.15	0.15	410700	8557299.00
1996/11/27	0.14	0.15	0.12	0.13	516300	10370561.00
1996/11/28	0.14	0.17	0.13	0.16	342900	7002122.00
1996/11/29	0.17	0.19	0.14	0.15	230800	4776818.50
1996/12/02	0.15	0.17	0.12	0.13	336400	6817634.50
1996/12/03	0.12	0.15	0.12	0.15	245700	4952205.00
1996/12/04	0.16	0.20	0.15	0.17	741600	15692247.00
1996/12/05	0.20	0.22	0.17	0.20	1280600	27696588.00
1996/12/06	0.22	0.22	0.17	0.19	587600	12529523.00
1996/12/09	0.19	0.22	0.16	0.20	893600	19004218.00
1996/12/10	0.21	0.29	0.17	0.27	2096500	47316428.00
1996/12/11	0.27	0.37	0.27	0.35	2683600	65644680.00
1996/12/12	0.35	0.36	0.27	0.30	1238400	29623056.00
1996/12/13	0.30	0.31	0.25	0.25	826000	19306942.00
1996/12/16	0.15	0.15	0.15	0.15	28100	572959.00
1996/12/17	0.05	0.05	0.05	0.05	91200	1673520.00
1996/12/18	-0.02	0.10	-0.02	0.10	894800	15911366.00
1996/12/19	0.09	0.09	0.01	0.01	736700	13353221.00
1996/12/20	-0.01	0.00	-0.06	-0.06	646900	10495156.00
1996/12/23	-0.01	-0.01	-0.05	-0.03	454300	7452327.50
1996/12/24	-0.03	0.00	-0.06	-0.05	603800	9919325.00
1996/12/25	-0.05	0.00	-0.05	0.00	760400	12551763.00
1996/12/26	0.01	0.01	-0.01	0.00	287900	4947734.50
1996/12/27	0.01	0.02	-0.01	0.01	622800	10823626.00
1996/12/30	0.08	0.08	0.02	0.07	814000	15073674.00
1996/12/31	0.05	0.06	0.01	0.02	421500	7606395.50
1997/01/02	0.01	0.06	0.01	0.05	351000	6357089.00
1997/01/03	0.04	0.04	0.02	0.02	230100	4111247.00
1997/01/06	0.02	0.02	0.00	0.00	288700	4979707.50
1997/01/07	-0.01	0.02	-0.02	0.02	345700	5964948.00
1997/01/08	0.02	0.02	0.00	0.01	143200	2492789.00
1997/01/09	0.03	0.03	0.00	0.02	161200	2822551.00
1997/01/10	0.02	0.02	0.00	0.01	174100	3047076.00
1997/01/13	0.02	0.03	0.02	0.03	235000	4197473.00
