000626 远大控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1996/11/28	0.99	1.54	0.96	1.46	11009800	152690304.00
1996/11/29	1.30	1.47	1.26	1.47	7152400	117351904.00
1996/12/02	1.46	1.48	1.35	1.39	2289100	38082236.00
1996/12/03	1.35	1.47	1.33	1.46	2365300	39295380.00
1996/12/04	1.50	1.79	1.49	1.75	5079100	96539472.00
1996/12/05	1.78	1.81	1.64	1.72	2856900	57000092.00
1996/12/06	1.72	1.73	1.60	1.66	2190600	41882764.00
1996/12/09	1.67	1.74	1.61	1.71	1872600	36077468.00
1996/12/10	1.71	1.78	1.64	1.71	1921800	37919048.00
1996/12/11	1.70	1.87	1.69	1.78	2680000	54746428.00
1996/12/12	1.79	1.82	1.65	1.68	1546600	30768970.00
1996/12/13	1.66	1.69	1.59	1.62	762800	14551718.00
1996/12/16	1.44	1.44	1.44	1.44	22700	383630.00
1996/12/17	1.28	1.28	1.28	1.28	37400	568854.00
1996/12/18	1.13	1.35	1.13	1.31	933700	13532910.00
1996/12/19	1.31	1.31	1.18	1.18	502800	7265751.50
1996/12/20	1.04	1.04	1.04	1.04	127300	1619256.00
1996/12/23	0.92	1.07	0.92	0.92	904000	10625466.00
1996/12/24	0.93	0.98	0.81	0.81	674400	7668080.50
1996/12/25	0.81	0.87	0.71	0.85	1518200	15159523.00
1996/12/26	0.84	0.90	0.83	0.88	1150000	12501351.00
1996/12/27	0.96	0.98	0.89	0.98	2081700	24401000.00
1996/12/30	1.00	1.10	0.99	1.10	1835000	23555374.00
1996/12/31	1.11	1.11	1.02	1.04	1385400	17907412.00
1997/01/02	1.03	1.08	1.00	1.04	976400	12409669.00
1997/01/03	1.06	1.06	0.96	0.98	787400	9714702.00
1997/01/06	0.99	1.01	0.89	0.90	516300	6139693.50
1997/01/07	0.88	0.96	0.84	0.94	811800	9247703.00
1997/01/08	0.91	0.95	0.88	0.92	580500	6692829.50
1997/01/09	0.93	0.94	0.90	0.94	462100	5359118.50
1997/01/10	0.95	0.95	0.93	0.94	421700	4918904.00
1997/01/13	0.95	0.99	0.95	0.99	654300	7871022.50
1997/01/14	0.97	0.99	0.93	0.94	605100	7166212.50
1997/01/15	0.92	0.99	0.92	0.96	548300	6540122.00
1997/01/16	0.96	0.98	0.94	0.96	350800	4163924.50
1997/01/17	0.97	0.97	0.95	0.97	381600	4528080.00
1997/01/20	0.97	0.97	0.96	0.97	381000	4549475.00
1997/01/21	0.97	0.98	0.95	0.95	386800	4584231.00
1997/01/22	0.96	0.97	0.94	0.95	459200	5376697.00
1997/01/23	0.95	1.02	0.94	1.00	935400	11322246.00
1997/01/24	1.00	1.00	0.97	0.98	525100	6337487.50
1997/01/27	0.99	1.00	0.97	0.99	618600	7534444.00
1997/01/28	1.00	1.03	0.99	1.00	547300	6776006.00
1997/01/29	1.02	1.02	0.98	0.98	344000	4179400.00
1997/01/30	0.98	1.02	0.98	0.99	482600	5920151.50
1997/01/31	1.00	1.00	0.98	0.99	530000	6427299.50
1997/02/17	0.99	1.01	0.96	0.98	255900	3092249.50
1997/02/18	0.98	0.98	0.87	0.87	395700	4496197.00
1997/02/19	0.83	0.92	0.83	0.90	431200	4771685.00
1997/02/20	0.80	0.88	0.80	0.87	700400	7423371.00
1997/02/21	0.86	0.90	0.86	0.90	319400	3555265.25
1997/02/24	0.92	0.93	0.90	0.92	357700	4087526.75
1997/02/25	0.92	0.98	0.92	0.95	472500	5593582.50
1997/02/26	0.96	0.99	0.96	0.97	337700	4040986.00
1997/02/27	0.99	1.02	0.97	0.99	811500	9924699.00
1997/02/28	1.00	1.02	0.95	1.01	856900	10494327.00
1997/03/03	1.04	1.09	1.02	1.08	1448200	18608206.00
1997/03/04	1.08	1.11	1.05	1.07	1113700	14632704.00
1997/03/05	1.07	1.09	1.02	1.02	745600	9520526.00
1997/03/06	1.00	1.06	1.00	1.03	423100	5343789.00
1997/03/07	1.05	1.06	1.03	1.03	534000	6793263.50
