000651 格力电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1996/11/18	-6.53	-6.24	-6.53	-6.28	6278300	317796512.00
1996/11/19	-6.28	-6.28	-6.30	-6.29	1109400	53177000.00
1996/11/20	-6.29	-6.27	-6.30	-6.28	957300	47581524.00
1996/11/21	-6.28	-6.28	-6.29	-6.29	570000	27838604.00
1996/11/22	-6.30	-6.29	-6.30	-6.29	376200	17988210.00
1996/11/25	-6.29	-6.28	-6.30	-6.29	413500	19947156.00
1996/11/26	-6.29	-6.29	-6.29	-6.29	310100	14897239.00
1996/11/27	-6.29	-6.29	-6.30	-6.30	515700	24326550.00
1996/11/28	-6.30	-6.29	-6.30	-6.29	341300	16182830.00
1996/11/29	-6.30	-6.29	-6.30	-6.29	115000	5512652.00
1996/12/02	-6.30	-6.29	-6.30	-6.29	231900	11097153.00
1996/12/03	-6.30	-6.29	-6.30	-6.29	224300	10708048.00
1996/12/04	-6.29	-6.28	-6.29	-6.28	607900	30036554.00
1996/12/05	-6.28	-6.28	-6.28	-6.28	443800	22028692.00
1996/12/06	-6.28	-6.28	-6.28	-6.28	432300	21340824.00
1996/12/09	-6.28	-6.20	-6.28	-6.20	1343300	74352136.00
1996/12/10	-6.20	-6.12	-6.22	-6.14	1986600	130316648.00
1996/12/11	-6.13	-6.06	-6.13	-6.08	2278900	169951856.00
1996/12/12	-6.08	-6.08	-6.13	-6.12	1208300	86493904.00
1996/12/13	-6.13	-6.10	-6.14	-6.14	1008600	70420184.00
1996/12/16	-6.19	-6.19	-6.19	-6.19	64700	3963522.00
1996/12/17	-6.24	-6.19	-6.24	-6.24	1360300	75910584.00
1996/12/18	-6.25	-6.19	-6.27	-6.19	2231500	126127664.00
1996/12/19	-6.19	-6.17	-6.23	-6.20	2297900	139276496.00
1996/12/23	-6.16	-6.16	-6.20	-6.17	1345700	83696152.00
1996/12/24	-6.16	-6.13	-6.16	-6.13	3724200	253982672.00
1996/12/25	-6.12	-6.12	-6.15	-6.12	2093200	145987072.00
1996/12/26	-6.12	-6.11	-6.13	-6.13	664400	46955332.00
1996/12/27	-6.12	-6.11	-6.13	-6.11	1818600	128406920.00
1996/12/30	-6.10	-6.06	-6.10	-6.06	4098400	157240448.00
1996/12/31	-6.05	-6.05	-6.08	-6.07	2142700	83879680.00
1997/01/02	-6.08	-6.08	-6.11	-6.10	3345700	123176984.00
1997/01/03	-6.10	-6.10	-6.11	-6.11	1931100	69871000.00
1997/01/06	-6.12	-6.12	-6.16	-6.16	2145000	71960632.00
1997/01/07	-6.18	-6.14	-6.20	-6.15	1767800	57060252.00
1997/01/08	-6.15	-6.15	-6.17	-6.16	939100	30350440.00
1997/01/09	-6.17	-6.16	-6.17	-6.17	571600	18497338.00
1997/01/10	-6.17	-6.13	-6.17	-6.14	1651000	55509236.00
1997/01/13	-6.14	-6.13	-6.14	-6.14	877100	29748208.00
1997/01/14	-6.14	-6.14	-6.16	-6.16	873400	28814284.00
1997/01/15	-6.17	-6.15	-6.17	-6.16	422000	13843067.00
1997/01/16	-6.16	-6.15	-6.16	-6.16	398000	13027543.00
1997/01/17	-6.16	-6.15	-6.16	-6.15	385400	12668763.00
1997/01/20	-6.15	-6.15	-6.16	-6.15	498700	16388649.00
1997/01/21	-6.15	-6.15	-6.16	-6.16	398700	13098503.00
1997/01/22	-6.15	-6.13	-6.15	-6.15	908600	30525446.00
1997/01/23	-6.15	-6.14	-6.15	-6.15	865600	28911246.00
1997/01/24	-6.15	-6.15	-6.15	-6.15	488200	16211657.00
1997/01/27	-6.15	-6.13	-6.15	-6.14	1208400	40677460.00
1997/01/28	-6.13	-6.13	-6.14	-6.14	590700	20038566.00
1997/01/29	-6.14	-6.14	-6.15	-6.15	443300	14862465.00
1997/01/30	-6.15	-6.14	-6.15	-6.15	609400	20311144.00
1997/01/31	-6.15	-6.13	-6.15	-6.14	690300	23327748.00
1997/02/17	-6.14	-6.13	-6.14	-6.14	595600	20217840.00
1997/02/18	-6.14	-6.14	-6.19	-6.19	1179700	37401956.00
1997/02/19	-6.19	-6.16	-6.19	-6.16	764400	24302906.00
1997/02/20	-6.21	-6.17	-6.21	-6.18	2034400	62349400.00
1997/02/21	-6.17	-6.17	-6.18	-6.17	705100	22233740.00
1997/02/24	-6.17	-6.17	-6.18	-6.18	728600	22888526.00
1997/02/25	-6.18	-6.17	-6.18	-6.18	559000	17743564.00
1997/02/26	-6.18	-6.15	-6.18	-6.16	852700	27760244.00
1997/02/27	-6.15	-6.15	-6.16	-6.16	1069700	35278144.00
1997/02/28	-6.16	-6.15	-6.16	-6.15	800500	26246764.00
1997/03/03	-6.15	-6.12	-6.15	-6.12	2519100	86712248.00
1997/03/04	-6.12	-6.12	-6.14	-6.13	1407100	48860748.00
1997/03/05	-6.13	-6.13	-6.15	-6.15	822900	27862428.00
1997/03/06	-6.15	-6.14	-6.16	-6.14	482000	16112356.00
1997/03/07	-6.14	-6.14	-6.15	-6.15	624400	20944584.00
1997/03/10	-6.14	-6.12	-6.15	-6.14	833500	28608906.00
1997/03/11	-6.14	-6.13	-6.14	-6.13	1140100	39247112.00
1997/03/12	-6.13	-6.08	-6.13	-6.08	5970900	222388528.00
1997/03/13	-6.05	-6.03	-6.06	-6.06	6607200	264904336.00
1997/03/14	-6.06	-6.06	-6.08	-6.06	2931600	112871688.00
1997/03/17	-6.05	-6.03	-6.05	-6.05	3049200	122202472.00
1997/03/18	-6.04	-6.04	-6.07	-6.06	2178400	85737984.00
1997/03/19	-6.06	-6.06	-6.07	-6.06	1302100	50715292.00
1997/03/20	-6.06	-6.06	-6.08	-6.08	1283100	49674672.00
1997/03/21	-6.09	-6.04	-6.09	-6.06	1891900	73487848.00
1997/03/24	-6.04	-6.02	-6.06	-6.02	3792500	153033040.00
