000738 航发控制 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/26	6.10	6.42	5.55	5.62	32356600	372939648.00
1997/06/27	5.58	5.58	5.15	5.22	11440300	117979344.00
1997/07/02	5.21	5.31	4.74	4.80	4937700	46076752.00
1997/07/03	4.80	5.15	4.62	4.89	6385100	60008812.00
1997/07/04	4.81	4.92	4.70	4.74	2694000	24615884.00
1997/07/07	4.73	4.79	4.31	4.31	2609100	22209316.00
1997/07/08	4.29	4.46	4.19	4.35	2901900	23512752.00
1997/07/09	4.36	4.47	4.22	4.44	2676400	22251738.00
1997/07/10	4.43	4.45	4.29	4.29	1478100	12169881.00
1997/07/11	4.28	4.54	4.25	4.49	2725200	22771662.00
1997/07/14	4.50	4.75	4.43	4.73	5082500	44871952.00
1997/07/15	4.80	5.01	4.73	4.91	7925500	74064336.00
1997/07/16	4.80	4.87	4.60	4.65	3278400	29291730.00
1997/07/17	4.65	4.75	4.52	4.65	2152100	19044432.00
1997/07/18	4.65	4.72	4.54	4.71	2326100	20526518.00
1997/07/21	4.72	4.73	4.55	4.62	1900200	16834314.00
1997/07/22	4.62	4.62	4.38	4.56	1711100	14755372.00
1997/07/23	4.64	4.70	4.56	4.63	2323500	20545416.00
1997/07/24	4.62	4.68	4.48	4.52	1699200	14896514.00
1997/07/25	4.48	4.56	4.42	4.46	1181400	10031104.00
1997/07/28	4.47	4.48	4.33	4.36	1660600	13709351.00
1997/07/29	4.36	4.45	4.33	4.38	810400	6699655.00
1997/07/30	4.42	4.49	4.37	4.47	1136100	9560185.00
1997/07/31	4.51	4.52	4.41	4.43	853900	7196534.50
1997/08/01	4.47	4.50	4.39	4.50	993800	8397084.00
1997/08/04	4.52	4.66	4.45	4.62	2050600	17861212.00
1997/08/05	4.70	4.84	4.67	4.69	4776300	43366856.00
1997/08/06	4.66	4.66	4.50	4.51	1472200	12812691.00
1997/08/07	4.46	4.62	4.41	4.61	1045000	8893131.00
1997/08/08	4.69	4.69	4.47	4.48	1220600	10510362.00
1997/08/11	4.44	4.47	4.36	4.38	1359700	11345736.00
1997/08/12	4.36	4.40	4.34	4.35	1102700	9121584.00
1997/08/13	4.33	4.43	4.25	4.26	828400	6768342.00
1997/08/14	4.26	4.34	4.25	4.32	1195900	9694249.00
1997/08/15	4.36	4.37	4.26	4.31	809900	6593015.00
1997/08/18	4.29	4.34	4.18	4.19	867100	6888470.50
1997/08/19	4.20	4.27	4.19	4.22	497000	3961386.00
1997/08/20	4.22	4.25	4.17	4.25	664700	5254769.00
1997/08/21	4.26	4.48	4.24	4.47	1651900	13699564.00
1997/08/22	4.59	4.64	4.48	4.50	1902700	16311479.00
1997/08/25	4.50	4.53	4.41	4.49	1244400	10557547.00
1997/08/26	4.47	4.51	4.36	4.49	1365000	11532148.00
1997/08/27	4.50	4.61	4.43	4.57	2019000	17322994.00
1997/08/28	4.57	4.61	4.48	4.50	1119400	9618572.00
1997/08/29	4.51	4.61	4.48	4.56	1855000	16081779.00
1997/09/01	4.61	4.82	4.61	4.79	7315300	66685860.00
1997/09/02	4.81	4.89	4.80	4.86	7867600	73335864.00
1997/09/03	4.87	4.93	4.76	4.92	4699100	43917696.00
1997/09/04	4.92	4.94	4.85	4.87	2977000	27990790.00
1997/09/05	4.86	4.94	4.82	4.94	3389400	31855414.00
1997/09/08	4.93	5.02	4.89	5.01	4222300	40392204.00
1997/09/09	5.02	5.24	5.02	5.02	11441200	113300792.00
1997/09/10	5.04	5.12	4.93	5.09	7543600	73396840.00
1997/09/11	5.12	5.26	5.04	5.06	5712900	57062548.00
1997/09/12	5.05	5.10	4.93	4.94	3116800	30059700.00
1997/09/15	4.94	5.19	4.93	5.16	8761600	86032864.00
1997/09/16	5.21	5.43	5.21	5.34	11453300	118306896.00
1997/09/17	5.39	5.47	5.29	5.46	7115000	74837896.00
1997/09/18	5.44	5.77	5.43	5.75	10936000	120796640.00
1997/09/19	5.73	5.86	5.56	5.66	7401600	82348544.00
1997/09/22	5.64	5.77	5.31	5.35	4595400	49843892.00
1997/09/23	5.30	5.50	5.26	5.44	4826900	50934536.00
1997/09/24	5.48	5.73	5.48	5.67	2319400	25358026.00
1997/09/25	5.68	5.85	5.61	5.84	3678900	41077716.00
1997/09/26	5.84	5.86	5.67	5.76	1959700	22195452.00
1997/09/29	5.63	5.90	5.63	5.84	2220200	25370372.00
1997/09/30	5.82	6.14	5.81	6.10	3277900	38560872.00
1997/10/06	6.09	6.38	6.05	6.33	2757700	34178692.00
1997/10/07	6.28	6.36	6.13	6.26	1744700	21513134.00
1997/10/08	6.37	6.41	6.21	6.27	1629000	20180092.00
1997/10/09	6.24	6.33	6.21	6.26	1276600	15837159.00
1997/10/10	6.24	6.28	6.19	6.21	1182500	14528182.00
1997/10/13	6.23	6.33	5.91	5.97	2260700	27020230.00
1997/10/14	5.96	6.12	5.94	5.98	2427400	28781976.00
1997/10/15	6.00	6.07	5.63	6.06	6123300	69805120.00
1997/10/16	6.06	6.09	5.88	6.02	3810600	44919536.00
1997/10/17	6.00	6.26	5.96	6.25	3738700	45345692.00
1997/10/20	6.27	6.67	6.27	6.61	3351900	43516552.00
1997/10/21	6.70	6.70	6.42	6.54	1950500	25176346.00
1997/10/22	6.49	6.72	6.37	6.47	3740300	48557900.00
1997/10/23	6.10	6.64	6.10	6.44	2159600	27712568.00
1997/10/24	6.54	6.56	6.43	6.47	1273200	16336864.00
1997/10/27	6.69	6.83	6.54	6.81	2892100	38477800.00
1997/10/28	6.80	6.80	6.42	6.42	1655900	21502542.00
1997/10/29	6.47	6.64	6.43	6.54	1873700	24203914.00
1997/10/30	6.58	6.65	6.31	6.31	2073300	26435456.00
1997/10/31	6.24	6.81	6.10	6.81	4511700	59248388.00
1997/11/03	6.88	7.20	6.61	7.20	2225100	31197342.00
1997/11/04	7.19	7.34	7.07	7.12	2234400	32087112.00
1997/11/05	7.02	7.24	6.95	7.15	1710500	24188806.00
1997/11/06	7.25	7.25	7.03	7.16	1742500	24907994.00
1997/11/07	7.03	7.24	7.03	7.23	1245100	17721812.00
1997/11/10	7.25	7.32	6.80	6.88	2695600	37622980.00
1997/11/11	6.70	7.00	6.70	6.88	881100	12085252.00
1997/11/12	6.91	6.93	6.75	6.83	609400	8293094.00
1997/11/13	6.79	6.88	6.70	6.87	946500	12751342.00
1997/11/14	6.88	7.01	6.74	6.94	885000	12107811.00
1997/11/17	7.03	7.06	6.84	6.84	425700	5879510.00
1997/11/18	6.88	7.12	6.88	7.01	2129900	29904350.00
1997/11/19	7.00	7.07	6.84	6.89	372700	5162534.50
1997/11/20	7.04	7.05	6.84	6.88	380100	5199434.00
1997/11/21	6.79	6.93	6.77	6.80	511600	6951669.50
1997/11/24	6.70	6.83	6.49	6.49	777500	10283446.00
1997/11/25	6.50	6.69	6.33	6.56	873500	11267917.00
1997/11/26	6.51	6.56	6.37	6.46	544500	6959789.00
1997/11/27	6.47	6.58	6.33	6.37	578300	7428002.00
1997/11/28	6.38	6.44	6.33	6.44	418700	5276616.50
1997/12/01	6.42	6.47	6.33	6.34	400600	5064866.50
1997/12/02	6.42	6.42	6.19	6.25	398300	4937176.50
1997/12/03	6.37	6.37	6.21	6.31	286800	3545129.00
1997/12/04	6.33	6.55	6.28	6.52	609800	7822565.00
1997/12/05	6.61	6.61	6.44	6.54	646600	8382346.50
1997/12/08	6.60	6.74	6.51	6.73	1025900	13461072.00
1997/12/09	6.17	6.93	6.17	6.82	2425400	32823612.00
1997/12/10	6.88	6.88	6.63	6.69	966700	12921066.00
1997/12/12	7.21	7.21	6.68	6.70	1161100	15596684.00
1997/12/15	6.84	6.84	6.56	6.68	787500	10440834.00
1997/12/16	6.70	6.83	6.63	6.79	869500	11670933.00
1997/12/17	6.69	6.71	6.50	6.51	603700	7889688.50
1997/12/18	6.51	6.80	6.51	6.79	1094800	14574390.00
1997/12/19	6.79	6.83	6.70	6.73	797600	10728761.00
1997/12/22	6.80	7.04	6.72	7.00	3247200	44854876.00
1997/12/23	7.07	7.07	6.91	6.98	1309000	18191272.00
1997/12/24	7.01	7.21	6.93	7.02	3335200	47064224.00
1997/12/25	6.98	7.14	6.92	6.96	3998500	55965696.00
1997/12/26	7.02	7.07	6.84	6.98	2732200	37749120.00
1997/12/29	7.16	7.16	6.96	6.98	1905000	26707736.00
1997/12/30	6.99	7.42	6.99	7.20	5906000	85487464.00
1997/12/31	7.21	7.37	7.16	7.28	4961700	72494232.00
1998/01/05	7.48	7.60	7.30	7.30	6045800	90058064.00
1998/01/06	7.30	7.37	7.02	7.12	5529700	79318288.00
1998/01/07	7.10	7.28	7.09	7.14	3780400	54061660.00
1998/01/08	7.14	7.19	6.86	6.95	3450300	48157520.00
1998/01/09	6.93	7.05	6.79	7.02	2035100	27903960.00
1998/01/12	7.02	7.07	6.87	6.88	1690700	23386222.00
1998/01/13	6.79	6.79	6.25	6.37	3360100	42383260.00
