000768 中航飞机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/26	1.25	1.28	1.10	1.12	31887100	397037536.00
1997/06/27	1.12	1.26	1.11	1.26	18327900	240038400.00
1997/07/02	1.34	1.39	1.16	1.38	15264200	209668096.00
1997/07/03	1.33	1.33	1.21	1.23	6922100	92520872.00
1997/07/04	1.21	1.25	1.16	1.18	4249600	54517988.00
1997/07/07	1.17	1.18	1.03	1.03	2895400	34111160.00
1997/07/08	1.00	1.03	0.90	0.98	4414200	46952872.00
1997/07/09	0.97	1.03	0.89	1.03	3206800	34596580.00
1997/07/10	1.01	1.04	0.96	0.96	2332600	25840056.00
1997/07/11	0.96	1.06	0.93	1.06	2960200	33327502.00
1997/07/14	1.06	1.14	1.05	1.08	4084700	48488788.00
1997/07/15	1.08	1.08	1.02	1.07	2382700	27526384.00
1997/07/16	1.06	1.06	0.99	1.02	2069800	23248128.00
1997/07/17	1.01	1.05	0.99	1.02	1657100	18738372.00
1997/07/18	1.02	1.06	0.99	1.04	1486200	16832786.00
1997/07/21	1.03	1.04	0.99	1.01	1439600	16137230.00
1997/07/22	1.01	1.10	1.00	1.09	4591300	54231028.00
1997/07/23	1.13	1.14	1.06	1.07	3012700	36089556.00
1997/07/24	1.07	1.07	1.02	1.02	1164200	13401519.00
1997/07/25	1.01	1.04	1.00	1.02	919600	10403136.00
1997/07/28	1.00	1.03	0.96	0.97	923900	10253128.00
1997/07/29	0.96	1.02	0.95	1.00	709500	7841527.50
1997/07/30	1.00	1.04	0.99	1.03	649400	7331507.50
1997/07/31	1.03	1.04	1.01	1.02	655100	7390896.00
1997/08/01	1.01	1.03	1.00	1.02	742400	8357763.50
1997/08/04	1.01	1.06	0.99	1.06	1373700	15720190.00
1997/08/05	1.08	1.10	1.04	1.05	1311400	15389972.00
1997/08/06	1.04	1.04	1.00	1.01	905300	10207603.00
1997/08/07	0.99	1.03	0.98	1.02	672900	7481687.00
1997/08/08	1.02	1.03	0.98	0.99	1018900	11328260.00
1997/08/11	0.99	0.99	0.90	0.92	1546500	16265893.00
1997/08/12	0.89	0.93	0.88	0.88	803800	8327106.00
1997/08/13	0.89	0.92	0.84	0.85	699800	7084314.00
1997/08/14	0.82	0.87	0.82	0.87	763500	7522856.00
1997/08/15	0.88	0.89	0.85	0.86	600100	6017572.50
1997/08/18	0.86	0.86	0.75	0.77	603500	5641350.50
1997/08/19	0.76	0.81	0.76	0.78	438700	4063271.25
1997/08/20	0.78	0.80	0.76	0.78	360000	3314955.00
1997/08/21	0.78	0.83	0.78	0.82	430500	4071774.00
1997/08/22	0.81	0.89	0.80	0.86	802400	8033721.50
1997/08/25	0.87	0.87	0.82	0.83	683500	6611724.50
1997/08/26	0.83	0.87	0.83	0.85	508300	4984224.00
1997/08/27	0.86	0.88	0.85	0.88	686100	6839406.00
1997/08/28	0.88	0.89	0.85	0.85	528500	5268600.00
1997/08/29	0.88	0.90	0.86	0.88	697200	7017525.00
1997/09/01	0.89	0.92	0.88	0.89	631900	6514568.50
1997/09/02	0.89	0.90	0.87	0.88	526900	5326417.00
1997/09/03	0.88	0.90	0.87	0.90	970200	9858068.00
1997/09/04	0.92	0.95	0.91	0.94	1097200	11576722.00
1997/09/05	0.95	0.95	0.92	0.94	706400	7431249.50
1997/09/08	0.93	0.93	0.90	0.91	504400	5209767.00
1997/09/09	0.92	0.92	0.89	0.89	575600	5908620.50
1997/09/10	0.87	0.92	0.87	0.91	703600	7164520.00
1997/09/11	0.91	0.92	0.86	0.88	606800	6177762.00
1997/09/12	0.88	0.89	0.85	0.85	472600	4732369.00
1997/09/15	0.85	0.86	0.82	0.84	578300	5652983.00
1997/09/16	0.83	0.86	0.83	0.85	440800	4331700.00
1997/09/17	0.85	0.85	0.81	0.82	267700	2584279.00
1997/09/18	0.82	0.85	0.82	0.84	331000	3217491.50
1997/09/19	0.84	0.90	0.84	0.88	606100	6105235.50
1997/09/22	0.89	0.92	0.83	0.85	1922300	19503764.00
1997/09/23	0.83	0.86	0.74	0.76	1085600	10178302.00
1997/09/24	0.79	0.82	0.79	0.82	977100	9265486.00
1997/09/25	0.83	0.89	0.80	0.87	1488900	14692967.00
1997/09/26	0.87	0.93	0.87	0.92	4025100	41649696.00
1997/09/29	0.91	0.93	0.88	0.92	2159600	22481578.00
1997/09/30	0.91	0.93	0.89	0.91	1180000	12203661.00
1997/10/06	0.93	0.95	0.90	0.93	1079500	11403840.00
1997/10/07	0.93	0.95	0.89	0.91	633000	6562095.00
1997/10/08	0.93	0.95	0.92	0.93	1112200	11746458.00
1997/10/09	0.93	0.94	0.90	0.90	810300	8432556.00
1997/10/10	0.90	0.92	0.88	0.89	768800	7854925.00
1997/10/13	0.90	0.92	0.89	0.89	637700	6542987.00
1997/10/14	0.88	0.90	0.87	0.89	501700	5081845.00
1997/10/15	0.89	0.94	0.89	0.92	943300	9879247.00
1997/10/16	0.93	1.00	0.92	0.98	3185300	34626216.00
1997/10/17	0.99	1.02	0.96	0.99	2467300	27203360.00
1997/10/20	0.99	1.05	0.97	1.05	3721100	41846972.00
1997/10/21	1.06	1.06	1.02	1.05	2541600	29206098.00
1997/10/22	1.05	1.05	0.96	0.97	3385400	37836256.00
1997/10/23	0.97	1.02	0.95	0.99	2091400	23159130.00
1997/10/24	1.00	1.12	1.00	1.12	8781200	104574488.00
1997/10/27	1.16	1.26	1.16	1.26	12799600	166583552.00
1997/10/28	1.25	1.25	1.12	1.14	5933200	75185200.00
1997/10/29	1.15	1.25	1.12	1.23	5243000	66830132.00
1997/10/30	1.25	1.26	1.14	1.15	4836500	62411252.00
1997/10/31	1.13	1.17	1.11	1.16	2367500	29209834.00
1997/11/03	1.18	1.18	1.11	1.13	1485500	18337360.00
1997/11/04	1.12	1.23	1.12	1.21	2742900	35055804.00
1997/11/05	1.21	1.22	1.17	1.20	2003200	25667318.00
1997/11/06	1.22	1.28	1.19	1.20	4854200	64213072.00
1997/11/07	1.20	1.23	1.18	1.21	1601400	20683258.00
1997/11/10	1.19	1.22	1.12	1.15	2252800	27983364.00
1997/11/11	1.14	1.16	1.08	1.14	1449300	17539106.00
1997/11/12	1.14	1.14	1.07	1.08	1429700	17105698.00
1997/11/13	1.07	1.13	1.04	1.13	1098500	12952322.00
1997/11/14	1.12	1.12	1.08	1.10	761200	9157712.00
1997/11/17	1.11	1.12	1.06	1.07	765600	8982246.00
1997/11/18	1.06	1.08	1.03	1.04	763200	8839749.00
1997/11/19	1.03	1.06	1.02	1.04	538000	6182986.50
1997/11/20	1.04	1.04	1.00	1.01	727200	8219196.00
1997/11/21	0.99	1.03	0.99	1.01	806300	9058644.00
1997/11/24	1.01	1.02	0.98	0.99	573700	6361448.00
1997/11/25	0.99	1.00	0.95	0.97	390200	4241183.00
1997/11/26	0.98	1.01	0.96	1.01	389000	4275247.50
1997/11/27	1.01	1.02	0.94	0.94	383000	4187829.75
1997/11/28	0.95	1.00	0.93	1.00	518600	5588619.00
1997/12/01	1.00	1.00	0.96	0.97	245600	2676878.25
1997/12/02	0.97	1.00	0.95	0.96	364800	3973847.00
1997/12/03	0.96	0.97	0.94	0.94	309000	3289569.50
1997/12/04	0.95	1.01	0.95	1.00	1013500	11164496.00
1997/12/05	1.02	1.04	0.99	0.99	909300	10226780.00
1997/12/08	0.99	1.02	0.98	1.01	444100	4945240.50
1997/12/09	1.02	1.03	1.01	1.02	415200	4683669.00
1997/12/10	1.03	1.04	1.01	1.01	539600	6134387.50
1997/12/11	1.05	1.06	1.01	1.03	710300	8154899.50
1997/12/12	1.06	1.09	1.05	1.08	1903600	22422360.00
1997/12/15	1.09	1.11	1.07	1.09	1113100	13171812.00
1997/12/16	1.09	1.10	1.06	1.07	627600	7361624.50
1997/12/17	1.07	1.07	1.00	1.02	1061400	12028310.00
1997/12/18	0.99	1.00	0.98	1.00	775100	8595680.00
1997/12/19	1.00	1.02	0.99	1.01	444900	4931446.50
1997/12/22	0.99	1.01	0.96	1.00	1145600	12487602.00
1997/12/23	0.99	1.02	0.96	1.00	632100	6992379.00
1997/12/24	1.00	1.00	0.97	0.97	796000	8700096.00
1997/12/25	0.97	1.03	0.96	1.02	1030200	11434387.00
1997/12/26	1.02	1.06	1.01	1.04	1257600	14317233.00
1997/12/29	1.04	1.09	1.02	1.02	1044800	12079003.00
1997/12/30	1.05	1.05	1.00	1.00	554800	6242128.00
1997/12/31	1.00	1.02	1.00	1.02	509700	5724447.00
1998/01/05	1.02	1.09	1.02	1.05	1670800	19441176.00
1998/01/06	1.06	1.09	1.03	1.05	1095800	12762342.00
1998/01/07	1.04	1.11	1.04	1.09	1777000	21098342.00
1998/01/08	1.21	1.23	1.18	1.21	7474100	97886520.00
1998/01/09	1.22	1.29	1.16	1.17	5169100	67241968.00
1998/01/12	1.16	1.21	1.13	1.15	2168200	27208166.00
1998/01/13	1.14	1.14	1.00	1.05	2271100	26339752.00
1998/01/14	1.05	1.12	1.05	1.08	1370200	16190647.00
1998/01/15	1.08	1.12	1.06	1.09	799200	9471407.00
1998/01/16	1.09	1.12	1.07	1.08	719400	8603844.00
1998/01/19	1.08	1.08	1.04	1.05	567500	6577802.00
1998/01/20	1.05	1.07	0.99	1.04	408200	4702233.00
1998/01/21	1.05	1.08	1.04	1.05	295800	3426041.75
1998/01/22	1.03	1.08	1.03	1.05	390900	4528412.00
1998/01/23	1.06	1.08	1.06	1.07	347200	4070465.50
1998/02/09	1.10	1.12	1.08	1.10	512700	6154961.00
1998/02/10	1.10	1.10	1.08	1.08	353100	4200004.50
1998/02/11	1.06	1.12	1.06	1.09	487500	5820932.00
1998/02/12	1.08	1.09	1.06	1.07	302200	3566246.25
1998/02/13	1.09	1.09	1.06	1.08	339500	3982247.50
1998/02/16	1.07	1.07	1.04	1.06	478000	5542491.00
1998/02/17	1.08	1.12	1.06	1.12	1044100	12454708.00
1998/02/18	1.12	1.13	1.08	1.09	615400	7374521.50
1998/02/19	1.08	1.10	1.08	1.10	497300	5935799.00
1998/02/20	1.10	1.10	1.04	1.05	844100	9836017.00
1998/02/23	1.06	1.06	1.03	1.05	437200	5013946.00
1998/02/24	1.04	1.05	1.01	1.02	436200	4970477.50
1998/02/25	1.08	1.08	1.03	1.03	568400	6540010.00
1998/02/26	1.02	1.05	1.01	1.03	340600	3861417.75
1998/02/27	1.02	1.04	1.00	1.00	397900	4469500.50
1998/03/02	0.99	1.00	0.94	0.94	456200	4932865.50
1998/03/03	0.94	0.97	0.93	0.96	583400	6221295.50
1998/03/04	0.98	0.98	0.94	0.96	235200	2534088.00
1998/03/05	0.98	0.99	0.95	0.96	211800	2292578.25
1998/03/06	0.95	1.01	0.93	0.96	499800	5457000.50
1998/03/09	0.96	0.98	0.94	0.97	325600	3494953.25
1998/03/10	0.97	0.99	0.96	0.98	339100	3698439.25
1998/03/11	0.98	0.99	0.94	0.96	405900	4422987.00
1998/03/12	0.95	0.96	0.93	0.93	363400	3870125.00
1998/03/13	0.93	0.95	0.93	0.94	356600	3787803.00
1998/03/16	0.96	0.98	0.94	0.98	407800	4406167.00
1998/03/17	0.98	0.99	0.97	0.99	596600	6552487.00
1998/03/18	0.99	1.00	0.98	0.98	470500	5199467.00
1998/03/19	0.98	0.99	0.97	0.98	279500	3070069.75
1998/03/20	1.01	1.01	0.97	0.98	322400	3524118.00
1998/03/23	0.96	0.97	0.94	0.95	256300	2753585.00
1998/03/24	0.94	0.98	0.94	0.96	209100	2247987.25
1998/03/25	0.99	0.99	0.96	0.97	366200	3973110.25
1998/03/26	0.99	0.99	0.94	0.94	320400	3421244.00
1998/03/27	0.94	1.00	0.94	1.00	727700	7953408.00
1998/03/30	1.02	1.04	0.99	1.03	1063200	11972877.00
1998/03/31	1.04	1.07	1.01	1.06	1155300	13350324.00
1998/04/01	1.04	1.07	1.03	1.04	485800	5558492.50
1998/04/02	1.04	1.08	1.03	1.04	1204100	13941982.00
1998/04/03	1.03	1.05	1.01	1.02	626500	7109683.50
1998/04/06	1.03	1.05	1.00	1.05	977000	11120421.00
1998/04/07	1.04	1.06	1.03	1.04	673100	7752225.50
1998/04/09	1.06	1.15	1.01	1.12	3434600	41312488.00
1998/04/10	1.11	1.16	1.09	1.14	3498000	42862472.00
1998/04/13	1.14	1.19	1.12	1.16	2890100	36099656.00
1998/04/14	1.15	1.17	1.12	1.14	1146200	14199940.00
1998/04/15	1.16	1.16	1.12	1.14	978400	12016291.00
1998/04/16	1.11	1.13	1.09	1.09	1158700	13962681.00
1998/04/17	1.08	1.11	1.07	1.11	1232600	14717748.00
1998/04/20	1.11	1.14	1.11	1.14	1162300	14225220.00
1998/04/21	1.14	1.15	1.10	1.10	693500	8385879.00
1998/04/22	1.10	1.13	1.09	1.11	811000	9762968.00
1998/04/23	1.12	1.14	1.10	1.12	836600	10162874.00
1998/04/24	1.13	1.19	1.12	1.15	3070800	38551224.00
1998/04/27	1.15	1.21	1.15	1.18	2356700	29989134.00
1998/04/28	1.19	1.26	1.19	1.22	5588800	73301576.00
1998/04/29	1.23	1.26	1.20	1.23	3295600	43190736.00
1998/04/30	1.24	1.26	1.21	1.26	2664400	35029528.00
1998/05/04	1.29	1.33	1.27	1.29	2978400	40777068.00
1998/05/05	1.29	1.31	1.27	1.31	1845900	24991766.00
1998/05/06	1.31	1.35	1.29	1.34	2667300	37215528.00
1998/05/07	1.33	1.34	1.24	1.24	2434800	33192490.00
1998/05/08	1.24	1.28	1.21	1.27	3478100	46024240.00
1998/05/11	1.28	1.34	1.24	1.25	1814800	24721440.00
1998/05/12	1.25	1.25	1.22	1.23	1193200	15615181.00
1998/05/13	1.23	1.26	1.22	1.24	1554400	20372806.00
1998/05/14	1.25	1.29	1.22	1.24	2154200	28717410.00
1998/05/15	1.28	1.31	1.25	1.26	2656100	35955140.00
1998/05/18	1.29	1.33	1.29	1.32	2794500	38734820.00
1998/05/19	1.33	1.40	1.32	1.38	5933600	84989040.00
1998/05/20	1.38	1.39	1.35	1.35	2219400	31584788.00
1998/05/21	1.36	1.52	1.36	1.45	5440500	81853656.00
1998/05/22	1.46	1.51	1.44	1.46	3269900	49450632.00
1998/05/25	1.52	1.60	1.52	1.58	6694200	106823336.00
1998/05/26	1.58	1.60	1.53	1.60	3086500	49421972.00
1998/05/27	1.60	1.62	1.57	1.57	2491900	40207804.00
1998/05/28	1.57	1.58	1.53	1.55	1856100	29304464.00
1998/05/29	1.57	1.58	1.55	1.57	1741700	27816258.00
1998/06/01	1.57	1.59	1.53	1.55	2058200	32661864.00
1998/06/02	1.57	1.57	1.52	1.54	1464400	23024200.00
1998/06/03	1.54	1.70	1.54	1.68	2586400	42909648.00
1998/06/04	1.68	1.73	1.65	1.65	2079500	35310712.00
1998/06/05	1.66	1.71	1.61	1.66	2138900	35790812.00
1998/06/08	1.68	1.70	1.63	1.68	1567900	26596312.00
1998/06/09	1.67	1.67	1.54	1.58	2463100	40136088.00
1998/06/10	1.58	1.61	1.53	1.56	1606900	25731476.00
1998/06/11	1.58	1.58	1.47	1.48	1664300	25859634.00
1998/06/12	1.55	1.63	1.52	1.62	2771400	44753848.00
1998/06/15	1.63	1.70	1.61	1.64	2176100	36385552.00
1998/06/16	1.64	1.65	1.54	1.64	1549800	25142860.00
1998/06/17	1.64	1.67	1.61	1.62	798200	13279139.00
1998/06/18	1.64	1.68	1.62	1.64	1024000	17158750.00
1998/06/19	1.66	1.73	1.65	1.71	2562600	43943368.00
1998/06/22	1.74	1.85	1.73	1.83	3486500	63126816.00
1998/06/23	1.85	1.86	1.79	1.84	1975100	35966532.00
1998/06/24	1.84	1.86	1.80	1.83	1420300	25821174.00
1998/06/25	1.82	1.83	1.68	1.69	3701500	64207988.00
1998/06/26	1.67	1.67	1.60	1.60	3998700	65708780.00
1998/06/29	1.58	1.58	1.49	1.50	2892600	44905120.00
1998/06/30	1.50	1.55	1.46	1.49	1893600	29397410.00
1998/07/01	1.55	1.56	1.37	1.38	2248300	33428136.00
1998/07/02	1.36	1.44	1.34	1.44	1752800	25372906.00
1998/07/03	1.43	1.44	1.37	1.39	1340800	19518218.00
1998/07/06	1.36	1.40	1.33	1.34	836300	11910075.00
1998/07/07	1.34	1.35	1.31	1.34	944900	13176865.00
1998/07/08	1.37	1.41	1.35	1.39	776400	11251078.00
1998/07/09	1.43	1.43	1.34	1.40	620300	9072883.00
1998/07/10	1.41	1.47	1.38	1.47	993600	14656772.00
1998/07/13	1.47	1.50	1.45	1.49	1021400	15531517.00
1998/07/14	1.48	1.48	1.33	1.38	1370600	20105516.00
1998/07/15	1.33	1.39	1.30	1.38	1412400	19887224.00
1998/07/16	1.38	1.40	1.34	1.38	708000	10059959.00
1998/07/17	1.38	1.40	1.33	1.35	582100	8261373.50
1998/07/20	1.34	1.37	1.30	1.33	396300	5538084.00
1998/07/21	1.33	1.40	1.31	1.37	380100	5363152.00
1998/07/22	1.36	1.37	1.33	1.33	364600	5154777.00
1998/07/23	1.33	1.36	1.33	1.35	399800	5617340.00
1998/07/24	1.35	1.42	1.35	1.40	982600	14264972.00
1998/07/27	1.41	1.43	1.37	1.39	409900	5939495.00
1998/07/28	1.39	1.45	1.39	1.41	593600	8750958.00
1998/07/29	1.40	1.44	1.39	1.40	656200	9651280.00
1998/07/30	1.42	1.42	1.38	1.38	476700	6898781.50
1998/07/31	1.37	1.39	1.35	1.36	471100	6707394.50
1998/08/03	1.34	1.35	1.32	1.32	458400	6406682.00
1998/08/04	1.31	1.33	1.30	1.32	305200	4217704.50
1998/08/05	1.33	1.33	1.31	1.32	268700	3735210.50
1998/08/06	1.35	1.41	1.34	1.38	758000	10955314.00
1998/08/07	1.37	1.39	1.35	1.36	517400	7372178.50
1998/08/10	1.33	1.34	1.30	1.31	450200	6248716.00
1998/08/11	1.31	1.34	1.30	1.30	350700	4841864.50
1998/08/12	1.30	1.32	1.18	1.24	770600	10150254.00
1998/08/13	1.24	1.28	1.20	1.25	591400	7812554.00
1998/08/14	1.25	1.25	1.18	1.19	657600	8469812.00
1998/08/17	1.16	1.16	1.04	1.04	871100	10295063.00
1998/08/18	1.01	1.09	0.96	1.02	760500	8728822.00
1998/08/19	1.02	1.12	1.02	1.12	794700	9416049.00
1998/08/20	1.11	1.18	1.09	1.18	1318300	16382990.00
1998/08/21	1.17	1.20	1.16	1.19	1002900	12728763.00
1998/08/24	1.21	1.24	1.18	1.22	915900	11860956.00
1998/08/25	1.20	1.21	1.17	1.19	499500	6344294.50
1998/08/26	1.18	1.21	1.17	1.17	454500	5767581.50
1998/08/27	1.15	1.16	1.13	1.13	454900	5605524.50
1998/08/28	1.10	1.13	1.08	1.10	471300	5659475.00
1998/08/31	1.09	1.15	1.01	1.15	578600	6756465.00
1998/09/01	1.14	1.15	1.09	1.11	432200	5260124.00
1998/09/02	1.09	1.12	1.09	1.11	296600	3582503.50
1998/09/03	1.10	1.15	1.10	1.13	320000	3914721.00
1998/09/04	1.14	1.17	1.14	1.15	407200	5092046.50
1998/09/07	1.22	1.22	1.17	1.19	380900	4855254.00
1998/09/08	1.19	1.21	1.16	1.16	575500	7341483.50
1998/09/09	1.16	1.20	1.16	1.19	500400	6342645.50
1998/09/10	1.21	1.28	1.21	1.25	1344600	17746228.00
1998/09/11	1.25	1.27	1.24	1.24	832200	11039149.00
1998/09/14	1.27	1.33	1.25	1.30	1095400	15052832.00
1998/09/15	1.30	1.31	1.26	1.27	753800	10194753.00
1998/09/17	1.30	1.31	1.19	1.21	827700	10947776.00
1998/09/18	1.21	1.21	1.16	1.17	700100	8905595.00
1998/09/21	1.14	1.21	1.13	1.20	517900	6452909.50
1998/09/22	1.22	1.22	1.16	1.17	443000	5599597.00
1998/09/23	1.17	1.19	1.16	1.17	337100	4244482.50
1998/09/24	1.17	1.19	1.17	1.17	361700	4581272.50
1998/09/25	1.15	1.18	1.14	1.18	316100	3956419.00
1998/09/28	1.17	1.20	1.17	1.19	367300	4662855.50
1998/09/29	1.19	1.24	1.19	1.23	847500	11085191.00
1998/09/30	1.24	1.27	1.23	1.25	738200	9814171.00
1998/10/05	1.27	1.27	1.23	1.23	386800	5109144.00
1998/10/06	1.25	1.25	1.20	1.20	391200	5082557.50
1998/10/07	1.20	1.21	1.17	1.18	319500	4065629.00
1998/10/08	1.19	1.20	1.18	1.18	325200	4139800.00
1998/10/09	1.19	1.26	1.19	1.23	794600	10472888.00
1998/10/12	1.24	1.25	1.21	1.23	404500	5294744.50
1998/10/13	1.23	1.26	1.23	1.24	464800	6160575.00
1998/10/14	1.24	1.25	1.21	1.22	341500	4454773.00
1998/10/15	1.22	1.25	1.21	1.25	435300	5683033.00
1998/10/16	1.26	1.30	1.25	1.26	1000800	13547210.00
1998/10/19	1.26	1.29	1.24	1.26	647500	8709503.00
1998/10/20	1.26	1.35	1.26	1.32	2152400	29770306.00
1998/10/21	1.32	1.32	1.27	1.27	1136400	15509601.00
1998/10/22	1.25	1.28	1.23	1.28	685100	9112468.00
1998/10/23	1.27	1.32	1.26	1.30	1002200	13756876.00
1998/10/26	1.30	1.39	1.30	1.37	2709700	38495460.00
1998/10/27	1.37	1.39	1.36	1.38	1417100	20292076.00
1998/10/28	1.40	1.40	1.36	1.37	956900	13798530.00
1998/10/29	1.38	1.43	1.38	1.42	1283200	18767636.00
1998/10/30	1.42	1.42	1.35	1.35	1053600	15186079.00
1998/11/02	1.35	1.37	1.33	1.37	898600	12724015.00
1998/11/03	1.37	1.41	1.37	1.39	578300	8388749.00
1998/11/04	1.39	1.39	1.35	1.36	560200	7982931.50
1998/11/05	1.36	1.38	1.33	1.36	1031500	14601143.00
1998/11/06	1.37	1.41	1.37	1.37	957700	13830264.00
1998/11/09	1.38	1.41	1.35	1.41	805000	11590011.00
1998/11/10	1.41	1.42	1.37	1.39	601400	8693671.00
1998/11/11	1.39	1.46	1.38	1.45	1415700	20973184.00
1998/11/12	1.45	1.46	1.41	1.42	767200	11359724.00
1998/11/13	1.42	1.42	1.38	1.42	552500	8042320.00
1998/11/16	1.41	1.43	1.39	1.42	487900	7138257.50
1998/11/17	1.42	1.43	1.38	1.39	782800	11329512.00
1998/11/18	1.38	1.38	1.34	1.36	613900	8745523.00
1998/11/19	1.35	1.38	1.34	1.36	351400	4999440.50
1998/11/20	1.35	1.38	1.35	1.36	311200	4440235.00
1998/11/23	1.36	1.38	1.34	1.36	334900	4743548.50
1998/11/24	1.37	1.39	1.36	1.38	258700	3716006.00
1998/11/25	1.38	1.42	1.37	1.38	375000	5438802.00
1998/11/26	1.37	1.38	1.32	1.33	417000	5872226.00
1998/11/27	1.33	1.35	1.26	1.27	746500	10229948.00
1998/11/30	1.27	1.29	1.25	1.29	372000	5005137.00
1998/12/01	1.29	1.30	1.26	1.27	260900	3513804.50
1998/12/02	1.28	1.29	1.24	1.28	212600	2846166.00
1998/12/03	1.30	1.30	1.25	1.26	156700	2102870.50
1998/12/04	1.25	1.27	1.23	1.23	321900	4250597.00
1998/12/07	1.25	1.25	1.20	1.20	331600	4341434.50
1998/12/08	1.21	1.24	1.20	1.24	248300	3243048.25
1998/12/09	1.25	1.27	1.24	1.25	150700	2007733.13
1998/12/10	1.25	1.26	1.23	1.25	163000	2156678.00
1998/12/11	1.22	1.26	1.21	1.26	172800	2266387.50
1998/12/14	1.25	1.25	1.23	1.24	116900	1542590.50
1998/12/15	1.22	1.25	1.21	1.25	205800	2696988.00
1998/12/16	1.25	1.27	1.24	1.25	146500	1951787.88
1998/12/17	1.22	1.24	1.19	1.20	545700	7052154.00
1998/12/18	1.20	1.22	1.20	1.21	249600	3237944.75
1998/12/21	1.20	1.22	1.18	1.18	131200	1682499.00
1998/12/22	1.20	1.24	1.19	1.24	139100	1809548.50
1998/12/23	1.24	1.25	1.22	1.22	127700	1672281.00
1998/12/24	1.21	1.24	1.21	1.23	92400	1203678.38
1998/12/25	1.23	1.25	1.22	1.23	107200	1410474.50
1998/12/28	1.24	1.24	1.21	1.21	101100	1319520.75
1998/12/29	1.20	1.21	1.19	1.19	141500	1813037.50
1998/12/30	1.16	1.21	1.16	1.19	189200	2401496.50
1998/12/31	1.19	1.25	1.19	1.21	136000	1753344.38
1999/01/04	1.25	1.25	1.16	1.18	81400	1040469.69
1999/01/05	1.16	1.18	1.15	1.16	178400	2233761.75
1999/01/06	1.18	1.19	1.16	1.16	152900	1929172.00
