000792 盐湖股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/09/04	-3.07	-2.90	-3.10	-2.94	32851600	309832320.00
1997/09/05	-2.97	-2.90	-2.99	-2.91	12749500	124176720.00
1997/09/08	-2.90	-2.83	-2.94	-2.88	11080500	112019760.00
1997/09/09	-2.88	-2.86	-2.96	-2.94	7599500	74901792.00
1997/09/10	-2.96	-2.91	-2.97	-2.91	3533700	34036384.00
1997/09/11	-2.93	-2.87	-2.96	-2.94	3953600	39098680.00
1997/09/12	-2.94	-2.93	-3.01	-3.00	2294100	21837190.00
1997/09/15	-3.03	-3.00	-3.08	-3.06	1873200	16940434.00
1997/09/16	-3.06	-3.02	-3.08	-3.03	1262500	11400363.00
1997/09/17	-3.03	-3.03	-3.07	-3.05	960900	8561549.00
1997/09/18	-3.06	-3.00	-3.06	-3.03	817800	7473089.50
1997/09/19	-3.02	-3.01	-3.05	-3.03	567700	5198980.00
1997/09/22	-3.02	-3.02	-3.17	-3.16	1621200	13895831.00
1997/09/23	-3.18	-3.17	-3.29	-3.27	1532000	12041633.00
1997/09/24	-3.25	-3.17	-3.26	-3.18	1907200	15014707.00
1997/09/25	-3.17	-3.15	-3.20	-3.17	1992800	16251686.00
1997/09/26	-3.16	-3.16	-3.23	-3.21	1030300	8200171.00
1997/09/29	-3.22	-3.22	-3.27	-3.26	766000	5884125.50
1997/09/30	-3.27	-3.21	-3.28	-3.22	765300	5931219.50
1997/10/06	-3.23	-3.22	-3.26	-3.23	424000	3297586.25
1997/10/07	-3.25	-3.23	-3.28	-3.24	439600	3360327.75
1997/10/08	-3.19	-3.17	-3.24	-3.19	1067500	8614779.00
1997/10/09	-3.19	-3.18	-3.23	-3.22	728700	5798991.50
1997/10/10	-3.21	-3.19	-3.22	-3.19	702100	5631992.00
1997/10/13	-3.18	-3.17	-3.20	-3.18	786600	6356746.00
1997/10/14	-3.19	-3.19	-3.23	-3.21	497300	3924729.75
1997/10/15	-3.22	-3.19	-3.23	-3.19	660500	5247874.50
1997/10/16	-3.18	-3.14	-3.21	-3.16	1772400	14567952.00
1997/10/17	-3.14	-3.13	-3.18	-3.15	1611200	13402507.00
1997/10/20	-3.16	-3.07	-3.17	-3.07	2929200	25116598.00
1997/10/21	-3.07	-3.05	-3.11	-3.07	1898100	16713351.00
1997/10/22	-3.07	-3.03	-3.15	-3.11	2833800	24768142.00
1997/10/23	-3.16	-2.98	-3.16	-3.01	7641900	70436560.00
1997/10/24	-3.00	-2.95	-3.03	-2.99	5535000	52278808.00
1997/10/27	-2.96	-2.90	-3.00	-2.98	4802400	46134188.00
1997/10/28	-2.98	-2.97	-3.07	-3.05	2926700	26810102.00
1997/10/29	-3.06	-3.01	-3.08	-3.01	1843200	16721989.00
1997/10/30	-2.98	-2.96	-3.08	-3.08	2413900	22303642.00
1997/10/31	-3.00	-3.00	-3.11	-3.00	2282800	20634108.00
1997/11/03	-2.97	-2.97	-3.03	-3.01	1141900	10575088.00
1997/11/04	-3.01	-2.98	-3.02	-2.98	1413600	13236807.00
1997/11/05	-2.99	-2.95	-3.00	-2.97	2151700	20596100.00
1997/11/06	-2.96	-2.88	-2.96	-2.94	5921800	58671816.00
1997/11/07	-2.94	-2.90	-2.96	-2.93	2053100	20062646.00
1997/11/10	-2.92	-2.92	-3.01	-2.97	1760600	16885408.00
1997/11/11	-2.93	-2.93	-3.03	-2.98	1307700	12189873.00
1997/11/12	-3.00	-2.99	-3.05	-3.04	640700	5896886.50
1997/11/13	-3.05	-3.00	-3.08	-3.00	1298900	11613088.00
1997/11/14	-3.01	-3.01	-3.04	-3.02	810300	7407105.00
1997/11/17	-3.02	-3.02	-3.06	-3.04	860800	7749667.50
1997/11/18	-3.05	-3.05	-3.08	-3.08	542500	4827138.50
1997/11/19	-3.07	-3.05	-3.11	-3.07	446200	3936840.25
1997/11/20	-3.01	-3.01	-3.08	-3.06	618100	5566987.50
1997/11/21	-3.06	-3.03	-3.08	-3.06	996100	9005815.00
1997/11/24	-3.04	-3.04	-3.14	-3.13	686300	5935961.50
1997/11/25	-3.13	-3.08	-3.13	-3.11	477600	4067520.00
1997/11/26	-3.09	-3.07	-3.13	-3.08	386800	3360393.00
1997/11/27	-3.09	-3.05	-3.13	-3.10	440100	3837783.50
1997/11/28	-3.12	-3.05	-3.12	-3.06	386900	3377342.50
1997/12/01	-3.06	-3.06	-3.12	-3.09	340100	2962312.25
1997/12/02	-3.09	-3.07	-3.12	-3.08	224500	1949232.88
1997/12/03	-3.08	-3.08	-3.11	-3.11	235100	2029526.13
1997/12/04	-3.12	-3.07	-3.13	-3.10	437500	3805644.75
1997/12/05	-3.05	-3.05	-3.11	-3.11	508800	4480660.00
