000826 启迪桑德 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1998/02/25	3.44	3.58	3.37	3.42	22850300	294154848.00
1998/02/26	3.37	3.40	3.28	3.31	6458600	76945240.00
1998/02/27	3.31	3.35	3.27	3.27	3094400	36375608.00
1998/03/02	3.18	3.23	3.10	3.11	3545800	38530140.00
1998/03/03	3.10	3.22	3.09	3.22	2493200	27150988.00
1998/03/04	3.20	3.25	3.16	3.19	1800900	20168134.00
1998/03/05	3.18	3.21	3.15	3.20	1131100	12402855.00
1998/03/06	3.18	3.26	3.18	3.21	1228600	13891962.00
1998/03/09	3.18	3.28	3.18	3.26	1296600	14820209.00
1998/03/10	3.26	3.28	3.21	3.24	843100	9609034.00
1998/03/11	3.24	3.24	3.18	3.21	1030900	11595546.00
1998/03/12	3.20	3.22	3.17	3.20	770000	8524000.00
1998/03/13	3.20	3.22	3.16	3.18	625000	6875136.50
1998/03/16	3.19	3.30	3.17	3.30	2364100	27236256.00
1998/03/17	3.30	3.37	3.28	3.33	3325500	39627548.00
1998/03/18	3.35	3.40	3.32	3.36	3617900	44258436.00
1998/03/19	3.36	3.40	3.30	3.32	1998500	24118868.00
1998/03/20	3.31	3.45	3.29	3.45	2757500	33665812.00
1998/03/23	3.44	3.49	3.40	3.45	3507600	44726404.00
1998/03/24	3.45	3.48	3.40	3.44	1518900	19204974.00
1998/03/25	3.37	3.38	3.27	3.29	3569500	42578460.00
1998/03/26	3.28	3.33	3.21	3.24	2850500	32624498.00
1998/03/27	3.23	3.28	3.21	3.23	2293400	26024776.00
1998/03/30	3.23	3.33	3.17	3.27	2452500	27819628.00
1998/03/31	3.26	3.30	3.23	3.25	1110000	12798046.00
1998/04/01	3.26	3.27	3.21	3.23	1245600	14115736.00
1998/04/02	3.23	3.30	3.20	3.26	1604200	18365322.00
1998/04/03	3.26	3.40	3.18	3.33	2857400	33890192.00
1998/04/06	3.33	3.36	3.27	3.31	1389700	16467554.00
1998/04/07	3.32	3.39	3.30	3.35	1948600	23576160.00
1998/04/08	3.36	3.36	3.31	3.32	1705700	20361120.00
1998/04/09	3.32	3.33	3.26	3.27	1340100	15583570.00
1998/04/10	3.27	3.30	3.25	3.29	838600	9767291.00
1998/04/13	3.29	3.34	3.27	3.33	1381600	16204662.00
1998/04/14	3.34	3.37	3.32	3.32	1259700	15134171.00
1998/04/15	3.32	3.35	3.30	3.30	1030000	12190250.00
1998/04/16	3.32	3.39	3.31	3.33	2409000	29204772.00
1998/04/17	3.32	3.36	3.28	3.29	911700	10796090.00
1998/04/20	3.31	3.31	3.24	3.24	795200	9221098.00
1998/04/21	3.24	3.29	3.24	3.24	754000	8647009.00
1998/04/22	3.27	3.29	3.25	3.28	971100	11217015.00
1998/04/23	3.28	3.40	3.27	3.36	3437100	41787800.00
1998/04/24	3.38	3.49	3.38	3.41	3881600	49237084.00
1998/04/27	3.42	3.45	3.36	3.37	2315700	28969478.00
1998/04/28	3.37	3.46	3.36	3.44	1661400	20794034.00
1998/04/29	3.47	3.47	3.41	3.43	1481900	18856140.00
1998/04/30	3.42	3.52	3.41	3.46	2206700	28435042.00
1998/05/04	3.47	3.52	3.46	3.50	2080200	27006342.00
1998/05/05	3.52	3.55	3.49	3.54	1807900	23918388.00
1998/05/06	3.55	3.55	3.46	3.48	1677800	21819552.00
1998/05/07	3.48	3.49	3.38	3.39	1741000	22050744.00
