000887 中鼎股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1998/12/03	0.40	0.41	0.36	0.40	24853600	341141056.00
1998/12/04	0.39	0.41	0.38	0.41	8659800	120869416.00
1998/12/07	0.42	0.43	0.39	0.39	8575100	123001272.00
1998/12/08	0.39	0.40	0.38	0.39	3044800	42227464.00
1998/12/09	0.39	0.41	0.38	0.41	2300900	32317224.00
1998/12/10	0.41	0.41	0.39	0.40	2399600	33881436.00
1998/12/11	0.40	0.41	0.38	0.41	1530500	21344248.00
1998/12/14	0.41	0.41	0.39	0.40	1569800	22081766.00
1998/12/15	0.39	0.42	0.38	0.41	2142000	30027476.00
1998/12/16	0.41	0.42	0.40	0.40	2088900	30024198.00
1998/12/17	0.39	0.40	0.38	0.39	1274400	17771430.00
1998/12/18	0.38	0.40	0.38	0.39	1178300	16376220.00
1998/12/21	0.40	0.40	0.39	0.39	485100	6782297.00
1998/12/22	0.39	0.42	0.39	0.42	2230300	32127942.00
1998/12/23	0.42	0.43	0.41	0.42	2102600	30604478.00
1998/12/24	0.42	0.42	0.41	0.41	1042500	14949803.00
1998/12/25	0.41	0.42	0.41	0.42	818700	11805306.00
1998/12/28	0.43	0.43	0.40	0.40	1035500	14877560.00
1998/12/29	0.40	0.41	0.39	0.39	1221300	17102852.00
1998/12/30	0.39	0.41	0.38	0.41	1219100	17064842.00
1998/12/31	0.41	0.41	0.40	0.41	624300	8839670.00
1999/01/04	0.41	0.42	0.41	0.42	2555600	36848332.00
1999/01/05	0.42	0.42	0.40	0.42	738000	10590178.00
1999/01/06	0.42	0.42	0.41	0.41	836300	12032343.00
1999/01/07	0.41	0.42	0.41	0.41	1033300	14844877.00
1999/01/08	0.41	0.43	0.41	0.43	1860400	27224820.00
1999/01/11	0.43	0.43	0.42	0.43	1311400	19218952.00
1999/01/12	0.42	0.43	0.41	0.41	1369800	19814300.00
1999/01/13	0.41	0.43	0.41	0.42	1478300	21394708.00
1999/01/14	0.41	0.42	0.40	0.42	801300	11513172.00
1999/01/15	0.42	0.42	0.39	0.40	1051200	14841713.00
1999/01/18	0.40	0.42	0.39	0.42	899900	12665131.00
1999/01/19	0.41	0.41	0.40	0.41	667400	9538122.00
1999/01/20	0.41	0.41	0.39	0.39	766900	10756957.00
1999/01/21	0.39	0.40	0.38	0.40	761800	10616195.00
1999/01/22	0.40	0.40	0.38	0.39	885500	12389461.00
1999/01/25	0.38	0.40	0.38	0.40	2186900	30669134.00
1999/01/26	0.40	0.41	0.40	0.41	1195000	17003826.00
1999/01/27	0.40	0.42	0.40	0.42	1320000	18946772.00
1999/01/28	0.41	0.44	0.41	0.44	3919800	57604020.00
1999/01/29	0.44	0.45	0.43	0.44	3663600	55258340.00
1999/02/01	0.44	0.44	0.41	0.42	1306400	19148630.00
1999/02/02	0.42	0.43	0.42	0.42	600700	8740015.00
1999/02/03	0.42	0.42	0.41	0.42	784900	11327035.00
1999/02/04	0.42	0.43	0.41	0.42	886300	12893553.00
1999/02/05	0.42	0.45	0.40	0.43	1689800	24609438.00
1999/02/08	0.42	0.42	0.40	0.41	714300	10211114.00
1999/02/09	0.41	0.42	0.40	0.40	612600	8666670.00
1999/03/01	0.40	0.41	0.40	0.41	176400	2509200.50
1999/03/02	0.40	0.41	0.40	0.40	335700	4785884.00
1999/03/03	0.40	0.41	0.40	0.41	567500	7994977.50
1999/03/04	0.40	0.41	0.39	0.39	498600	6991494.00
1999/03/05	0.39	0.40	0.38	0.39	717600	9908990.00
1999/03/08	0.39	0.42	0.39	0.41	735500	10503876.00
1999/03/09	0.42	0.42	0.40	0.40	404900	5751147.50
1999/03/10	0.40	0.41	0.39	0.41	506700	7134561.00
1999/03/11	0.41	0.43	0.40	0.42	3343900	48277820.00
1999/03/12	0.42	0.43	0.41	0.42	3209600	47033496.00
1999/03/15	0.44	0.44	0.41	0.41	3333900	48689988.00
1999/03/16	0.41	0.43	0.41	0.42	2547600	37103484.00
1999/03/17	0.43	0.44	0.42	0.42	7712000	113714960.00
1999/03/18	0.42	0.49	0.42	0.49	9432000	143976368.00
1999/03/19	0.49	0.50	0.47	0.49	5926600	94870552.00
1999/03/22	0.46	0.48	0.44	0.44	6262000	96507440.00
1999/03/23	0.44	0.44	0.42	0.43	2649500	39054424.00
1999/03/24	0.43	0.44	0.42	0.43	1146500	16966874.00
1999/03/25	0.43	0.44	0.40	0.40	1852000	26559236.00
1999/03/26	0.40	0.42	0.40	0.41	1246800	17880494.00
1999/03/29	0.41	0.42	0.40	0.41	960100	13656052.00
1999/03/30	0.42	0.42	0.40	0.40	668500	9519282.00
1999/03/31	0.40	0.41	0.39	0.40	909200	12733398.00
1999/04/01	0.40	0.41	0.40	0.40	814800	11558716.00
1999/04/02	0.40	0.44	0.40	0.43	1767000	26045836.00
1999/04/05	0.44	0.45	0.43	0.45	1222300	18296500.00
1999/04/06	0.45	0.45	0.43	0.44	1108200	16522130.00
1999/04/07	0.44	0.45	0.43	0.44	727300	10854923.00
1999/04/08	0.44	0.45	0.43	0.44	734600	10964551.00
1999/04/09	0.44	0.44	0.41	0.41	1031000	14975457.00
1999/04/12	0.40	0.42	0.40	0.42	672400	9666252.00
1999/04/13	0.41	0.43	0.41	0.42	560300	8170512.00
1999/04/14	0.42	0.44	0.42	0.43	651400	9635170.00
1999/04/15	0.43	0.43	0.41	0.41	349800	5104434.00
1999/04/16	0.41	0.44	0.41	0.44	698500	10268486.00
1999/04/19	0.44	0.47	0.43	0.46	2396900	36508816.00
1999/04/20	0.46	0.47	0.44	0.45	905800	13762790.00
1999/04/21	0.45	0.45	0.43	0.43	676000	10137468.00
1999/04/22	0.43	0.44	0.42	0.44	628500	9294720.00
1999/04/23	0.44	0.45	0.44	0.44	596400	8981200.00
1999/04/27	0.42	0.44	0.41	0.42	637100	9360884.00
1999/04/28	0.41	0.44	0.41	0.42	532800	7817789.50
1999/04/29	0.42	0.44	0.42	0.44	433900	6406978.50
1999/04/30	0.44	0.44	0.42	0.43	356800	5307745.00
1999/05/04	0.44	0.44	0.42	0.43	197900	2915584.50
1999/05/05	0.43	0.44	0.43	0.44	286000	4234890.00
1999/05/06	0.44	0.46	0.43	0.44	983800	14952837.00
1999/05/07	0.45	0.45	0.44	0.45	350900	5283287.50
1999/05/10	0.44	0.45	0.42	0.42	837700	12423397.00
1999/05/11	0.43	0.46	0.43	0.46	981700	14927387.00
1999/05/12	0.46	0.47	0.45	0.45	894300	13798713.00
1999/05/13	0.45	0.47	0.44	0.47	855300	13189727.00
1999/05/14	0.47	0.49	0.46	0.46	2910200	45960248.00
1999/05/17	0.46	0.48	0.45	0.47	903300	14115857.00
1999/05/18	0.49	0.49	0.47	0.47	998800	15859744.00
1999/05/19	0.47	0.49	0.47	0.49	1116300	17811484.00
1999/05/20	0.49	0.50	0.47	0.49	1860400	29813536.00
1999/05/21	0.49	0.50	0.47	0.47	1863600	29576822.00
1999/05/24	0.47	0.50	0.45	0.47	2040100	32015640.00
1999/05/25	0.47	0.54	0.47	0.54	3975200	67039032.00
1999/05/26	0.53	0.60	0.53	0.56	3941100	70328704.00
1999/05/27	0.59	0.59	0.56	0.57	2390300	42642484.00
1999/05/28	0.58	0.59	0.56	0.57	1862200	33394144.00
1999/05/31	0.58	0.60	0.56	0.57	2280300	41096768.00
1999/06/01	0.59	0.65	0.57	0.63	3425100	65593668.00
1999/06/02	0.64	0.65	0.60	0.62	1985200	37527164.00
1999/06/03	0.62	0.64	0.58	0.58	3834700	72158640.00
1999/06/04	0.60	0.64	0.59	0.63	6553800	122544352.00
1999/06/07	0.63	0.66	0.62	0.66	1236300	23822986.00
1999/06/08	0.66	0.66	0.63	0.63	1100100	21455686.00
1999/06/09	0.64	0.64	0.63	0.63	974200	18785366.00
1999/06/10	0.64	0.66	0.62	0.63	1323000	25364128.00
1999/06/11	0.63	0.65	0.61	0.61	1148000	21766900.00
1999/06/14	0.61	0.63	0.59	0.61	1526000	28560692.00
1999/06/15	0.62	0.66	0.60	0.60	1680100	32296408.00
1999/06/16	0.61	0.65	0.61	0.65	954700	18332068.00
1999/06/17	0.65	0.70	0.65	0.67	1522200	30644784.00
1999/06/18	0.67	0.69	0.64	0.65	1381700	27209664.00
1999/06/21	0.65	0.70	0.64	0.69	1279000	25480282.00
1999/06/22	0.69	0.77	0.69	0.76	1753500	38082880.00
1999/06/23	0.76	0.77	0.73	0.74	2225000	48595984.00
1999/06/24	0.75	0.76	0.73	0.74	1365600	29461026.00
1999/06/25	0.82	0.84	0.69	0.72	1516400	33825500.00
1999/06/28	0.74	0.81	0.72	0.81	1201100	26465346.00
1999/06/29	0.85	0.85	0.77	0.82	1405300	32590866.00
1999/06/30	0.80	0.80	0.76	0.77	1540200	34838332.00
1999/07/01	0.77	0.78	0.67	0.70	1419300	30215710.00
1999/07/02	0.70	0.79	0.68	0.79	1259300	27425502.00
1999/07/05	0.81	0.87	0.80	0.82	1002100	23875402.00
1999/07/06	0.80	0.84	0.78	0.79	712200	16442223.00
1999/07/07	0.78	0.82	0.78	0.82	407900	9392704.00
1999/07/08	0.84	0.84	0.80	0.83	643900	15131100.00
1999/07/09	0.85	0.85	0.81	0.84	795800	18680174.00
1999/07/12	0.84	0.87	0.83	0.86	685100	16576413.00
1999/07/13	0.85	0.92	0.85	0.89	757400	18910948.00
1999/07/14	0.90	0.92	0.87	0.89	1176900	29260100.00
1999/07/15	0.89	0.91	0.88	0.88	291200	7255246.00
1999/07/16	0.89	0.90	0.84	0.84	1363400	32999012.00
1999/07/19	0.83	0.83	0.76	0.78	964200	22108112.00
1999/07/20	0.77	0.88	0.77	0.88	830700	19818318.00
1999/07/21	0.89	0.91	0.85	0.88	671200	16585510.00
1999/07/22	0.87	0.87	0.80	0.83	704600	16779368.00
1999/07/23	0.83	0.87	0.81	0.82	329800	7852826.50
1999/07/26	0.82	0.87	0.80	0.83	319300	7592199.50
1999/07/27	0.83	0.85	0.83	0.84	184800	4407558.50
1999/07/28	0.83	0.85	0.81	0.82	326900	7672950.00
1999/07/29	0.82	0.84	0.79	0.79	410300	9473230.00
1999/07/30	0.79	0.81	0.75	0.79	641800	14374371.00
1999/08/02	0.79	0.83	0.79	0.82	396500	9210414.00
1999/08/03	0.82	0.87	0.82	0.85	852000	20385758.00
1999/08/04	0.84	0.87	0.83	0.84	312200	7429149.00
1999/08/05	0.84	0.85	0.80	0.80	378000	8863838.00
1999/08/06	0.80	0.85	0.78	0.84	1287000	29719420.00
1999/08/09	0.85	0.87	0.82	0.85	2213400	52641716.00
1999/08/10	0.86	0.88	0.81	0.82	1127700	27059430.00
1999/08/11	0.82	0.85	0.79	0.79	533800	12394652.00
1999/08/12	0.79	0.85	0.78	0.84	1587200	36623300.00
1999/08/13	0.84	0.85	0.82	0.84	2060600	49224288.00
1999/08/16	0.84	0.87	0.83	0.87	2667000	64371564.00
1999/08/17	0.86	0.87	0.77	0.77	2924500	69451704.00
1999/08/18	0.80	0.82	0.76	0.77	2496300	56347388.00
1999/08/19	0.76	0.78	0.71	0.77	2708900	58398168.00
1999/08/20	0.76	0.76	0.71	0.72	1040700	22304532.00
1999/08/23	0.72	0.78	0.71	0.75	2078800	44841544.00
1999/08/24	0.75	0.75	0.72	0.73	855200	18348582.00
1999/08/25	0.72	0.76	0.72	0.75	1009300	21739760.00
1999/08/26	0.75	0.76	0.74	0.74	796500	17332380.00
1999/08/27	0.76	0.76	0.74	0.75	429800	9377366.00
1999/08/30	0.79	0.79	0.74	0.74	573000	12603815.00
1999/08/31	0.74	0.76	0.71	0.74	377400	8103192.50
1999/09/01	0.74	0.76	0.73	0.75	656000	14304177.00
1999/09/02	0.74	0.75	0.74	0.75	277700	6043102.50
1999/09/03	0.76	0.77	0.72	0.74	647600	14274711.00
1999/09/06	0.74	0.76	0.72	0.75	520800	11127577.00
1999/09/07	0.74	0.74	0.72	0.73	682500	14615670.00
1999/09/08	0.73	0.75	0.73	0.74	163000	3521430.50
1999/09/09	0.74	0.79	0.74	0.79	855500	19002516.00
1999/09/10	0.79	0.80	0.76	0.79	875100	19805924.00
1999/09/13	0.79	0.79	0.76	0.78	635300	14215193.00
1999/09/14	0.77	0.78	0.77	0.78	336900	7505634.00
1999/09/15	0.77	0.77	0.74	0.75	634800	13905852.00
1999/09/16	0.74	0.76	0.73	0.75	624700	13524919.00
1999/09/17	0.75	0.78	0.75	0.76	1059500	23304476.00
1999/09/21	0.76	0.79	0.74	0.78	771100	17156782.00
1999/09/22	0.78	0.79	0.76	0.77	222100	4952683.00
1999/09/23	0.79	0.79	0.75	0.75	497100	11005808.00
1999/09/24	0.76	0.79	0.76	0.76	1079600	24154808.00
1999/09/27	0.76	0.77	0.74	0.75	555200	6981851.00
1999/09/28	0.75	0.78	0.74	0.76	792100	9911680.00
1999/09/29	0.76	0.82	0.75	0.81	1466800	18890840.00
1999/09/30	0.81	0.84	0.81	0.83	2720500	36644844.00
1999/10/08	0.83	0.85	0.83	0.84	1170400	15849890.00
1999/10/11	0.85	0.85	0.80	0.80	1042400	13940982.00
1999/10/12	0.80	0.83	0.75	0.77	1660000	21423840.00
1999/10/13	0.76	0.77	0.75	0.76	1012800	12801038.00
1999/10/14	0.76	0.84	0.76	0.76	1178500	15028883.00
1999/10/15	0.76	0.78	0.76	0.78	1817100	23103076.00
1999/10/18	0.78	0.78	0.76	0.78	355900	4538094.50
1999/10/19	0.77	0.78	0.75	0.76	749400	9454939.00
1999/10/20	0.76	0.78	0.76	0.77	297700	3773803.50
1999/10/21	0.77	0.77	0.76	0.76	308200	3903671.75
1999/10/22	0.76	0.80	0.76	0.79	1663900	21252414.00
1999/10/25	0.79	0.79	0.76	0.78	488700	6218328.00
1999/10/26	0.77	0.79	0.77	0.78	424100	5424048.00
1999/10/27	0.78	0.82	0.78	0.80	2266200	29698494.00
1999/10/28	0.80	0.81	0.79	0.79	1337500	17392874.00
1999/10/29	0.79	0.81	0.79	0.81	1661800	21762928.00
1999/11/01	0.81	0.82	0.78	0.79	774000	10146250.00
1999/11/02	0.79	0.81	0.79	0.79	439300	5717725.50
1999/11/03	0.79	0.80	0.78	0.79	621300	8077978.50
1999/11/04	0.79	0.79	0.78	0.79	786700	10142391.00
1999/11/05	0.78	0.81	0.78	0.79	945100	12294679.00
1999/11/08	0.79	0.79	0.78	0.79	418100	5402768.00
1999/11/09	0.81	0.82	0.78	0.79	824400	10849440.00
1999/11/10	0.79	0.79	0.77	0.78	421400	5389335.00
1999/11/11	0.78	0.79	0.76	0.77	490200	6260773.00
1999/11/12	0.77	0.79	0.76	0.77	472000	6038555.00
1999/11/15	0.78	0.78	0.76	0.76	513500	6495726.50
1999/11/16	0.76	0.79	0.73	0.75	1081300	13569597.00
1999/11/17	0.75	0.78	0.75	0.78	1619600	20531572.00
1999/11/18	0.76	0.82	0.76	0.80	2932200	37817928.00
1999/11/19	0.82	0.89	0.79	0.82	4559400	62202408.00
1999/11/22	0.82	0.83	0.81	0.83	860400	11514010.00
1999/11/23	0.83	0.83	0.81	0.81	939700	12556090.00
1999/11/24	0.81	0.86	0.81	0.85	3006100	40713960.00
1999/11/25	0.85	0.89	0.84	0.88	5657800	78825264.00
1999/11/26	0.88	0.91	0.87	0.90	6963400	99020688.00
1999/11/29	0.91	0.92	0.88	0.91	2669600	38299520.00
1999/11/30	0.90	0.96	0.84	0.96	6510500	96731536.00
1999/12/01	0.97	1.03	0.94	1.03	6146800	93925328.00
1999/12/02	1.02	1.02	0.90	0.90	6927100	102679416.00
1999/12/03	0.87	0.88	0.81	0.83	6502500	88609144.00
1999/12/06	0.82	0.82	0.76	0.79	3506600	44796944.00
1999/12/07	0.78	0.79	0.76	0.76	2150800	27411570.00
1999/12/08	0.77	0.78	0.73	0.74	2649600	33086396.00
1999/12/09	0.74	0.81	0.71	0.78	8983900	113965272.00
1999/12/10	0.77	0.80	0.74	0.76	3665700	46583644.00
1999/12/14	0.76	0.80	0.75	0.77	4223200	54005340.00
1999/12/15	0.77	0.81	0.76	0.78	4275400	54801056.00
1999/12/16	0.78	0.79	0.73	0.78	3617100	45342448.00
1999/12/17	0.75	0.76	0.73	0.75	2585400	31788600.00
1999/12/21	0.75	0.75	0.66	0.67	2156100	25434674.00
1999/12/22	0.66	0.70	0.66	0.68	1850700	21477186.00
1999/12/23	0.66	0.66	0.60	0.63	1684700	18429708.00
1999/12/24	0.61	0.61	0.56	0.58	705600	7242924.00
1999/12/27	0.59	0.59	0.54	0.54	986300	9955989.00
1999/12/28	0.55	0.57	0.53	0.55	857000	8559441.00
1999/12/29	0.55	0.55	0.52	0.53	1671500	16148502.00
1999/12/30	0.53	0.54	0.51	0.51	1306100	12487186.00
2000/01/04	0.51	0.54	0.48	0.53	2525400	23829556.00
2000/01/05	0.53	0.58	0.51	0.57	4968800	49399936.00
2000/01/06	0.57	0.65	0.55	0.63	7244500	77405360.00
2000/01/07	0.63	0.69	0.62	0.66	5946700	66685108.00
2000/01/10	0.66	0.71	0.66	0.69	5722400	66344212.00
2000/01/11	0.69	0.70	0.62	0.65	4504500	50259140.00
2000/01/12	0.64	0.66	0.57	0.58	3645000	38660368.00
2000/01/13	0.58	0.58	0.54	0.55	1429000	14320366.00
2000/01/14	0.55	0.60	0.55	0.56	711400	7142016.50
2000/01/17	0.56	0.56	0.53	0.54	1407500	13790579.00
2000/01/18	0.54	0.59	0.52	0.58	2223000	21929646.00
2000/01/19	0.56	0.60	0.55	0.59	3405300	35086872.00
2000/01/20	0.59	0.64	0.59	0.63	3410600	36465344.00
2000/01/21	0.63	0.65	0.59	0.59	4249700	46229072.00
2000/01/24	0.57	0.57	0.54	0.55	3127800	31213812.00
2000/01/25	0.55	0.57	0.53	0.54	3342100	32835970.00
2000/01/26	0.54	0.55	0.52	0.52	2721700	26183564.00
2000/01/27	0.53	0.54	0.51	0.53	1842800	17628606.00
2000/01/28	0.53	0.54	0.51	0.54	1772700	16961854.00
2000/02/14	0.56	0.61	0.56	0.61	2517000	26565400.00
2000/02/15	0.67	0.70	0.60	0.62	7894900	89952736.00
2000/02/16	0.62	0.63	0.57	0.59	4420600	46422716.00
2000/02/17	0.60	0.65	0.56	0.58	3905700	41095428.00
2000/02/18	0.58	0.65	0.58	0.65	5349600	57940804.00
2000/02/21	0.66	0.74	0.66	0.74	13395100	159299248.00
2000/02/22	0.79	0.79	0.64	0.65	9198400	111746872.00
2000/02/23	0.64	0.67	0.61	0.63	2938700	32261616.00
2000/02/24	0.63	0.70	0.63	0.70	3831900	43746436.00
2000/02/25	0.71	0.71	0.65	0.66	2274300	26057120.00
2000/02/28	0.68	0.70	0.65	0.68	2730600	31484466.00
2000/02/29	0.70	0.70	0.64	0.65	2692600	30457742.00
2000/03/01	0.65	0.68	0.62	0.66	2537600	28033962.00
2000/03/02	0.66	0.69	0.64	0.67	1745900	19865746.00
2000/03/03	0.67	0.75	0.67	0.73	6452000	77758480.00
2000/03/06	0.74	0.76	0.65	0.66	3293500	39106468.00
2000/03/07	0.65	0.69	0.63	0.68	1684900	19161758.00
2000/03/08	0.69	0.74	0.69	0.71	3298100	39614780.00
2000/03/09	0.72	0.72	0.70	0.70	1621400	19231212.00
2000/03/10	0.71	0.71	0.67	0.68	1518700	17589426.00
2000/03/13	0.65	0.69	0.65	0.68	1333500	15185990.00
2000/03/14	0.67	0.67	0.63	0.65	2060700	22948412.00
2000/03/15	0.65	0.67	0.64	0.65	1245300	13934191.00
2000/03/16	0.65	0.66	0.58	0.60	1417200	15323997.00
2000/03/17	0.59	0.62	0.59	0.61	1053600	11190081.00
2000/03/20	0.60	0.69	0.59	0.68	1776800	20041254.00
2000/03/21	0.65	0.76	0.65	0.72	3998500	47366864.00
2000/03/22	0.72	0.72	0.68	0.69	1886600	22179136.00
2000/03/23	0.69	0.72	0.68	0.71	3731000	44493528.00
2000/03/24	0.72	0.74	0.69	0.69	2661100	31556608.00
2000/03/27	0.69	0.77	0.68	0.76	5303000	64338264.00
2000/03/28	0.79	0.86	0.79	0.86	11627600	158418528.00
2000/03/29	0.89	0.90	0.80	0.86	10550100	144058128.00
2000/03/30	0.86	0.87	0.84	0.86	4165400	57294208.00
2000/03/31	0.86	0.86	0.80	0.81	4778800	63533708.00
2000/04/03	0.81	0.84	0.80	0.80	2616000	34690544.00
2000/04/04	0.80	0.80	0.73	0.73	3839400	48071424.00
2000/04/05	0.72	0.76	0.72	0.74	2073400	25413836.00
2000/04/06	0.74	0.78	0.74	0.76	1766400	22128798.00
2000/04/07	0.76	0.79	0.75	0.76	1975300	24898884.00
2000/04/10	0.76	0.81	0.74	0.80	2324400	29555820.00
2000/04/11	0.82	0.85	0.79	0.81	4049600	54072384.00
2000/04/12	0.81	0.83	0.78	0.81	2023000	26575810.00
2000/04/13	0.81	0.83	0.81	0.83	2117800	28135928.00
2000/04/14	0.83	0.88	0.82	0.85	6299700	86698776.00
2000/04/17	0.84	0.85	0.79	0.79	2910300	38168408.00
2000/04/18	0.81	0.83	0.79	0.81	1733000	22826506.00
2000/04/19	0.81	0.82	0.78	0.79	1728500	22517582.00
2000/04/20	0.79	0.81	0.75	0.78	2048800	26222044.00
2000/04/21	0.78	0.79	0.76	0.77	1800800	22922066.00
2000/04/24	0.77	0.81	0.77	0.79	1409600	18260146.00
2000/04/25	0.80	0.80	0.77	0.78	653900	8386079.50
2000/04/26	0.78	0.79	0.76	0.77	888900	11290673.00
2000/04/27	0.76	0.78	0.74	0.74	1552900	19336346.00
2000/04/28	0.74	0.76	0.73	0.76	987300	12173834.00
2000/05/08	0.76	0.76	0.72	0.73	1185400	14499501.00
2000/05/09	0.73	0.74	0.70	0.70	1235800	14755665.00
