000898 鞍钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/12/25	3.73	3.88	3.65	3.68	132598800	682980416.00
1997/12/26	3.68	3.72	3.57	3.64	43879900	217902656.00
1997/12/29	3.64	3.66	3.58	3.60	15569000	77625952.00
1997/12/30	3.59	3.59	3.49	3.50	16485000	80054520.00
1997/12/31	3.49	3.53	3.43	3.45	12373700	58704408.00
1998/01/05	3.46	3.53	3.38	3.49	12319300	57968088.00
1998/01/06	3.49	3.49	3.39	3.42	9445400	44352800.00
1998/01/07	3.41	3.50	3.37	3.44	9789700	46098828.00
1998/01/08	3.43	3.49	3.39	3.40	10043800	47215024.00
1998/01/09	3.42	3.43	3.38	3.42	6777900	31501076.00
1998/01/12	3.43	3.43	3.32	3.33	10717900	49197144.00
1998/01/13	3.30	3.31	3.03	3.15	13952200	59331820.00
1998/01/14	3.13	3.36	3.11	3.36	12439000	55119720.00
1998/01/15	3.34	3.36	3.17	3.28	9900800	43949376.00
1998/01/16	3.29	3.29	3.20	3.21	4890300	21372378.00
1998/01/19	3.20	3.20	3.11	3.13	4816900	20524844.00
1998/01/20	3.12	3.22	3.09	3.15	3447900	14742343.00
1998/01/21	3.18	3.21	3.13	3.15	2856800	12221556.00
1998/01/22	3.15	3.16	3.09	3.09	5795000	24375412.00
1998/01/23	3.09	3.17	3.09	3.13	3945000	16649326.00
1998/02/09	3.18	3.22	3.14	3.20	5269200	22681864.00
1998/02/10	3.18	3.22	3.15	3.18	3558900	15354292.00
1998/02/11	3.17	3.30	3.16	3.24	5354200	23351776.00
1998/02/12	3.26	3.26	3.17	3.18	4357400	18927842.00
1998/02/13	3.18	3.18	3.14	3.15	3315400	14146701.00
1998/02/16	3.14	3.17	3.11	3.16	3071000	13014051.00
1998/02/17	3.17	3.17	3.12	3.15	2128600	9030011.00
1998/02/18	3.16	3.16	3.10	3.13	3593000	15176862.00
1998/02/19	3.13	3.15	3.11	3.13	3085500	13013715.00
1998/02/20	3.14	3.17	3.11	3.14	3355900	14242566.00
1998/02/23	3.14	3.14	3.09	3.13	3489200	14649543.00
1998/02/24	3.12	3.15	3.11	3.11	1917100	8099009.50
1998/02/25	3.11	3.17	3.11	3.15	3425200	14510529.00
1998/02/26	3.16	3.26	3.15	3.19	7089800	30740018.00
1998/02/27	3.19	3.20	3.13	3.15	2228300	9510711.00
1998/03/02	3.10	3.18	3.09	3.11	3652500	15410967.00
1998/03/03	3.11	3.16	3.11	3.14	2395100	10149345.00
1998/03/04	3.14	3.23	3.13	3.20	5957600	25890840.00
1998/03/05	3.20	3.22	3.15	3.16	2733900	11767820.00
1998/03/06	3.15	3.20	3.14	3.17	2099900	9004282.00
1998/03/09	3.18	3.19	3.14	3.15	2109300	9049403.00
1998/03/10	3.14	3.16	3.11	3.14	2765000	11663531.00
1998/03/11	3.12	3.14	3.09	3.09	3418400	14359632.00
1998/03/12	3.09	3.10	3.03	3.07	3367500	13882935.00
1998/03/13	3.06	3.07	3.04	3.05	2046000	8417226.00
1998/03/16	3.07	3.08	3.01	3.05	2393000	9799342.00
1998/03/17	3.05	3.11	3.05	3.07	2067200	8596707.00
1998/03/18	3.09	3.09	3.04	3.05	2036300	8385590.00
1998/03/19	3.05	3.08	3.03	3.04	1612200	6635670.00
1998/03/20	3.04	3.06	3.03	3.05	2620600	10735712.00
1998/03/23	3.04	3.05	3.00	3.01	2917600	11854893.00
1998/03/24	3.01	3.02	3.00	3.01	2137400	8656086.00
1998/03/25	3.05	3.05	2.99	3.01	3015100	12218756.00
1998/03/26	3.01	3.03	2.97	2.99	3154700	12669105.00
1998/03/27	2.97	3.04	2.97	2.99	4341100	17481764.00
1998/03/30	3.01	3.03	2.98	3.03	4692100	18961404.00
1998/03/31	3.03	3.03	2.99	2.99	3002200	12123361.00
1998/04/01	2.99	3.00	2.97	2.98	4181600	16763970.00
1998/04/02	2.99	3.11	2.97	3.09	8216600	33766748.00
1998/04/03	3.09	3.10	3.04	3.05	3386200	13962999.00
1998/04/06	3.05	3.17	3.03	3.14	7120400	30012030.00
1998/04/07	3.13	3.15	3.09	3.09	4070400	17123434.00
1998/04/08	3.11	3.27	3.07	3.24	14828700	63870992.00
1998/04/09	3.24	3.30	3.15	3.20	14917600	65267420.00
1998/04/10	3.20	3.25	3.17	3.18	6086500	26419432.00
1998/04/13	3.19	3.20	3.12	3.12	5739400	24430092.00
1998/04/14	3.11	3.15	3.11	3.12	2989600	12609217.00
1998/04/15	3.11	3.16	3.11	3.13	3210700	13583281.00
1998/04/16	3.13	3.14	3.07	3.08	4173400	17517830.00
1998/04/17	3.07	3.11	3.04	3.07	3777400	15659985.00
1998/04/20	3.05	3.09	3.03	3.06	3536200	14556055.00
1998/04/21	3.04	3.09	3.04	3.06	2640900	10890648.00
1998/04/22	3.06	3.13	3.06	3.10	3505300	14694064.00
1998/04/23	3.11	3.14	3.07	3.08	3146900	13158337.00
1998/04/24	3.08	3.10	3.04	3.06	2761700	11450872.00
1998/04/27	3.11	3.16	3.03	3.05	4150800	17316536.00
1998/04/28	3.09	3.11	3.07	3.11	3937000	16413096.00
