000917 电广传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/03/25	2.14	2.33	2.13	2.14	32064800	629395712.00
1999/03/26	2.13	2.20	2.01	2.04	8322600	156266560.00
1999/03/29	2.03	2.07	1.97	2.01	3945300	70956200.00
1999/03/30	2.01	2.08	1.97	2.04	2168600	39468140.00
1999/03/31	2.04	2.08	2.01	2.04	1406700	25762360.00
1999/04/01	2.01	2.03	1.95	1.97	2363200	42446316.00
1999/04/02	2.01	2.01	1.91	1.97	2223200	38912872.00
1999/04/05	1.97	2.03	1.96	2.03	1237900	22197246.00
1999/04/06	2.02	2.07	1.98	1.99	1284800	23333428.00
1999/04/07	1.98	2.01	1.94	1.94	931200	16515329.00
1999/04/08	1.94	1.96	1.91	1.93	1070800	18634386.00
1999/04/09	1.93	1.94	1.87	1.87	1247200	21387778.00
1999/04/12	1.87	1.87	1.80	1.82	1083900	18091012.00
1999/04/13	1.81	1.88	1.81	1.85	768200	13000270.00
1999/04/14	1.84	1.88	1.83	1.86	377200	6388154.00
1999/04/15	1.85	1.96	1.81	1.91	1253000	21419678.00
1999/04/16	1.91	1.92	1.87	1.90	359800	6192871.50
1999/04/19	1.90	1.90	1.83	1.85	461800	7801125.00
1999/04/20	1.81	1.89	1.81	1.87	188600	3184555.00
1999/04/21	1.85	1.88	1.80	1.81	332700	5546003.50
1999/04/22	1.80	2.00	1.80	1.89	1216400	20677204.00
1999/04/23	1.91	1.91	1.84	1.87	349500	5972709.00
1999/04/26	1.84	1.85	1.68	1.69	1395100	22394206.00
1999/04/27	1.68	1.75	1.65	1.68	1024800	16088922.00
1999/04/28	1.69	1.88	1.69	1.74	1473000	24076272.00
1999/04/29	1.73	1.76	1.69	1.75	422200	6736983.00
1999/04/30	1.74	1.79	1.72	1.74	247100	3955300.25
1999/05/04	1.84	1.84	1.73	1.73	386200	6244821.50
1999/05/05	1.74	1.79	1.71	1.77	445500	7160874.50
1999/05/06	1.78	1.94	1.75	1.86	2426300	41239080.00
1999/05/07	1.85	1.89	1.82	1.83	593500	9997042.00
1999/05/10	1.80	1.90	1.78	1.85	1490100	25041218.00
1999/05/11	1.87	1.92	1.84	1.89	874400	14918506.00
1999/05/12	1.88	1.95	1.86	1.88	843800	14585130.00
1999/05/13	1.89	1.90	1.83	1.83	370600	6273000.00
1999/05/14	1.83	1.87	1.76	1.77	648200	10675924.00
1999/05/17	1.74	1.92	1.73	1.87	1937700	32973070.00
1999/05/18	1.87	1.92	1.84	1.84	643900	11032465.00
1999/05/19	1.86	2.07	1.84	2.07	5035700	91193072.00
1999/05/20	2.11	2.25	2.08	2.20	9554000	184513904.00
1999/05/21	2.21	2.47	2.16	2.40	9644300	196775280.00
1999/05/24	2.43	2.69	2.38	2.69	13747000	306383232.00
1999/05/25	2.73	2.89	2.61	2.66	9984500	234392032.00
1999/05/26	2.66	2.88	2.64	2.76	6344400	149511072.00
1999/05/27	2.79	2.85	2.66	2.71	4853700	113201976.00
1999/05/28	2.72	3.02	2.68	3.02	8970300	222493728.00
1999/05/31	3.05	3.11	2.85	3.05	6037400	152536784.00
1999/06/01	3.00	3.08	2.89	2.96	4592400	115695760.00
1999/06/02	2.97	3.30	2.92	2.94	7539400	197400592.00
1999/06/03	2.93	3.08	2.88	3.00	3406600	85768800.00
1999/06/04	3.04	3.11	2.94	2.97	2255000	56831452.00
1999/06/07	2.97	3.11	2.97	3.05	2191200	56418356.00
1999/06/08	3.06	3.38	3.05	3.25	5511200	149237344.00
1999/06/09	3.22	3.22	3.07	3.12	2361900	62111412.00
1999/06/10	3.22	3.22	2.95	3.00	2543000	65025604.00
1999/06/11	2.97	3.08	2.90	2.97	1884800	47433080.00
1999/06/14	2.97	3.11	2.93	3.00	1677700	42657080.00
1999/06/15	3.08	3.28	3.00	3.03	4755800	125602992.00
1999/06/16	3.04	3.35	3.04	3.30	4070500	110520232.00
1999/06/17	3.35	3.52	3.21	3.28	3432700	96129256.00
1999/06/18	3.25	3.25	3.08	3.18	3224000	85543984.00
1999/06/21	3.18	3.35	3.18	3.27	2550700	69451280.00
1999/06/22	3.28	3.50	3.27	3.44	3159000	89283376.00
1999/06/23	3.49	3.59	3.36	3.52	2270800	66080364.00
1999/06/24	3.55	3.91	3.54	3.91	2875300	90314144.00
1999/06/25	3.98	4.25	3.68	3.73	2505600	84063872.00
1999/06/28	3.76	4.11	3.70	4.11	2510800	81794032.00
1999/06/29	4.30	4.40	4.11	4.21	2594700	89634152.00
1999/06/30	4.16	4.19	3.75	3.75	5262800	166186480.00
1999/07/01	3.49	3.65	3.33	3.35	4034900	115729696.00
1999/07/02	3.49	3.64	3.30	3.41	1432700	41437228.00
1999/07/05	3.39	3.39	3.03	3.04	1714800	46101040.00
1999/07/06	2.95	3.20	2.93	3.10	1130000	29518386.00
1999/07/07	3.21	3.38	3.16	3.38	1756900	48416736.00
1999/07/08	3.35	3.38	3.22	3.30	1028500	28403486.00
1999/07/09	3.26	3.31	3.16	3.27	796800	21554198.00
1999/07/12	3.24	3.24	2.95	2.97	1234300	31896600.00
1999/07/13	2.95	3.08	2.91	3.02	984600	24719880.00
1999/07/14	2.99	3.19	2.99	3.18	673900	17521188.00
1999/07/15	3.15	3.27	3.11	3.15	916900	24692430.00
1999/07/16	3.15	3.15	2.95	2.98	2651200	67123928.00
1999/07/19	2.95	3.15	2.87	3.07	1279600	33343970.00
1999/07/20	3.05	3.42	3.03	3.42	951700	25824218.00
1999/07/21	3.42	3.66	3.33	3.61	2503400	73360992.00
1999/07/22	3.62	3.62	3.38	3.42	1298600	37288180.00
1999/07/23	3.35	3.81	3.35	3.75	2512700	76163640.00
1999/07/26	3.82	4.16	3.80	4.07	2898100	95312336.00
1999/07/27	4.07	4.07	3.89	3.97	1152800	37299572.00
1999/07/28	4.00	4.01	3.90	3.95	905900	29438338.00
1999/07/29	3.97	3.98	3.78	3.81	1025600	32518210.00
1999/07/30	3.80	3.84	3.73	3.83	1090300	33974928.00
1999/08/02	3.84	3.94	3.76	3.93	1192900	37955780.00
1999/08/03	3.93	3.94	3.83	3.87	311000	9909952.00
