000937 冀中能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/09/09	0.57	0.61	0.44	0.56	45949600	518640320.00
1999/09/10	0.57	0.69	0.52	0.59	16097300	189728432.00
1999/09/13	0.60	0.64	0.58	0.61	5269000	61957864.00
1999/09/14	0.62	0.65	0.59	0.61	3991100	47160136.00
1999/09/15	0.62	0.65	0.58	0.61	2405100	28349626.00
1999/09/16	0.61	0.63	0.57	0.58	3152800	36816264.00
1999/09/17	0.58	0.62	0.57	0.59	1811500	21207420.00
1999/09/20	0.59	0.61	0.57	0.59	1401100	16331901.00
1999/09/21	0.56	0.58	0.53	0.55	1521200	17466322.00
1999/09/22	0.55	0.56	0.52	0.52	1418100	16099145.00
1999/09/23	0.52	0.54	0.49	0.50	1415600	15929007.00
1999/09/24	0.51	0.57	0.51	0.54	794300	9076813.00
1999/09/27	0.56	0.57	0.50	0.50	886000	9984013.00
1999/09/28	0.51	0.56	0.51	0.56	1185100	13574827.00
1999/09/29	0.55	0.59	0.54	0.55	695300	8017223.00
1999/09/30	0.56	0.57	0.50	0.51	752900	8545109.00
1999/10/08	0.51	0.52	0.48	0.49	473600	5292432.00
1999/10/11	0.49	0.52	0.46	0.48	619700	6888024.50
1999/10/12	0.48	0.52	0.48	0.50	217900	2435422.50
1999/10/13	0.50	0.50	0.47	0.48	329000	3655299.50
1999/10/14	0.47	0.51	0.42	0.44	967500	10580021.00
1999/10/15	0.45	0.52	0.44	0.48	1127000	12485660.00
1999/10/18	0.48	0.50	0.43	0.43	516900	5651726.00
1999/10/19	0.42	0.44	0.41	0.42	517400	5578236.00
1999/10/20	0.42	0.48	0.41	0.46	658300	7243063.50
1999/10/21	0.47	0.47	0.42	0.46	769000	8362539.00
1999/10/22	0.46	0.57	0.45	0.52	1482300	16654978.00
1999/10/25	0.53	0.54	0.49	0.50	926800	10444850.00
1999/10/26	0.51	0.55	0.51	0.52	464600	5260700.00
1999/10/27	0.55	0.61	0.53	0.56	1659700	19109240.00
1999/10/28	0.56	0.57	0.48	0.49	825700	9275967.00
1999/10/29	0.49	0.51	0.47	0.48	477300	5308929.00
1999/11/01	0.48	0.50	0.46	0.50	340900	3792066.75
1999/11/02	0.50	0.50	0.46	0.46	403400	4458810.00
1999/11/03	0.46	0.49	0.45	0.45	357500	3932238.00
1999/11/04	0.44	0.49	0.43	0.46	490000	5350385.50
1999/11/05	0.46	0.49	0.44	0.44	240700	2640282.50
1999/11/08	0.44	0.46	0.44	0.44	337800	3682773.00
1999/11/09	0.46	0.48	0.45	0.47	848200	9339337.00
1999/11/10	0.44	0.45	0.40	0.42	782600	8488156.00
1999/11/11	0.42	0.43	0.37	0.38	700600	7474383.00
1999/11/12	0.38	0.40	0.37	0.39	563600	5972808.00
1999/11/15	0.39	0.40	0.38	0.40	543700	5773734.00
1999/11/16	0.42	0.44	0.34	0.35	665400	7002881.50
1999/11/17	0.35	0.40	0.31	0.40	1450800	15017033.00
1999/11/18	0.40	0.42	0.35	0.42	1693100	18070704.00
1999/11/19	0.42	0.43	0.39	0.40	587500	6313460.50
1999/11/22	0.40	0.43	0.39	0.42	515600	5535773.50
1999/11/23	0.41	0.45	0.41	0.44	453200	4892931.50
1999/11/24	0.42	0.44	0.42	0.43	464700	5029678.50
1999/11/25	0.41	0.42	0.39	0.40	390900	4182427.00
1999/11/26	0.39	0.41	0.39	0.40	318300	3400132.50
1999/11/29	0.40	0.40	0.36	0.37	693200	7307791.00
1999/11/30	0.37	0.40	0.37	0.39	312500	3324284.25
1999/12/01	0.37	0.44	0.37	0.42	328700	3550002.25
1999/12/02	0.41	0.43	0.40	0.41	384300	4138213.75
1999/12/03	0.42	0.45	0.40	0.45	890300	9660539.00
1999/12/06	0.43	0.45	0.42	0.45	531300	5771559.50
1999/12/07	0.45	0.49	0.44	0.47	1531400	16877930.00
1999/12/08	0.47	0.50	0.45	0.46	1166600	12927689.00
1999/12/09	0.46	0.46	0.42	0.44	419600	4557573.50
1999/12/10	0.43	0.44	0.40	0.42	604700	6506407.50
1999/12/13	0.42	0.48	0.42	0.44	436300	4751319.50
1999/12/14	0.44	0.47	0.38	0.42	1732700	18611124.00
1999/12/15	0.40	0.48	0.40	0.45	800500	8809634.00
1999/12/16	0.47	0.50	0.45	0.48	750900	8294892.00
1999/12/17	0.48	0.52	0.44	0.46	964900	10684610.00
1999/12/21	0.46	0.48	0.44	0.45	677500	7441515.50
