000987 越秀金控 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/07/18	1.19	1.22	0.87	1.04	33782200	371466400.00
2000/07/19	0.99	1.01	0.91	0.94	8380200	91279560.00
2000/07/20	0.93	1.04	0.93	1.02	6391000	70236864.00
2000/07/21	1.02	1.02	0.95	0.97	3307400	36299484.00
2000/07/24	0.97	0.97	0.88	0.91	3055400	32968560.00
2000/07/25	0.92	1.08	0.88	1.01	4502200	49773752.00
2000/07/26	1.02	1.02	0.95	0.98	2286400	25099886.00
2000/07/27	0.98	1.03	0.93	0.98	2335200	25622092.00
2000/07/28	0.99	0.99	0.93	0.96	1869900	20364132.00
2000/07/31	0.95	0.97	0.91	0.94	2072900	22466204.00
2000/08/01	0.96	1.01	0.94	0.98	1685300	18488598.00
2000/08/02	0.99	1.00	0.93	0.96	1224800	13341403.00
2000/08/03	0.95	1.01	0.93	0.99	2080900	22780468.00
2000/08/04	1.00	1.01	0.92	0.99	2511500	27515244.00
2000/08/07	0.99	1.14	0.96	1.09	4530700	50893716.00
2000/08/08	1.09	1.10	1.04	1.05	2056800	23061478.00
2000/08/09	1.06	1.15	1.05	1.06	2589800	29337794.00
2000/08/10	1.06	1.11	1.02	1.03	1896100	21214356.00
2000/08/11	1.03	1.07	1.01	1.07	1926600	21483534.00
2000/08/14	1.09	1.15	1.05	1.12	2709800	30780688.00
2000/08/15	1.12	1.32	1.09	1.28	7176200	83833744.00
2000/08/16	1.32	1.35	1.18	1.25	3672600	43316696.00
2000/08/17	1.33	1.33	1.08	1.25	2052400	24187808.00
2000/08/18	1.25	1.27	1.17	1.20	2240100	26088156.00
2000/08/21	1.21	1.36	1.21	1.32	4034800	48156072.00
2000/08/22	1.36	1.40	1.19	1.21	3310000	39718752.00
2000/08/23	1.19	1.29	1.05	1.24	5292700	61024024.00
2000/08/24	1.24	1.30	1.18	1.26	3063400	36093780.00
2000/08/25	1.28	1.36	1.26	1.35	4064700	48805240.00
2000/08/28	1.39	1.49	1.38	1.44	4109600	50656908.00
2000/08/29	1.45	1.46	1.39	1.43	2374800	29096118.00
2000/08/30	1.43	1.45	1.31	1.32	2587600	31335530.00
2000/08/31	1.29	1.29	1.18	1.18	2623500	30782418.00
2000/09/01	1.14	1.29	1.13	1.20	2020300	23615788.00
2000/09/04	1.26	1.26	1.17	1.26	1159000	13551555.00
2000/09/05	1.29	1.29	1.12	1.13	1068000	12429222.00
2000/09/06	1.12	1.14	1.07	1.09	1258000	14265648.00
2000/09/07	1.10	1.18	1.09	1.12	863600	9858224.00
2000/09/08	1.13	1.16	1.09	1.12	615200	7002926.00
2000/09/11	1.12	1.20	1.11	1.20	870000	10001393.00
2000/09/12	1.22	1.22	1.14	1.17	447700	5160648.00
2000/09/13	1.18	1.22	1.12	1.16	801100	9248074.00
2000/09/14	1.17	1.20	1.12	1.13	629600	7220105.00
2000/09/15	1.14	1.14	1.11	1.12	454500	5174942.00
2000/09/18	1.13	1.13	1.07	1.08	442700	5002118.00
2000/09/19	1.05	1.05	0.95	0.96	908300	9980938.00
2000/09/20	0.96	1.02	0.95	1.01	495700	5455241.50
2000/09/21	1.02	1.02	0.99	0.99	403700	4457211.00
2000/09/22	0.99	1.00	0.95	0.97	400400	4388077.00
2000/09/25	0.96	0.99	0.95	0.96	219900	2406548.00
2000/09/26	0.96	1.04	0.95	0.99	422200	4665839.50
2000/09/27	1.04	1.05	0.99	1.05	305700	3403393.75
2000/09/28	1.05	1.06	0.98	0.99	364400	4023796.00
2000/09/29	0.99	1.05	0.99	1.01	377300	4192632.00
2000/10/09	1.04	1.06	0.99	1.06	292800	3258143.75
2000/10/10	1.06	1.11	1.04	1.09	536400	6039431.00
2000/10/11	1.12	1.12	1.06	1.07	444900	5019294.00
2000/10/12	1.06	1.13	1.02	1.13	627500	7048192.00
2000/10/13	1.13	1.15	1.05	1.08	654200	7449512.00
2000/10/16	1.09	1.09	1.02	1.03	345000	3850243.25
2000/10/17	1.04	1.06	1.02	1.05	274800	3068237.75
2000/10/18	1.05	1.09	1.04	1.07	296600	3331308.50
2000/10/19	1.07	1.08	1.02	1.02	408900	4562370.50
2000/10/20	1.02	1.11	0.99	1.09	745100	8322689.00
2000/10/23	1.11	1.15	1.08	1.14	858200	9795840.00
2000/10/24	1.17	1.20	1.15	1.19	1376300	15937806.00
2000/10/25	1.19	1.28	1.16	1.24	2061900	24207498.00
2000/10/26	1.25	1.26	1.16	1.17	849100	9900371.00
2000/10/27	1.16	1.19	1.13	1.17	609000	7003919.50
2000/10/30	1.16	1.22	1.12	1.21	666900	7706626.50
2000/10/31	1.23	1.23	1.13	1.14	485200	5594153.00
2000/11/01	1.14	1.16	1.11	1.16	504600	5767494.00
2000/11/02	1.17	1.22	1.15	1.15	540200	6246871.00
2000/11/03	1.15	1.19	1.10	1.17	584500	6687865.50
2000/11/06	1.18	1.25	1.18	1.22	864100	10106613.00
2000/11/07	1.22	1.24	1.19	1.24	782500	9136805.00
2000/11/08	1.24	1.29	1.23	1.27	1509200	17854474.00
2000/11/09	1.27	1.29	1.24	1.27	1066900	12607293.00
2000/11/10	1.27	1.31	1.25	1.28	1697400	20132144.00
2000/11/13	1.29	1.35	1.28	1.31	1711500	20489332.00
2000/11/14	1.31	1.33	1.26	1.31	1182700	14056918.00
2000/11/15	1.31	1.41	1.31	1.39	2378300	28832864.00
2000/11/16	1.41	1.56	1.41	1.49	4416200	55154320.00
2000/11/17	1.52	1.53	1.40	1.45	2433500	30052962.00
2000/11/20	1.43	1.44	1.36	1.41	1350200	16458222.00
2000/11/21	1.43	1.50	1.40	1.44	1350700	16665875.00
2000/11/22	1.43	1.48	1.40	1.45	1143200	14114853.00
2000/11/23	1.46	1.60	1.42	1.55	2427200	30510038.00
2000/11/24	1.60	1.72	1.43	1.45	5996400	76797424.00
2000/11/27	1.43	1.57	1.38	1.55	2409900	30061884.00
2000/11/28	1.59	1.62	1.53	1.60	1610000	20527568.00
