002007 华兰生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/06/25	-0.26	-0.13	-0.42	-0.40	14388124	405772096.00
2004/06/28	-0.54	-0.51	-0.54	-0.54	745600	17938472.00
2004/06/29	-0.68	-0.66	-0.68	-0.68	2647335	57302788.00
2004/06/30	-0.72	-0.67	-0.72	-0.71	3020329	64245088.00
2004/07/01	-0.70	-0.68	-0.72	-0.72	1591041	33789644.00
2004/07/02	-0.72	-0.70	-0.82	-0.79	2665629	52389092.00
2004/07/05	-0.78	-0.78	-0.82	-0.79	1174790	23034572.00
2004/07/06	-0.79	-0.76	-0.80	-0.78	992753	19629522.00
2004/07/07	-0.79	-0.78	-0.82	-0.81	963735	18635010.00
2004/07/08	-0.81	-0.79	-0.82	-0.81	442328	8539752.00
2004/07/09	-0.79	-0.78	-0.82	-0.82	687186	13359396.00
2004/07/12	-0.83	-0.82	-0.90	-0.89	1183927	21406170.00
2004/07/13	-0.89	-0.88	-0.93	-0.89	733823	12848822.00
2004/07/14	-0.89	-0.88	-0.93	-0.88	677275	11902777.00
2004/07/15	-0.88	-0.83	-0.89	-0.86	1037798	19046726.00
2004/07/16	-0.86	-0.80	-0.87	-0.81	1488524	28205674.00
2004/07/19	-0.81	-0.80	-0.84	-0.83	783207	14967520.00
2004/07/20	-0.83	-0.81	-0.84	-0.84	554100	10476195.00
2004/07/21	-0.84	-0.82	-0.88	-0.87	694858	12760993.00
2004/07/22	-0.87	-0.85	-0.91	-0.90	544450	9784668.00
2004/07/23	-0.90	-0.87	-0.91	-0.88	463865	8193929.00
2004/07/26	-0.88	-0.88	-0.92	-0.91	335369	5899843.50
2004/07/27	-0.90	-0.90	-0.96	-0.94	623282	10628519.00
2004/07/28	-0.95	-0.91	-0.96	-0.91	493950	8399171.00
2004/07/29	-0.91	-0.86	-0.92	-0.88	741123	13237968.00
2004/07/30	-0.88	-0.85	-0.89	-0.86	1233994	22512080.00
2004/08/02	-0.87	-0.83	-0.88	-0.86	1227612	22882382.00
2004/08/03	-0.86	-0.81	-0.86	-0.81	1261504	23714238.00
2004/08/04	-0.82	-0.82	-0.84	-0.83	1727219	32601346.00
2004/08/05	-0.82	-0.75	-0.82	-0.80	2341522	46163956.00
2004/08/06	-0.80	-0.78	-0.84	-0.80	1778086	34339988.00
2004/08/09	-0.81	-0.80	-0.85	-0.84	775902	14632542.00
2004/08/10	-0.84	-0.82	-0.85	-0.83	375564	7058364.50
2004/08/11	-0.83	-0.81	-0.83	-0.83	890665	16994452.00
2004/08/12	-0.83	-0.82	-0.85	-0.83	620075	11641173.00
2004/08/13	-0.83	-0.83	-0.88	-0.88	681100	12527599.00
2004/08/16	-0.88	-0.88	-0.94	-0.94	1246211	21367516.00
2004/08/17	-0.94	-0.91	-0.94	-0.92	517841	8924557.00
2004/08/18	-0.92	-0.92	-0.94	-0.94	449712	7656061.00
2004/08/19	-0.95	-0.92	-0.95	-0.93	351607	5978736.00
2004/08/20	-0.92	-0.90	-0.93	-0.91	470736	8154273.50
2004/08/23	-0.93	-0.92	-0.95	-0.94	358406	6089624.50
2004/08/24	-0.94	-0.91	-0.94	-0.93	350832	6048702.00
2004/08/25	-0.93	-0.93	-0.95	-0.94	299748	5059750.00
2004/08/26	-0.94	-0.94	-0.99	-0.98	582756	9527106.00
2004/08/27	-0.98	-0.98	-1.00	-0.99	684571	10901882.00
2004/08/30	-0.99	-0.94	-1.00	-0.96	588109	9687747.00
2004/08/31	-0.93	-0.91	-0.95	-0.95	695666	11779218.00
2004/09/01	-0.96	-0.95	-0.97	-0.96	187325	3089379.50
2004/09/02	-0.96	-0.95	-0.98	-0.95	293761	4800521.00
2004/09/03	-0.95	-0.95	-0.97	-0.97	183837	3026784.75
2004/09/06	-0.98	-0.96	-0.98	-0.97	117837	1924019.50
2004/09/07	-0.96	-0.95	-0.97	-0.95	153369	2541506.25
2004/09/08	-0.95	-0.95	-0.98	-0.97	114900	1893330.00
2004/09/09	-0.97	-0.97	-0.98	-0.98	178732	2897717.00
2004/09/10	-0.98	-0.97	-0.99	-0.97	247038	4011230.75
2004/09/13	-0.98	-0.97	-1.00	-1.00	271750	4333228.50
2004/09/14	-0.99	-0.96	-0.99	-0.97	460382	7532773.00
2004/09/15	-0.97	-0.88	-0.97	-0.90	1419060	24712664.00
2004/09/16	-0.91	-0.85	-0.91	-0.87	1614515	29050764.00
