002008 大族激光 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/06/25	2.06	2.79	1.69	1.97	20724512	825107584.00
2004/06/28	1.62	1.69	1.62	1.62	1203800	42433148.00
2004/06/29	1.29	1.29	1.29	1.29	300800	9523328.00
2004/06/30	1.00	1.21	1.00	1.05	9452251	273942880.00
2004/07/01	1.08	1.14	0.96	0.99	5154020	149767648.00
2004/07/02	0.99	1.07	0.76	0.93	5684703	154307936.00
2004/07/05	0.94	1.01	0.86	0.96	3505852	97737664.00
2004/07/06	0.92	1.02	0.92	0.93	2586061	72493720.00
2004/07/07	0.91	0.92	0.82	0.83	2270982	60965280.00
2004/07/08	0.81	0.89	0.80	0.84	1461015	39086140.00
2004/07/09	0.84	0.89	0.78	0.78	1541765	40951112.00
2004/07/12	0.76	0.76	0.59	0.61	3082854	75977680.00
2004/07/13	0.59	0.63	0.50	0.58	1789000	42383920.00
2004/07/14	0.59	0.60	0.48	0.56	1994050	46380396.00
2004/07/15	0.64	0.72	0.63	0.63	2484298	61296068.00
2004/07/16	0.63	0.83	0.61	0.79	3884737	99455512.00
2004/07/19	0.76	0.82	0.74	0.76	1859893	48219592.00
2004/07/20	0.76	0.82	0.74	0.80	1651361	43203020.00
2004/07/21	0.79	0.88	0.76	0.76	2042503	54323464.00
2004/07/22	0.76	0.80	0.61	0.64	2043431	51566104.00
2004/07/23	0.63	0.72	0.60	0.71	1487690	36866524.00
2004/07/26	0.68	0.68	0.58	0.62	1176755	28761640.00
2004/07/27	0.61	0.66	0.53	0.58	1103150	26395546.00
2004/07/28	0.58	0.80	0.58	0.80	2710051	67858400.00
2004/07/29	0.82	0.94	0.80	0.86	3574137	96709776.00
2004/07/30	0.85	0.91	0.83	0.85	2143649	57826464.00
2004/08/02	0.85	0.95	0.83	0.87	2520590	68801112.00
2004/08/03	0.90	1.03	0.88	0.96	3625188	101541152.00
2004/08/04	0.95	0.98	0.90	0.96	2476068	68860072.00
2004/08/05	0.96	0.99	0.92	0.94	1785254	49813216.00
2004/08/06	0.91	0.91	0.68	0.68	5311998	136383216.00
2004/08/09	0.59	0.59	0.49	0.52	3313012	77652048.00
2004/08/10	0.51	0.57	0.51	0.55	1359089	31968098.00
2004/08/11	0.54	0.54	0.44	0.46	2325461	52999288.00
2004/08/12	0.43	0.48	0.40	0.44	1074994	24029952.00
2004/08/13	0.44	0.49	0.43	0.46	732555	16537796.00
2004/08/16	0.43	0.46	0.26	0.26	2067556	43299912.00
2004/08/17	0.23	0.30	0.19	0.24	1258624	25303330.00
2004/08/18	0.24	0.26	0.18	0.19	1029893	20361448.00
2004/08/19	0.18	0.24	0.16	0.23	972916	19190956.00
2004/08/20	0.23	0.28	0.18	0.25	866834	17465072.00
2004/08/23	0.21	0.22	0.15	0.16	753556	14687986.00
2004/08/24	0.17	0.24	0.17	0.21	658166	13050517.00
2004/08/25	0.20	0.20	0.12	0.14	917461	17519220.00
2004/08/26	0.14	0.14	0.08	0.09	718508	13457396.00
2004/08/27	0.09	0.11	0.04	0.05	667043	12178764.00
2004/08/30	0.05	0.16	0.00	0.10	1297791	24223240.00
2004/08/31	0.17	0.20	0.12	0.12	1114463	21341480.00
2004/09/01	0.11	0.11	0.07	0.07	575001	10589218.00
2004/09/02	0.05	0.11	0.05	0.11	473779	8718063.00
2004/09/03	0.12	0.18	0.10	0.13	1075374	20523056.00
2004/09/07	0.12	0.17	0.11	0.14	619518	11792868.00
2004/09/08	0.14	0.15	0.10	0.12	403977	7599186.00
2004/09/09	0.11	0.12	0.07	0.09	451259	8355761.50
2004/09/10	0.10	0.11	0.08	0.09	322483	5977200.50
2004/09/13	0.10	0.10	0.00	0.00	865328	15364747.00
2004/09/14	0.03	0.09	0.02	0.06	911879	16571585.00
2004/09/15	0.06	0.22	0.06	0.22	3498021	68356288.00
2004/09/16	0.23	0.31	0.19	0.27	3284333	66876448.00
2004/09/17	0.28	0.37	0.22	0.36	2623001	54023412.00
2004/09/20	0.36	0.42	0.32	0.41	2915963	63341148.00
2004/09/21	0.41	0.55	0.35	0.49	3418406	77520272.00
2004/09/22	0.47	0.70	0.42	0.68	5411514	131178872.00
2004/09/23	0.68	0.69	0.56	0.61	3783277	91706112.00
2004/09/24	0.68	0.80	0.58	0.59	4719874	118385096.00
2004/09/27	0.61	0.67	0.50	0.52	1804908	43294424.00
2004/09/28	0.52	0.58	0.48	0.55	1408237	32867460.00
2004/09/29	0.55	0.58	0.53	0.54	735869	17290036.00
2004/09/30	0.54	0.62	0.51	0.53	1215098	28789526.00
2004/10/08	0.53	0.71	0.51	0.71	2097285	51591412.00
2004/10/11	0.75	0.82	0.65	0.68	3117091	80399808.00
2004/10/12	0.67	0.70	0.60	0.62	1406465	34547044.00
2004/10/13	0.62	0.66	0.60	0.63	957967	23378700.00
2004/10/14	0.65	0.65	0.41	0.41	2138692	47904868.00
2004/10/15	0.26	0.32	0.21	0.21	2561702	51696100.00
2004/10/18	0.24	0.29	0.24	0.24	1420440	28977660.00
2004/10/19	0.25	0.32	0.23	0.23	1442167	29658964.00
2004/10/20	0.23	0.23	0.13	0.21	1210801	23439086.00
2004/10/21	0.21	0.25	0.19	0.21	820789	16294845.00
2004/10/22	0.23	0.28	0.13	0.28	1588616	31898876.00
2004/10/25	0.32	0.35	0.26	0.28	1283279	26768662.00
2004/10/26	0.26	0.32	0.23	0.32	942490	19350944.00
2004/10/27	0.32	0.41	0.30	0.41	1660346	35578204.00
2004/10/28	0.38	0.41	0.26	0.29	1817414	38761620.00
2004/10/29	0.21	0.33	0.17	0.25	1299224	26426536.00
2004/11/01	0.30	0.30	0.23	0.24	525480	10663472.00
2004/11/02	0.24	0.26	0.20	0.22	508499	10174680.00
2004/11/03	0.23	0.29	0.23	0.28	604879	12286337.00
2004/11/04	0.31	0.31	0.21	0.22	546265	11082904.00
2004/11/05	0.23	0.26	0.20	0.22	340271	6804527.00
2004/11/08	0.22	0.24	0.19	0.23	246190	4891684.50
2004/11/09	0.23	0.26	0.22	0.24	292246	5883593.50
2004/11/10	0.26	0.38	0.23	0.36	1520404	32162988.00
2004/11/11	0.37	0.50	0.37	0.38	2924712	65505628.00
2004/11/12	0.38	0.44	0.38	0.41	1250097	27432954.00
2004/11/15	0.41	0.44	0.38	0.41	749068	16479508.00
2004/11/16	0.44	0.47	0.40	0.43	941044	20938766.00
2004/11/17	0.43	0.43	0.38	0.39	656802	14344698.00
2004/11/18	0.43	0.46	0.41	0.42	1011345	22515294.00
2004/11/19	0.44	0.46	0.38	0.40	611550	13402188.00
2004/11/22	0.42	0.44	0.39	0.40	672491	14778459.00
2004/11/23	0.40	0.41	0.36	0.36	931972	20078056.00
2004/11/24	0.34	0.40	0.33	0.38	783997	16872278.00
2004/11/25	0.38	0.38	0.33	0.34	387314	8251869.00
2004/11/26	0.34	0.36	0.33	0.34	207950	4427622.00
2004/11/29	0.34	0.34	0.25	0.25	616337	12712189.00
2004/11/30	0.25	0.27	0.25	0.26	332772	6769678.00
2004/12/01	0.27	0.27	0.22	0.23	554176	11133541.00
2004/12/02	0.23	0.23	0.19	0.23	567623	11238609.00
2004/12/03	0.27	0.32	0.26	0.28	755100	15666463.00
2004/12/06	0.27	0.28	0.24	0.26	293969	5981600.50
2004/12/07	0.25	0.27	0.22	0.22	313180	6295692.50
2004/12/08	0.25	0.29	0.24	0.25	230246	4664035.00
2004/12/09	0.25	0.31	0.22	0.28	746378	15359668.00
2004/12/10	0.25	0.29	0.24	0.25	343210	6964881.00
2004/12/13	0.24	0.27	0.22	0.25	222268	4497276.50
2004/12/14	0.25	0.27	0.24	0.26	202997	4116846.00
2004/12/15	0.26	0.31	0.26	0.29	706251	14589826.00
2004/12/16	0.29	0.29	0.24	0.25	259284	5272002.50
2004/12/17	0.23	0.23	0.18	0.19	598647	11803047.00
2004/12/20	0.17	0.17	0.11	0.11	546437	10358468.00
2004/12/21	0.12	0.15	0.11	0.13	221550	4198942.50
2004/12/22	0.13	0.20	0.13	0.20	351373	6824321.50
2004/12/23	0.21	0.22	0.14	0.14	284415	5486320.50
2004/12/24	0.12	0.17	0.12	0.14	277035	5317816.00
2004/12/27	0.14	0.16	0.13	0.16	147159	2806608.75
2004/12/28	0.14	0.17	0.13	0.14	156022	2984026.25
2004/12/29	0.13	0.17	0.08	0.09	373020	7019425.50
2004/12/30	0.08	0.12	0.08	0.11	202216	3761383.50
2004/12/31	0.13	0.13	0.09	0.10	199313	3721420.75
2005/01/04	0.06	0.09	0.06	0.06	277553	5072076.00
2005/01/05	0.07	0.11	0.07	0.10	204774	3789327.25
2005/01/06	0.10	0.11	0.08	0.10	125524	2326548.50
2005/01/07	0.09	0.13	0.07	0.09	215031	4001926.75
2005/01/10	0.08	0.11	0.06	0.11	211159	3930661.50
2005/01/11	0.11	0.13	0.11	0.12	231626	4363908.00
2005/01/12	0.12	0.12	0.09	0.09	164990	3071490.00
2005/01/13	0.10	0.12	0.08	0.10	173571	3237603.75
2005/01/14	0.09	0.12	0.07	0.07	219979	4058851.25
2005/01/17	0.05	0.06	0.00	0.00	405386	7213893.00
2005/01/18	0.00	0.04	0.00	0.03	236951	4194393.50
2005/01/19	0.04	0.04	-0.04	-0.03	303353	5299858.00
2005/01/20	-0.04	-0.04	-0.10	-0.08	714199	11876588.00
2005/01/21	-0.08	0.00	-0.09	0.00	544373	9261688.00
2005/01/24	0.04	0.05	0.00	0.03	611147	10870120.00
2005/01/25	-0.01	-0.01	-0.06	-0.05	602455	10185862.00
