002013 中航机电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/07/05	0.57	0.61	0.54	0.58	12719091	164353008.00
2004/07/06	0.59	0.60	0.57	0.59	7692024	101723856.00
2004/07/07	0.58	0.58	0.55	0.56	4536668	58805912.00
2004/07/08	0.55	0.57	0.55	0.56	2557084	32661484.00
2004/07/09	0.56	0.59	0.56	0.56	3151348	41263660.00
2004/07/12	0.55	0.56	0.49	0.49	3667205	43533708.00
2004/07/13	0.48	0.49	0.44	0.47	2317515	25658816.00
2004/07/14	0.47	0.47	0.44	0.47	1677215	18406308.00
2004/07/15	0.47	0.48	0.46	0.46	1603605	17878252.00
2004/07/16	0.46	0.50	0.45	0.49	3585231	41048376.00
2004/07/19	0.49	0.52	0.48	0.50	2636316	30980446.00
2004/07/20	0.50	0.51	0.49	0.50	1656109	19587280.00
2004/07/21	0.50	0.50	0.47	0.48	1102147	12648026.00
2004/07/22	0.48	0.49	0.46	0.47	1089839	12422182.00
2004/07/23	0.46	0.48	0.46	0.48	871491	9772935.00
2004/07/26	0.48	0.49	0.47	0.48	892493	10129376.00
2004/07/27	0.48	0.48	0.42	0.44	1048028	11411397.00
2004/07/28	0.44	0.46	0.43	0.46	1182621	12785194.00
2004/07/29	0.47	0.50	0.46	0.49	2712980	31117702.00
2004/07/30	0.49	0.50	0.48	0.48	1281433	14742666.00
2004/08/02	0.48	0.49	0.47	0.48	871080	9981021.00
2004/08/03	0.48	0.50	0.48	0.49	1085832	12571956.00
2004/08/04	0.49	0.50	0.48	0.50	1267981	14769463.00
2004/08/05	0.50	0.51	0.49	0.49	962048	11250829.00
2004/08/06	0.48	0.49	0.46	0.47	1102267	12417762.00
2004/08/09	0.46	0.47	0.45	0.46	599247	6589491.00
2004/08/10	0.46	0.47	0.46	0.46	312990	3457507.25
2004/08/11	0.46	0.46	0.44	0.44	726266	7830565.00
2004/08/12	0.44	0.45	0.43	0.45	469755	5020641.50
2004/08/13	0.45	0.46	0.44	0.45	452350	4902659.50
2004/08/16	0.44	0.44	0.39	0.39	1002317	10027736.00
2004/08/17	0.39	0.40	0.36	0.36	1062763	10135600.00
2004/08/18	0.35	0.37	0.34	0.35	777314	7059121.00
2004/08/19	0.35	0.36	0.34	0.35	520726	4731267.50
2004/08/20	0.35	0.37	0.35	0.36	359550	3303001.50
2004/08/23	0.35	0.35	0.34	0.34	441679	3959906.25
2004/08/24	0.34	0.36	0.34	0.36	456285	4170484.50
2004/08/25	0.35	0.36	0.35	0.35	276184	2489235.75
2004/08/26	0.34	0.35	0.33	0.33	376945	3342189.25
2004/08/27	0.33	0.34	0.32	0.33	329343	2864877.75
2004/08/30	0.32	0.36	0.32	0.34	620048	5518797.50
