002044 美年健康 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/05/18	0.54	0.58	0.52	0.58	20414476	103858896.00
2005/05/19	0.56	0.59	0.54	0.58	12155312	63124764.00
2005/05/20	0.57	0.57	0.55	0.55	7238214	37187636.00
2005/05/23	0.51	0.51	0.46	0.46	3263760	15084634.00
2005/05/24	0.39	0.46	0.39	0.44	9844474	42779376.00
2005/05/25	0.42	0.45	0.42	0.43	5926832	26367914.00
2005/05/26	0.42	0.43	0.41	0.41	3204137	13863108.00
2005/05/27	0.41	0.44	0.41	0.42	3019142	13151245.00
2005/05/30	0.41	0.43	0.40	0.43	2583294	11230736.00
2005/05/31	0.45	0.46	0.41	0.41	3922995	17192048.00
2005/06/01	0.41	0.41	0.37	0.37	3714201	15276962.00
2005/06/02	0.37	0.38	0.37	0.38	1950821	7980998.00
2005/06/03	0.38	0.38	0.33	0.34	3560864	14123977.00
2005/06/06	0.34	0.37	0.33	0.37	2995670	11916108.00
2005/06/07	0.37	0.39	0.36	0.36	3178360	12924531.00
2005/06/08	0.36	0.43	0.36	0.43	8515348	36398740.00
2005/06/09	0.42	0.51	0.41	0.47	11611860	53575136.00
2005/06/10	0.47	0.48	0.44	0.46	5465103	25105166.00
2005/06/13	0.49	0.51	0.46	0.47	4846573	22736472.00
2005/06/14	0.47	0.49	0.43	0.43	3929652	18094970.00
2005/06/15	0.43	0.45	0.40	0.43	2993851	13141501.00
2005/06/16	0.43	0.46	0.41	0.46	3225120	14367668.00
2005/06/17	0.46	0.47	0.43	0.43	2085104	9314717.00
2005/06/20	0.43	0.50	0.42	0.50	7005329	32522542.00
2005/06/21	0.50	0.54	0.48	0.52	10152099	49249792.00
2005/06/22	0.50	0.54	0.49	0.52	6933677	34224588.00
2005/06/23	0.51	0.57	0.51	0.52	8780800	44447164.00
2005/06/24	0.52	0.55	0.51	0.53	4217031	20941820.00
2005/06/27	0.56	0.62	0.55	0.62	7778872	41629912.00
2005/06/28	0.63	0.68	0.59	0.62	14139523	78375008.00
2005/06/29	0.61	0.63	0.58	0.59	6627252	36069324.00
2005/06/30	0.58	0.60	0.55	0.57	4531155	23712598.00
2005/07/01	0.57	0.60	0.56	0.57	4928702	25995218.00
2005/07/04	0.57	0.61	0.56	0.61	4574850	24365802.00
2005/07/05	0.61	0.63	0.58	0.58	4949464	26833124.00
2005/07/06	0.59	0.61	0.55	0.56	3517585	18434910.00
2005/07/07	0.55	0.56	0.53	0.55	3317689	16844490.00
2005/07/08	0.54	0.56	0.51	0.52	2740733	13653959.00
2005/07/11	0.54	0.58	0.52	0.52	3287395	16713499.00
2005/07/12	0.53	0.61	0.51	0.60	6419652	33761784.00
2005/07/13	0.59	0.61	0.58	0.58	5516801	29570416.00
2005/07/14	0.58	0.61	0.58	0.59	3109198	16655069.00
2005/07/15	0.60	0.61	0.54	0.55	3607362	18703470.00
2005/07/18	0.54	0.57	0.54	0.56	1967840	10098242.00
2005/07/19	0.56	0.58	0.55	0.57	1515251	7838501.50
2005/07/20	0.56	0.59	0.56	0.58	1857319	9726972.00
2005/07/21	0.57	0.58	0.55	0.56	1956601	10050912.00
2005/07/22	0.55	0.57	0.51	0.54	4989311	25024922.00
2005/07/25	0.53	0.53	0.45	0.45	4974823	23271272.00
2005/07/26	0.44	0.48	0.44	0.46	3155787	14540823.00
2005/07/27	0.46	0.49	0.46	0.49	3032747	14151945.00
2005/07/28	0.49	0.52	0.49	0.50	3441143	16589362.00
2005/08/01	0.50	0.52	0.49	0.51	3067114	14849020.00
2005/08/02	0.50	0.52	0.48	0.51	2624871	12638498.00
2005/08/03	0.51	0.53	0.50	0.51	3077586	15055026.00
2005/08/04	0.51	0.53	0.50	0.51	1718668	8414697.00
2005/08/05	0.50	0.58	0.50	0.57	6287288	31939194.00
2005/08/08	0.59	0.62	0.58	0.59	6700707	36008320.00
2005/08/09	0.58	0.60	0.57	0.60	3465466	18388774.00
2005/08/10	0.59	0.60	0.58	0.60	2973070	15841975.00
2005/08/11	0.59	0.62	0.59	0.60	3636755	19650172.00
2005/08/12	0.60	0.63	0.59	0.60	4360795	23747384.00
2005/08/15	0.60	0.69	0.60	0.69	7772079	44544260.00
2005/08/16	0.68	0.71	0.66	0.67	6650534	39064192.00
