002065 东华软件 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/08/23	0.39	0.47	0.37	0.43	14767507	345762368.00
2006/08/24	0.42	0.45	0.40	0.43	7682058	182751712.00
2006/08/25	0.44	0.48	0.44	0.44	6283112	155241600.00
2006/08/28	0.44	0.44	0.41	0.43	3646238	86773472.00
2006/08/29	0.44	0.52	0.43	0.52	5968567	151082944.00
2006/08/30	0.50	0.52	0.49	0.52	2940931	76852768.00
2006/08/31	0.51	0.58	0.51	0.54	3601119	98014880.00
2006/09/01	0.55	0.60	0.53	0.57	3216023	89251208.00
2006/09/04	0.56	0.59	0.55	0.57	1955787	54406788.00
2006/09/05	0.57	0.58	0.53	0.55	2133250	58334352.00
2006/09/06	0.54	0.56	0.53	0.56	1185611	32218250.00
2006/09/07	0.55	0.61	0.55	0.58	2188615	62035216.00
2006/09/08	0.58	0.61	0.57	0.57	1755248	49663152.00
2006/09/11	0.56	0.57	0.53	0.57	1599038	43700192.00
2006/09/12	0.56	0.56	0.54	0.54	1989968	54011348.00
2006/09/13	0.54	0.55	0.50	0.50	2059359	54814072.00
2006/09/14	0.49	0.50	0.47	0.49	1940509	49339476.00
2006/09/15	0.49	0.50	0.48	0.49	949951	24285992.00
2006/09/18	0.49	0.51	0.49	0.49	684709	17708732.00
2006/09/19	0.50	0.52	0.50	0.50	926701	24197880.00
2006/09/20	0.50	0.52	0.49	0.51	823437	21539244.00
2006/09/21	0.51	0.54	0.51	0.54	1412238	37677400.00
2006/09/22	0.54	0.55	0.53	0.53	907004	24469416.00
2006/09/25	0.53	0.55	0.52	0.54	640103	17097052.00
2006/09/26	0.53	0.54	0.51	0.51	520799	13814322.00
2006/09/27	0.51	0.52	0.49	0.50	471868	12272267.00
2006/09/28	0.51	0.55	0.50	0.53	974111	26086054.00
2006/09/29	0.54	0.62	0.53	0.62	3029580	87210040.00
2006/10/09	0.63	0.64	0.61	0.63	1298037	38099972.00
2006/10/10	0.63	0.64	0.60	0.62	1219011	35473576.00
2006/10/11	0.62	0.65	0.60	0.63	1196197	35066472.00
2006/10/12	0.63	0.67	0.59	0.60	1445161	42391104.00
2006/10/13	0.58	0.61	0.57	0.59	750103	21253152.00
2006/10/16	0.58	0.62	0.58	0.59	548137	15804925.00
2006/10/17	0.60	0.61	0.59	0.60	374915	10714459.00
2006/10/18	0.61	0.62	0.60	0.61	444600	12876651.00
2006/10/19	0.62	0.64	0.61	0.62	888929	26135072.00
2006/10/20	0.63	0.63	0.59	0.59	864032	24759028.00
2006/10/23	0.59	0.59	0.55	0.55	710570	19744690.00
2006/10/24	0.55	0.59	0.55	0.58	607195	17039690.00
2006/10/25	0.59	0.61	0.58	0.60	699908	20039742.00
2006/10/26	0.60	0.61	0.58	0.59	423886	12027725.00
2006/10/27	0.59	0.63	0.58	0.61	991416	28773802.00
2006/10/30	0.61	0.61	0.57	0.58	592551	16670420.00
2006/10/31	0.58	0.58	0.57	0.58	440026	12300669.00
2006/11/01	0.58	0.58	0.54	0.56	1099905	30107138.00
2006/11/02	0.55	0.56	0.51	0.53	837702	22381652.00
2006/11/03	0.52	0.54	0.52	0.53	466136	12473521.00
2006/11/06	0.52	0.53	0.51	0.52	487075	12864727.00
2006/11/07	0.51	0.55	0.51	0.55	650836	17430116.00
2006/11/08	0.55	0.55	0.52	0.53	427694	11471707.00
2006/11/09	0.53	0.56	0.52	0.56	570974	15620053.00
2006/11/10	0.55	0.55	0.53	0.53	690443	18575942.00
2006/11/13	0.53	0.53	0.50	0.50	524600	13801256.00
2006/11/14	0.50	0.52	0.50	0.52	379285	9959567.00
2006/11/15	0.52	0.55	0.51	0.54	750857	20050582.00
2006/11/16	0.54	0.54	0.52	0.52	805214	21443212.00
