002074 国轩高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/10/18	3.40	3.59	3.25	3.39	14798955	219970832.00
2006/10/19	3.50	3.74	3.50	3.59	8251707	128270392.00
2006/10/20	3.51	3.51	3.35	3.39	4159888	61787560.00
2006/10/23	3.40	3.72	3.39	3.66	4102448	63740024.00
2006/10/24	3.59	3.86	3.56	3.69	4429847	70693120.00
2006/10/25	3.67	3.68	3.55	3.60	2474183	38555188.00
2006/10/26	3.57	3.59	3.42	3.48	2050862	30892862.00
2006/10/27	3.50	3.58	3.39	3.45	1466396	22120798.00
2006/10/30	3.44	3.44	3.25	3.34	1608029	23304802.00
2006/10/31	3.35	3.39	3.26	3.26	1579096	22838014.00
2006/11/01	3.28	3.34	3.21	3.31	1764599	25314382.00
2006/11/02	3.29	3.30	3.13	3.17	1886049	26425714.00
2006/11/03	3.13	3.23	3.13	3.21	1000480	14032743.00
2006/11/06	3.17	3.21	3.07	3.10	1161436	16106953.00
2006/11/07	3.18	3.34	3.17	3.22	2491754	35420924.00
2006/11/08	3.19	3.23	3.16	3.23	820762	11508971.00
2006/11/09	3.23	3.33	3.21	3.29	1407035	20246016.00
2006/11/10	3.26	3.29	3.13	3.15	924081	13028596.00
2006/11/13	3.11	3.32	3.11	3.29	1238144	17531680.00
2006/11/14	3.28	3.34	3.22	3.30	854572	12293971.00
2006/11/15	3.32	3.33	3.24	3.31	931939	13410871.00
2006/11/16	3.30	3.30	3.19	3.20	993349	14052741.00
2006/11/17	3.18	3.23	3.16	3.19	427524	6007963.50
2006/11/20	3.19	3.21	3.08	3.10	904505	12441729.00
2006/11/21	3.09	3.22	3.09	3.16	658659	9177091.00
2006/11/22	3.15	3.22	3.11	3.17	665768	9284048.00
2006/11/23	3.18	3.23	3.13	3.23	888274	12415849.00
2006/11/24	3.22	3.35	3.18	3.32	1634791	23589644.00
2006/11/27	3.34	3.39	3.29	3.37	1222786	17819802.00
2006/11/28	3.34	3.37	3.25	3.28	821090	11869328.00
2006/11/29	3.24	3.29	3.18	3.27	1070600	15236763.00
2006/11/30	3.25	3.38	3.24	3.28	1283946	18605072.00
2006/12/01	3.28	3.36	3.25	3.33	953159	13769259.00
2006/12/04	3.35	3.46	3.35	3.39	1294956	19172212.00
2006/12/05	3.40	3.41	3.34	3.37	924851	13539649.00
2006/12/06	3.37	3.56	3.32	3.47	2680188	40041476.00
2006/12/07	3.50	3.53	3.40	3.40	1356871	20310312.00
2006/12/08	3.38	3.38	3.19	3.20	1663323	23783632.00
2006/12/11	3.20	3.25	3.14	3.25	580347	8162091.50
2006/12/12	3.24	3.26	3.16	3.20	495716	6959246.00
2006/12/13	3.20	3.23	3.17	3.22	439292	6181567.50
2006/12/14	3.23	3.28	3.18	3.27	712563	10112491.00
2006/12/15	3.27	3.31	3.25	3.27	537373	7688689.50
2006/12/18	3.27	3.32	3.22	3.29	873478	12445345.00
2006/12/19	3.29	3.39	3.27	3.38	1369534	19924336.00
2006/12/20	3.38	3.39	3.29	3.35	758764	11077915.00
2006/12/21	3.34	3.38	3.24	3.26	899200	13037875.00
2006/12/22	3.25	3.25	3.18	3.21	1196105	16817786.00
2006/12/25	3.22	3.28	3.21	3.22	489425	6955303.00
2006/12/26	3.23	3.24	3.16	3.16	604040	8461537.00
2006/12/27	3.16	3.22	3.14	3.18	402505	5629043.50
2006/12/28	3.18	3.18	3.10	3.13	553495	7632185.00
2006/12/29	3.13	3.25	3.13	3.21	548533	7707833.00
2007/01/04	3.24	3.26	3.18	3.18	466720	6565406.00
2007/01/05	3.18	3.28	3.17	3.28	648676	9219182.00
2007/01/08	3.27	3.37	3.27	3.37	1129506	16454484.00
2007/01/09	3.42	3.51	3.39	3.43	2100625	31491698.00
2007/01/10	3.46	3.48	3.37	3.45	1262154	18760978.00
2007/01/11	3.46	3.61	3.41	3.47	1891228	28716488.00
2007/01/12	3.46	3.50	3.30	3.31	989420	14582417.00
2007/01/15	3.29	3.41	3.28	3.40	858339	12602656.00
2007/01/16	3.41	3.53	3.40	3.51	1500367	22579100.00
2007/01/17	3.54	3.86	3.52	3.62	2820709	44418500.00
2007/01/18	3.60	3.90	3.48	3.87	3694924	59022172.00
2007/01/19	3.87	3.99	3.83	3.96	2147619	35800876.00
2007/01/22	4.01	4.05	3.91	4.01	1996848	33743652.00
2007/01/23	4.01	4.01	3.80	3.90	2025835	33655952.00
2007/01/24	3.86	3.89	3.76	3.85	1412810	23034370.00
2007/01/25	3.83	3.83	3.62	3.63	1445162	23122078.00
2007/01/26	3.59	3.74	3.51	3.68	1254104	19638094.00
2007/01/29	3.68	3.80	3.62	3.79	1607258	25568874.00
2007/01/30	3.79	3.79	3.65	3.67	985269	15711986.00
2007/01/31	3.66	3.69	3.47	3.49	1151682	17863900.00
2007/02/01	3.49	3.54	3.43	3.50	1220346	18468248.00
2007/02/02	3.51	3.56	3.46	3.46	680939	10328432.00
2007/02/05	3.45	3.56	3.43	3.51	445200	6782101.00
2007/02/06	3.54	3.56	3.46	3.54	2641375	39923656.00
2007/02/07	3.56	3.65	3.51	3.53	1671039	25796970.00
2007/02/08	3.53	3.62	3.53	3.59	1463995	22563880.00
2007/02/09	3.59	3.63	3.55	3.57	737995	11418572.00
2007/02/12	3.57	3.68	3.57	3.66	1065233	16681396.00
2007/02/13	3.70	3.70	3.59	3.67	1136481	17833290.00
2007/02/14	3.67	3.70	3.64	3.67	1471927	23238088.00
2007/02/15	3.67	3.78	3.65	3.78	1576367	25087212.00
2007/02/16	3.78	3.85	3.74	3.75	1723216	28037348.00
2007/02/26	3.78	3.94	3.72	3.89	1955312	31873476.00
2007/02/27	3.89	3.90	3.43	3.43	2293491	36310224.00
2007/02/28	3.43	3.59	3.43	3.58	1317186	20107448.00
2007/03/01	3.59	3.59	3.42	3.44	1573519	23769322.00
2007/03/02	3.43	3.53	3.43	3.51	727845	11031435.00
2007/03/05	3.51	3.52	3.44	3.50	1585360	23911570.00
2007/03/06	3.47	3.53	3.46	3.52	923345	13994721.00
2007/03/07	3.52	3.59	3.50	3.57	861885	13258139.00
2007/03/08	3.57	3.86	3.54	3.80	2098024	33290166.00
2007/03/09	3.73	3.96	3.73	3.89	4385120	72501032.00
2007/03/12	3.92	3.93	3.75	3.85	2417716	39606700.00
2007/03/13	3.81	3.95	3.81	3.86	1391252	23063126.00
2007/03/14	3.80	3.80	3.67	3.71	1893216	30233760.00
2007/03/15	3.71	3.84	3.71	3.81	1281727	20827142.00
2007/03/16	3.82	3.84	3.65	3.70	1904692	30491654.00
2007/03/19	3.59	3.75	3.57	3.69	1127290	17821512.00
2007/03/20	3.71	3.94	3.70	3.87	1630298	26807692.00
2007/03/21	3.87	3.93	3.78	3.85	1605207	26407546.00
2007/03/22	3.84	4.04	3.84	3.92	2347391	39644672.00
2007/03/23	3.94	4.36	3.78	4.26	3594240	62109060.00
2007/03/26	4.23	4.37	4.20	4.26	3155918	56939752.00
2007/03/27	4.24	4.32	4.18	4.28	1353813	24253090.00
2007/03/28	4.27	4.38	4.01	4.24	2097683	37276796.00
2007/03/29	4.22	4.22	4.04	4.04	1809738	31604098.00
2007/03/30	4.06	4.18	4.06	4.13	1204772	21063974.00
2007/04/02	4.15	4.32	4.08	4.24	1200083	21369002.00
2007/04/03	4.26	4.34	4.19	4.26	1086997	19498216.00
2007/04/04	4.26	4.36	4.19	4.27	1728915	31255136.00
2007/04/05	4.27	4.41	4.23	4.39	1381200	25033266.00
2007/04/06	4.38	4.55	4.33	4.50	1760232	32868550.00
2007/04/09	4.62	4.62	4.41	4.47	1816905	34109952.00
2007/04/10	4.45	4.51	4.24	4.37	2440619	44608020.00
2007/04/11	4.37	4.38	4.22	4.38	1866540	33898056.00
2007/04/12	4.49	4.67	4.48	4.64	2496801	47737540.00
2007/04/13	4.61	4.61	4.48	4.49	1858271	35435516.00
2007/04/16	4.49	4.76	4.49	4.70	1616457	31527378.00
2007/04/17	4.75	4.86	4.59	4.80	1921506	37859096.00
2007/04/18	4.81	4.84	4.68	4.76	1558389	30780760.00
2007/04/19	4.76	4.76	4.38	4.62	2265482	43217900.00
2007/04/20	4.58	4.97	4.58	4.93	2657637	53004972.00
2007/04/23	4.94	5.20	4.94	5.04	1881800	39347760.00
2007/04/24	5.02	5.08	4.91	4.94	1584000	32626568.00
2007/04/25	4.89	5.19	4.84	5.17	1583836	32638906.00
2007/04/26	5.09	5.14	4.90	4.98	1478575	30588800.00
2007/04/27	4.94	4.94	4.74	4.78	1972699	39369332.00
2007/04/30	4.69	4.76	4.64	4.74	1462852	28653458.00
2007/05/09	4.79	4.88	4.51	4.62	2060341	40209276.00
2007/05/10	4.63	4.70	4.55	4.68	1353822	26234406.00
2007/05/11	4.65	4.65	4.52	4.61	1273887	24326650.00
2007/05/14	4.49	4.61	4.42	4.59	1150665	21849090.00
2007/05/15	4.59	4.76	4.57	4.63	2021044	39201100.00
2007/05/16	4.64	4.75	4.63	4.74	1510714	29615024.00
2007/05/17	4.74	4.82	4.70	4.82	1884816	37251660.00
2007/05/18	4.88	4.88	4.74	4.77	1187660	23570838.00
2007/05/21	4.52	4.88	4.52	4.85	1639516	32582134.00
2007/05/22	4.85	4.94	4.83	4.87	1670046	33770488.00
2007/05/23	4.88	5.04	4.86	5.01	1959233	40002332.00
2007/05/24	4.99	5.03	4.76	4.79	1898449	38183936.00
2007/05/25	4.79	4.87	4.72	4.82	1420430	23489578.00
2007/05/28	4.82	4.94	4.82	4.90	2067642	34695876.00
2007/05/29	4.92	4.99	4.85	4.92	1726579	29188338.00
2007/05/30	4.52	4.85	4.37	4.37	3333872	52556376.00
2007/05/31	4.37	4.46	3.98	4.30	2330144	34498452.00
2007/06/01	4.27	4.42	4.11	4.13	1703741	25486972.00
2007/06/04	4.14	4.19	3.65	3.65	1977596	27172230.00
2007/06/05	3.62	3.81	3.38	3.81	1963767	25379422.00
2007/06/06	3.86	3.91	3.69	3.84	1640071	22292014.00
2007/06/07	3.90	4.09	3.86	4.05	1796844	25049258.00
2007/06/08	4.04	4.13	3.99	4.05	1557384	22210084.00
2007/06/11	4.07	4.12	4.01	4.05	1525243	21750712.00
2007/06/12	4.05	4.15	3.94	4.14	1597276	22854656.00
2007/06/13	4.14	4.38	4.14	4.30	1979421	29592914.00
2007/06/14	4.29	4.33	4.17	4.23	1509329	22428538.00
2007/06/15	4.23	4.41	4.20	4.40	1548852	23384016.00
2007/06/18	4.46	4.60	4.42	4.56	2135484	33424844.00
2007/06/19	4.56	4.56	4.39	4.50	1198472	18573270.00
2007/06/20	4.50	4.51	4.27	4.30	1309392	20149648.00
2007/06/21	4.28	4.40	4.16	4.25	1050451	15561204.00
2007/06/22	4.28	4.28	3.87	3.97	1015493	14535668.00
2007/06/25	3.91	4.04	3.72	3.74	969100	13322086.00
2007/06/26	3.62	4.05	3.62	4.05	1056856	14611545.00
2007/06/27	4.04	4.15	4.01	4.12	771340	11064285.00
