002085 万丰奥威 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/11/28	0.89	0.89	0.79	0.85	44477442	360232800.00
2006/11/29	0.78	0.81	0.74	0.80	14618041	114154768.00
2006/11/30	0.79	0.83	0.77	0.80	11099748	87312312.00
2006/12/01	0.80	0.81	0.76	0.78	9798350	76299688.00
2006/12/04	0.78	0.82	0.77	0.80	8245314	65098988.00
2006/12/05	0.79	0.88	0.78	0.83	11619871	94525080.00
2006/12/06	0.83	0.86	0.80	0.84	10426143	84482632.00
2006/12/07	0.83	0.92	0.82	0.86	11803079	98087608.00
2006/12/08	0.85	0.87	0.78	0.78	7203315	57579148.00
2006/12/11	0.78	0.80	0.78	0.80	3834209	30048876.00
2006/12/12	0.80	0.80	0.75	0.76	4810227	37184916.00
2006/12/13	0.77	0.79	0.76	0.77	2521455	19480222.00
2006/12/14	0.78	0.80	0.77	0.78	2904940	22698670.00
2006/12/15	0.78	0.79	0.76	0.78	3652925	28296572.00
2006/12/18	0.78	0.78	0.77	0.77	2841301	21978248.00
2006/12/19	0.78	0.80	0.76	0.80	4695751	36618272.00
2006/12/20	0.80	0.80	0.78	0.80	2896687	22740158.00
2006/12/21	0.80	0.82	0.78	0.79	3590596	28351932.00
2006/12/22	0.78	0.78	0.76	0.77	5270807	40573052.00
2006/12/25	0.77	0.78	0.76	0.77	3077229	23716650.00
2006/12/26	0.77	0.77	0.73	0.74	3266922	24855394.00
2006/12/27	0.74	0.75	0.72	0.73	3371134	25214218.00
2006/12/28	0.73	0.74	0.67	0.68	3710658	27066050.00
2006/12/29	0.69	0.72	0.69	0.70	2609582	19061658.00
2007/01/04	0.70	0.71	0.68	0.69	2424622	17590978.00
2007/01/05	0.69	0.71	0.68	0.71	2079008	15267307.00
2007/01/08	0.72	0.74	0.72	0.74	2542656	19141606.00
2007/01/09	0.75	0.75	0.73	0.74	2966832	22427488.00
2007/01/10	0.74	0.75	0.73	0.75	3602545	27256722.00
2007/01/11	0.76	0.78	0.75	0.76	4472995	34408732.00
2007/01/12	0.75	0.77	0.71	0.71	2906237	21930370.00
2007/01/15	0.71	0.75	0.71	0.74	2240774	16771660.00
2007/01/16	0.75	0.78	0.74	0.76	4226114	32499632.00
2007/01/17	0.77	0.81	0.76	0.81	9567662	74913272.00
2007/01/18	0.82	0.83	0.78	0.82	5898295	46863748.00
2007/01/19	0.84	0.87	0.83	0.86	8839106	72525784.00
2007/01/22	0.90	1.00	0.88	1.00	10958930	94523184.00
2007/01/23	1.02	1.11	0.98	1.05	9082665	84500664.00
