002092 中泰化学 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/12/08	2.80	4.45	2.80	3.79	61758253	696463424.00
2006/12/11	3.34	3.34	3.34	3.34	2249600	27377632.00
2006/12/12	3.15	3.27	2.97	3.14	30310081	349485568.00
2006/12/13	3.08	3.11	2.89	2.98	17791826	198150144.00
2006/12/14	2.99	3.19	2.99	3.04	16567763	189299168.00
2006/12/15	3.02	3.11	2.99	3.08	11293388	127490312.00
2006/12/18	3.06	3.11	2.99	3.05	10850964	122341824.00
2006/12/19	3.04	3.43	3.00	3.33	22091677	263847856.00
2006/12/20	3.20	3.31	3.19	3.24	9306330	110173040.00
2006/12/21	3.24	3.44	3.20	3.22	10571955	127764240.00
2006/12/22	3.17	3.25	3.06	3.09	8776045	100864584.00
2006/12/25	3.09	3.19	3.04	3.18	8013349	91944928.00
2006/12/26	3.18	3.18	3.02	3.03	4608360	52387232.00
2006/12/27	3.02	3.07	2.97	3.00	4915309	54954804.00
2006/12/28	3.00	3.03	2.80	2.85	6199443	67093944.00
2006/12/29	2.87	3.00	2.85	2.90	4441003	48452360.00
2007/01/04	2.85	3.05	2.82	2.89	5611985	61315052.00
2007/01/05	2.88	3.02	2.86	3.02	4020302	44223876.00
2007/01/08	3.04	3.13	3.00	3.10	5423011	61353356.00
2007/01/09	3.10	3.22	3.07	3.16	6700028	77411208.00
2007/01/10	3.16	3.20	3.07	3.16	6026675	69528640.00
2007/01/11	3.14	3.35	3.12	3.25	10493336	125037224.00
2007/01/12	3.29	3.38	3.04	3.05	11601526	136750176.00
2007/01/15	3.02	3.19	3.01	3.17	5222256	60168392.00
2007/01/16	3.18	3.29	3.12	3.23	6303508	74145504.00
2007/01/17	3.23	3.34	3.10	3.16	8513299	101071184.00
2007/01/18	3.14	3.49	3.12	3.42	11965672	144715248.00
2007/01/19	3.43	3.58	3.43	3.47	11045977	139593216.00
2007/01/22	3.51	3.79	3.49	3.74	11901974	154844336.00
2007/01/23	3.78	3.80	3.54	3.67	8763326	114455000.00
2007/01/24	3.66	3.78	3.60	3.71	6965044	91771496.00
2007/01/25	3.72	3.74	3.48	3.48	6650135	85638176.00
2007/01/26	3.44	3.52	3.29	3.44	5255493	64775256.00
2007/01/29	3.45	3.57	3.45	3.54	5872431	74692464.00
2007/01/30	3.58	3.71	3.54	3.57	5973592	77472088.00
2007/01/31	3.55	3.57	3.31	3.35	5203963	64710516.00
2007/02/01	3.32	3.46	3.26	3.41	4582173	56155024.00
2007/02/02	3.41	3.54	3.35	3.38	3869464	48371768.00
2007/02/05	3.32	3.48	3.32	3.42	2532469	31490154.00
2007/02/06	3.45	3.59	3.45	3.59	5056446	64701804.00
2007/02/07	3.61	3.65	3.52	3.59	4014099	51802752.00
