002142 宁波银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/07/19	11.10	13.07	10.53	12.22	197364082	4119470080.00
2007/07/20	11.76	13.64	11.69	13.64	94848251	2154974976.00
2007/07/23	13.93	14.99	13.77	14.26	99483316	2546044160.00
2007/07/24	14.26	15.31	13.94	14.69	53914975	1397098880.00
2007/07/25	14.62	16.36	14.45	16.36	54381047	1465465728.00
2007/07/26	16.29	17.52	15.86	16.44	66923819	1949880960.00
2007/07/27	16.03	16.63	15.88	16.47	34176568	969020480.00
2007/07/30	16.31	16.82	15.99	16.28	29776338	851815808.00
2007/07/31	16.00	16.55	15.49	16.06	32196922	899301568.00
2007/08/01	16.05	16.82	15.35	16.12	32989740	939223232.00
2007/08/02	16.19	17.93	16.19	17.65	55242555	1634024320.00
2007/08/03	17.72	18.65	17.22	18.20	43584823	1344531072.00
2007/08/06	17.91	18.03	17.27	17.63	33719079	1027897664.00
2007/08/07	17.53	17.53	16.92	17.12	26969323	804214208.00
2007/08/08	16.76	17.59	16.56	16.94	24031820	715001408.00
2007/08/09	17.04	17.35	16.56	16.76	19584505	573925312.00
2007/08/10	16.76	16.91	15.35	15.99	26727965	751465280.00
2007/08/13	15.60	16.56	15.03	15.73	25120900	694515648.00
2007/08/14	15.56	16.17	15.51	16.02	14533013	404321888.00
2007/08/15	16.04	16.49	15.85	16.20	14339228	406956480.00
2007/08/16	15.99	16.00	15.27	15.39	20067036	546321984.00
2007/08/17	15.22	15.65	14.83	14.90	15279318	408251776.00
2007/08/20	15.42	15.99	15.22	15.73	13978262	384159520.00
2007/08/21	15.95	15.99	15.29	15.44	16169742	440535744.00
2007/08/22	15.22	16.31	15.09	16.10	27590614	757379648.00
2007/08/23	16.10	16.10	15.60	15.73	13385890	371133632.00
2007/08/24	15.73	16.29	15.67	15.91	20185434	566965696.00
2007/08/27	15.92	16.93	15.92	16.35	25650814	738330432.00
2007/08/28	16.31	16.31	15.54	15.74	15334033	423907360.00
2007/08/29	15.54	15.55	15.08	15.17	14384808	386185152.00
2007/08/30	15.25	15.60	15.06	15.37	10167951	273101984.00
2007/08/31	15.37	15.41	15.06	15.28	8412957	225178544.00
2007/09/03	15.27	15.47	15.22	15.26	11353859	305769664.00
2007/09/04	15.25	15.25	14.83	14.93	14384864	379367648.00
2007/09/05	15.03	15.44	14.92	15.33	9523634	255276720.00
2007/09/06	15.46	15.65	15.16	15.35	13141339	356256352.00
2007/09/07	15.21	15.83	14.87	15.11	16408332	442928928.00
2007/09/10	14.71	15.22	14.50	14.89	13338787	346415392.00
2007/09/11	14.96	14.97	13.65	13.69	14324493	363900096.00
2007/09/12	13.64	14.06	13.27	13.58	9675864	233795488.00
2007/09/13	13.78	14.05	13.58	13.78	9352619	229491584.00
2007/09/14	13.83	13.94	13.23	13.62	11170343	269826688.00
2007/09/17	13.75	14.00	13.69	13.94	9330313	230667088.00
2007/09/18	13.99	14.16	13.42	14.16	10429279	254953312.00
2007/09/19	14.22	14.33	13.43	13.46	9539498	233554192.00
2007/09/20	13.58	13.90	13.42	13.59	7287210	176501952.00
2007/09/21	13.42	13.46	12.51	12.84	13657851	315340480.00
2007/09/24	12.83	12.83	12.00	12.27	11393738	253640800.00
2007/09/25	12.32	12.67	12.16	12.47	8936434	200316336.00
2007/09/26	12.53	12.72	12.28	12.47	5100759	115329016.00
2007/09/27	12.46	12.78	12.33	12.67	6618702	149650624.00
2007/09/28	12.79	12.79	12.58	12.72	7576198	173245040.00
2007/10/08	12.82	13.42	12.66	13.06	13676587	321810528.00
2007/10/09	13.07	13.16	12.80	12.87	8172225	189674624.00
2007/10/10	12.91	13.42	12.85	12.91	9769546	230398240.00
2007/10/11	13.00	13.03	12.32	12.63	11754392	265862992.00
2007/10/12	12.63	12.85	11.50	12.23	12553661	277204448.00
2007/10/15	12.37	12.62	11.89	12.19	8066931	178864368.00
2007/10/16	12.15	13.60	12.08	13.60	26170122	612371072.00
2007/10/17	13.60	13.67	12.81	12.93	20213023	477883104.00
2007/10/18	12.93	12.97	12.30	12.41	8078256	183120240.00
