002143 印纪传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/07/20	8.12	9.60	7.87	9.42	15752319	439331008.00
2007/07/23	10.12	10.38	10.12	10.38	1506601	49435968.00
2007/07/24	10.81	11.26	10.49	10.70	8364289	288598336.00
2007/07/25	11.04	11.49	10.74	11.46	4887508	173610272.00
2007/07/26	11.06	11.41	10.82	11.01	3644705	128398376.00
2007/07/27	10.85	11.35	10.75	11.13	2323402	82177480.00
2007/07/30	11.13	11.53	11.13	11.36	2432965	87683856.00
2007/07/31	11.26	11.41	10.72	11.26	2074512	73271992.00
2007/08/01	11.27	12.17	11.27	11.54	2581710	96595848.00
2007/08/02	11.62	12.25	11.52	11.68	2946927	110775832.00
2007/08/03	11.87	12.23	11.33	11.87	3061190	113620656.00
2007/08/06	11.84	11.89	11.35	11.49	1697923	62131868.00
2007/08/07	11.49	11.60	11.10	11.10	1933484	69437168.00
2007/08/08	10.98	10.98	10.21	10.55	1814485	61300864.00
2007/08/09	10.55	10.97	10.44	10.91	910827	30961416.00
2007/08/10	10.91	11.04	10.21	10.44	1005425	33508712.00
2007/08/13	10.30	10.43	9.76	10.01	1032907	32829624.00
2007/08/14	10.00	10.43	9.94	10.29	509037	16668698.00
2007/08/15	10.29	10.36	9.94	10.10	501948	16187786.00
2007/08/16	10.04	10.39	9.63	10.37	935249	29576224.00
2007/08/17	10.42	10.53	9.92	9.96	948550	30668744.00
2007/08/20	10.17	10.21	9.98	10.14	858447	27611380.00
2007/08/21	10.15	10.47	10.05	10.14	722497	23521542.00
2007/08/22	10.00	10.20	9.98	10.02	911230	29167242.00
2007/08/23	10.05	10.05	9.66	9.69	1459239	45406344.00
2007/08/24	9.79	9.94	9.69	9.72	1077488	33655832.00
2007/08/27	9.72	10.03	9.40	9.82	1273672	39248148.00
2007/08/28	9.79	9.79	9.40	9.60	1180788	36206732.00
2007/08/29	9.72	10.46	9.69	10.10	1755944	56619964.00
2007/08/30	10.21	10.31	9.91	10.14	831257	26605244.00
2007/08/31	10.14	10.14	9.75	9.88	811258	25513228.00
2007/09/03	9.88	9.88	9.71	9.75	1049187	32628742.00
2007/09/04	9.75	9.85	9.50	9.72	808091	24822550.00
2007/09/05	9.59	9.75	9.52	9.68	514078	15718769.00
2007/09/06	9.75	9.75	9.53	9.57	460253	14076749.00
2007/09/07	9.57	9.57	9.08	9.11	1189122	35182344.00
2007/09/10	9.05	9.05	8.64	8.84	650608	18351428.00
2007/09/11	8.89	9.10	8.70	8.70	677513	19253856.00
2007/09/12	8.75	9.17	8.63	9.11	751244	21436262.00
2007/09/13	9.15	9.15	8.76	8.88	540410	15323425.00
2007/09/14	8.77	9.19	8.77	9.11	538831	15565643.00
2007/09/17	9.10	9.10	8.86	8.98	575283	16451341.00
2007/09/18	8.90	8.98	8.66	8.73	579902	16245593.00
2007/09/19	9.02	9.24	8.68	9.18	1178026	33775520.00
2007/09/20	9.18	10.12	9.18	10.12	3270461	103263504.00
2007/09/21	10.01	10.01	9.30	9.40	1537523	46981760.00
2007/09/24	9.40	9.40	8.92	8.94	793029	22785020.00
2007/09/25	8.92	9.08	8.72	8.88	524127	14908527.00
2007/09/26	8.83	9.05	8.70	8.73	357990	10105370.00
2007/09/27	8.70	8.89	8.63	8.88	397909	11096201.00
2007/09/28	8.77	9.02	8.77	8.94	387159	10999511.00
2007/10/08	9.01	9.07	8.70	8.76	406905	11442729.00
2007/10/09	8.71	9.08	8.71	9.06	441254	12656796.00
2007/10/10	9.06	9.06	8.77	8.84	456016	12891368.00
2007/10/11	8.84	9.03	8.77	8.86	372585	10552433.00
2007/10/12	8.81	9.37	8.44	9.31	1019443	29275364.00
2007/10/15	9.30	9.46	8.99	9.21	769928	22638304.00
2007/10/16	9.27	9.40	9.02	9.05	465803	13533771.00
2007/10/17	8.99	9.08	8.77	8.90	428062	12099098.00
2007/10/18	8.76	8.90	8.60	8.62	460071	12785147.00
2007/10/19	8.63	8.98	8.60	8.71	388829	10925235.00
2007/10/22	8.71	8.71	7.82	7.82	2128858	54400556.00
2007/10/23	7.82	7.86	7.32	7.59	1219922	29385526.00
2007/10/24	7.54	7.85	7.36	7.46	893214	21625792.00
2007/10/25	7.43	7.67	7.00	7.02	883602	20707574.00
2007/10/26	7.00	7.22	6.85	7.03	615502	13879550.00
2007/10/29	7.05	7.19	6.88	7.00	587490	13299502.00
2007/10/30	7.16	7.47	6.84	7.42	1061106	24425700.00
2007/10/31	7.41	7.62	7.38	7.51	1337041	32107142.00
2007/11/01	7.55	7.55	7.17	7.19	734876	17265344.00
2007/11/02	7.10	7.15	6.89	7.05	909252	20471908.00
2007/11/05	7.09	7.37	7.07	7.26	1025080	23657556.00
2007/11/06	7.19	7.45	7.19	7.34	664145	15638334.00
2007/11/07	7.35	7.41	7.03	7.13	659650	15187060.00
2007/11/08	7.10	7.21	6.78	6.80	730388	16329962.00
2007/11/09	6.77	6.78	6.36	6.52	806254	17055130.00
2007/11/12	6.36	6.52	6.21	6.44	510659	10488614.00
2007/11/13	6.49	6.58	6.37	6.52	563437	11763171.00
2007/11/14	6.58	6.80	6.52	6.77	713791	15380425.00
2007/11/15	6.74	6.74	6.52	6.54	505184	10757518.00
2007/11/16	6.49	7.00	6.43	6.94	990897	21621238.00
2007/11/19	6.94	7.50	6.94	7.34	1657895	38808744.00
2007/11/21	7.32	7.58	7.16	7.44	1020192	24290006.00
2007/11/22	7.19	7.36	6.88	6.94	913284	20988066.00
