002179 中航光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/11/01	8.63	8.81	7.41	7.51	16810908	811056960.00
2007/11/02	6.71	7.23	6.71	6.71	5961362	247303088.00
2007/11/05	6.36	6.49	6.02	6.11	4828219	183142336.00
2007/11/06	6.08	6.58	6.08	6.31	2977978	116541888.00
2007/11/07	6.28	6.28	5.74	5.87	3020052	110852984.00
2007/11/08	5.87	6.09	5.76	5.77	2162659	78555176.00
2007/11/09	5.84	5.99	5.76	5.90	1905869	69237552.00
2007/11/12	5.65	5.88	5.58	5.67	1585823	55839932.00
2007/11/13	5.69	5.82	5.32	5.39	2309487	79677888.00
2007/11/14	5.47	5.58	5.30	5.53	1539304	52228376.00
2007/11/15	5.48	5.78	5.36	5.59	1854415	63883412.00
2007/11/16	5.57	5.81	5.48	5.70	1780302	62841800.00
2007/11/19	5.70	6.07	5.59	5.97	2205931	80674904.00
2007/11/20	5.92	6.04	5.84	5.91	1426742	52191844.00
2007/11/21	5.91	6.06	5.80	6.03	1783918	65593316.00
2007/11/22	5.97	6.29	5.86	5.88	2033549	76513656.00
2007/11/23	5.83	5.91	5.48	5.71	1169322	41041992.00
2007/11/26	5.81	5.89	5.63	5.65	865971	30827958.00
2007/11/27	5.62	5.69	5.41	5.42	937932	32120536.00
2007/11/28	5.44	5.55	5.39	5.42	673818	22875056.00
2007/11/29	5.52	5.79	5.46	5.75	1202136	42066584.00
2007/11/30	5.69	6.04	5.69	5.90	1870743	68025832.00
2007/12/03	5.84	6.11	5.83	5.91	1195831	43835936.00
2007/12/04	5.99	6.06	5.83	5.97	990694	36442200.00
2007/12/05	5.95	6.20	5.89	6.14	2037904	76721576.00
2007/12/06	6.14	6.26	6.04	6.19	1231954	46528172.00
2007/12/07	6.16	6.21	6.05	6.06	1053022	39594748.00
2007/12/10	5.95	6.22	5.92	6.19	1392582	52553744.00
2007/12/11	6.20	6.62	6.14	6.44	2367421	93376392.00
2007/12/12	6.42	6.60	6.36	6.53	1384329	55133448.00
2007/12/13	6.51	6.81	6.29	6.30	2055798	83080048.00
2007/12/14	6.21	6.60	6.20	6.54	1318939	51671052.00
2007/12/17	6.54	6.83	6.50	6.65	1480949	60638720.00
2007/12/18	6.53	6.70	6.32	6.35	879768	34752696.00
2007/12/19	6.47	6.68	6.39	6.50	932762	37378908.00
2007/12/20	6.53	6.69	6.48	6.63	695741	28067586.00
2007/12/21	6.57	6.83	6.56	6.77	1068527	44014800.00
2007/12/24	6.80	7.05	6.71	6.71	1720358	72494424.00
2007/12/26	6.88	7.37	6.86	7.33	1947341	85343712.00
2007/12/27	7.39	7.46	7.20	7.35	1433140	63935328.00
2007/12/28	7.35	7.65	7.30	7.56	1577645	72230768.00
2008/01/02	7.78	7.85	7.61	7.75	1459752	68239120.00
2008/01/03	7.74	7.82	7.51	7.60	1339154	62336828.00
2008/01/04	7.57	7.62	7.28	7.44	1681540	75491320.00
2008/01/07	7.30	7.50	7.27	7.45	1163161	52132136.00
2008/01/08	7.46	7.75	7.09	7.16	1581583	71533568.00
2008/01/09	7.13	7.76	7.00	7.65	1767379	79719080.00
2008/01/10	7.71	7.72	7.41	7.44	1384283	63405852.00
2008/01/11	7.44	7.44	7.22	7.29	1106207	49034716.00
2008/01/14	7.29	7.41	7.18	7.34	930796	41312304.00
2008/01/15	7.34	7.74	7.34	7.65	1532249	70506288.00
2008/01/16	7.62	7.85	7.48	7.75	1762737	82581928.00
2008/01/17	7.67	8.02	7.41	7.78	2190580	103058880.00
2008/01/18	7.78	8.13	7.77	8.07	1848509	89497776.00
2008/01/21	8.11	8.35	7.68	7.74	1897772	92451904.00
2008/01/22	7.18	7.91	6.92	7.11	2471792	111146544.00
2008/01/23	7.14	7.61	7.11	7.58	1576239	70878240.00
2008/01/24	7.59	7.92	7.44	7.80	1448771	68118464.00
2008/01/25	7.88	8.02	7.51	7.58	1433683	67168264.00
2008/01/28	7.46	7.62	6.78	6.78	1643507	70544984.00
2008/01/29	6.79	6.97	6.55	6.74	899120	37111852.00
2008/01/30	6.79	7.00	6.61	6.80	774287	32262148.00
2008/01/31	6.81	6.85	6.36	6.39	1038344	41620124.00
2008/02/01	6.16	6.36	5.70	5.70	3649675	132235880.00
2008/02/04	5.88	6.32	5.86	6.28	2170074	81348360.00
2008/02/05	6.14	6.52	6.09	6.42	1290617	50392784.00
2008/02/13	6.30	6.46	6.21	6.35	974101	37848764.00
2008/02/14	6.37	6.50	6.34	6.37	792100	31064382.00
2008/02/15	6.35	6.35	6.15	6.29	787577	30155910.00
2008/02/19	6.50	6.81	6.49	6.70	1870251	76330048.00
2008/02/20	6.70	6.91	6.62	6.62	1255222	51706084.00
2008/02/21	6.54	6.81	6.43	6.72	1162088	46832252.00
2008/02/22	6.71	6.71	6.34	6.43	1101715	43805172.00
2008/02/25	6.50	6.53	6.27	6.27	753196	29515258.00
2008/02/26	6.46	6.55	6.02	6.31	767048	29474136.00
2008/02/27	6.36	6.48	6.25	6.43	563496	22140870.00
2008/02/28	6.44	6.58	6.29	6.49	642603	25349868.00
2008/02/29	6.47	6.59	6.36	6.59	664030	26605624.00
2008/03/03	6.59	6.85	6.52	6.72	996516	40918544.00
2008/03/04	6.77	6.78	6.48	6.48	1025206	41493984.00
2008/03/05	6.43	6.50	6.19	6.37	919261	35705972.00
2008/03/06	6.32	6.45	6.25	6.37	843506	32884724.00
2008/03/07	6.32	6.41	6.16	6.16	647899	24818208.00
2008/03/10	6.04	6.28	6.04	6.07	631030	23789828.00
2008/03/11	5.97	6.20	5.97	6.16	456596	17138614.00
2008/03/12	6.34	6.35	6.00	6.01	538347	20329566.00
2008/03/13	5.99	6.00	5.71	5.83	785914	28373404.00
2008/03/14	5.76	5.92	5.74	5.88	400092	14399593.00
2008/03/17	5.83	5.91	5.39	5.41	604099	21181468.00
2008/03/18	5.38	5.62	5.04	5.17	923371	30750054.00
2008/03/19	5.39	5.56	5.20	5.44	771046	25884758.00
2008/03/20	5.37	5.71	5.08	5.65	822811	27753214.00
2008/03/21	5.65	5.79	5.58	5.62	677182	23749304.00
2008/03/24	5.69	5.86	5.59	5.67	648953	22989902.00
2008/03/25	5.65	6.00	5.60	5.86	712675	25819360.00
2008/03/26	5.97	6.09	5.87	6.00	692080	25549268.00
2008/03/27	5.93	5.99	5.60	5.66	710480	25306640.00
2008/03/31	5.81	5.86	5.62	5.62	844553	30038442.00
2008/04/01	5.62	5.69	5.01	5.01	849390	27475194.00
2008/04/02	5.11	5.22	4.61	4.72	859152	26218734.00
2008/04/03	4.78	4.92	4.57	4.87	499586	14987911.00
2008/04/07	4.85	5.22	4.72	5.17	655886	20710342.00
2008/04/08	5.17	5.25	5.09	5.16	614333	19838388.00
2008/04/09	5.13	5.20	4.76	4.76	714817	22509192.00
2008/04/10	4.71	4.87	4.62	4.83	568518	16949408.00
2008/04/11	4.87	5.06	4.87	4.98	502381	15611412.00
2008/04/14	4.87	4.94	4.57	4.60	648148	19133886.00
2008/04/15	4.55	4.74	4.46	4.74	506983	14660202.00
2008/04/16	4.72	4.79	4.60	4.64	288865	8540027.00
2008/04/17	4.64	4.76	4.22	4.33	812257	22703546.00
2008/04/18	4.29	4.29	4.01	4.01	846627	22127202.00
2008/04/22	3.92	3.93	3.69	3.89	883683	21523106.00
2008/04/23	3.89	4.14	3.76	4.08	730311	18629508.00
2008/04/24	4.41	4.53	4.25	4.45	2953976	82044080.00
2008/04/25	4.43	4.57	4.28	4.38	1885849	52640820.00
2008/04/28	4.25	4.35	4.22	4.29	830740	22548150.00
