002217 合力泰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/02/20	5.02	5.24	5.00	5.08	18344384	519754496.00
2008/02/21	4.87	5.06	4.72	4.98	7771545	211400576.00
2008/02/22	4.87	5.12	4.85	4.98	5043810	140717280.00
2008/02/25	5.08	5.49	4.99	5.35	9965030	292267968.00
2008/02/26	5.37	5.42	4.80	4.87	6827849	193594672.00
2008/02/27	4.83	4.96	4.62	4.91	3905413	103990784.00
2008/02/28	4.83	4.83	4.63	4.66	2735615	72095328.00
2008/02/29	4.62	4.75	4.56	4.69	2391341	62186192.00
2008/03/03	4.61	4.78	4.57	4.72	2445891	64146808.00
2008/03/04	4.72	4.93	4.67	4.81	3375203	90786768.00
2008/03/05	4.74	4.78	4.46	4.50	2915608	74663784.00
2008/03/06	4.52	4.55	4.30	4.38	2588254	63865544.00
2008/03/07	4.31	4.43	4.30	4.34	1244739	30402878.00
2008/03/10	4.30	4.35	3.92	3.95	2263874	52146352.00
2008/03/11	3.85	4.03	3.81	4.00	1196028	26335306.00
2008/03/12	4.05	4.07	3.72	3.76	1292820	28310022.00
2008/03/13	3.72	3.95	3.72	3.92	1931349	42072584.00
2008/03/14	3.87	3.90	3.75	3.83	901981	19460056.00
2008/03/17	3.83	3.83	3.43	3.43	1389386	27913406.00
2008/03/18	3.42	3.53	3.07	3.10	2000181	36237732.00
2008/03/19	3.22	3.32	3.14	3.25	2004498	36914416.00
2008/03/20	3.17	3.42	2.92	3.36	2354376	42520624.00
2008/03/21	3.31	3.42	3.26	3.33	1512390	28645690.00
2008/03/24	3.37	3.39	3.15	3.15	1119230	20742034.00
2008/03/25	3.10	3.46	3.05	3.46	2340911	43998588.00
2008/03/26	3.48	3.62	3.39	3.45	2573226	50857276.00
2008/03/27	3.37	3.37	3.15	3.15	1517282	28022710.00
2008/03/28	3.07	3.29	2.98	3.27	1412338	25458164.00
2008/03/31	3.17	3.24	3.03	3.03	935099	16690571.00
2008/04/01	3.01	3.09	2.71	2.72	1719443	27688350.00
2008/04/02	2.76	2.83	2.46	2.54	1365501	20603294.00
2008/04/03	2.61	2.77	2.55	2.73	1165392	18033020.00
2008/04/07	2.70	2.97	2.64	2.95	1810140	29502570.00
2008/04/08	2.89	3.04	2.89	2.98	1689097	28750006.00
2008/04/09	2.94	3.02	2.72	2.74	1371589	22524686.00
2008/04/10	2.69	2.87	2.68	2.85	1068327	17020408.00
2008/04/11	2.86	3.06	2.85	2.95	1415442	24078696.00
2008/04/14	2.89	2.90	2.68	2.73	1200968	19181158.00
2008/04/15	2.70	2.92	2.70	2.91	940872	15207632.00
2008/04/16	2.89	2.98	2.84	2.88	958731	15959317.00
2008/04/17	2.94	3.04	2.89	2.96	1501086	25361980.00
2008/04/18	2.91	2.94	2.72	2.77	854790	13858231.00
2008/04/21	2.99	3.06	2.81	2.88	1525539	25610466.00
2008/04/22	2.84	2.90	2.63	2.88	1053383	16927532.00
2008/04/23	2.80	3.02	2.73	2.99	2112479	35145960.00
2008/04/24	3.27	3.31	3.15	3.31	4226190	77939056.00
2008/04/28	3.20	3.34	3.14	3.25	1879237	34585504.00
2008/04/29	3.24	3.40	3.24	3.37	2112629	39990500.00
2008/04/30	3.39	3.47	3.32	3.45	2194565	42312220.00
2008/05/05	3.53	3.59	3.42	3.53	1632340	32365100.00
2008/05/06	3.47	3.50	3.39	3.42	1702025	33189442.00
2008/05/07	3.43	3.49	3.27	3.28	1676504	31968246.00
2008/05/08	3.25	3.62	3.20	3.62	2483399	48857888.00
2008/05/09	3.85	4.00	3.82	4.00	8182193	183083760.00
2008/05/12	4.26	4.42	4.13	4.42	5022198	101257048.00
2008/05/13	4.66	4.88	4.57	4.88	6023949	136262256.00
2008/05/14	5.07	5.28	4.83	5.17	9943591	234608784.00
2008/05/15	5.10	5.70	4.97	5.70	10518532	265551072.00
2008/05/16	5.70	5.79	5.12	5.12	7813559	196313984.00
2008/05/19	4.99	5.30	4.85	5.03	6579611	155322336.00
2008/05/20	4.93	5.50	4.90	5.18	12582551	302750688.00
2008/05/21	5.08	5.23	4.65	5.05	8029955	184166304.00
2008/05/22	4.97	5.57	4.95	5.39	11218361	277184608.00
2008/05/23	5.28	5.47	4.84	5.15	9871205	232734352.00
