002221 东华能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/03/06	3.41	4.86	3.37	4.28	36042684	585154944.00
2008/03/07	3.84	4.07	3.84	3.89	18382320	297757728.00
2008/03/10	3.78	3.83	3.49	3.49	11028814	163573728.00
2008/03/11	3.39	3.71	3.39	3.66	6915834	101992824.00
2008/03/12	3.71	3.74	3.48	3.49	5060806	75775496.00
2008/03/13	3.43	3.85	3.39	3.85	15365729	242033152.00
2008/03/14	3.79	4.05	3.77	3.85	12805864	207519632.00
2008/03/17	3.84	3.84	3.45	3.55	7396932	110305944.00
2008/03/18	3.61	3.92	3.55	3.92	16318734	263703344.00
2008/03/19	4.06	4.33	3.95	4.21	19739675	339953792.00
2008/03/20	4.06	4.61	3.78	4.44	12036593	213512256.00
2008/03/21	4.33	4.64	4.28	4.28	9843663	178703328.00
2008/03/24	4.25	4.72	4.21	4.72	13233103	248584320.00
2008/03/25	4.58	4.81	4.39	4.63	9761040	183915440.00
2008/03/26	4.56	4.71	4.33	4.36	7820748	143561968.00
2008/03/27	4.25	4.31	3.91	3.91	8219246	137160688.00
2008/03/28	3.73	4.09	3.53	4.00	8243185	131515776.00
2008/03/31	3.78	3.86	3.61	3.69	5662470	87447320.00
2008/04/01	3.62	3.73	3.31	3.33	6445813	91483712.00
2008/04/02	3.36	3.44	2.98	2.98	6166654	80589504.00
2008/04/03	2.86	3.15	2.74	3.08	4979386	61635100.00
2008/04/07	2.95	3.36	2.88	3.30	5317028	70744368.00
2008/04/08	3.26	3.39	3.18	3.28	4994014	68183136.00
2008/04/09	3.19	3.26	2.94	2.94	5410637	69761264.00
2008/04/10	2.84	3.05	2.74	3.03	3977744	48383352.00
2008/04/11	3.04	3.35	2.99	3.19	5330637	71384256.00
2008/04/14	3.13	3.13	2.89	2.93	3125119	39270880.00
2008/04/15	2.89	3.19	2.89	3.18	3774801	48548756.00
2008/04/16	3.16	3.31	3.09	3.12	4865036	64888652.00
2008/04/17	3.06	3.23	2.99	3.11	2881723	37503024.00
2008/04/18	2.99	3.00	2.79	2.79	4435385	52999268.00
2008/04/21	3.01	3.01	2.54	2.61	4135283	48444240.00
2008/04/22	2.58	2.58	2.33	2.56	4051458	40941816.00
2008/04/23	2.44	2.69	2.34	2.62	4603257	48918140.00
2008/04/24	2.83	2.89	2.71	2.89	7459931	88790664.00
2008/04/25	2.89	3.05	2.74	2.87	6742888	82115384.00
2008/04/28	2.83	2.84	2.70	2.75	3514022	40785216.00
2008/04/30	2.77	2.89	2.77	2.85	3627257	43179900.00
2008/05/05	2.85	2.99	2.76	2.94	4890188	59095560.00
2008/05/06	2.91	3.11	2.84	3.00	6035175	75464800.00
2008/05/07	2.99	3.10	2.86	2.86	4033230	50461940.00
2008/05/08	2.79	2.93	2.72	2.92	3339847	39448212.00
2008/05/09	2.94	3.06	2.83	2.88	3034380	37318512.00
2008/05/12	2.84	2.92	2.74	2.84	2752937	32494182.00
2008/05/13	2.74	2.77	2.64	2.74	3364200	38335600.00
2008/05/14	2.72	2.83	2.67	2.80	2644978	30944718.00
2008/05/15	2.81	2.95	2.81	2.84	3680439	44450704.00
2008/05/16	2.83	3.03	2.81	3.02	4269202	52166708.00
2008/05/19	2.98	3.33	2.96	3.24	10631844	140780560.00
2008/05/20	3.24	3.29	2.90	2.96	6491214	83975200.00
2008/05/21	2.87	3.19	2.67	3.11	5687204	69031760.00
2008/05/22	3.05	3.36	2.94	3.26	9551963	128517016.00
2008/05/23	3.21	3.31	3.13	3.13	4841064	64859720.00
2008/05/26	3.06	3.09	2.81	2.82	3756777	46138580.00
2008/05/27	2.79	2.89	2.75	2.86	2021007	23893776.00
2008/05/28	2.87	2.98	2.81	2.93	1982717	23996260.00
2008/05/29	2.91	3.01	2.84	2.88	2789128	34074816.00
2008/05/30	2.83	2.94	2.82	2.84	1985285	23807700.00
2008/06/02	2.83	2.86	2.76	2.84	1891448	22245322.00
2008/06/03	2.85	2.85	2.68	2.69	2986815	34128496.00
2008/06/04	2.68	2.68	2.51	2.53	2337220	25127126.00
2008/06/05	2.50	2.61	2.49	2.58	1368042	14783323.00
2008/06/06	2.48	2.64	2.39	2.47	6113854	64190512.00
2008/06/10	2.34	2.43	2.21	2.21	3437491	33353468.00
2008/06/12	2.14	2.18	2.04	2.11	3472871	31076234.00
2008/06/13	2.13	2.16	1.94	1.95	2245621	19621468.00
2008/06/16	1.90	2.08	1.86	2.06	3545283	29821384.00
2008/06/17	2.03	2.08	1.89	1.89	2827098	23921524.00
2008/06/18	1.84	2.04	1.74	2.01	4563529	37379100.00
2008/06/19	1.96	1.98	1.79	1.79	2941173	23510120.00
2008/06/20	1.87	1.98	1.78	1.87	4064802	32808832.00
2008/06/23	1.82	1.91	1.67	1.70	2625368	20129622.00
2008/06/24	1.70	1.74	1.61	1.71	2653962	19251692.00
2008/06/25	1.71	1.86	1.68	1.83	3206473	24764482.00
2008/06/26	1.83	1.94	1.80	1.91	4127391	33018858.00
2008/06/27	1.83	1.84	1.70	1.70	3159960	23838386.00
2008/06/30	1.69	1.75	1.64	1.71	1242186	9108055.00
2008/07/01	1.67	1.69	1.58	1.62	1726220	12163084.00
2008/07/02	1.61	1.76	1.61	1.72	1759110	12671812.00
2008/07/03	1.70	1.90	1.66	1.84	4128032	32030996.00
2008/07/04	1.85	1.88	1.77	1.79	2182871	17072160.00
2008/07/07	1.80	1.88	1.80	1.86	3676656	29031956.00
2008/07/08	1.86	1.93	1.84	1.90	3386237	27380494.00
2008/07/09	1.90	1.99	1.88	1.97	4543336	37351784.00
2008/07/10	1.91	1.99	1.88	1.88	3275721	26956212.00
2008/07/11	1.86	1.90	1.81	1.84	1880363	14849513.00
2008/07/14	1.84	1.89	1.82	1.88	1613398	12860027.00
2008/07/15	1.88	1.91	1.77	1.78	2027566	16002948.00
2008/07/16	1.75	1.85	1.66	1.70	2043833	15307129.00
