002223 鱼跃医疗 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/04/18	1.22	1.26	0.92	0.96	15486631	239005248.00
2008/04/21	1.04	1.13	0.95	0.96	9859891	148903776.00
2008/04/22	0.82	0.90	0.79	0.85	6812963	88922336.00
2008/04/23	0.81	0.98	0.75	0.95	5796768	78210152.00
2008/04/24	1.10	1.12	1.04	1.12	7800881	120741360.00
2008/04/25	1.09	1.31	1.06	1.31	9051433	149840672.00
2008/04/28	1.24	1.28	1.16	1.24	4811547	79538672.00
2008/04/29	1.19	1.39	1.15	1.33	6536143	110872152.00
2008/04/30	1.30	1.34	1.26	1.30	4504708	76973584.00
2008/05/05	1.32	1.32	1.17	1.25	4542985	75719040.00
2008/05/06	1.25	1.35	1.19	1.30	3990017	67619024.00
2008/05/07	1.26	1.28	1.09	1.09	3809588	61704660.00
2008/05/08	1.07	1.22	1.01	1.20	3101761	47800440.00
2008/05/09	1.14	1.18	1.04	1.11	2087531	32820474.00
2008/05/12	1.09	1.18	1.02	1.11	1653353	25744300.00
2008/05/13	1.24	1.30	1.16	1.30	5505640	92756440.00
2008/05/14	1.34	1.47	1.33	1.35	6734299	120960664.00
2008/05/15	1.33	1.33	1.25	1.26	2591098	44009444.00
2008/05/16	1.28	1.32	1.17	1.21	1716811	28666134.00
2008/05/19	1.18	1.31	1.18	1.25	1505918	25245198.00
2008/05/20	1.22	1.26	1.05	1.06	1980091	31398176.00
2008/05/21	1.02	1.15	1.02	1.13	1983284	30375928.00
2008/05/22	1.10	1.15	1.06	1.10	1253857	19635960.00
2008/05/23	1.10	1.19	1.08	1.15	1414492	22366266.00
2008/05/26	1.15	1.21	1.10	1.18	1790032	28506224.00
2008/05/27	1.18	1.26	1.13	1.24	2134858	35270632.00
2008/05/28	1.24	1.26	1.19	1.23	1052509	17312094.00
2008/05/29	1.21	1.25	1.16	1.16	851461	14003612.00
2008/05/30	1.14	1.22	1.14	1.15	827131	13366705.00
2008/06/03	1.16	1.34	1.16	1.27	2349441	39893460.00
2008/06/04	1.24	1.33	1.24	1.28	1683194	28734992.00
2008/06/05	1.25	1.44	1.25	1.39	2445769	43274956.00
2008/06/06	1.35	1.46	1.31	1.44	2061488	36876108.00
2008/06/10	1.37	1.40	1.22	1.28	2134028	36693892.00
2008/06/11	1.31	1.49	1.25	1.49	3103333	56302440.00
2008/06/12	1.53	1.71	1.42	1.43	4798642	92207360.00
2008/06/13	1.34	1.38	1.22	1.27	3093996	53031088.00
2008/06/16	1.27	1.30	1.14	1.18	1307791	21423580.00
2008/06/17	1.15	1.33	1.15	1.28	1614411	27391918.00
2008/06/18	1.28	1.48	1.20	1.47	2228472	39081188.00
2008/06/19	1.45	1.60	1.39	1.47	2783567	51795924.00
2008/06/20	1.47	1.67	1.37	1.57	2662864	50445868.00
2008/06/23	1.55	1.60	1.46	1.46	1340173	24988354.00
2008/06/24	1.43	1.68	1.41	1.68	3420045	67234168.00
2008/06/25	1.67	1.79	1.61	1.76	4409104	89735880.00
2008/06/26	1.71	1.80	1.65	1.70	3366572	68628176.00
2008/06/27	1.62	1.62	1.46	1.46	2777841	52043844.00
2008/06/30	1.39	1.68	1.38	1.67	2592773	49597136.00
2008/07/01	1.65	1.74	1.60	1.63	2102301	41840080.00
2008/07/02	1.58	1.69	1.56	1.61	1582819	30937100.00
2008/07/03	1.56	1.76	1.51	1.70	2583547	52079060.00
2008/07/04	1.71	1.80	1.67	1.71	2255311	46405300.00
2008/07/07	1.72	1.86	1.68	1.79	2279889	48039948.00
2008/07/08	1.78	1.84	1.71	1.79	1595097	32953766.00
2008/07/09	1.76	1.85	1.68	1.79	2313089	47766648.00
2008/07/10	1.76	2.03	1.71	1.88	3721730	81528504.00
2008/07/11	1.85	1.96	1.76	1.84	2344287	50614992.00
2008/07/14	1.81	1.93	1.78	1.92	1446349	31402972.00
2008/07/15	1.92	2.00	1.85	1.94	1983244	43918328.00
2008/07/16	1.90	1.94	1.71	1.80	2271245	48025408.00
2008/07/17	1.82	1.90	1.74	1.79	1811795	38522876.00
2008/07/18	1.80	1.80	1.62	1.71	4848330	97205168.00
2008/07/21	1.68	1.83	1.64	1.81	2762013	56747536.00
2008/07/22	1.79	1.89	1.76	1.77	1767891	37355376.00
2008/07/23	1.79	1.80	1.66	1.66	2048757	41573084.00
2008/07/24	1.67	1.79	1.65	1.76	2445202	50443244.00
2008/07/25	1.72	1.84	1.70	1.81	1919869	40339972.00
2008/07/28	1.78	1.90	1.77	1.79	1711394	36450084.00
