002230 科大讯飞 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/05/12	2.70	3.05	2.70	2.95	18212540	541669824.00
2008/05/13	2.96	3.30	2.96	3.30	4998231	159771424.00
2008/05/14	3.40	3.49	3.18	3.37	4922130	164265616.00
2008/05/15	3.31	3.60	3.31	3.38	4635873	160713648.00
2008/05/16	3.32	3.53	3.22	3.25	3477867	117697744.00
2008/05/19	3.32	3.64	3.27	3.64	2706178	94316536.00
2008/05/20	3.71	3.86	3.52	3.67	3350159	123501296.00
2008/05/21	3.69	3.72	3.47	3.71	2727333	98212400.00
2008/05/22	3.61	3.75	3.49	3.57	2299376	83469080.00
2008/05/23	3.50	3.80	3.50	3.77	2350531	86204256.00
2008/05/26	3.72	3.82	3.60	3.63	1072142	39240216.00
2008/05/27	3.59	3.68	3.41	3.43	1002699	35070272.00
2008/05/28	3.44	3.58	3.32	3.49	898586	31234460.00
2008/05/29	3.45	3.67	3.42	3.63	837634	30003548.00
2008/05/30	3.58	3.74	3.58	3.69	807523	29505652.00
2008/06/02	3.66	3.67	3.52	3.64	487290	17483472.00
2008/06/03	3.62	4.04	3.61	3.92	1597372	61035620.00
2008/06/04	3.89	3.93	3.73	3.87	881802	33519118.00
2008/06/05	3.81	3.94	3.73	3.90	567628	21575724.00
2008/06/06	3.98	4.04	3.87	3.93	634327	24751934.00
2008/06/10	3.80	3.90	3.49	3.71	1176500	42927016.00
2008/06/11	3.61	3.72	3.43	3.60	1232929	44124564.00
2008/06/12	3.54	3.60	3.38	3.56	700601	24486150.00
2008/06/13	3.54	3.54	3.18	3.26	1469408	49327860.00
2008/06/16	3.21	3.26	2.91	3.17	1820979	56927760.00
2008/06/17	3.10	3.17	2.94	2.95	345980	10744427.00
2008/06/18	2.91	3.14	2.75	3.13	631943	19211650.00
2008/06/19	3.03	3.08	2.76	2.86	531042	15755302.00
2008/06/20	2.82	3.07	2.64	2.95	487879	14484568.00
2008/06/23	2.85	2.93	2.79	2.89	348145	10318037.00
2008/06/24	2.88	3.08	2.83	3.07	558432	17197718.00
2008/06/25	3.03	3.16	2.97	3.12	471032	14873548.00
2008/06/26	3.12	3.13	2.95	3.05	641741	19945632.00
2008/06/27	2.91	3.01	2.84	2.84	381986	11565177.00
2008/06/30	2.86	2.93	2.74	2.92	217617	6450683.00
2008/07/01	2.92	2.92	2.79	2.91	144180	4255158.00
2008/07/02	2.91	3.02	2.87	2.98	197415	6020738.50
2008/07/03	2.87	3.14	2.83	3.10	511395	16040704.00
2008/07/04	3.05	3.06	2.93	2.98	215576	6619180.50
2008/07/07	3.08	3.14	3.00	3.05	425147	13358120.00
2008/07/08	3.06	3.14	3.05	3.14	780133	24559414.00
2008/07/09	3.20	3.20	3.02	3.11	697438	21955924.00
2008/07/10	3.05	3.41	3.04	3.35	1026309	33313270.00
2008/07/11	3.22	3.46	3.22	3.46	809875	27425338.00
2008/07/14	3.45	3.55	3.39	3.49	697997	24377452.00
2008/07/15	3.48	3.50	3.24	3.35	367863	12426969.00
2008/07/16	3.28	3.34	3.07	3.17	246096	7952947.00
2008/07/17	3.22	3.23	3.07	3.07	165303	5300708.00
2008/07/18	3.07	3.18	3.03	3.15	141839	4488331.00
2008/07/21	3.15	3.31	3.12	3.27	314346	10338411.00
2008/07/22	3.24	3.31	3.20	3.22	129874	4257683.00
2008/07/23	3.19	3.29	3.19	3.21	162320	5331236.00
2008/07/24	3.22	3.28	3.20	3.23	462466	15259795.00
2008/07/25	3.24	3.42	3.23	3.32	311721	10435192.00
2008/07/28	3.35	3.41	3.26	3.38	291691	9865125.00
2008/07/29	3.38	3.38	3.30	3.35	137303	4618373.50
2008/07/30	3.32	3.35	3.12	3.14	430802	14081071.00
2008/07/31	3.10	3.17	2.97	2.98	375813	11592899.00
2008/08/01	2.91	3.11	2.91	3.04	263629	8053343.00
2008/08/04	2.97	3.07	2.96	2.96	89760	2760873.00
2008/08/05	3.00	3.00	2.93	2.95	173037	5248123.50
2008/08/06	2.93	3.03	2.82	2.93	272672	8193410.50
2008/08/07	2.97	2.97	2.83	2.92	66600	1979940.00
2008/08/08	2.92	2.92	2.68	2.91	286285	8223369.00
2008/08/11	2.76	2.86	2.74	2.77	200318	5784081.50
2008/08/12	2.44	2.49	2.44	2.44	2383685	61869924.00
2008/08/13	2.29	2.39	2.17	2.34	1974039	47738472.00
2008/08/14	2.28	2.38	2.20	2.36	768288	18806980.00
2008/08/15	2.32	2.42	2.29	2.31	778041	19799124.00
2008/08/19	2.10	2.26	2.08	2.25	436710	10225151.00
2008/08/20	2.21	2.43	2.12	2.36	880249	22121816.00
2008/08/21	2.32	2.34	2.17	2.21	315757	7683250.00
2008/08/22	2.13	2.25	2.13	2.21	159313	3807709.50
2008/08/25	2.27	2.27	2.16	2.18	129151	3086039.25
2008/08/26	2.16	2.20	1.96	1.97	337085	7637510.50
2008/08/27	1.91	2.01	1.81	1.94	374393	7975224.00
2008/08/28	1.95	1.95	1.85	1.87	137366	2904918.50
2008/08/29	1.89	1.98	1.86	1.92	184474	3969521.00
2008/09/01	1.88	1.97	1.75	1.86	195562	4031283.75
2008/09/02	1.84	1.91	1.79	1.83	90322	1869313.50
2008/09/03	1.85	1.86	1.78	1.84	82514	1698036.63
2008/09/04	1.81	1.92	1.81	1.91	96470	2020514.63
2008/09/05	1.85	1.88	1.75	1.75	247217	5061665.50
2008/09/08	1.74	1.74	1.62	1.63	292670	5622032.00
2008/09/09	1.64	1.68	1.62	1.63	56132	1070463.38
2008/09/10	1.59	1.69	1.59	1.62	68753	1310892.00
2008/09/11	1.62	1.63	1.52	1.55	174857	3206480.00
2008/09/12	1.54	1.58	1.50	1.55	127257	2315929.75
2008/09/16	1.52	1.52	1.43	1.49	210794	3710855.75
2008/09/17	1.49	1.50	1.46	1.48	105021	1856578.25
2008/09/18	1.46	1.52	1.40	1.50	187570	3298941.75
2008/09/19	1.64	1.71	1.60	1.71	3851598	75439280.00
2008/09/22	1.70	1.89	1.57	1.63	2399767	47365344.00
2008/09/23	1.51	1.52	1.41	1.41	583300	10047567.00
2008/09/24	1.21	1.28	1.21	1.24	2176917	33718096.00
2008/09/25	1.24	1.33	1.24	1.32	978467	15658483.00
2008/09/26	1.32	1.32	1.21	1.29	873510	13802538.00
2008/10/06	1.25	1.25	1.16	1.20	483790	7348756.50
2008/10/07	1.13	1.20	1.11	1.18	1247827	18442808.00
2008/10/08	1.13	1.20	1.13	1.17	417512	6277420.00
2008/10/09	1.20	1.21	1.15	1.17	352674	5322140.50
2008/10/10	1.14	1.14	1.01	1.04	723346	10314357.00
2008/10/13	1.04	1.04	0.92	1.02	490303	6512349.50
2008/10/14	1.07	1.11	1.06	1.06	524220	7485077.00
2008/10/15	1.04	1.12	0.99	1.11	338987	4781215.50
2008/10/16	1.06	1.19	1.03	1.08	675671	9888114.00
2008/10/17	1.09	1.20	1.09	1.19	507148	7611056.50
2008/10/20	1.19	1.36	1.17	1.33	693538	10981380.00
2008/10/21	1.31	1.32	1.24	1.28	463741	7419064.50
2008/10/22	1.24	1.32	1.19	1.19	249741	3914702.50
2008/10/23	1.17	1.37	1.17	1.37	1590224	26277350.00
2008/10/24	1.36	1.50	1.34	1.37	1024913	17666688.00
2008/10/27	1.36	1.37	1.29	1.30	697180	11342435.00
2008/10/28	1.28	1.45	1.25	1.43	442009	7401613.50
2008/10/29	1.45	1.56	1.41	1.47	765838	13776629.00
2008/10/30	1.47	1.57	1.47	1.55	799921	14596682.00
2008/10/31	1.52	1.56	1.47	1.53	326615	5816279.50
2008/11/03	1.52	1.53	1.42	1.46	235162	4148957.25
2008/11/04	1.44	1.49	1.33	1.39	317331	5420892.00
2008/11/05	1.38	1.57	1.36	1.51	542462	9610352.00
2008/11/06	1.46	1.52	1.41	1.52	268326	4742391.00
2008/11/07	1.49	1.64	1.48	1.56	506965	9384579.00
2008/11/10	1.56	1.69	1.56	1.67	681891	12881949.00
2008/11/11	1.62	1.65	1.53	1.59	770178	14291051.00
2008/11/12	1.56	1.63	1.54	1.59	259982	4831656.50
2008/11/13	1.61	1.74	1.54	1.69	855593	16551824.00
2008/11/14	1.70	1.74	1.64	1.70	730841	14281640.00
2008/11/17	1.69	1.85	1.63	1.85	827093	16687289.00
2008/11/18	1.81	1.88	1.67	1.71	578506	11657988.00
2008/11/19	1.70	1.94	1.70	1.94	1219927	26021694.00
2008/11/20	1.93	2.06	1.84	1.85	852227	18564912.00
2008/11/21	1.78	1.90	1.73	1.79	496407	10119402.00
2008/11/24	1.80	1.85	1.63	1.66	451043	8985079.00
2008/11/25	1.71	1.71	1.55	1.59	629194	11827936.00
2008/11/26	1.58	1.62	1.53	1.57	256315	4750730.00
2008/11/27	1.67	1.75	1.61	1.62	763677	14630221.00
2008/11/28	1.64	1.64	1.53	1.55	236004	4396815.00
2008/12/01	1.53	1.70	1.53	1.68	653002	12523234.00
2008/12/02	1.65	1.80	1.63	1.74	448173	8891251.00
2008/12/03	1.74	1.84	1.74	1.83	540653	11113601.00
2008/12/04	1.86	1.92	1.76	1.79	1449009	29951008.00
2008/12/05	1.77	1.88	1.76	1.85	418344	8628885.00
2008/12/08	1.88	2.01	1.88	1.91	809974	17471678.00
2008/12/09	1.92	1.98	1.86	1.89	555969	11933201.00
2008/12/10	1.85	2.05	1.85	2.05	856754	18702982.00
2008/12/11	2.03	2.05	1.93	1.94	560457	12285913.00
2008/12/12	1.89	1.92	1.79	1.80	674491	13974293.00
2008/12/15	1.85	1.92	1.81	1.89	487540	10274566.00
2008/12/16	1.85	2.07	1.85	2.06	770939	16985124.00
2008/12/17	2.04	2.16	1.97	2.00	703723	16161136.00
2008/12/18	2.04	2.26	1.98	2.26	292010	7044871.00
2008/12/19	2.38	2.49	2.29	2.36	1114115	28190128.00
2008/12/22	2.33	2.49	2.25	2.42	2100183	53255952.00
2008/12/23	2.40	2.40	2.13	2.15	1566528	38109480.00
2008/12/24	2.10	2.14	1.98	2.06	1239032	28126326.00
2008/12/25	2.10	2.18	2.07	2.13	606898	14094038.00
2008/12/26	2.12	2.25	2.11	2.16	679797	16100932.00
2008/12/29	2.14	2.18	2.05	2.08	503400	11542190.00
2008/12/30	2.05	2.24	2.05	2.20	657100	15627405.00
2008/12/31	2.24	2.34	2.16	2.16	804900	19565608.00
2009/01/05	2.20	2.26	2.14	2.21	1002400	23925994.00
2009/01/06	2.23	2.34	2.21	2.33	869400	21436632.00
2009/01/07	2.33	2.39	2.27	2.36	640100	15998532.00
2009/01/08	2.31	2.48	2.28	2.43	878600	22498266.00
2009/01/09	2.44	2.58	2.42	2.52	999900	26444740.00
2009/01/12	2.53	2.67	2.50	2.51	1601000	43467980.00
2009/01/13	2.49	2.57	2.36	2.37	1480700	38709912.00
2009/01/14	2.39	2.50	2.36	2.50	590700	15317440.00
2009/01/15	2.47	2.55	2.45	2.50	614600	16288478.00
2009/01/16	2.54	2.58	2.42	2.50	1259800	33054318.00
2009/01/19	2.54	2.58	2.41	2.47	544500	14294693.00
2009/01/20	2.44	2.47	2.40	2.44	274500	7107395.00
2009/01/21	2.40	2.47	2.40	2.40	326800	8455811.00
2009/01/22	2.41	2.47	2.40	2.45	340300	8836163.00
2009/01/23	2.45	2.46	2.40	2.40	341600	8834053.00
2009/02/02	2.40	2.49	2.40	2.47	444500	11587774.00
2009/02/03	2.47	2.54	2.47	2.54	536700	14250099.00
